individual	chr17:7447650:7448579:cluster30735	chr17:7447650:7454297:cluster30735	chr17:7448788:7454297:cluster30735	chr17:7448788:7455284:cluster30735	chr17:7454520:7455284:cluster30735	chr17:7454520:7455457:cluster30735
GTEX-XQ3S	127	6	193	0	183	0
GTEX-XUZC	275	13	392	0	404	0
GTEX-XBEW	776	31	1002	3	1018	0
GTEX-145LU	231	4	321	0	322	0
GTEX-1KD5A	263	5	331	0	362	0
GTEX-1LSNL	145	3	204	0	204	0
GTEX-ZUA1	156	3	212	0	202	0
GTEX-1GF9W	325	18	440	0	437	0
GTEX-13FTZ	145	7	197	0	194	0
GTEX-17EUY	199	8	274	0	253	0
GTEX-169BO	549	26	808	4	788	0
GTEX-13FTY	160	5	229	0	205	0
GTEX-1PPH7	451	16	616	0	556	0
GTEX-Y8DK	197	4	263	0	268	1
GTEX-OHPL	186	5	266	0	242	1
GTEX-1211K	199	8	320	0	300	0
GTEX-W5WG	315	15	442	1	431	0
GTEX-1ICG6	328	15	473	0	466	0
GTEX-1K2DA	563	15	810	1	722	1
GTEX-18D9A	322	10	483	0	457	0
GTEX-U8T8	169	5	260	1	259	0
GTEX-T5JC	222	6	285	0	306	0
GTEX-ZF2S	460	11	632	1	591	0
GTEX-14BMU	395	18	553	1	522	0
GTEX-1QP9N	302	11	408	1	362	0
GTEX-13O3Q	177	5	269	0	252	0
GTEX-13QBU	293	10	445	0	403	0
GTEX-XGQ4	145	5	196	0	179	0
GTEX-13U4I	346	11	462	1	428	0
GTEX-13G51	87	5	118	0	130	0
GTEX-ZDTS	116	4	191	0	166	0
GTEX-1B97I	355	12	481	0	495	0
GTEX-XOT4	209	7	261	0	270	0
GTEX-11GSO	175	6	225	1	256	0
GTEX-OXRK	243	14	350	0	347	0
GTEX-15RIG	537	22	743	0	791	0
GTEX-11ZVC	139	6	194	0	183	1
GTEX-1339X	70	4	110	0	101	0
GTEX-15G1A	267	13	373	0	344	0
GTEX-ZZ64	210	4	308	1	288	0
GTEX-17HGU	135	3	185	0	205	0
GTEX-1C6VR	138	4	217	0	207	0
GTEX-QV44	411	10	562	0	516	0
GTEX-1P4AB	256	9	329	0	359	1
GTEX-1KWVE	232	5	296	1	279	0
GTEX-1CB4F	294	15	426	1	425	0
GTEX-13FH7	120	6	180	0	164	0
GTEX-OIZH	155	4	234	1	211	0
GTEX-YEC3	347	15	495	0	470	0
GTEX-18D9U	586	27	858	0	770	0
GTEX-1LVA9	227	6	311	0	278	0
GTEX-1192X	187	3	260	0	255	1
GTEX-1RAZA	466	15	609	0	590	0
GTEX-11ZTS	101	3	163	0	156	0
GTEX-WYVS	239	8	310	0	315	0
GTEX-ZWKS	287	7	379	1	394	0
GTEX-1AX9J	208	7	267	0	251	0
GTEX-1F7RK	164	10	226	0	220	0
GTEX-YJ8O	127	5	183	0	204	0
GTEX-ZC5H	453	22	562	0	610	1
GTEX-1EWIQ	172	7	243	0	238	0
GTEX-XPVG	324	16	513	1	451	1
GTEX-1JN6P	173	6	231	0	217	0
GTEX-P4PQ	247	9	356	0	368	0
GTEX-1AMEY	268	7	355	2	363	0
GTEX-RTLS	160	6	236	0	207	1
GTEX-OXRP	75	1	102	0	106	0
GTEX-14E6D	256	11	364	0	372	0
GTEX-18A66	278	15	365	0	372	0
GTEX-XBEC	155	4	190	0	208	0
GTEX-1314G	289	9	401	1	440	0
GTEX-ZTPG	233	6	335	0	348	0
GTEX-132Q8	173	6	226	0	238	0
GTEX-18A7A	219	11	304	0	322	0
GTEX-1PBJJ	490	21	609	1	658	0
GTEX-1E2YA	257	6	364	0	373	0
GTEX-16XZY	258	10	310	1	321	0
GTEX-13X6H	133	8	197	0	197	0
GTEX-1F5PK	272	11	404	0	415	1
GTEX-1IDJE	273	13	434	1	407	1
GTEX-1LVAM	235	9	326	0	316	0
GTEX-1R9PO	355	12	440	1	452	1
GTEX-15ER7	513	13	768	0	704	0
GTEX-13OW6	114	3	155	0	161	0
GTEX-17HHE	228	7	271	0	292	0
GTEX-1LG7Z	223	10	339	1	316	0
GTEX-1R7EU	174	10	236	0	233	0
GTEX-U3ZM	320	10	471	0	500	0
GTEX-1A8G6	156	3	237	0	230	0
GTEX-14PN4	54	3	76	0	89	0
GTEX-13PLJ	133	6	201	0	205	0
GTEX-14PJ2	423	10	551	0	513	0
GTEX-RN64	129	7	182	0	168	0
GTEX-1QP66	577	31	776	0	809	1
GTEX-1GZHY	169	3	256	0	254	0
GTEX-1JN1M	200	5	266	0	270	0
GTEX-147JS	79	2	117	0	119	0
GTEX-15SB6	343	10	528	0	493	0
GTEX-QCQG	265	17	379	1	383	0
GTEX-14PJ6	326	12	400	0	409	0
GTEX-11NSD	178	9	293	0	279	0
GTEX-1445S	175	5	259	0	247	0
GTEX-1BAJH	116	4	183	0	185	0
GTEX-ZVZP	281	8	374	2	354	1
GTEX-VUSG	89	3	117	0	109	0
GTEX-11ZTT	389	15	623	0	566	0
GTEX-12WSL	93	5	144	0	138	0
GTEX-1GPI6	93	3	143	0	157	0
GTEX-Z93S	193	5	309	1	281	0
GTEX-13111	239	8	311	1	357	0
GTEX-1O9I2	158	5	250	0	214	0
GTEX-1CAMQ	169	8	213	0	248	0
GTEX-11XUK	107	6	155	0	151	0
GTEX-1JJ6O	407	17	588	0	549	0
GTEX-13OVK	191	10	256	0	284	0
GTEX-Y8LW	153	3	198	0	187	0
GTEX-1F88F	147	8	219	0	213	0
GTEX-ZP4G	215	6	338	0	314	0
GTEX-14C39	183	10	255	0	261	1
GTEX-11P81	194	8	241	0	249	1
GTEX-13CF3	158	4	216	0	206	0
GTEX-ZVT4	114	7	175	0	182	0
GTEX-12WSF	218	9	275	0	259	0
GTEX-12584	150	7	233	0	246	0
GTEX-1CB4I	295	6	367	1	399	0
GTEX-1R9JW	581	22	757	0	744	0
GTEX-15DCD	411	20	585	2	581	0
GTEX-SE5C	273	13	357	0	328	0
GTEX-QESD	87	2	119	0	108	0
GTEX-1399S	153	8	202	0	227	0
GTEX-P4QT	470	17	663	0	627	0
GTEX-1A8G7	251	7	314	0	308	0
GTEX-14DAQ	208	4	294	0	266	0
GTEX-ZEX8	426	24	582	0	611	2
GTEX-1RAZQ	673	26	1033	0	968	0
GTEX-PX3G	185	4	228	0	231	0
GTEX-13FHO	160	4	198	0	190	0
GTEX-YFC4	254	7	373	0	403	0
GTEX-1477Z	228	10	270	0	287	0
GTEX-111CU	220	14	321	0	327	0
GTEX-XAJ8	295	18	410	1	404	0
GTEX-17F97	271	7	350	2	366	1
GTEX-13NZB	355	9	465	0	512	0
GTEX-13PVQ	124	3	189	0	191	0
GTEX-17HHY	117	3	148	0	163	0
GTEX-Z9EW	279	8	398	0	419	0
GTEX-1QP67	325	5	432	0	448	0
