individual	chr12:48135038:48135291:cluster65832	chr12:48135038:48137721:cluster65832	chr12:48135383:48137721:cluster65832	chr12:48135383:48139285:cluster65832	chr12:48135596:48137721:cluster65832	chr12:48137846:48139285:cluster65832	chr12:48137846:48139849:cluster65832	chr12:48139349:48139849:cluster65832	chr12:48139504:48139849:cluster65832
GTEX-11VI4	2849	6	3502	6	2	3223	0	2474	12
GTEX-1313W	3707	3	4441	5	0	4198	0	2921	15
GTEX-XQ3S	1643	3	2091	2	0	1920	0	1412	12
GTEX-1C6WA	3640	4	4546	3	1	4482	0	3045	62
GTEX-1JKYN	913	1	1076	3	0	1088	0	830	5
GTEX-145LU	1283	4	1588	0	0	1465	0	1063	13
GTEX-1KD5A	3441	3	3957	4	0	3928	0	2642	29
GTEX-1LSNL	1950	2	2192	0	0	2291	0	1576	19
GTEX-1S83E	4231	3	4887	9	2	5261	0	3645	63
GTEX-ZDYS	954	3	1195	2	0	1075	0	765	12
GTEX-ZLV1	2339	1	2885	2	0	2770	0	2034	24
GTEX-18A6Q	2730	6	3187	8	0	3179	0	2125	6
GTEX-17EUY	935	1	1138	2	0	1163	0	780	23
GTEX-1LGOU	3032	9	3870	5	2	3741	0	2611	13
GTEX-X8HC	1253	0	1598	0	0	1581	0	1097	22
GTEX-13FTY	1343	3	1487	0	0	1470	0	1067	16
GTEX-16NPX	2811	3	3567	2	2	3464	0	2289	37
GTEX-15ETS	2863	6	3491	7	0	3263	0	2318	31
GTEX-1PPH7	2787	0	3329	3	0	3556	0	2406	38
GTEX-1212Z	2645	6	3198	4	1	3247	0	2184	61
GTEX-1GPI7	2251	2	2701	5	1	2760	0	1694	23
GTEX-1RAZR	3617	3	4193	4	1	4391	0	2992	21
GTEX-12C56	2039	1	2406	2	0	2216	0	1605	15
GTEX-1211K	1284	4	1630	2	0	1640	0	1068	11
GTEX-1ICG6	1652	4	1921	5	3	1951	0	1475	11
GTEX-1N2DW	631	1	768	2	1	820	0	573	9
GTEX-PLZ5	1292	2	1721	5	1	1665	0	1125	13
GTEX-13O3O	1987	4	2428	4	0	2290	0	1586	23
GTEX-1C2JI	2537	5	2904	1	1	2749	0	1934	31
GTEX-18D9A	2013	2	2446	3	0	2401	0	1659	6
GTEX-ZF2S	2863	8	3502	3	0	3230	0	2377	24
GTEX-14BMU	1300	2	1575	3	0	1556	0	1011	5
GTEX-1399T	1164	1	1306	3	0	1252	0	872	7
GTEX-11ZUS	2114	2	2667	0	0	2457	0	1748	9
GTEX-131XF	1397	2	1680	5	0	1624	0	1207	9
GTEX-14LZ3	1529	2	1998	2	2	1852	0	1249	19
GTEX-13N2G	3225	9	3835	2	0	3553	0	2443	22
GTEX-XGQ4	1298	4	1581	0	0	1554	0	1093	19
GTEX-13U4I	1552	3	1763	5	0	1816	0	1213	16
GTEX-1B97I	2118	7	2741	3	0	2525	0	1639	20
GTEX-1A3MX	2085	6	2467	5	0	2547	0	1676	39
GTEX-XOT4	1959	2	2351	3	1	2290	0	1800	22
GTEX-17GQL	3894	20	4564	13	1	4387	0	2974	34
GTEX-11GSO	1772	1	2234	4	0	2175	0	1497	9
GTEX-1FIGZ	1910	1	2406	3	0	2290	0	1485	32
GTEX-OXRK	1893	7	2559	3	0	2363	0	1568	14
GTEX-15RIG	1922	1	2230	9	1	2183	0	1426	20
GTEX-WRHK	2483	2	3063	4	0	2896	0	2157	15
GTEX-QEG5	804	3	1073	2	0	1119	0	733	16
GTEX-11ZVC	3505	9	4233	4	0	4060	0	2737	33
GTEX-ZZ64	1873	1	2400	3	0	2389	0	1616	41
GTEX-1C6VR	1422	1	1721	6	0	1685	0	1086	8
GTEX-QV44	3554	2	4384	3	0	4316	0	2966	38
GTEX-1R46S	2419	6	2769	5	3	2943	0	2120	26
GTEX-11UD2	1869	1	2481	1	0	2419	0	1680	40
GTEX-1KWVE	2228	7	2828	2	0	2692	0	2040	10
GTEX-1CB4F	1558	6	1792	2	4	1869	0	1313	12
GTEX-ZF3C	4852	14	5753	9	1	5646	0	4002	92
GTEX-1GMRU	2025	5	2329	2	1	2464	0	1523	35
GTEX-1A3MW	1639	2	1876	6	0	1889	0	1253	26
GTEX-X261	1498	1	1958	3	0	1880	0	1406	16
GTEX-OIZH	1704	1	2238	1	0	2191	0	1388	19
GTEX-Y3I4	1252	1	1567	2	0	1475	0	1034	6
GTEX-1269C	1211	1	1516	1	0	1486	0	1050	16
GTEX-11ZU8	2857	2	3312	2	0	3341	0	2429	30
GTEX-18D9U	2285	7	2782	3	1	2959	0	1840	17
GTEX-1192X	1685	0	2024	1	1	1942	0	1370	13
GTEX-15D79	2221	3	2636	1	0	2567	0	1712	27
GTEX-1RAZA	3209	5	3612	10	1	3800	0	2519	45
GTEX-13OVH	2393	8	3045	1	1	2829	0	1946	19
GTEX-145MO	2886	15	3690	3	1	3407	1	2290	29
GTEX-16BQI	3569	16	4477	16	0	4180	0	2876	30
GTEX-13N1W	3093	5	3902	4	0	3579	0	2382	28
GTEX-117YW	2058	2	2411	1	0	2387	0	1518	25
GTEX-16MT8	3277	2	4179	3	0	4086	0	2734	40
GTEX-1F6IF	2413	6	2783	9	0	2936	0	1788	36
GTEX-1R9K4	846	3	1091	3	1	1137	0	766	17
GTEX-1QEPI	1859	8	2292	6	1	2436	0	1687	24
GTEX-15CHQ	2376	4	2705	5	1	2539	1	1878	17
GTEX-Y9LG	2687	9	3341	16	0	3264	0	2311	33
GTEX-1EWIQ	2473	2	2720	4	0	2808	0	1893	18
GTEX-11EI6	2639	4	3269	4	2	3243	0	2295	33
GTEX-17KNJ	1126	1	1535	1	1	1431	0	992	25
GTEX-QDT8	2111	11	2517	3	3	2600	0	1951	31
GTEX-1A8FM	2833	5	3287	6	1	3424	0	2320	53
GTEX-15RIF	3719	2	4479	8	0	4499	0	2917	15
GTEX-1M5QR	3862	1	4684	5	1	4988	0	3291	23
GTEX-XPVG	3685	8	4360	5	0	4267	0	2949	12
GTEX-ZT9X	938	1	1156	0	0	1057	0	782	10
GTEX-1IDJF	2054	5	2375	3	1	2438	1	1579	32
GTEX-11LCK	872	3	1083	1	1	1118	0	703	9
GTEX-RTLS	2087	1	2831	6	3	2622	0	1914	24
GTEX-1S82Y	4844	5	5632	4	2	6001	0	4082	51
GTEX-18A66	1450	7	1738	4	0	1775	0	1271	14
GTEX-1QAET	2658	3	3017	6	0	3143	0	2276	17
GTEX-15CHC	2712	12	3312	3	0	3312	0	2245	29
GTEX-1QCLZ	2290	11	2572	5	1	2677	1	1950	30
GTEX-ZTPG	2957	2	3381	4	1	3441	0	2311	17
GTEX-1399U	1809	1	2281	10	1	2120	0	1516	22
GTEX-1PDJ9	2453	3	3069	1	1	3120	0	2112	24
GTEX-1PIEJ	1695	1	2155	9	0	2154	0	1510	23
GTEX-15CHR	1210	0	1436	2	1	1356	0	977	9
GTEX-13112	1545	6	1791	1	0	1712	0	1199	21
GTEX-ZAK1	1140	5	1377	0	0	1361	0	959	15
GTEX-1PBJJ	2819	10	3502	6	2	3619	1	2652	33
GTEX-13OW8	1860	6	2257	1	1	2310	0	1613	26
GTEX-1QP2A	1953	0	2418	2	0	2524	0	1752	16
GTEX-13X6H	1144	2	1346	3	0	1392	0	875	8
GTEX-12WSG	2407	10	2902	12	4	2926	0	1944	22
GTEX-1A3MV	2381	3	2916	6	1	2766	0	1976	16
GTEX-1IDJE	2690	12	3031	7	3	3154	0	2055	28
GTEX-1LVAM	1773	2	2163	0	1	2161	0	1449	14
GTEX-14PJ5	1710	1	2092	7	0	1991	0	1325	30
GTEX-133LE	1571	0	1987	6	1	1832	0	1296	15
GTEX-X5EB	1225	2	1532	5	2	1533	0	1105	9
GTEX-16XZZ	2298	3	2624	2	0	2742	0	1959	45
GTEX-1K2DU	1956	0	2274	2	0	2359	0	1498	14
GTEX-14PII	2580	4	3188	2	1	2949	0	2009	52
GTEX-1LG7Z	2400	8	2868	2	2	2902	0	2131	21
GTEX-1C4CL	2126	12	2629	8	0	2467	0	1626	16
GTEX-U3ZM	1800	3	2070	1	1	1919	0	1402	11
GTEX-14PN4	491	1	613	0	0	639	0	457	2
GTEX-WFON	3825	2	4868	7	0	4801	0	3430	19
GTEX-T6MN	582	1	681	1	0	629	0	490	3
GTEX-RN64	1266	5	1703	0	0	1637	0	1126	23
GTEX-1QP66	3387	6	3968	3	4	4147	0	2760	47
GTEX-1GZHY	1324	3	1556	0	0	1665	0	1031	13
GTEX-1JN1M	2973	10	3470	11	3	3423	0	2462	29
GTEX-147JS	1704	6	1963	1	0	1820	0	1304	14
GTEX-15SB6	3180	6	3958	6	1	3839	0	2662	29
GTEX-QCQG	2919	9	3265	7	0	3301	0	2215	25
GTEX-144GL	989	3	1274	2	0	1222	0	810	14
GTEX-14PJ6	2349	3	2760	4	0	2618	0	1799	15
GTEX-1MA7W	2548	5	3216	3	4	3253	0	2365	36
GTEX-U8XE	1296	3	1619	0	0	1545	0	1139	19
GTEX-11ZTT	2385	5	2826	5	1	2742	0	1892	18
GTEX-12KS4	2003	3	2306	2	0	2338	0	1720	34
GTEX-1GPI6	1627	3	2033	0	0	2100	0	1366	32
GTEX-1GN1U	2079	8	2457	3	0	2444	0	1689	27
GTEX-X4EO	1331	7	1669	3	1	1720	0	1233	18
GTEX-111YS	1877	0	2277	1	0	2117	0	1444	27
GTEX-139TS	2206	4	2930	4	1	2653	0	1770	30
GTEX-1CAMQ	2332	4	3061	4	2	2892	0	1914	41
GTEX-ZYFD	952	0	1193	2	0	1092	0	741	8
GTEX-14JG1	2294	9	2721	2	1	2718	0	1778	15
GTEX-1PIIG	1911	1	2218	1	1	2326	0	1651	15
GTEX-ZVE1	1976	7	2344	5	0	2380	0	1766	35
GTEX-11XUK	998	4	1268	3	0	1154	0	807	11
GTEX-REY6	2170	5	2389	1	0	2388	0	1685	34
GTEX-1JJ6O	4232	1	4877	5	0	4970	0	3285	45
GTEX-13OVK	1626	2	2052	5	2	2038	0	1461	35
GTEX-WRHU	2303	5	2811	2	4	2741	0	1939	18
GTEX-12ZZX	1618	2	1957	3	0	1929	0	1301	3
GTEX-WHSE	1820	2	2099	6	0	2055	0	1428	18
GTEX-1F88F	684	1	804	2	0	842	0	642	7
GTEX-1GN2E	1120	2	1365	0	0	1436	0	893	12
GTEX-ZZPU	2774	8	3198	8	0	3107	1	2159	18
GTEX-13D11	999	1	1259	2	0	1177	0	751	17
GTEX-15DZA	3730	5	4915	8	0	4687	0	3221	26
GTEX-ZGAY	2193	8	2787	5	1	2747	0	1857	54
GTEX-14C39	1666	0	2074	12	2	1990	0	1379	17
GTEX-17EVP	2310	8	2924	3	1	2934	0	1889	14
GTEX-147GR	1724	4	2217	2	1	2089	0	1387	27
GTEX-1CB4I	2614	1	3354	8	0	3029	0	2073	30
GTEX-15DCD	4609	33	5295	6	1	5434	0	3680	57
GTEX-SE5C	1503	2	1689	5	2	1766	0	1299	15
GTEX-QESD	1366	2	1577	4	2	1654	0	1151	9
GTEX-13X6K	3083	4	3500	6	2	3327	0	2359	39
GTEX-1A8G7	2164	5	2539	6	0	2471	0	1604	13
GTEX-QDVJ	452	0	555	1	0	535	0	354	1
GTEX-1EX96	608	0	687	0	1	732	0	507	7
GTEX-14DAQ	2449	6	3097	3	1	2858	0	1859	26
GTEX-ZEX8	4029	17	5082	4	4	5147	0	3318	30
GTEX-1RAZQ	2917	0	3702	7	2	3737	0	2545	51
GTEX-12WSN	2231	3	2717	3	1	2487	0	1650	29
GTEX-13FHO	2237	8	2760	1	1	2660	0	2013	43
GTEX-1ICLY	1104	7	1369	5	2	1380	0	960	19
GTEX-YFC4	1338	4	1703	1	0	1602	0	1031	18
GTEX-PW2O	970	0	1201	3	0	1270	0	866	15
GTEX-ZF29	3347	4	3898	1	1	3985	1	2707	29
GTEX-17F97	1527	3	1829	2	0	1830	0	1248	33
GTEX-13NZB	1735	2	2253	0	1	2005	0	1389	29
GTEX-PSDG	1381	2	1812	0	4	1664	0	1184	16
GTEX-ZVE2	1188	1	1531	3	1	1511	0	1156	12
GTEX-OXRN	4050	3	4995	7	0	5077	1	3538	28
GTEX-13OW7	2447	1	3095	1	0	2966	0	1875	32
