individual	chr7:80546267:80646088:cluster50851	chr7:80602379:80646088:cluster50851	chr7:80602379:80646092:cluster50851	chr7:80602379:80656540:cluster50851	chr7:80604448:80646088:cluster50851	chr7:80624190:80646088:cluster50851	chr7:80637003:80646088:cluster50851	chr7:80638746:80639844:cluster50851	chr7:80638746:80646088:cluster50851	chr7:80639929:80646088:cluster50851	chr7:80646860:80656540:cluster50851	chr7:80646860:80656592:cluster50851	chr7:80646860:80662990:cluster50851	chr7:80656700:80661063:cluster50851	chr7:80656700:80663079:cluster50851	chr7:80661210:80662973:cluster50851	chr7:80661210:80662990:cluster50851	chr7:80661210:80664406:cluster50851	chr7:80663169:80664406:cluster50851
GTEX-PLZ5	0	36	2	0	0	0	6	0	87	0	186	1	0	152	0	1	167	2	189
GTEX-13O3O	3	169	3	0	0	2	11	4	187	4	574	2	0	497	0	0	459	0	538
GTEX-18D9A	3	61	1	0	0	0	4	0	65	0	180	3	0	194	0	2	165	0	211
GTEX-1LH75	0	2	0	0	0	0	0	0	17	0	38	0	0	39	0	0	32	0	48
GTEX-ZF2S	3	93	7	0	0	5	9	1	132	1	356	0	0	281	0	2	251	1	392
GTEX-ZV6S	4	19	0	0	0	3	1	1	51	1	125	0	0	113	0	0	106	0	128
GTEX-131XF	1	21	1	0	0	0	1	0	48	0	119	4	0	111	0	0	95	0	149
GTEX-P44G	0	35	0	0	0	0	3	0	40	1	89	1	0	88	0	0	81	0	111
GTEX-139UW	1	124	1	0	0	9	2	0	173	2	422	2	0	295	0	0	333	3	411
GTEX-13QBU	3	32	1	0	0	7	0	0	64	0	175	5	0	155	0	0	140	1	178
GTEX-1B97I	4	88	6	0	0	1	9	0	104	1	283	1	0	251	0	3	208	3	312
GTEX-XOT4	5	38	0	0	0	4	3	0	50	3	131	1	0	141	0	2	143	0	168
GTEX-PLZ4	1	21	2	0	0	2	1	0	26	0	87	0	0	64	0	0	56	0	100
GTEX-WRHK	1	57	1	0	0	1	5	0	90	0	187	4	0	139	0	0	159	4	220
GTEX-13FTW	2	11	0	0	0	1	2	0	46	0	93	0	0	83	0	0	72	0	100
GTEX-13RTL	7	92	2	0	0	5	3	2	280	2	599	3	0	504	0	7	446	2	566
GTEX-15G1A	5	28	0	0	0	3	2	0	86	0	208	1	0	179	0	0	168	2	209
GTEX-17HGU	2	37	3	0	0	0	0	0	41	1	101	1	0	107	0	0	98	1	125
GTEX-ZV68	2	54	2	0	0	4	7	0	67	0	190	1	0	164	0	1	178	1	202
GTEX-11UD2	3	123	2	0	0	2	7	1	143	4	363	2	0	344	0	0	336	1	330
GTEX-1KWVE	1	130	5	2	0	4	16	3	132	0	348	1	0	308	0	2	360	0	423
GTEX-1CB4F	2	32	0	0	0	2	4	0	73	0	197	0	0	178	0	0	138	0	226
GTEX-ZF3C	1	16	0	0	0	4	0	0	40	0	87	0	0	80	0	0	81	0	100
GTEX-18A67	1	19	0	0	0	1	0	0	75	0	187	2	0	165	0	0	133	1	192
GTEX-1GMRU	0	247	6	2	0	7	14	5	299	5	785	7	0	645	0	4	538	2	700
GTEX-YEC3	4	55	1	0	0	0	1	0	76	0	212	1	0	171	0	0	143	2	191
GTEX-Y3I4	0	9	0	0	0	0	0	0	19	0	50	1	0	65	0	0	49	0	68
GTEX-1AMFI	1	19	2	0	0	2	2	0	56	0	116	0	0	95	0	0	88	1	136
GTEX-1192X	3	41	1	0	0	3	2	0	94	0	227	0	0	210	0	1	212	1	251
GTEX-1MUQO	2	32	0	0	0	3	0	0	63	0	183	1	0	172	0	0	163	2	183
GTEX-15D79	2	169	4	1	0	1	7	1	187	3	544	1	0	436	0	2	456	1	569
GTEX-13OVH	2	25	0	0	0	3	1	0	59	0	130	3	0	112	0	1	109	0	131
GTEX-1EU9M	3	113	2	0	0	6	10	3	280	7	562	6	1	506	0	1	389	0	558
GTEX-145MO	2	40	2	0	0	1	1	0	78	0	166	4	0	153	0	0	140	1	171
GTEX-16BQI	0	62	1	0	0	2	6	0	81	0	208	5	0	214	0	2	212	1	216
GTEX-13N1W	1	67	2	0	0	0	4	0	46	1	179	0	0	166	0	1	139	0	194
GTEX-16MT8	3	51	0	0	0	0	1	0	84	0	197	0	0	193	0	2	175	1	202
GTEX-111VG	0	53	2	0	0	5	5	1	64	2	184	2	0	143	0	0	131	0	140
GTEX-Q2AG	0	26	2	0	0	1	1	0	40	0	130	0	0	92	0	0	104	0	94
GTEX-1F7RK	3	222	8	1	0	4	5	4	249	6	656	2	0	520	0	2	559	3	774
GTEX-1R9K4	7	108	1	0	0	5	11	4	230	6	541	0	0	546	0	3	507	0	685
GTEX-YJ8O	1	84	0	0	0	1	6	1	67	4	242	1	0	216	0	1	224	1	241
GTEX-1QEPI	8	123	1	1	0	3	9	10	254	15	823	8	1	783	0	4	758	5	874
GTEX-ZC5H	0	16	0	0	0	2	3	0	32	0	111	0	0	84	0	0	83	1	93
GTEX-Y9LG	0	18	1	0	0	1	0	0	27	0	81	0	0	67	0	2	58	0	90
GTEX-1EWIQ	3	74	2	0	0	14	18	2	151	3	352	1	0	269	0	3	308	2	413
GTEX-Y5LM	0	36	3	0	0	2	4	0	86	0	198	0	0	172	0	0	195	2	233
GTEX-11EI6	1	41	5	0	0	4	8	0	61	0	223	0	0	188	0	1	210	2	259
GTEX-17KNJ	2	50	3	1	0	1	4	0	63	1	163	0	0	135	0	0	144	0	164
GTEX-ZT9X	5	44	3	0	0	2	4	0	66	0	167	0	0	150	0	0	131	1	123
GTEX-1IDJF	3	91	3	1	0	14	24	0	154	1	372	1	0	327	0	2	301	1	349
GTEX-1GN73	4	161	2	0	0	5	12	1	144	2	415	7	0	395	0	0	324	3	429
GTEX-11LCK	0	38	2	0	0	1	3	0	57	0	171	2	0	128	0	0	119	3	152
GTEX-RTLS	0	38	1	0	0	0	6	0	48	0	153	3	0	111	0	0	120	0	136
GTEX-18A66	3	34	0	0	0	1	3	0	56	0	178	0	0	133	0	0	128	0	172
GTEX-13O21	1	35	0	0	0	1	4	0	54	0	162	1	0	130	0	0	109	1	164
GTEX-1RB15	1	66	2	0	0	1	10	2	73	0	219	1	0	217	0	3	190	0	285
GTEX-YB5K	0	71	1	0	0	0	3	0	66	0	247	3	0	204	0	0	187	0	232
GTEX-QDVN	3	15	0	0	0	3	1	0	50	0	105	0	0	115	0	0	112	0	145
GTEX-16GPK	3	95	1	0	0	2	10	2	122	2	301	4	0	255	0	4	226	0	339
GTEX-15CHR	3	61	0	0	0	3	6	0	96	0	272	0	1	229	0	0	211	0	296
GTEX-13112	3	119	4	0	0	4	12	2	200	1	392	0	0	325	0	3	363	2	467
GTEX-11TT1	0	0	0	0	0	0	0	0	1	0	15	0	0	10	0	0	8	0	9
GTEX-ZAK1	0	102	2	1	0	5	7	3	184	3	398	2	0	350	0	2	337	0	463
GTEX-1GZ4I	1	127	1	0	0	2	12	1	144	1	403	1	0	330	0	7	283	0	358
GTEX-13OW8	1	46	1	0	0	0	3	0	100	0	225	4	0	219	0	0	200	0	230
GTEX-16XZY	0	26	1	0	0	2	7	0	65	0	153	2	0	153	0	1	133	1	156
GTEX-OIZG	1	22	0	0	0	1	4	1	42	1	143	3	0	119	0	1	99	2	123
GTEX-1F52S	1	25	0	0	0	1	1	0	63	0	124	0	0	106	0	0	86	0	120
GTEX-11GSP	0	61	3	0	0	2	6	2	118	1	253	2	1	227	0	0	175	0	262
GTEX-1A3MV	3	50	3	1	0	5	7	0	118	0	295	6	0	278	0	3	238	1	310
GTEX-1IDJE	0	61	0	0	0	13	8	0	114	1	285	0	0	259	0	5	226	0	303
GTEX-144GM	1	12	0	0	0	0	2	0	22	0	40	1	0	29	0	0	36	0	57
GTEX-1LVAM	2	89	3	0	0	5	7	4	144	0	331	1	0	295	0	4	286	0	349
GTEX-133LE	0	55	1	0	0	1	4	0	56	0	205	0	0	149	0	0	171	1	197
GTEX-1R9PO	1	100	0	0	0	8	13	0	138	0	332	2	0	280	0	1	311	0	373
GTEX-X5EB	0	14	1	0	0	0	2	0	24	1	66	2	0	60	0	0	56	0	71
GTEX-O5YV	2	31	4	0	0	1	2	0	61	0	111	0	0	101	0	0	103	3	143
GTEX-14PII	1	40	0	1	0	0	5	0	89	0	215	0	0	187	0	0	190	1	207
GTEX-15ER7	6	350	14	2	0	11	27	4	482	8	1368	16	1	1146	0	4	1052	3	1328
GTEX-T8EM	2	118	4	0	0	5	15	0	179	0	410	4	0	391	0	4	467	0	638
GTEX-13OW6	0	60	3	0	0	3	5	2	100	4	239	3	0	188	0	0	161	0	211
GTEX-ZPCL	1	56	0	0	0	0	4	1	86	1	167	1	0	130	0	0	132	0	198
GTEX-1LG7Z	1	57	3	0	0	5	5	0	158	0	272	4	0	278	0	0	255	2	318
GTEX-RWSA	0	181	12	0	0	3	16	2	175	8	571	7	0	510	0	1	464	1	644
GTEX-1C4CL	0	55	1	0	0	8	4	1	107	1	250	2	0	241	0	0	194	0	234
GTEX-1A8G6	4	64	0	0	0	3	10	1	110	0	256	0	0	215	0	1	189	1	227
GTEX-WFON	2	38	3	0	0	1	1	0	66	2	161	1	0	131	0	0	139	1	154
GTEX-13VXU	7	254	4	1	0	4	16	1	293	2	830	4	0	712	0	6	642	2	713
GTEX-13PLJ	1	21	0	0	0	0	2	1	81	0	168	2	0	152	0	2	149	0	204
GTEX-18465	2	218	11	2	0	8	8	5	233	6	643	6	0	582	0	8	475	0	655
GTEX-14PJ2	0	4	0	0	0	0	1	0	18	0	42	0	0	32	0	0	47	0	45
GTEX-1128S	1	28	0	0	0	0	2	0	45	1	99	0	0	85	0	2	65	1	103
GTEX-RN64	4	150	4	2	0	3	14	5	228	5	621	2	0	505	0	6	513	1	589
GTEX-1JN1M	0	2	0	0	0	0	0	0	14	0	45	0	0	36	0	0	30	0	34
GTEX-144GL	5	78	1	0	0	5	5	1	160	7	375	4	0	291	0	9	309	1	438
GTEX-14PJ6	1	14	0	0	0	3	5	1	35	0	74	1	0	71	0	0	70	1	99
GTEX-1MCQQ	0	40	0	0	0	1	2	0	104	0	175	2	0	175	0	0	190	0	219
GTEX-OXRL	0	35	0	1	0	0	2	0	29	0	125	0	0	101	0	1	92	0	102
GTEX-11NSD	1	47	1	0	0	2	1	0	36	0	124	0	0	107	0	2	94	1	124
GTEX-14PJM	2	177	8	1	0	4	11	2	234	6	544	4	0	485	0	2	444	3	539
GTEX-117XS	1	71	5	0	0	1	10	0	90	0	237	0	0	185	0	2	179	0	198
GTEX-1B8KZ	5	132	3	0	0	11	11	3	242	3	500	0	0	465	0	6	475	1	622
GTEX-139YR	0	23	0	0	0	1	1	0	40	0	85	3	0	86	0	2	86	0	107
GTEX-15SKB	2	74	1	0	0	4	13	0	105	0	296	0	0	225	0	1	234	1	279
GTEX-1BAJH	7	76	5	0	0	0	12	2	121	2	304	2	0	240	0	0	259	0	251
GTEX-WY7C	9	92	4	0	0	8	13	0	143	0	397	0	0	311	0	3	349	4	438
GTEX-14LLW	0	26	1	0	0	2	1	0	25	0	102	0	0	76	0	1	90	1	93
GTEX-11ZTT	0	18	0	1	0	2	6	0	51	1	122	0	0	132	0	2	116	1	136
GTEX-12WSL	2	23	0	0	0	0	3	0	85	0	213	0	0	151	0	0	143	1	190
GTEX-11I78	0	15	0	0	0	1	1	0	34	0	96	1	0	70	0	0	73	1	76
GTEX-1GPI6	0	52	1	0	0	3	4	1	63	0	183	5	0	172	0	0	159	0	203
GTEX-1GN1U	1	66	3	0	0	3	10	0	119	1	277	1	0	231	0	2	224	2	252
GTEX-X4EO	1	109	0	2	2	3	7	4	201	5	450	9	0	459	0	10	437	0	491
GTEX-111YS	5	48	0	1	0	0	2	0	58	0	139	0	0	148	0	0	109	0	145
GTEX-13111	1	22	2	0	0	1	3	0	37	0	86	0	0	85	0	2	69	0	88
GTEX-139TS	1	163	3	1	0	3	6	5	172	9	507	0	0	451	0	5	431	1	500
GTEX-14PK6	1	16	0	0	0	2	5	2	39	1	122	0	0	108	0	0	82	1	114
GTEX-1O9I2	2	27	0	0	0	2	1	0	56	0	121	1	0	113	0	0	82	0	94
GTEX-1CAMQ	0	20	2	1	0	2	4	0	58	0	124	0	0	102	0	0	110	0	148
GTEX-13QJ3	5	58	2	0	0	3	5	0	153	0	286	0	0	280	0	3	253	0	312
GTEX-14JG1	2	200	4	0	0	8	8	2	246	5	588	4	0	492	0	4	495	0	571
GTEX-1PIIG	0	179	4	0	0	4	14	8	223	11	557	1	0	522	0	6	537	0	630
GTEX-ZVE1	1	22	2	0	0	1	2	0	37	0	110	0	0	76	0	0	90	0	126
GTEX-17JCI	1	138	2	1	0	3	11	2	134	1	406	0	1	379	0	0	315	0	451
GTEX-13OVK	4	48	2	0	0	3	2	0	88	0	193	1	0	181	0	1	140	3	205
GTEX-13OVG	4	27	0	0	0	2	1	0	49	0	134	1	0	124	0	1	117	3	153
GTEX-YECK	0	87	1	0	0	1	8	0	123	1	345	0	0	328	0	1	304	0	379
GTEX-WHSE	0	67	0	0	0	3	7	0	61	2	214	0	0	185	0	0	167	0	185
GTEX-1F88F	2	101	4	2	0	4	4	4	130	4	331	1	0	312	0	2	335	0	463
GTEX-OIZF	0	15	0	0	0	1	2	0	40	0	88	0	0	77	0	0	59	0	91
GTEX-1JMQK	0	3	1	0	0	0	0	0	11	0	35	0	0	28	0	0	32	0	48
GTEX-ZZPU	2	40	0	0	0	2	3	0	51	0	149	4	0	142	0	0	108	1	127
GTEX-14E6E	2	64	1	0	0	0	3	0	59	0	149	0	0	137	0	0	128	0	165
GTEX-ZP4G	3	19	1	0	0	1	6	0	57	1	104	1	0	107	0	0	93	1	133
GTEX-15DZA	3	50	2	0	0	4	16	0	164	1	350	4	0	359	0	6	303	2	357
GTEX-ZGAY	3	77	4	0	0	3	3	1	93	1	229	4	0	201	0	1	230	2	257
GTEX-14C39	3	28	2	0	0	2	0	0	62	0	127	2	0	130	0	0	121	2	151
GTEX-1B8SF	9	290	7	0	0	10	9	4	635	15	1167	4	0	1090	0	10	995	1	1326
GTEX-147GR	2	27	0	0	0	1	3	1	72	1	128	1	0	149	0	0	124	0	162
GTEX-11P81	3	47	0	1	0	5	2	2	55	2	125	2	0	130	0	2	118	2	138
GTEX-ZVT4	3	92	7	0	0	4	9	1	142	2	362	5	0	357	0	0	346	1	407
GTEX-12584	3	17	0	0	0	1	4	1	76	0	160	0	0	133	0	1	112	0	168
GTEX-11O72	0	23	0	0	0	4	6	0	78	0	140	1	0	153	0	0	120	1	176
GTEX-P4QT	1	14	0	0	0	4	2	0	42	0	97	0	0	96	0	0	93	0	83
GTEX-13X6K	2	26	0	0	0	1	4	0	93	0	182	3	0	144	0	0	165	2	208
GTEX-Q734	1	51	3	1	0	7	12	0	71	1	223	0	0	235	0	1	166	0	248
GTEX-1B932	2	68	2	0	2	5	8	0	210	0	465	2	0	410	0	5	399	0	461
GTEX-1EX96	3	68	4	0	0	7	12	1	144	3	338	1	0	282	0	0	266	2	349
GTEX-14DAQ	4	335	9	2	0	7	13	3	310	10	928	1	0	767	0	5	757	1	884
GTEX-ZEX8	1	29	0	0	0	5	6	1	134	2	275	0	0	268	0	1	259	3	301
GTEX-WL46	1	87	3	0	0	7	1	3	131	1	380	0	0	393	0	5	326	1	501
GTEX-1GF9V	3	124	2	0	0	5	14	2	168	4	348	1	0	337	0	2	316	1	365
GTEX-1RAZQ	0	88	6	0	0	4	16	0	74	0	269	4	0	272	0	3	258	2	333
GTEX-12WSN	2	35	0	0	0	0	5	0	50	0	109	0	0	117	0	0	95	0	129
GTEX-RUSQ	0	0	0	0	0	0	0	0	2	0	3	0	0	5	0	0	1	0	3
GTEX-1JKYR	0	98	0	0	0	4	5	0	141	0	320	5	0	314	0	2	269	3	328
GTEX-14BIM	0	44	0	1	0	1	3	0	74	0	154	0	0	138	0	1	145	0	174
GTEX-Y5V6	0	43	2	0	0	1	0	0	63	1	135	0	0	137	0	0	130	0	140
GTEX-PW2O	2	36	0	0	0	1	2	0	27	1	111	0	0	72	0	0	76	1	98
GTEX-XAJ8	0	26	0	0	0	0	2	0	36	0	103	4	0	92	0	1	71	1	124
GTEX-ZF29	6	75	1	0	0	5	4	0	150	0	283	5	0	280	0	0	259	0	293
GTEX-15UKP	0	20	0	0	0	2	4	1	25	1	98	0	0	81	0	1	75	0	90
GTEX-17F97	3	63	1	0	0	4	4	1	98	0	284	1	0	215	0	2	233	1	305
GTEX-13NZB	0	51	5	0	0	1	6	0	72	1	193	0	0	153	0	1	155	0	189
GTEX-PSDG	0	40	1	0	0	1	1	0	47	0	110	0	0	104	0	0	120	1	141
GTEX-17HHY	1	184	2	0	0	1	8	4	169	5	488	3	0	430	0	1	442	0	514
GTEX-OXRN	4	26	0	1	0	4	1	0	62	0	122	0	0	109	0	0	126	1	154
GTEX-1QP28	1	68	1	0	0	0	3	0	77	0	226	0	0	201	0	0	195	1	247
GTEX-13OW7	1	126	4	0	0	2	7	2	161	2	380	2	0	329	0	4	300	0	396
