individual	chr4:94573393:94575616:cluster17876	chr4:94573393:94575943:cluster17876	chr4:94573393:94579521:cluster17876	chr4:94573393:94582717:cluster17876	chr4:94573393:94585565:cluster17876	chr4:94576034:94579521:cluster17876	chr4:94576034:94582717:cluster17876	chr4:94576034:94584986:cluster17876	chr4:94576034:94585565:cluster17876	chr4:94579537:94582717:cluster17876	chr4:94579537:94584986:cluster17876	chr4:94579569:94582717:cluster17876	chr4:94582731:94584041:cluster17876	chr4:94582731:94584986:cluster17876	chr4:94584131:94584986:cluster17876	chr4:94585003:94585565:cluster17876	chr4:94585003:94585574:cluster17876	chr4:94585003:94585625:cluster17876
GTEX-Y5V5	138	905	1241	0	1	29	69	1338	23	1189	138	5	5	1344	1	2986	0	3
GTEX-13JVG	50	332	303	3	0	22	69	490	11	348	7	3	1	420	5	1062	0	1
GTEX-1CB4G	53	736	1114	0	1	50	68	1034	10	1144	63	16	2	1293	5	2452	0	6
GTEX-P78B	30	263	523	3	2	19	129	249	3	572	2	2	0	736	0	929	1	4
GTEX-ZAB5	159	648	898	4	2	29	404	754	16	977	14	8	0	1393	3	2176	2	7
GTEX-15SHU	103	1097	2386	1	2	71	97	1358	9	2556	115	13	13	2851	13	4633	0	6
GTEX-17MFQ	28	183	411	2	0	18	29	235	5	415	24	0	1	497	1	702	0	0
GTEX-TMZS	15	134	386	0	0	9	25	189	2	406	3	3	0	479	0	711	0	1
GTEX-11DXX	126	376	801	2	0	24	178	489	17	823	18	4	0	1075	0	1578	0	5
GTEX-139T6	86	380	626	1	1	48	142	514	6	672	19	13	0	871	2	1462	0	6
GTEX-12ZZZ	27	242	605	0	0	28	12	334	3	622	45	3	0	658	0	1300	0	3
GTEX-13FTX	128	502	599	1	0	22	223	656	12	642	10	4	0	890	1	1530	0	3
GTEX-14DAR	20	252	700	0	0	12	53	322	0	712	10	9	0	816	0	1204	0	6
GTEX-15UF6	49	256	296	0	0	11	26	393	7	332	19	0	1	412	2	872	0	3
GTEX-RWS6	85	572	1153	0	0	40	18	772	6	1071	150	11	0	1207	0	2067	1	2
GTEX-1I6K7	101	596	1231	0	0	26	121	780	10	1204	76	17	0	1441	1	2377	0	2
GTEX-131XW	61	392	642	1	0	20	65	648	5	662	61	12	0	783	1	1562	0	6
GTEX-113JC	18	314	652	0	0	20	29	431	10	664	36	8	0	774	0	1398	0	4
GTEX-P4PP	43	91	138	2	0	10	37	161	8	154	8	1	0	200	1	430	0	3
GTEX-1PPGY	98	1177	1841	3	2	43	124	1335	10	1791	128	22	2	2043	7	3666	0	7
GTEX-13CF2	32	693	733	1	1	30	49	897	12	752	21	0	0	833	1	1846	2	9
GTEX-ZXG5	67	276	676	0	0	19	126	368	8	739	5	8	4	944	2	1395	1	3
GTEX-PWN1	36	174	400	0	0	9	38	257	4	427	12	3	0	494	0	755	0	1
GTEX-1OFPY	64	267	530	3	0	10	75	345	14	512	26	3	1	658	0	1005	0	5
GTEX-1F75B	85	451	538	3	2	24	106	637	9	582	23	5	2	717	0	1464	2	1
GTEX-131YS	41	439	1370	1	1	68	39	612	4	1427	81	13	0	1557	2	2605	0	6
GTEX-14PJN	38	502	470	8	1	13	104	634	7	468	11	7	0	609	0	1256	0	0
GTEX-QV31	55	292	382	0	0	4	28	421	9	356	20	3	0	448	0	896	0	1
GTEX-1B933	32	383	1116	0	0	35	23	442	14	1141	73	5	0	1226	0	1892	0	4
GTEX-11VI4	99	509	816	2	2	26	92	767	5	848	61	7	1	990	0	1909	0	4
GTEX-XQ3S	36	363	768	0	0	38	28	491	5	783	34	5	0	934	0	1626	0	9
GTEX-1GMR3	78	505	874	0	1	28	28	692	6	840	125	7	0	983	0	1979	0	7
GTEX-1C6WA	73	620	1088	5	0	58	66	765	18	1172	46	15	3	1358	4	2564	0	4
GTEX-1JKYN	25	182	369	3	0	15	63	157	1	365	2	4	0	483	0	619	0	2
GTEX-18A7B	67	647	1079	0	0	22	41	879	28	1119	66	9	1	1321	2	2371	0	11
GTEX-183FY	84	476	400	1	1	23	104	688	6	443	10	11	0	609	0	1250	0	0
GTEX-145LU	26	388	1069	0	0	19	32	423	6	1086	42	7	0	1212	0	1824	0	2
GTEX-111FC	19	228	694	0	0	31	16	322	4	722	26	4	0	767	0	1274	1	2
GTEX-1LNCM	26	344	541	0	0	19	23	354	2	560	17	1	0	626	1	1085	0	2
GTEX-1KD5A	124	951	1631	1	1	63	92	1006	10	1586	95	7	0	1792	7	3098	0	5
GTEX-1LSNL	40	547	696	0	0	18	27	654	6	728	54	10	2	831	4	1824	1	2
GTEX-1S83E	219	1057	1101	3	0	34	314	1265	6	1143	33	11	0	1585	2	2958	1	6
GTEX-UTHO	90	465	525	0	0	43	79	542	5	537	7	8	2	639	2	1263	0	3
GTEX-ZDYS	44	409	581	2	0	21	26	597	13	522	61	7	0	607	1	1242	0	2
GTEX-18A6Q	66	879	1412	2	1	21	79	1008	8	1373	111	9	1	1576	0	2692	1	5
GTEX-1L5NE	38	425	1022	1	0	27	62	451	8	990	32	5	0	1160	0	1637	0	3
GTEX-1I4MK	103	340	991	5	0	25	208	402	11	1041	3	11	3	1392	3	1813	0	5
GTEX-11EM3	115	370	591	4	1	18	139	536	12	610	10	6	0	808	0	1384	0	3
GTEX-131XG	25	277	698	4	0	34	47	364	9	721	39	12	1	863	0	1298	0	1
GTEX-13FTY	71	534	858	0	2	61	24	787	23	807	129	1	2	801	0	2110	0	4
GTEX-16NPX	81	550	627	1	1	24	49	774	5	656	35	2	1	762	5	1618	1	4
GTEX-15ETS	141	838	1072	4	0	28	179	1028	9	1132	24	11	0	1395	2	2401	0	7
GTEX-1212Z	74	591	1579	2	0	35	71	699	5	1631	17	8	3	1796	8	2722	1	6
GTEX-1F5PL	60	561	1094	2	0	42	38	803	12	1044	177	12	0	1169	2	2203	0	8
GTEX-1GPI7	175	798	1180	1	1	53	367	794	2	1217	36	9	0	1716	1	2618	0	11
GTEX-1GN1W	88	453	717	1	1	18	130	593	13	758	34	3	0	963	0	1610	0	6
GTEX-1RAZR	53	643	827	0	0	16	137	588	13	902	12	3	1	1154	0	1719	0	7
GTEX-1S82P	79	463	534	0	1	29	47	556	5	553	23	9	3	646	2	1210	0	5
GTEX-OHPL	69	498	544	0	0	15	72	740	14	551	33	3	0	668	1	1466	0	4
GTEX-12C56	184	975	934	3	1	13	283	1548	18	960	35	8	0	1312	0	3021	1	7
GTEX-1211K	66	424	697	0	0	36	52	591	7	718	63	10	0	840	0	1533	1	4
GTEX-TMMY	231	474	1140	3	2	47	331	571	15	1243	16	7	0	1664	7	2315	0	2
GTEX-1N2DW	103	638	1411	0	0	32	20	695	8	1403	70	2	2	1472	8	2561	0	2
GTEX-PLZ5	58	228	466	0	0	17	103	292	2	491	6	5	0	634	1	962	0	0
GTEX-13O3O	63	582	1741	0	0	36	123	818	4	1900	36	15	1	2253	1	3175	0	9
GTEX-SN8G	103	790	1141	5	1	16	162	1049	4	1080	88	12	0	1296	5	2537	0	15
GTEX-18D9A	100	549	684	0	2	25	191	665	6	712	7	3	0	985	0	1565	0	5
GTEX-U8T8	67	548	506	0	1	10	42	722	29	492	44	3	0	600	0	1381	0	3
GTEX-T5JC	63	419	1114	0	0	55	63	486	10	1117	17	10	6	1256	3	2105	1	5
GTEX-ZF2S	73	664	903	1	0	43	124	926	16	964	31	4	0	1188	0	2276	0	4
GTEX-WEY5	42	537	1069	2	0	37	209	458	0	1083	8	13	0	1416	3	2006	0	5
GTEX-14BMU	62	331	565	0	0	26	220	324	8	619	11	1	3	885	0	1235	0	7
GTEX-1QP9N	77	698	849	1	0	40	171	699	4	842	15	2	0	1054	0	1818	1	5
GTEX-11ZUS	33	436	1068	0	0	39	21	655	5	1077	95	4	0	1120	2	1988	2	4
GTEX-1B97J	145	1048	900	4	1	36	68	1334	13	893	67	11	0	1100	0	2461	1	13
GTEX-P44G	33	307	606	3	0	14	17	393	8	600	59	8	1	669	1	1126	0	0
GTEX-14LZ3	48	639	701	1	3	27	73	910	26	768	28	1	2	861	2	1943	0	4
GTEX-13O3Q	24	311	768	0	0	25	18	424	1	819	19	4	0	905	1	1431	0	2
GTEX-139UW	91	810	1052	1	0	29	97	1251	9	1130	53	16	3	1360	3	2897	0	8
GTEX-146FQ	99	411	816	0	0	18	142	586	19	884	16	4	4	1090	2	1772	0	11
GTEX-XGQ4	79	364	551	0	0	19	52	563	10	533	30	4	0	656	0	1297	0	3
GTEX-RNOR	33	638	1005	0	0	61	13	624	11	1015	51	3	2	1032	2	2078	0	1
GTEX-ZDTS	62	662	882	4	0	20	54	903	4	866	72	16	1	1025	2	2187	0	1
GTEX-R3RS	71	804	1482	1	0	34	69	908	7	1433	75	8	0	1609	3	2624	0	7
GTEX-QEG5	114	435	872	1	1	31	66	647	14	901	62	12	2	1067	5	1829	0	5
GTEX-17HII	153	528	588	10	0	18	131	625	3	537	45	14	0	783	0	1486	0	5
GTEX-1E1VI	84	718	709	0	0	22	67	934	28	700	73	0	0	846	0	1877	1	2
GTEX-11ZVC	92	675	1132	0	0	17	51	998	14	1022	134	10	3	1125	5	2431	0	10
GTEX-1339X	33	228	414	0	0	17	28	353	6	465	20	2	0	528	0	957	0	1
GTEX-ZZ64	140	288	635	4	0	24	175	361	19	679	22	3	0	941	0	1376	1	6
GTEX-17HGU	86	502	676	1	0	8	84	562	11	629	36	7	0	778	0	1388	2	5
GTEX-1JMQI	76	395	444	1	1	25	101	454	11	479	19	3	2	583	4	1330	0	2
GTEX-11UD2	92	547	768	1	0	41	32	723	9	790	72	9	0	865	0	2093	0	3
GTEX-1KWVE	60	956	1459	0	1	54	116	972	4	1437	61	17	5	1615	2	2725	0	5
GTEX-1CB4F	16	237	396	1	0	4	90	224	6	395	0	3	0	521	0	739	0	1
GTEX-ZF3C	79	477	592	3	0	14	135	611	9	613	27	6	3	766	7	1572	0	4
GTEX-PWCY	56	523	1129	3	0	50	177	530	4	1178	21	12	3	1483	0	2099	2	1
GTEX-Y111	48	863	1267	0	0	35	64	931	12	1268	53	8	0	1443	2	2571	0	7
GTEX-14BIL	36	507	1504	0	1	68	129	540	5	1612	28	8	17	1790	19	2659	0	5
GTEX-18A67	235	535	821	0	0	47	239	867	26	868	42	6	0	1213	0	2143	0	8
GTEX-1GMRU	150	1097	1243	2	2	46	34	1376	23	1194	157	16	4	1338	4	3213	0	5
GTEX-YEC3	121	800	639	0	2	11	216	1073	11	675	41	6	0	970	4	2112	0	6
GTEX-Y3I4	93	416	464	1	1	12	94	656	8	476	26	7	0	646	0	1430	0	1
GTEX-S32W	89	697	1311	1	3	27	43	728	4	1259	104	20	0	1438	0	2268	0	20
GTEX-1R9PM	77	200	329	2	1	35	121	192	5	362	3	2	2	519	0	748	1	0
GTEX-1192X	77	340	427	0	0	30	33	566	1	463	20	11	0	533	0	1119	0	1
GTEX-15D79	102	895	1294	0	2	22	37	1372	6	1166	173	4	0	1296	2	2939	1	7
GTEX-1EU9M	71	653	1332	0	1	63	44	898	17	1398	113	4	0	1565	6	2846	0	9
GTEX-T2IS	54	751	1853	0	0	59	44	955	14	1931	70	17	2	1978	2	3009	0	22
GTEX-145MO	146	606	850	6	1	32	89	885	12	852	32	12	0	985	1	1947	0	8
GTEX-WYVS	79	400	880	2	0	40	125	494	0	940	9	6	5	1104	2	1937	0	4
GTEX-13N1W	73	513	792	8	1	18	153	610	11	830	10	10	7	1052	5	1755	0	7
GTEX-16MT8	147	504	870	2	1	28	90	671	2	856	65	14	4	989	6	1849	1	3
GTEX-111VG	109	787	1373	3	0	33	114	1271	6	1402	57	4	0	1674	2	2991	0	10
GTEX-1F6IF	51	632	1110	4	1	26	45	761	10	1071	111	7	1	1218	0	2352	0	14
GTEX-Q2AG	16	122	247	0	0	15	13	166	3	263	7	0	0	256	3	483	0	0
GTEX-1R9K4	78	538	1701	0	2	39	22	784	9	1572	166	2	0	1794	0	2869	0	8
GTEX-15CHQ	51	302	547	3	1	7	80	371	13	589	14	9	0	710	0	1206	0	3
GTEX-11EI6	76	363	401	2	0	12	170	439	4	430	12	1	0	601	1	1117	1	5
GTEX-17KNJ	37	369	351	0	0	12	33	524	6	369	22	1	1	428	3	1079	1	2
GTEX-1A8FM	39	424	1154	4	1	47	76	530	7	1286	20	13	3	1496	0	2233	0	11
GTEX-1ICLZ	50	69	192	1	2	6	51	97	18	205	0	0	0	279	1	469	0	0
GTEX-1M5QR	69	969	911	0	3	21	209	1030	0	936	39	2	3	1231	4	2286	1	4
GTEX-V955	142	1020	957	0	0	26	147	1140	24	926	94	11	0	1044	3	2286	0	6
GTEX-11LCK	71	426	601	0	0	19	58	580	4	636	52	7	0	768	0	1462	0	3
GTEX-OXRP	46	277	534	1	0	11	22	409	1	505	55	4	1	570	0	1051	0	1
GTEX-1S82Y	95	694	1390	5	0	40	213	562	8	1518	18	8	1	1888	5	2401	0	13
GTEX-1QAET	67	500	546	7	0	23	183	401	7	554	4	4	1	785	5	1305	0	2
GTEX-15CHC	52	405	430	0	0	21	210	404	3	474	1	4	0	713	0	1221	1	7
GTEX-13PVR	98	544	569	0	0	16	87	746	4	580	30	2	1	691	1	1452	0	1
GTEX-1399U	95	455	591	0	1	28	117	618	10	582	33	6	0	743	0	1436	0	3
GTEX-YB5K	51	504	1357	1	2	54	30	717	8	1369	85	7	1	1530	2	2366	0	9
GTEX-1PDJ9	125	778	1027	1	1	55	153	817	16	1094	20	4	0	1334	2	2203	1	10
GTEX-QVUS	41	196	360	4	0	23	16	278	7	424	4	0	5	408	15	1198	0	4
GTEX-13SLW	21	171	207	0	2	11	16	244	8	213	13	4	0	242	0	609	0	3
GTEX-16GPK	69	483	860	5	0	29	36	618	6	866	80	7	0	953	3	1751	1	3
GTEX-1PIEJ	127	557	854	0	0	21	199	602	1	819	19	10	0	1066	2	1717	1	2
GTEX-132Q8	32	101	295	0	0	26	29	110	5	377	0	3	2	394	2	716	1	2
GTEX-11TT1	65	252	368	4	0	11	50	393	1	370	30	3	0	443	0	873	0	2
GTEX-WOFL	43	150	244	2	0	11	49	147	28	263	5	1	0	295	6	713	0	3
GTEX-1GZ4I	148	900	1581	4	2	27	321	912	34	1645	6	8	0	2111	0	3395	0	10
GTEX-13OW8	30	511	685	1	0	14	43	674	4	663	57	11	0	764	0	1571	0	2
GTEX-1QP2A	68	652	956	3	0	17	90	643	9	961	31	9	0	1127	2	1782	0	0
GTEX-145MH	30	572	1037	0	0	35	65	750	5	1081	50	18	1	1264	0	2071	0	8
GTEX-16XZY	44	313	313	1	0	7	28	350	4	313	19	2	0	378	1	779	0	0
GTEX-11GSP	31	343	995	3	0	45	65	388	5	1052	10	5	1	1207	4	1858	0	6
GTEX-12WSG	47	262	241	5	0	9	111	307	0	264	5	6	0	429	0	740	0	4
GTEX-144GM	117	191	505	1	0	20	152	256	7	527	6	10	0	751	0	1052	0	6
GTEX-1LVAM	66	319	830	0	0	55	40	372	3	867	8	5	0	1004	4	1371	0	3
GTEX-1R9PO	66	668	685	5	0	16	99	689	5	688	27	17	0	880	1	1625	0	6
GTEX-X5EB	37	391	599	2	0	12	63	422	0	599	68	7	0	723	1	1314	0	1
GTEX-16XZZ	58	482	855	5	2	11	226	469	12	969	4	3	1	1262	3	1857	0	5
GTEX-14PII	64	425	766	1	0	32	74	573	14	786	39	7	0	927	2	1697	0	1
GTEX-15ER7	134	1902	2991	4	1	116	189	2221	17	3153	128	25	4	3681	17	6088	0	9
GTEX-T8EM	197	812	1725	1	0	30	231	854	12	1789	12	9	1	2134	0	3016	0	1
GTEX-13OW6	21	345	710	0	0	10	14	546	5	653	78	4	0	746	0	1417	0	3
GTEX-17HHE	113	410	814	3	0	33	154	459	1	896	7	17	1	1190	3	1604	0	4
GTEX-ZPCL	90	608	964	0	0	26	53	856	10	971	72	7	1	1120	1	2096	0	3
GTEX-RWSA	45	807	921	0	3	27	36	875	10	823	123	1	0	900	0	1882	0	2
GTEX-U3ZM	130	651	796	3	0	11	158	803	15	803	19	2	0	1030	1	1826	1	1
GTEX-14PN4	14	155	372	1	0	8	47	214	9	403	5	1	1	486	3	766	0	1
GTEX-WFON	60	480	1053	1	0	35	223	473	11	1096	8	7	1	1378	2	1934	0	6
GTEX-T6MN	15	217	582	0	0	12	10	298	2	563	57	2	0	638	1	1045	0	5
GTEX-15SHV	119	510	1144	1	1	39	203	576	12	1199	11	9	3	1485	13	2161	0	5
GTEX-13PLJ	27	188	351	1	0	23	19	241	6	358	31	6	0	439	2	921	0	1
GTEX-18465	52	528	1462	0	1	39	88	761	7	1533	50	14	1	1834	4	2759	1	4
GTEX-1128S	55	288	798	1	0	28	59	428	3	846	20	5	0	967	4	1521	0	1
GTEX-1QP66	123	868	716	3	0	31	84	1036	20	744	20	5	6	802	5	2096	0	7
GTEX-1JN1M	66	427	903	2	0	16	54	555	8	901	48	31	0	1089	0	1791	0	6
GTEX-QVJO	11	144	177	0	0	12	70	146	5	207	5	0	0	268	0	443	0	0
GTEX-147JS	63	397	1169	0	1	55	96	512	6	1230	16	6	8	1375	10	2224	2	6
GTEX-QCQG	164	993	1006	5	0	31	107	1186	5	962	58	17	0	1129	5	2333	1	4
GTEX-R55C	30	265	459	0	0	19	20	337	11	446	33	1	0	523	0	895	0	1
GTEX-14PJ6	51	482	455	0	2	14	98	622	11	458	14	3	0	631	0	1277	1	3
GTEX-117XS	63	592	1096	3	0	50	59	819	10	1117	65	9	0	1313	0	2411	1	8
GTEX-1B8KZ	45	827	683	0	2	30	53	879	13	684	39	6	2	751	1	1952	0	4
GTEX-139YR	43	294	402	0	0	21	49	397	4	395	14	5	0	488	0	892	0	4
GTEX-15SKB	63	545	516	3	2	34	81	638	17	566	9	7	4	641	4	1346	0	0
GTEX-WY7C	104	640	870	2	3	40	101	785	12	876	55	13	0	1067	0	1880	0	12
GTEX-14LLW	250	356	701	1	0	36	201	650	15	775	11	5	2	952	5	1782	0	7
GTEX-VUSG	167	332	706	3	2	50	80	462	27	777	9	7	0	968	0	1384	0	5
GTEX-12KS4	24	215	667	0	1	28	61	240	3	699	5	0	3	755	1	1233	0	3
GTEX-1GPI6	52	399	532	0	0	25	49	564	5	539	35	3	0	653	5	1401	0	5
GTEX-Z93S	58	895	1079	1	2	36	38	1400	10	1033	128	21	2	1238	0	2795	0	14
GTEX-X4EO	99	749	1515	0	0	66	49	1116	9	1425	186	30	1	1576	0	3040	0	10
GTEX-111YS	134	485	580	4	0	27	204	627	41	643	11	7	1	877	0	1555	0	1
GTEX-13111	53	432	600	1	0	18	31	659	3	588	74	7	0	704	0	1417	0	4
GTEX-14H4A	36	297	742	0	0	22	37	440	6	728	57	8	0	862	1	1416	2	3
GTEX-1CAMQ	72	640	746	1	0	24	91	1116	6	746	30	8	0	902	7	2183	0	5
GTEX-13QJ3	57	454	1199	8	0	48	185	475	15	1289	12	18	4	1657	8	2223	0	4
GTEX-11XUK	39	161	532	1	2	25	47	195	7	567	32	7	0	710	0	960	0	5
GTEX-REY6	132	642	902	0	0	16	90	747	1	851	138	14	0	1056	2	2041	0	4
GTEX-1JJ6O	126	563	1042	1	0	25	303	541	6	1045	2	5	3	1408	6	2045	0	6
GTEX-Y8LW	88	511	984	2	0	35	43	679	6	970	72	8	0	1074	2	2134	0	5
GTEX-12ZZX	24	357	1120	0	0	29	40	513	2	1101	77	16	1	1230	1	1881	0	5
GTEX-YECK	46	565	994	2	2	12	78	700	8	970	45	2	2	1175	1	2069	2	8
GTEX-1F88F	27	364	853	0	3	36	17	437	2	881	46	3	2	1009	4	1621	1	7
GTEX-OIZF	72	472	710	1	0	12	133	622	9	756	3	3	2	958	2	1502	0	3
GTEX-1GN2E	18	440	705	0	1	30	41	458	7	728	55	4	0	838	1	1410	0	4
GTEX-14E6E	134	368	726	1	0	45	102	532	10	752	41	13	2	901	4	1533	0	7
GTEX-13D11	51	156	493	0	1	29	130	214	5	540	5	1	0	716	1	962	0	1
GTEX-15DZA	220	1029	1037	7	0	59	320	1306	11	1027	45	9	2	1445	0	2775	0	10
GTEX-17EVP	24	744	1102	0	0	26	71	896	7	1128	61	10	1	1359	0	2351	1	9
GTEX-147GR	44	410	521	0	0	17	48	580	4	531	36	5	0	590	1	1367	0	4
GTEX-13CF3	42	213	559	0	1	37	18	320	8	612	18	10	0	707	0	1090	0	3
GTEX-1F48J	96	427	542	4	3	44	55	575	11	600	25	9	9	688	11	1449	0	8
GTEX-1R9K5	71	294	444	1	1	12	51	285	23	448	18	4	0	550	0	836	0	5
GTEX-12WSF	71	345	915	1	0	34	134	352	5	946	8	9	3	1125	1	1557	0	3
GTEX-1R9JW	75	614	510	2	0	21	56	690	5	523	22	1	4	600	9	1375	0	4
GTEX-15DCD	95	1083	978	2	0	28	134	1335	20	1044	63	11	3	1222	1	2781	1	5
GTEX-16NPV	41	168	221	2	1	4	16	252	3	212	26	0	0	225	2	696	0	2
GTEX-11O72	55	274	364	1	2	37	144	289	9	436	8	2	5	514	9	1088	0	0
GTEX-Q734	76	555	523	0	0	31	45	741	13	581	26	2	0	622	5	1434	1	4
GTEX-1A8G7	30	405	684	0	0	37	28	534	8	698	41	2	3	777	3	1473	0	2
GTEX-1B932	76	720	813	1	1	29	31	919	6	799	39	4	2	878	0	1841	0	4
GTEX-QDVJ	32	395	361	1	0	11	104	504	9	388	8	0	0	505	0	1005	0	2
GTEX-1S82U	107	1614	2004	1	0	55	177	1444	43	2099	50	10	0	2612	2	3810	0	7
GTEX-WL46	70	887	980	1	5	41	31	1072	9	946	123	3	0	972	5	2635	1	5
GTEX-1GF9V	129	866	890	2	0	32	70	1043	19	861	53	2	3	978	7	2352	0	3
GTEX-1RAZQ	52	545	920	4	0	44	203	404	6	960	4	14	0	1263	0	1565	0	6
GTEX-12WSN	108	540	707	3	0	26	115	778	13	786	7	2	2	974	3	1765	0	8
GTEX-13FHO	141	714	644	0	0	32	80	1002	14	688	18	3	3	735	7	1999	0	8
GTEX-RUSQ	46	113	165	0	0	1	52	184	7	191	2	0	1	236	1	436	0	1
GTEX-1ICLY	12	154	263	0	0	6	64	126	9	270	0	0	2	350	1	552	0	2
GTEX-YFC4	14	617	946	0	1	57	36	734	3	963	49	0	4	998	1	2126	1	6
GTEX-1477Z	45	128	348	1	0	23	94	157	5	397	5	4	1	496	5	808	0	2
GTEX-14BIM	128	599	624	0	1	56	92	760	15	635	51	1	1	706	2	1829	0	3
GTEX-1GTWX	97	672	1105	2	0	24	59	827	6	1021	123	22	1	1249	2	2348	0	5
GTEX-VJWN	46	550	712	0	0	17	50	713	0	629	55	5	0	756	3	1723	0	0
GTEX-17F97	32	256	692	0	2	44	15	324	3	707	45	5	3	689	7	1367	0	4
GTEX-13NZB	21	304	610	1	0	33	112	292	4	640	10	3	0	789	0	1123	0	3
GTEX-PSDG	45	553	443	6	1	12	104	716	16	454	9	6	5	614	2	1346	0	5
GTEX-ZVE2	42	201	239	2	0	13	52	232	7	290	4	3	0	357	1	686	0	1
GTEX-17HHY	36	419	770	0	0	13	34	539	2	739	55	4	0	858	0	1466	0	2
GTEX-Z9EW	84	305	484	0	0	20	40	512	12	467	59	2	0	550	0	1152	0	1
GTEX-1QP67	61	497	1002	2	0	45	81	510	7	973	33	0	4	1116	0	1748	0	6
GTEX-ZVT3	37	537	1064	0	0	33	38	788	10	1065	68	1	1	1175	2	2184	1	7
GTEX-S95S	16	265	556	0	0	11	24	319	1	592	13	2	0	658	0	1066	0	3
GTEX-1QP28	48	423	715	0	0	44	56	393	3	709	19	6	0	812	4	1271	0	2
GTEX-13OW7	102	759	940	4	1	40	60	1094	8	901	117	11	3	1016	6	2581	1	4
