individual	chr11:63998687:63998838:cluster65992	chr11:63998687:63998955:cluster65992	chr11:63998872:63998955:cluster65992	chr11:63998872:63999331:cluster65992	chr11:63999000:63999331:cluster65992	chr11:63999036:63999331:cluster65992	chr11:63999076:63999331:cluster65992	chr11:63999196:63999331:cluster65992
GTEX-1R9PO	479	9	451	4	21	646	7	9
GTEX-16XZZ	396	3	415	2	13	542	7	7
GTEX-14PII	354	6	345	0	7	378	2	9
GTEX-17HHE	355	5	343	0	20	407	9	8
GTEX-ZPCL	322	2	327	3	11	366	2	8
GTEX-WOFM	678	15	646	4	28	684	13	12
GTEX-1C4CL	389	10	396	2	23	489	5	4
GTEX-U3ZM	256	1	239	2	12	300	2	6
GTEX-13VXU	579	7	516	1	15	597	3	10
GTEX-T6MN	138	4	129	0	5	175	1	2
GTEX-13PLJ	372	4	343	4	10	382	7	10
GTEX-18465	608	9	606	1	22	813	3	13
GTEX-1128S	501	5	445	2	14	491	3	9
GTEX-1QP66	627	14	619	1	25	812	10	17
GTEX-QVJO	93	3	105	1	3	112	1	3
GTEX-147JS	360	2	345	4	12	404	7	11
GTEX-144GL	345	5	337	2	11	339	5	8
GTEX-R55C	307	2	296	0	10	334	4	3
GTEX-14PJM	394	7	372	1	9	480	5	5
GTEX-117XS	460	7	434	0	10	548	5	8
GTEX-139YR	435	6	425	3	18	482	7	13
GTEX-15SKB	478	4	465	2	14	510	3	12
GTEX-1BAJH	454	3	433	3	18	507	8	9
GTEX-11ONC	323	6	336	0	8	388	1	8
GTEX-14LLW	561	9	518	2	18	662	6	17
GTEX-11ZTT	387	6	381	2	16	435	3	6
GTEX-12WSL	254	3	239	1	8	253	0	6
GTEX-12KS4	347	11	348	2	14	429	4	8
GTEX-11I78	326	4	325	1	8	373	6	9
GTEX-1GMR8	405	7	385	2	13	532	2	7
GTEX-Z93S	528	5	458	0	12	607	7	9
GTEX-111YS	292	2	291	0	8	373	2	9
GTEX-14H4A	306	9	282	0	14	344	3	4
GTEX-139TS	684	11	671	3	15	785	3	11
GTEX-14PK6	375	3	366	2	14	452	2	12
GTEX-144FL	368	3	355	4	18	414	2	9
GTEX-1B8L1	277	1	275	0	10	335	3	5
GTEX-13QJ3	490	3	485	3	17	568	11	15
GTEX-1PIIG	626	4	595	3	19	715	5	8
GTEX-ZVE1	390	5	370	4	10	453	5	13
GTEX-Y8LW	382	3	352	0	8	437	9	11
GTEX-13OVG	313	5	313	1	6	328	4	6
GTEX-YECK	983	6	959	3	26	1205	10	24
GTEX-WHSE	517	8	442	0	16	520	4	10
GTEX-OIZF	329	2	340	2	11	370	1	4
GTEX-14XAO	210	0	192	2	6	223	3	3
GTEX-1GN2E	491	6	478	6	15	591	6	4
GTEX-ZZPU	329	3	305	4	13	403	5	10
GTEX-14E6E	452	5	440	2	12	523	6	10
GTEX-13D11	280	4	273	1	13	298	5	4
GTEX-ZGAY	557	11	512	0	21	656	7	11
GTEX-17EVP	466	6	460	2	19	571	8	7
GTEX-147GR	940	10	869	2	22	1094	9	7
GTEX-13CF3	351	4	362	3	9	400	6	5
GTEX-1F48J	460	10	433	3	10	580	6	16
GTEX-ZVT4	457	4	414	0	17	469	8	14
GTEX-12WSF	660	8	720	2	29	755	8	11
GTEX-1399S	422	3	380	4	17	472	9	4
GTEX-11O72	463	8	421	1	19	474	2	12
GTEX-P4QT	473	4	489	2	24	585	9	14
GTEX-1A8G7	282	7	290	2	5	346	3	8
GTEX-1B932	400	5	411	3	10	482	3	7
GTEX-1EX96	295	8	297	0	8	316	2	6
GTEX-14DAQ	630	12	611	5	22	807	6	6
GTEX-ZEX8	576	5	568	0	24	720	13	10
GTEX-1RAZQ	668	11	670	2	28	767	13	10
GTEX-12WSN	536	7	516	2	13	590	5	9
GTEX-13FHO	415	4	391	1	13	426	5	10
GTEX-RUSQ	66	1	64	0	2	67	0	1
GTEX-17F98	229	3	239	0	13	285	6	2
GTEX-111CU	321	3	320	0	13	343	7	11
GTEX-PW2O	131	3	128	0	6	163	1	1
GTEX-15UKP	354	3	360	2	16	471	4	4
GTEX-17F97	390	1	389	3	15	419	2	10
GTEX-13NZB	521	7	519	2	26	571	2	11
GTEX-PSDG	372	5	330	1	12	401	3	6
GTEX-13PVQ	346	6	332	5	15	385	5	6
GTEX-17HHY	240	3	185	1	10	256	3	3
GTEX-11GS4	344	4	345	1	9	407	8	8
GTEX-1QP67	413	6	386	2	18	526	8	7
GTEX-ZVT3	388	7	370	0	8	408	3	5
GTEX-OXRN	658	13	612	3	12	709	10	13
GTEX-S95S	261	2	221	0	7	286	2	3
GTEX-13OW7	488	5	497	3	18	545	7	4
