individual	chr12:122334705:122335928:cluster1992	chr12:122334705:122336632:cluster1992	chr12:122334705:122340753:cluster1992	chr12:122334705:122340981:cluster1992	chr12:122336748:122340753:cluster1992	chr12:122336748:122340981:cluster1992	chr12:122340908:122340981:cluster1992
GTEX-11LCK	4	285	7	1	277	0	5
GTEX-18A66	2	481	5	0	565	1	5
GTEX-1QAET	6	433	8	1	454	1	4
GTEX-15CHC	2	203	3	0	240	0	2
GTEX-13PVR	2	364	4	1	422	2	5
GTEX-1314G	5	212	3	0	248	0	2
GTEX-1PDJ9	3	437	6	0	466	0	0
GTEX-16GPK	0	153	2	0	162	1	0
GTEX-1PIEJ	9	623	4	1	647	0	8
GTEX-13112	1	210	3	0	211	0	2
GTEX-18A7A	2	192	5	0	223	0	3
GTEX-WHSB	8	600	6	0	610	2	9
GTEX-1GZ4I	0	226	5	0	246	0	3
GTEX-1PBJJ	3	485	8	1	458	0	5
GTEX-1QP2A	1	377	10	1	426	1	2
GTEX-16XZY	2	223	3	0	255	0	2
GTEX-OIZG	4	428	5	0	414	0	5
GTEX-12WSJ	2	265	4	0	276	2	0
GTEX-1A3MV	4	483	4	0	561	1	5
GTEX-1IDJE	5	541	2	0	615	3	8
GTEX-14PJ5	4	539	13	0	617	1	4
GTEX-1R9PO	5	362	5	0	383	1	2
GTEX-1K2DU	4	431	4	0	489	0	7
GTEX-14PII	2	216	1	0	216	0	3
GTEX-15ER7	6	864	9	2	983	3	3
GTEX-13OW6	0	92	1	0	112	0	1
GTEX-17HHE	4	448	9	0	505	0	10
GTEX-RWSA	0	161	3	0	175	0	0
GTEX-1R7EU	3	320	2	0	359	1	5
GTEX-U3ZM	3	497	7	0	593	1	4
GTEX-1A8G6	0	240	5	1	282	0	4
GTEX-WFON	1	461	8	2	518	0	6
GTEX-SNMC	7	698	4	0	794	0	9
GTEX-T6MN	1	61	1	0	63	0	1
GTEX-13PLJ	0	57	1	0	75	0	0
GTEX-1QP66	5	482	6	2	525	3	9
GTEX-1GZHY	1	147	1	0	139	0	2
GTEX-147JS	0	140	3	0	155	0	2
GTEX-144GL	2	153	1	0	189	1	1
GTEX-14PJ6	3	531	7	1	523	2	8
GTEX-1GF9U	1	202	4	0	201	0	2
GTEX-OXRL	3	296	6	0	339	0	2
GTEX-1445S	2	192	0	0	232	1	2
GTEX-1MA7W	10	393	5	0	423	1	6
GTEX-VUSG	1	353	4	1	394	0	2
GTEX-13QIC	1	79	1	0	94	0	2
GTEX-11ZTT	6	361	8	0	448	0	2
GTEX-12WSL	3	342	11	1	375	1	2
GTEX-12KS4	3	217	1	0	233	0	0
GTEX-11I78	7	338	8	1	358	1	3
GTEX-1GN1U	5	326	7	2	334	1	4
GTEX-14PK6	0	255	2	0	272	0	3
GTEX-1O9I2	4	212	7	0	241	1	2
GTEX-ZA64	7	327	6	1	378	1	3
GTEX-1PIIG	5	287	1	0	331	0	2
GTEX-ZVE1	3	168	3	0	183	1	2
GTEX-1JJ6O	10	456	5	0	529	0	7
GTEX-13OVK	4	326	8	1	346	1	6
GTEX-WRHU	2	260	7	0	287	1	3
GTEX-1F88F	1	124	3	0	125	0	0
GTEX-OIZF	4	461	7	1	471	0	3
GTEX-1JMQK	4	243	5	0	269	0	0
GTEX-14E6E	3	321	7	0	384	2	4
GTEX-13D11	2	333	6	0	330	1	6
GTEX-ZP4G	4	309	3	0	398	1	3
GTEX-15DZA	11	698	4	0	793	3	9
GTEX-14C39	4	402	12	1	464	2	3
GTEX-17EVP	4	195	3	0	230	0	0
GTEX-147GR	0	87	1	0	86	0	0
GTEX-11P81	4	263	4	1	256	0	5
GTEX-ZVT4	1	188	4	0	185	0	2
GTEX-1R9JW	12	638	14	0	688	1	3
GTEX-15DCD	0	206	2	0	234	0	2
GTEX-SE5C	1	405	6	0	428	0	2
GTEX-1399S	5	336	0	0	358	1	4
GTEX-1EX96	0	127	2	0	120	1	1
GTEX-TKQ2	4	432	14	0	505	1	4
GTEX-14DAQ	1	279	5	0	263	1	2
GTEX-1S82U	10	737	11	0	929	1	8
GTEX-ZEX8	5	663	12	0	730	1	4
GTEX-1RAZQ	6	638	4	0	698	3	9
GTEX-13FHO	1	136	3	0	142	0	1
GTEX-U3ZH	5	413	3	1	420	2	3
GTEX-YFC4	2	136	1	0	168	0	0
GTEX-1477Z	3	155	5	0	167	0	2
GTEX-17F98	7	479	12	0	504	1	4
GTEX-Y5V6	2	345	4	0	402	0	4
GTEX-XAJ8	3	245	1	0	235	0	3
GTEX-ZF29	9	888	15	2	883	1	12
GTEX-17F97	3	310	6	0	341	0	1
GTEX-13NZB	4	373	2	2	390	1	3
GTEX-PSDG	1	351	3	0	392	2	3
GTEX-17HHY	2	212	1	0	204	1	2
GTEX-Z9EW	3	357	4	0	355	0	1
GTEX-1QP67	1	392	8	0	428	3	2
GTEX-ZVT3	1	96	2	0	101	1	0
GTEX-1QP28	3	456	6	0	510	1	6
