individual	chr19:47757148:47780725:cluster43102	chr19:47757178:47780725:cluster43102	chr19:47778734:47780725:cluster43102	chr19:47778814:47779497:cluster43102	chr19:47778814:47779648:cluster43102	chr19:47778814:47780373:cluster43102	chr19:47778814:47780725:cluster43102	chr19:47780149:47780725:cluster43102	chr19:47780194:47780725:cluster43102	chr19:47780226:47780725:cluster43102	chr19:47780256:47780725:cluster43102	chr19:47780308:47780725:cluster43102	chr19:47780917:47781108:cluster43102	chr19:47781000:47781108:cluster43102	chr19:47781182:47781290:cluster43102	chr19:47781182:47781294:cluster43102	chr19:47781388:47784290:cluster43102	chr19:47781388:47784406:cluster43102
GTEX-14BMV	0	0	0	0	0	5	1616	4	28	5	4	5	1468	10	2535	0	2419	3
GTEX-XPT6	0	3	0	0	0	5	1998	7	26	4	5	9	2220	6	3221	5	3422	5
GTEX-U4B1	0	0	0	0	1	1	1022	6	8	2	2	4	1008	6	1550	0	1581	2
GTEX-1F75W	0	4	0	0	1	5	2835	5	41	7	3	5	2911	8	4281	6	4574	8
GTEX-146FR	1	1	0	0	0	3	1561	5	29	0	5	10	1514	9	2377	2	2281	3
GTEX-1AX9I	0	0	0	0	0	3	1927	0	23	2	4	6	2085	8	3180	0	3152	6
GTEX-1B8KE	2	0	0	0	0	6	1092	7	15	0	6	5	1124	10	1794	1	1898	10
GTEX-14JG6	0	0	0	0	0	4	1214	2	26	1	3	3	1404	5	2082	0	2190	4
GTEX-1KANA	2	0	0	0	1	3	2951	6	35	1	11	17	3169	13	4891	4	5286	7
GTEX-1RQEC	1	0	0	0	2	1	3260	8	24	5	8	10	3141	12	4925	2	5126	12
GTEX-Y5V5	3	4	0	0	0	5	1303	6	26	3	7	8	1410	13	2167	0	2218	10
GTEX-S33H	0	1	0	0	0	5	2847	5	23	9	5	5	2689	23	4197	7	4379	3
GTEX-1CB4G	0	0	0	0	0	6	2079	3	26	1	12	5	2066	9	3309	5	3102	4
GTEX-ZAB5	2	1	0	0	0	0	1241	4	23	0	5	2	1111	9	1823	0	1933	3
GTEX-1LB8K	0	1	0	0	0	2	3124	12	51	3	12	8	3032	7	4874	5	4799	7
GTEX-TMZS	1	0	0	0	0	2	881	3	11	0	0	0	839	1	1348	0	1493	3
GTEX-11DXX	1	2	0	0	0	0	1181	1	23	0	4	9	1201	2	1955	0	1963	2
GTEX-139T6	0	0	0	0	1	5	1662	2	10	0	3	3	1596	9	2518	2	2644	3
GTEX-1MJK3	0	0	0	0	0	3	1620	3	17	0	0	10	1794	9	2824	0	2866	5
GTEX-13PL6	1	3	0	0	0	2	1537	0	12	0	0	4	1517	13	2348	0	2431	3
GTEX-12ZZZ	0	2	0	0	0	2	1097	2	24	0	5	6	1327	7	1878	0	2096	4
GTEX-14DAR	1	1	0	0	0	1	1526	0	10	2	2	5	1689	5	2668	1	2760	5
GTEX-15UF6	1	3	0	0	1	1	679	2	9	0	3	2	760	5	1162	0	1131	1
GTEX-1399R	0	0	0	0	1	3	1105	2	12	0	4	0	1051	7	1671	0	1795	4
GTEX-X4XY	2	0	0	1	2	3	2151	8	38	2	10	8	2367	13	3408	6	3919	7
GTEX-15UF7	0	1	0	0	1	0	1584	0	18	0	0	1	1797	13	2747	0	2772	2
GTEX-113JC	0	0	0	0	0	0	1429	1	28	2	0	4	1373	15	2215	0	2301	2
GTEX-1PPGY	1	0	0	0	0	5	3459	14	51	11	19	8	3655	19	5508	4	5772	6
GTEX-13CF2	0	1	0	0	0	4	1757	5	22	5	3	5	1748	15	2826	0	2856	10
GTEX-13RTK	1	1	0	0	0	3	1538	3	15	3	5	8	1403	9	2347	3	2232	9
GTEX-PWN1	0	0	0	0	0	3	618	0	5	0	3	2	712	7	989	0	998	1
GTEX-1A32A	1	1	0	0	1	2	1762	5	26	0	6	7	1713	15	2671	1	2954	10
GTEX-14PJ4	0	0	0	0	0	5	1090	4	16	0	0	4	1168	5	1761	3	1733	3
GTEX-1OFPY	2	3	0	0	0	5	916	4	11	0	4	5	974	5	1474	2	1545	2
GTEX-1QP6S	0	2	0	2	1	3	4941	13	65	9	25	13	5164	19	7658	4	7927	18
GTEX-11NUK	0	0	0	0	0	3	2006	9	22	1	5	10	1989	12	3077	7	3077	9
GTEX-131YS	0	0	0	1	1	6	1820	4	24	0	3	8	1780	10	2628	2	2585	6
GTEX-14PJN	0	1	0	0	0	3	1573	6	15	2	5	7	1552	11	2394	3	2382	5
GTEX-12696	3	0	0	0	0	2	1179	0	7	4	0	3	1145	7	1784	0	1808	4
GTEX-147F4	1	0	0	1	2	4	2457	6	25	2	4	9	2356	8	4022	7	3866	11
GTEX-13W3W	0	2	0	1	0	5	1335	4	16	0	4	9	1372	7	2245	3	2186	7
GTEX-1AX9K	2	0	0	0	2	3	1444	3	21	4	3	6	1343	9	2097	1	2128	4
GTEX-1B933	0	0	0	0	0	3	2053	5	18	1	9	7	1910	16	2920	4	2941	8
GTEX-WZTO	0	1	0	0	1	3	2578	10	28	3	5	7	3104	18	4391	7	4559	4
GTEX-1GZ2Q	0	1	0	0	0	0	2107	12	25	2	4	13	2123	18	3409	1	3443	5
GTEX-1313W	0	0	0	0	1	6	3211	8	35	1	13	6	3191	15	4970	4	5132	8
GTEX-1GMR3	1	2	0	0	1	2	1994	11	25	0	4	9	1767	10	2819	0	2901	6
GTEX-XUZC	0	0	0	0	0	2	1090	2	15	3	4	7	1129	7	1668	1	1784	1
GTEX-XBEW	2	0	0	1	0	3	2356	5	31	5	9	18	2212	13	3587	9	3812	2
GTEX-145LU	0	0	0	0	0	4	2546	6	33	0	7	4	2616	13	4079	3	3902	4
GTEX-111FC	0	1	0	0	0	3	1525	7	15	5	0	8	1461	10	2284	2	2353	2
GTEX-1S83E	3	1	0	0	2	9	3527	8	54	7	13	23	4333	28	6302	9	6242	17
GTEX-ZDYS	0	0	0	0	0	8	1361	1	18	2	5	6	1526	8	2238	2	2224	3
GTEX-1GF9W	2	1	0	0	1	1	589	3	11	3	0	1	625	3	976	2	987	2
GTEX-18A6Q	0	0	0	0	1	14	2959	7	49	7	13	11	2807	23	4208	4	4537	4
GTEX-13FTZ	0	0	0	0	0	3	2211	0	39	0	12	9	2321	15	3634	0	3701	13
GTEX-1LGOU	0	1	0	0	2	1	2159	13	42	7	5	5	2272	3	3585	2	3705	7
GTEX-1L5NE	0	2	0	0	0	4	2244	7	15	2	1	8	2252	22	3195	2	3540	4
GTEX-1I4MK	0	2	0	0	0	4	1622	5	14	3	2	3	1491	17	2424	0	2332	3
GTEX-169BO	1	1	0	1	1	0	1478	0	13	1	3	4	1370	9	2218	6	2315	2
GTEX-1MCYP	2	1	0	0	0	0	1620	7	20	0	4	7	1646	13	2517	2	2647	6
GTEX-131XG	0	0	0	2	0	12	1958	4	17	5	4	9	1857	23	2963	0	2974	8
GTEX-13FTY	2	1	0	0	0	2	1777	3	20	2	8	10	1799	14	2973	0	2968	3
GTEX-15ETS	1	3	0	0	0	2	1713	6	26	1	6	14	1810	14	2830	4	2767	8
GTEX-1PPH7	5	3	0	0	2	5	2898	6	25	3	8	8	2972	31	4516	0	4849	6
GTEX-1212Z	0	0	0	1	0	5	2066	2	20	0	3	8	2135	22	3454	3	3398	10
GTEX-1GN1W	2	0	0	0	0	3	1361	0	15	1	5	5	1248	7	2037	0	1933	5
GTEX-1ICG6	0	0	0	0	1	2	1190	3	21	1	5	2	1335	9	1961	0	2082	3
GTEX-1N2DW	2	2	0	0	0	2	1382	5	16	0	9	1	1474	8	2297	0	2399	7
GTEX-PLZ5	0	0	0	0	0	0	1318	0	14	0	1	6	1356	10	1918	0	1988	1
GTEX-13O3O	0	0	0	0	0	5	1936	6	37	3	7	6	1939	3	2951	0	2945	8
GTEX-1C2JI	0	2	0	0	0	4	2335	4	14	1	9	8	2233	9	3649	0	3610	16
GTEX-1K2DA	1	5	0	0	0	7	2635	3	26	4	8	12	3084	18	4616	1	4565	11
GTEX-18D9A	0	0	0	0	0	3	1943	3	29	1	6	17	1958	9	2992	5	3233	6
GTEX-U8T8	0	0	0	0	0	5	2109	6	32	0	6	8	2250	14	3430	2	3740	4
GTEX-T5JC	0	3	0	0	0	1	3404	4	47	11	9	6	4057	16	5810	9	6194	9
GTEX-ZF2S	0	1	0	0	0	3	2196	5	26	2	0	7	2161	12	3373	4	3425	5
GTEX-ZV6S	0	4	0	0	1	4	1477	0	10	0	6	8	1526	16	2398	2	2363	6
GTEX-WEY5	1	0	0	0	1	12	4437	23	55	16	6	19	4898	27	7722	12	8303	18
GTEX-14BMU	3	3	0	0	0	0	1326	9	12	0	3	3	1327	4	2149	2	2119	7
GTEX-11ZUS	0	0	0	0	0	1	1440	8	20	5	7	5	1383	9	2259	0	2217	2
GTEX-131XF	1	0	0	0	0	2	1157	6	22	0	6	10	1200	9	1896	4	1950	4
GTEX-139UW	0	0	0	2	0	2	2667	4	25	0	3	14	2508	8	4068	7	4151	7
GTEX-13N2G	1	7	0	0	0	5	3781	8	31	5	12	10	3580	35	5623	5	5716	12
GTEX-13G51	0	0	0	0	0	1	1287	5	12	0	2	3	1269	3	2090	0	2165	7
GTEX-WYJK	2	2	0	0	0	5	2804	10	29	3	5	11	3319	10	5169	0	5438	17
GTEX-1B97I	0	0	0	1	0	0	1617	3	17	3	10	9	1503	5	2353	0	2360	4
GTEX-XOT4	0	0	0	0	0	3	1902	4	24	1	3	7	2009	12	2940	0	3209	12
GTEX-17GQL	2	0	0	0	1	10	1387	4	22	3	5	4	1369	2	2146	0	2147	4
GTEX-11GSO	0	0	0	0	0	5	1242	0	10	4	8	3	1291	3	2029	4	2026	10
GTEX-1FIGZ	1	3	0	0	0	1	1147	0	19	0	0	2	1055	13	1753	0	1773	1
GTEX-OXRK	0	3	0	0	0	3	869	2	11	2	0	2	943	11	1434	0	1476	1
GTEX-WRHK	0	5	0	1	1	1	2046	9	45	5	5	4	2153	17	3153	4	3208	12
GTEX-13FTW	0	0	0	0	1	5	1062	1	10	0	3	4	1081	5	1679	2	1861	3
GTEX-QEG5	0	2	0	1	1	5	1619	5	13	4	2	9	1683	14	2526	0	2544	5
GTEX-11ZVC	4	2	0	0	0	2	1257	5	9	1	3	0	1189	15	1939	0	1993	2
GTEX-17HGU	1	3	0	0	0	1	1065	0	16	2	0	3	1138	11	1778	0	1944	6
GTEX-1C6VR	1	2	0	0	0	6	2581	4	21	5	19	7	2425	17	4002	0	4067	10
GTEX-11OF3	1	0	0	0	0	3	3179	0	30	3	7	6	3168	19	5044	0	5007	6
GTEX-ZV68	0	1	0	0	0	0	2076	5	25	0	1	1	2155	21	3372	3	3334	7
GTEX-11UD2	0	1	0	0	2	4	1987	2	8	3	4	3	1998	15	3033	2	3188	8
GTEX-1KWVE	0	2	0	0	1	4	3498	11	38	4	18	14	3622	8	5013	0	5362	8
GTEX-ZF3C	0	2	0	0	1	0	1292	0	9	0	3	0	1281	4	1996	0	2202	1
GTEX-PWCY	0	3	0	0	0	1	1395	5	22	1	5	5	1313	13	2153	0	2139	4
GTEX-Y111	1	1	0	0	0	4	1710	7	16	2	6	6	1818	13	2866	0	3121	14
GTEX-14BIL	1	1	0	0	1	7	1510	5	16	2	1	8	1615	3	2558	0	2429	4
GTEX-13FH7	2	0	0	1	0	4	915	5	7	1	2	3	943	8	1510	0	1568	6
GTEX-YEC3	1	0	0	0	2	7	2246	7	33	6	8	7	2354	19	3600	8	3452	2
GTEX-1269C	1	2	0	0	0	2	2731	5	35	6	3	11	2741	37	4268	3	4016	6
GTEX-1AMFI	2	3	0	0	0	3	2006	10	34	0	4	8	1957	19	3090	2	3201	4
GTEX-11ZU8	1	0	0	2	1	5	1097	5	6	2	2	1	1244	8	1741	0	1930	6
GTEX-1R9PM	2	2	0	0	0	2	1971	0	28	0	6	12	2260	25	3445	0	3704	3
GTEX-1LVA9	3	2	0	1	1	7	3898	9	48	7	11	16	3905	40	5880	6	5959	15
GTEX-1192X	1	0	0	0	0	1	1210	0	4	0	2	3	1284	4	1897	0	1991	2
GTEX-1MUQO	1	1	0	0	2	3	1800	3	29	1	9	14	2001	8	2948	2	3050	6
GTEX-15D79	0	0	0	2	0	5	2657	4	35	5	6	12	2720	23	4110	3	4248	7
GTEX-1RAZA	0	0	0	0	0	3	2003	0	18	5	4	12	2060	13	3110	0	3232	5
GTEX-13OVH	2	5	0	0	0	2	1927	0	13	0	4	1	2081	4	3275	0	3222	3
GTEX-11ZTS	0	1	0	0	0	1	1444	5	14	3	3	4	1495	14	2321	0	2321	7
GTEX-13N1W	1	0	0	1	0	11	1652	2	23	2	3	10	1692	8	2764	0	2823	6
GTEX-117YW	0	2	0	1	0	5	2144	4	22	4	8	5	1953	12	3222	6	3406	6
GTEX-Q2AG	0	0	0	0	1	1	578	4	6	0	0	0	666	4	974	0	1003	1
GTEX-1AX9J	0	0	0	0	0	11	2952	6	42	9	14	9	2907	13	4828	6	4985	19
GTEX-1R9K4	1	0	0	0	2	0	1717	8	22	2	3	2	1731	7	2723	0	2945	6
GTEX-YJ8O	0	0	0	0	1	7	1972	6	28	3	11	7	1979	16	3047	4	2864	2
GTEX-11EI6	0	2	0	0	0	0	1260	1	12	0	6	6	1367	4	1950	1	1932	5
GTEX-17KNJ	0	0	0	0	0	2	865	0	14	2	0	0	859	7	1324	0	1309	0
GTEX-1A8FM	0	2	0	0	0	5	1322	0	18	0	3	1	1291	10	2011	0	1943	2
GTEX-15RIF	1	2	0	0	0	12	3249	7	60	2	12	15	3098	18	5069	3	4910	4
GTEX-1M5QR	1	2	0	0	0	3	2401	4	27	4	7	7	2946	21	4112	6	4100	14
GTEX-XPVG	0	0	0	0	2	0	2159	6	27	0	4	3	2305	16	3373	2	3499	6
GTEX-1JN6P	1	0	0	1	2	7	2811	6	39	8	7	4	2854	6	4496	0	4682	4
GTEX-ZT9X	0	0	0	0	0	1	1112	3	12	0	3	7	1083	9	1748	0	1688	3
GTEX-1AMEY	5	4	0	0	1	5	2848	7	22	0	2	8	3030	14	4991	3	5190	12
GTEX-11LCK	3	0	0	0	0	0	1799	4	33	3	3	3	1657	9	2728	0	2735	5
GTEX-14E6D	0	0	0	0	1	12	3277	13	45	6	15	12	3178	10	5027	4	5015	10
GTEX-1S82Y	0	0	0	0	0	0	2018	5	27	1	10	6	2393	4	3516	3	3487	8
GTEX-XBEC	0	0	0	1	0	6	1894	5	37	1	4	7	1838	5	2789	3	2977	3
GTEX-13O21	0	0	0	0	1	3	1567	9	20	1	6	10	1546	9	2549	0	2428	4
GTEX-1RB15	3	3	0	0	0	0	1953	4	31	2	5	2	1993	11	3006	3	3207	5
GTEX-13PVR	0	1	0	0	0	3	715	1	10	1	2	1	694	5	1192	2	1305	5
GTEX-1399U	0	0	0	1	0	3	1181	0	17	4	9	7	1403	7	2086	0	2137	7
GTEX-YB5K	0	0	0	0	0	9	1877	2	30	2	6	9	1942	22	3165	7	3050	9
GTEX-1PDJ9	0	0	0	0	1	3	2851	7	36	0	4	16	3200	30	4807	2	5323	7
GTEX-1PIEJ	0	2	0	0	0	10	3346	9	43	10	6	9	3221	24	5053	6	5323	4
GTEX-13112	0	0	0	0	1	10	2274	11	19	4	9	10	2307	13	3569	5	3609	4
GTEX-11TT1	0	0	0	0	0	3	627	4	7	3	1	2	635	2	972	0	1015	4
GTEX-18A7A	0	0	0	0	0	3	2648	7	14	7	6	7	2491	12	3740	3	4007	5
GTEX-WHSB	1	3	0	0	4	4	2306	1	42	4	9	12	2306	11	3499	0	3674	6
GTEX-ZAK1	1	1	0	0	0	2	1897	4	20	0	0	3	1946	13	3073	0	3306	11
GTEX-13OW8	0	0	0	0	0	4	1071	4	9	4	3	3	1160	3	1813	0	1848	9
GTEX-1QP2A	0	0	0	2	0	6	1901	7	38	3	8	13	1978	12	3154	3	3531	2
GTEX-145MH	0	0	0	0	0	0	1872	3	26	0	4	3	1753	8	2880	2	2886	2
GTEX-16XZY	0	0	0	0	0	1	781	0	18	0	1	6	834	6	1358	0	1408	5
GTEX-13X6H	3	1	0	0	0	3	879	4	13	0	0	0	911	7	1360	0	1354	5
GTEX-11GSP	0	0	0	0	0	4	1697	4	17	2	3	6	1597	10	2714	0	2559	6
GTEX-12WSG	1	0	0	0	1	4	1793	2	29	1	5	5	1714	15	2949	1	3016	7
GTEX-1A3MV	0	2	0	0	0	1	2769	4	50	4	1	11	2882	9	4335	5	4545	6
GTEX-1IDJE	0	0	0	0	0	6	2248	0	24	0	21	13	2251	17	3564	2	3535	5
GTEX-144GM	0	3	0	0	0	3	1452	3	24	2	5	3	1462	8	2139	2	2191	2
GTEX-1LVAM	2	2	0	1	0	6	3138	5	20	3	8	10	3085	16	4647	4	4928	10
GTEX-14PJ5	0	4	0	0	0	3	1551	8	30	0	7	6	1765	11	2641	0	2585	4
GTEX-133LE	0	3	0	0	1	0	1177	2	30	0	1	3	1201	10	1867	4	1938	5
GTEX-1R9PO	2	5	0	0	0	6	2272	9	15	0	0	2	2168	5	3499	0	3707	8
GTEX-16XZZ	4	4	0	2	1	2	1647	3	9	2	1	0	1751	10	2605	0	2614	2
GTEX-14PII	0	3	0	0	0	8	1991	9	24	0	3	3	1987	18	3210	5	3293	14
GTEX-15ER7	5	3	0	1	0	13	9073	13	110	17	22	30	9545	47	14487	19	14428	20
GTEX-13OW6	0	0	0	0	0	0	1390	4	12	0	4	6	1423	4	2256	4	2188	2
GTEX-WOFM	6	2	0	2	4	7	2618	15	51	9	13	9	3022	11	4424	0	4530	5
GTEX-1LG7Z	0	4	0	0	0	2	2426	8	39	0	5	3	2517	9	3763	3	4083	9
GTEX-1R7EU	4	2	0	1	0	0	1971	3	15	0	2	4	1975	19	3185	3	3242	4
GTEX-1C4CL	0	0	0	0	0	5	1720	4	14	4	8	2	1665	2	2588	0	2633	3
GTEX-U3ZM	2	4	0	0	1	2	1280	1	29	0	4	7	1275	8	1987	0	2038	7
GTEX-14PN4	0	0	0	0	1	7	873	1	11	0	1	1	970	7	1419	0	1504	8
GTEX-13VXU	0	0	0	0	1	0	2609	7	31	2	13	8	2548	31	4211	5	4134	14
GTEX-14PJ2	0	0	0	1	0	2	1135	8	11	1	2	4	1199	3	1756	0	1857	5
GTEX-1GZHY	0	0	0	2	0	5	3133	7	42	0	10	14	2795	23	4692	4	4548	11
GTEX-15SB6	0	0	0	0	0	6	1887	5	35	1	0	7	1948	18	3088	0	3062	3
GTEX-QCQG	2	0	0	0	1	8	2716	4	52	7	5	4	2707	20	4086	0	4235	7
GTEX-144GL	1	0	0	0	0	7	1813	6	20	3	5	4	1632	5	2665	0	2690	2
GTEX-13RTJ	0	2	0	0	0	4	862	0	5	0	0	0	865	2	1408	0	1457	5
GTEX-14PJ6	0	0	0	0	1	1	1227	4	22	1	9	6	1369	7	2051	0	2123	6
GTEX-1MCQQ	0	2	0	0	0	6	2080	5	32	5	12	4	2213	13	3487	2	3614	3
GTEX-1CB4E	3	0	0	0	0	4	1497	4	25	0	2	11	1596	8	2360	2	2713	8
GTEX-14PJM	1	0	0	1	0	7	1980	5	19	3	6	5	1840	8	3064	5	2942	6
GTEX-1B8KZ	0	0	0	0	0	0	1694	10	24	3	4	5	1687	14	2742	4	2890	7
GTEX-139YR	2	2	0	0	0	10	1306	2	12	1	4	3	1351	8	2082	0	2036	2
GTEX-1445S	2	1	0	1	0	3	1688	2	10	0	1	4	1644	15	2701	5	2645	2
GTEX-1MA7W	0	1	0	0	0	13	2162	2	23	0	10	8	2212	11	3364	3	3861	6
GTEX-U8XE	0	0	0	0	0	4	2142	0	35	7	13	10	2068	6	3350	5	3501	8
GTEX-1BAJH	0	3	0	0	2	7	1892	4	16	2	5	11	1679	11	2706	4	2807	5
GTEX-ZVZP	0	1	0	0	0	2	661	0	7	0	2	4	675	2	1071	0	1143	1
GTEX-11ONC	1	3	0	0	0	0	1227	4	5	0	0	1	1338	5	2034	3	2164	3
GTEX-13QIC	0	0	0	0	0	1	1285	10	12	2	2	3	1314	10	2143	1	2311	5
GTEX-11ZTT	1	1	0	0	0	0	1580	2	34	5	6	7	1685	8	2588	0	2556	7
GTEX-12KS4	0	2	0	0	0	1	1593	8	18	2	5	2	1772	14	2514	0	2455	6
GTEX-11I78	1	0	0	0	0	8	1608	4	19	5	5	8	1540	9	2579	0	2431	6
GTEX-1GPI6	2	1	0	1	0	11	2038	10	29	3	5	9	1898	14	2944	1	3224	4
GTEX-Z93S	2	1	0	0	0	7	1889	8	32	4	6	8	1930	14	3166	4	3005	1
GTEX-111YS	0	1	0	0	0	6	1283	3	17	0	5	7	1277	11	1929	0	1805	4
GTEX-14H4A	0	1	0	0	1	0	1369	7	17	7	4	3	1466	4	2321	2	2385	4
GTEX-139TS	2	0	0	2	0	0	2782	3	29	0	2	4	2655	17	4331	0	4443	10
GTEX-1O9I2	1	2	0	2	0	2	1559	4	19	2	4	5	1621	11	2713	2	2469	3
GTEX-1B8L1	0	0	0	0	0	2	1230	4	18	1	5	6	1297	8	2018	0	2249	5
GTEX-ZYFD	0	1	0	0	0	2	1256	1	21	0	4	1	1255	5	1932	0	2032	6
GTEX-14JG1	0	1	0	0	0	10	2246	13	33	5	6	9	2280	20	3697	0	3624	7
GTEX-ZA64	0	1	0	0	0	3	1347	4	17	8	7	6	1381	5	2190	0	2229	4
GTEX-1PIIG	0	1	0	0	2	10	3680	15	50	6	16	19	3481	28	5752	7	6171	22
GTEX-1JJ6O	2	4	0	1	0	8	2003	2	13	5	2	5	1985	14	3044	1	3071	5
GTEX-13OVK	0	2	0	0	0	3	1565	0	13	0	4	3	1629	14	2553	0	2633	6
GTEX-Y8LW	0	0	0	0	0	8	2249	7	36	3	6	6	2279	15	3596	0	3729	3
GTEX-YECK	2	0	0	0	0	2	3172	10	43	10	11	9	3339	25	5241	10	5654	19
GTEX-1F88F	0	1	0	0	0	3	4679	14	53	5	11	18	5087	20	7681	0	8405	14
GTEX-ZZPU	1	0	0	0	0	3	1355	0	17	0	5	4	1288	4	1959	0	1928	1
GTEX-14E6E	0	6	0	0	0	8	1859	1	21	0	3	8	1923	8	2925	0	2860	4
GTEX-ZP4G	0	0	0	1	0	2	1886	4	35	1	5	14	2021	18	3146	4	3131	4
GTEX-15DZA	0	1	0	0	1	15	1930	1	21	3	7	9	2137	8	3235	6	3292	1
GTEX-ZGAY	0	2	0	0	1	6	3175	12	47	0	16	26	3291	24	4882	5	4927	12
GTEX-1B8SF	0	1	0	0	0	3	1748	7	38	1	9	7	1822	14	2985	4	3021	7
GTEX-17EVP	0	0	0	0	0	9	2392	8	30	3	14	10	2227	3	3485	0	3713	9
GTEX-147GR	0	2	0	1	1	0	1846	5	15	0	0	5	1887	6	2986	3	3297	7
GTEX-11P81	0	1	0	0	0	0	1138	5	22	6	6	6	1207	7	1858	0	2017	8
GTEX-13CF3	2	1	0	0	0	2	1705	7	14	0	3	4	1551	11	2578	4	2646	1
GTEX-ZVT4	0	0	0	0	0	6	2423	0	21	5	4	10	2657	14	3722	0	3955	5
GTEX-12WSF	1	3	0	0	0	4	2400	7	24	0	6	6	2760	9	3896	2	4015	13
GTEX-12584	1	2	0	0	0	5	937	3	5	1	0	0	1052	2	1569	0	1629	3
GTEX-1CB4I	0	0	0	0	0	5	1088	1	10	2	2	5	1105	6	1691	0	1830	6
GTEX-1R9JW	2	5	0	0	0	3	1107	5	10	0	3	2	1138	13	1820	0	1830	4
GTEX-1399S	1	0	0	0	0	6	1093	0	13	1	6	8	1032	9	1709	2	1832	6
GTEX-Q734	2	3	0	0	3	2	1006	7	10	0	2	1	1103	9	1714	1	1803	6
GTEX-1A8G7	2	0	0	0	0	0	1562	4	18	4	2	5	1412	13	2443	0	2384	3
GTEX-14DAQ	4	0	0	0	0	2	2800	6	21	6	6	12	2790	20	4369	1	4246	17
GTEX-ZEX8	1	2	0	0	1	4	1999	6	14	3	8	7	2043	6	3167	6	3377	8
GTEX-WL46	0	0	0	0	0	13	3529	8	46	7	7	6	3924	37	5893	7	5981	14
GTEX-1RAZQ	0	0	0	0	4	2	2784	4	26	4	6	14	2885	5	4607	8	4792	6
GTEX-12WSN	0	2	0	0	0	10	1798	4	26	0	5	5	1684	14	2762	0	2771	8
GTEX-PX3G	0	0	0	0	0	2	345	0	1	0	0	0	370	2	500	0	566	0
GTEX-1R7EV	3	3	0	0	1	1	1348	7	26	2	4	5	1500	8	2366	2	2532	13
GTEX-U3ZH	1	2	0	0	1	0	386	1	5	0	1	0	428	5	658	0	695	0
GTEX-YFC4	0	0	0	0	0	0	1947	6	19	4	2	4	1894	11	3027	0	3069	7
GTEX-14BIM	3	2	0	0	1	0	1947	2	21	0	1	4	2188	26	3378	0	3584	13
GTEX-17F98	0	0	0	0	0	0	849	1	6	0	2	1	951	10	1446	3	1461	3
GTEX-Y5V6	0	0	0	0	2	0	1171	1	13	5	4	9	1160	3	1877	0	1878	1
