individual	chr1:154435156:154435969:cluster59328	chr1:154435156:154448125:cluster59328	chr1:154436110:154445950:cluster59328	chr1:154436110:154448125:cluster59328	chr1:154445094:154448125:cluster59328	chr1:154446042:154448125:cluster59328
GTEX-1RQED	12	0	0	7	0	0
GTEX-1GZ4I	103	10	0	82	1	0
GTEX-1PBJJ	219	21	0	160	0	1
GTEX-13OW8	18	0	0	11	0	0
GTEX-1E2YA	63	7	0	46	0	0
GTEX-13X6H	131	8	0	108	0	0
GTEX-N7MS	17	2	0	13	0	0
GTEX-1A3MV	286	26	0	266	2	0
GTEX-144GM	144	12	1	103	1	2
GTEX-1LVAM	177	8	1	133	1	0
GTEX-133LE	173	10	1	142	0	0
GTEX-1R9PO	202	16	0	163	0	0
GTEX-O5YV	209	12	2	143	1	1
GTEX-14PII	95	7	0	69	0	0
GTEX-T8EM	282	23	0	265	3	2
GTEX-13OW6	6	1	0	5	0	0
GTEX-WOFM	276	23	4	227	1	2
GTEX-1LG7Z	182	13	1	173	0	2
GTEX-1C4CL	105	10	1	94	1	0
GTEX-14PN4	203	10	1	176	0	1
GTEX-13VXU	10	1	0	7	0	0
GTEX-13PLJ	6	1	0	7	0	0
GTEX-1QP66	214	10	2	179	1	2
GTEX-1GZHY	14	1	0	9	0	0
GTEX-144GL	15	2	0	15	0	0
GTEX-14PJ6	230	10	0	181	1	0
GTEX-14PJM	3	0	0	2	0	0
GTEX-117XS	12	1	0	11	0	0
GTEX-1B8KZ	45	1	0	37	0	0
GTEX-ZVZP	200	10	1	163	0	0
GTEX-13QIC	21	3	0	16	0	0
GTEX-11ZTT	135	11	0	105	1	0
GTEX-1GMR8	399	17	2	316	3	2
GTEX-1GPI6	12	1	0	9	0	0
GTEX-13111	56	4	0	39	0	0
GTEX-XMD2	19	2	0	18	0	0
GTEX-14JG1	5	0	0	2	0	0
GTEX-ZA64	241	26	2	216	1	1
GTEX-1PIIG	44	1	0	32	0	0
GTEX-17JCI	12	1	0	8	0	0
GTEX-12ZZX	23	2	0	23	0	0
GTEX-YECK	3	0	0	3	0	0
GTEX-1F88F	7	0	0	6	0	0
GTEX-ZZPU	297	19	0	272	1	0
GTEX-ZP4G	148	9	1	116	1	1
GTEX-1B8SF	12	0	0	13	0	0
GTEX-147GR	16	0	0	15	0	0
GTEX-1F48J	121	9	0	90	0	0
GTEX-1R9K5	48	4	0	37	0	0
GTEX-12584	50	3	0	31	0	0
GTEX-1CB4I	188	12	0	164	0	0
GTEX-1R9JW	131	6	1	99	0	0
GTEX-16NPV	22	1	0	20	0	0
GTEX-1399S	108	7	0	75	1	1
GTEX-P4QT	336	15	1	258	3	0
GTEX-1A8G7	82	6	1	56	0	0
GTEX-1B932	131	7	0	96	0	0
GTEX-QDVJ	51	6	0	45	0	0
GTEX-RM2N	241	16	1	217	3	0
GTEX-1S82U	142	14	0	112	1	0
GTEX-ZEX8	136	10	1	129	0	1
GTEX-WL46	14	0	0	14	0	0
GTEX-1GF9V	43	4	0	30	0	0
GTEX-1RAZQ	130	10	0	125	0	0
GTEX-WFG8	122	9	0	78	1	0
GTEX-PX3G	24	3	0	17	0	0
GTEX-1R7EV	123	12	0	91	0	0
GTEX-RUSQ	115	6	0	108	1	0
GTEX-U3ZH	82	4	1	64	1	0
GTEX-YFC4	24	3	0	26	0	0
GTEX-1JKYR	133	7	0	92	0	0
GTEX-1477Z	84	5	0	68	0	1
GTEX-1GTWX	101	11	0	85	1	0
GTEX-111CU	284	14	0	200	0	1
GTEX-XAJ8	113	9	1	115	1	1
GTEX-ZF29	313	23	0	219	0	1
GTEX-17HHY	8	1	0	9	0	0
GTEX-13O3P	226	21	1	220	2	2
GTEX-ZVT3	12	1	0	10	0	0
GTEX-1QP28	201	19	0	160	2	0
GTEX-13OW7	17	1	0	13	0	0
