individual	chr5:79791069:79791396:cluster67047	chr5:79791069:79793437:cluster67047	chr5:79791069:79799370:cluster67047	chr5:79791539:79793437:cluster67047	chr5:79793610:79794031:cluster67047	chr5:79793610:79799370:cluster67047
GTEX-17EVP	0	2651	3	0	2	2742
GTEX-147GR	0	3233	6	0	1	3429
GTEX-11P81	0	2758	3	0	2	2802
GTEX-13CF3	0	2639	5	0	1	2857
GTEX-ZVT4	2	4205	11	0	2	4525
GTEX-1R9K5	1	6696	26	0	4	7242
GTEX-12WSF	0	3744	6	0	3	3921
GTEX-12584	0	2648	3	0	1	2865
GTEX-16NPV	0	2377	9	0	4	2553
GTEX-1399S	1	4396	13	0	1	4737
GTEX-P4QT	0	6182	25	2	2	6314
GTEX-14DAQ	1	5019	5	0	2	5458
GTEX-ZEX8	3	5843	14	1	2	5830
GTEX-WL46	0	7074	8	0	4	7131
GTEX-15RIE	2	5672	12	0	5	5527
GTEX-1GF9V	1	3590	6	0	3	3829
GTEX-PX3G	0	2429	2	0	1	2596
GTEX-RUSQ	0	2176	3	0	3	2328
GTEX-U3ZH	0	1771	1	1	1	1788
GTEX-YFC4	0	2926	3	0	0	3127
GTEX-1JKYR	0	4933	7	0	3	5147
GTEX-14BIM	2	5140	10	2	1	5269
GTEX-17F98	3	3753	11	1	7	3845
GTEX-1GTWX	1	4907	8	0	1	5319
GTEX-111CU	1	3977	11	0	3	4127
GTEX-17F97	0	4275	5	0	3	4453
GTEX-13NZB	1	4811	12	2	3	5217
GTEX-PSDG	0	5057	15	0	0	5235
GTEX-ZVE2	2	5558	21	1	1	5616
GTEX-11GS4	0	2255	4	0	1	2482
GTEX-XV7Q	0	2679	10	0	1	2815
