individual	chr17:8450953:8454796:cluster5301	chr17:8450953:8460009:cluster5301	chr17:8454887:8460009:cluster5301	chr17:8454887:8463320:cluster5301	chr17:8460160:8463320:cluster5301	chr17:8460160:8466930:cluster5301	chr17:8463354:8466930:cluster5301
GTEX-1PIIG	78	1	76	0	57	11	45
GTEX-11XUK	72	3	78	0	64	10	66
GTEX-13OVK	58	1	56	0	29	8	34
GTEX-Y8LW	137	4	125	0	82	15	79
GTEX-12ZZX	49	0	46	0	41	6	38
GTEX-14XAO	56	0	54	0	38	9	33
GTEX-ZZPU	80	2	76	0	61	4	57
GTEX-13D11	82	0	72	0	64	9	64
GTEX-ZP4G	124	3	132	1	92	13	90
GTEX-15DZA	114	1	113	0	81	13	77
GTEX-14C39	140	3	126	0	89	11	78
GTEX-17EVP	41	0	43	0	37	5	36
GTEX-12WSF	48	0	58	0	43	8	37
GTEX-12584	73	0	69	0	57	10	59
GTEX-1R9JW	115	2	78	0	72	12	68
GTEX-15DCD	108	3	111	0	81	8	75
GTEX-SE5C	187	2	147	1	121	21	127
GTEX-1399S	113	4	101	0	94	9	93
GTEX-WWTW	58	0	72	0	47	4	44
GTEX-13X6K	72	0	85	0	54	6	49
GTEX-Q734	79	0	77	0	55	9	68
GTEX-1A8G7	76	2	60	0	54	12	54
GTEX-QDVJ	50	2	44	0	35	2	33
GTEX-1EX96	41	0	37	0	34	4	28
GTEX-RM2N	54	0	52	0	30	4	36
GTEX-14DAQ	70	0	70	0	53	3	51
GTEX-ZEX8	119	1	113	0	83	8	69
GTEX-WL46	86	0	84	0	56	6	50
GTEX-15RIE	91	4	83	0	63	8	51
GTEX-1GF9V	109	0	86	0	85	8	72
GTEX-146FH	70	1	67	1	54	6	56
GTEX-1ICLY	73	0	85	0	46	7	57
GTEX-YFC4	60	1	57	0	52	3	53
GTEX-1477Z	95	1	95	0	67	10	59
GTEX-1GTWX	116	1	97	0	88	12	85
GTEX-XAJ8	123	1	113	0	69	6	72
GTEX-ZF29	156	2	162	0	104	7	111
GTEX-1CB4J	176	1	165	0	142	24	149
GTEX-13NZB	61	1	54	0	50	8	54
GTEX-PSDG	106	0	92	0	70	10	67
GTEX-17HHY	56	0	42	0	32	4	27
GTEX-1QP28	77	2	64	0	53	5	47
