individual	chr19:11508048:11510617:cluster10259	chr19:11508048:11513056:cluster10259	chr19:11510660:11513056:cluster10259	chr19:11514221:11519075:cluster10259	chr19:11514221:11529062:cluster10259	chr19:11519193:11525640:cluster10259	chr19:11519193:11528745:cluster10259	chr19:11519193:11529062:cluster10259	chr19:11525737:11529062:cluster10259
GTEX-15UF6	3	143	3	110	9	3	2	120	0
GTEX-ZDXO	3	73	1	56	4	0	1	55	1
GTEX-15UF7	6	207	3	158	12	1	2	180	1
GTEX-P4PP	4	160	4	137	6	2	1	135	1
GTEX-ZXG5	3	120	2	101	9	1	2	88	1
GTEX-1A32A	2	87	3	81	6	0	1	88	0
GTEX-131YS	3	168	1	134	6	2	0	145	1
GTEX-14PJN	4	179	4	120	9	4	3	146	0
GTEX-13W3W	11	252	5	198	20	1	1	209	2
GTEX-1B933	4	193	1	130	6	1	2	140	1
GTEX-WZTO	2	264	7	199	15	0	1	238	0
GTEX-1313W	4	289	6	202	10	2	0	225	0
GTEX-1GMR3	4	176	5	149	4	1	2	169	0
GTEX-XUZC	8	296	9	211	10	6	1	218	3
GTEX-145LU	3	212	2	153	7	0	2	159	2
GTEX-111FC	2	203	3	126	5	2	3	180	1
GTEX-13X6J	1	179	0	147	11	1	2	159	1
GTEX-1NUQO	3	213	3	158	11	0	1	198	0
GTEX-ZUA1	4	138	2	99	4	1	2	116	1
GTEX-18A6Q	1	221	2	188	8	3	2	205	3
GTEX-17EUY	10	295	5	187	14	2	0	236	3
GTEX-X8HC	3	132	3	81	1	1	1	97	0
GTEX-169BO	8	300	5	220	24	1	0	277	2
GTEX-1212Z	1	151	3	111	8	0	2	131	0
GTEX-WK11	7	258	1	183	10	3	1	233	2
GTEX-1GPI7	6	234	4	157	11	1	1	180	4
GTEX-1GN1W	3	250	1	161	9	2	0	185	1
GTEX-1S82P	5	194	3	148	10	1	1	185	0
GTEX-Y8DK	4	184	2	112	8	0	1	167	0
GTEX-W5WG	3	229	4	169	11	1	1	207	0
GTEX-1ICG6	5	285	7	187	14	2	3	217	3
GTEX-13O3O	2	142	3	114	10	1	2	116	1
GTEX-QEL4	1	87	2	66	3	2	0	70	2
GTEX-1QP9N	4	231	1	168	10	0	1	182	3
GTEX-11ZUS	2	144	2	118	6	1	1	147	0
GTEX-1B97J	3	225	3	167	12	1	1	220	0
GTEX-131XF	1	159	2	98	5	2	3	122	1
GTEX-1F75A	5	205	4	174	7	4	0	164	1
GTEX-14LZ3	0	194	2	127	13	3	2	161	2
GTEX-139UW	4	193	3	144	7	0	2	177	0
GTEX-13QBU	4	178	3	116	7	3	1	152	1
GTEX-13G51	2	152	1	99	6	1	1	118	1
GTEX-RNOR	5	183	4	115	5	0	1	125	1
GTEX-1B97I	8	300	4	207	12	1	0	261	0
GTEX-XOT4	2	137	2	103	4	1	1	128	1
GTEX-PLZ4	1	79	1	67	4	0	0	60	0
GTEX-17GQL	10	256	6	209	18	6	2	238	2
GTEX-1FIGZ	5	150	1	125	6	2	1	122	3
GTEX-15RIG	6	230	5	184	15	4	2	220	4
GTEX-13RTL	3	190	4	132	9	1	1	143	2
GTEX-15G1A	7	237	5	205	12	2	0	240	0
GTEX-1C6VR	2	171	2	97	7	2	2	113	2
GTEX-1JMQI	4	254	2	195	12	4	5	208	4
GTEX-1R46S	4	149	1	92	7	1	2	111	0
GTEX-ZV68	4	182	4	152	4	3	1	188	2
GTEX-ZF3C	1	193	3	162	7	2	2	176	1
GTEX-1GMRU	4	139	1	97	7	1	0	121	0
GTEX-X261	2	115	2	96	3	2	1	96	2
GTEX-13FH7	2	102	4	69	8	1	0	93	1
GTEX-O5YT	3	161	2	113	8	1	0	140	0
GTEX-1LVA9	4	288	1	207	12	2	2	220	1
GTEX-1192X	2	114	3	80	10	1	0	108	0
GTEX-1LSNM	7	448	3	272	17	4	3	350	7
GTEX-1MUQO	2	198	3	159	10	1	0	200	1
GTEX-U3ZN	12	407	11	241	13	3	2	333	2
GTEX-11ZTS	5	123	2	96	3	0	2	113	1
GTEX-145MO	3	201	1	142	10	4	1	181	2
GTEX-Q2AG	0	52	1	34	1	1	0	33	1
GTEX-11EI6	2	157	3	132	9	0	1	142	2
GTEX-15RIF	9	386	4	305	21	2	2	338	2
GTEX-XPVG	3	256	7	196	6	4	2	202	2
GTEX-1JN6P	3	168	2	128	8	0	2	150	0
GTEX-1AMEY	5	271	5	205	14	0	2	235	5
GTEX-1IDJF	6	208	2	169	14	3	0	186	3
GTEX-1S82Y	6	244	3	216	12	2	3	207	2
GTEX-18A66	8	194	3	157	12	3	0	201	1
GTEX-1QAET	2	229	2	177	13	4	3	222	4
GTEX-15CHC	4	166	2	129	4	0	1	159	0
GTEX-15CHR	6	220	4	201	14	1	1	198	3
GTEX-13112	1	152	2	121	4	0	0	125	1
GTEX-11TT1	1	84	1	51	6	0	0	75	0
GTEX-1GZ4I	0	205	3	130	8	3	2	156	2
GTEX-1PBJJ	7	193	7	130	9	2	0	174	2
GTEX-13OW8	1	88	2	69	1	1	1	78	2
GTEX-16XZY	2	149	3	105	7	1	0	131	2
GTEX-OIZG	5	188	4	146	8	4	1	148	4
GTEX-12WSG	6	151	4	122	5	1	1	126	0
GTEX-1A3MV	5	294	3	197	15	5	2	257	3
GTEX-1IDJE	7	305	2	184	18	1	2	236	2
GTEX-144GM	6	147	5	109	8	1	2	119	0
GTEX-1R9PO	6	265	3	166	11	2	2	228	2
GTEX-16XZZ	3	212	3	163	9	4	1	195	4
GTEX-15ER7	7	448	9	352	12	6	3	377	3
GTEX-13OW6	1	123	4	94	6	0	1	107	0
GTEX-17HHE	5	144	5	106	9	2	0	121	3
GTEX-ZPCL	2	90	1	75	6	1	0	80	0
GTEX-1LG7Z	7	215	7	174	14	2	1	217	2
GTEX-1C4CL	2	210	3	153	5	1	3	156	2
GTEX-U3ZM	5	162	2	128	7	4	3	143	1
GTEX-14PN4	2	84	0	55	1	0	0	57	1
GTEX-13VXU	5	215	3	128	11	3	0	181	1
GTEX-SNMC	5	269	6	178	13	2	0	229	0
GTEX-T6MN	1	63	1	52	3	0	0	65	1
GTEX-15SHV	5	283	6	223	10	6	2	212	3
GTEX-RN64	1	128	4	93	4	0	0	103	0
GTEX-144GL	3	123	4	101	5	1	0	93	0
GTEX-1MCQQ	1	137	1	115	7	0	1	108	2
GTEX-1CB4E	3	130	2	87	5	0	1	91	0
GTEX-11NSD	1	112	3	77	4	1	0	103	0
GTEX-117XS	3	152	4	108	6	2	0	136	1
GTEX-1B8KZ	2	156	2	136	9	2	1	149	2
GTEX-139YR	9	212	4	148	8	3	0	163	1
GTEX-1445S	2	124	1	97	10	2	1	121	2
GTEX-1MA7W	8	359	8	237	16	1	5	267	3
GTEX-15SKB	5	171	5	127	10	4	0	141	2
GTEX-U8XE	5	130	3	113	3	2	0	126	1
GTEX-ZVZP	5	133	5	106	7	1	0	132	0
GTEX-1GPI6	4	155	4	118	6	1	1	115	0
GTEX-X4EO	8	227	2	164	9	1	2	174	0
GTEX-14H4A	5	124	3	94	5	3	1	103	2
GTEX-139TS	5	242	3	197	11	2	1	206	1
GTEX-1B8L1	5	151	4	104	9	0	0	143	1
GTEX-ZYFD	0	119	2	103	3	1	1	112	1
GTEX-1PIIG	1	228	3	156	10	4	3	195	2
GTEX-ZVE1	2	227	4	146	10	1	0	148	2
GTEX-11XUK	4	110	1	71	4	0	0	80	0
GTEX-Y8LW	2	126	1	90	4	1	2	107	1
GTEX-1F88F	4	269	4	172	10	1	4	206	1
GTEX-12WSA	5	220	3	157	17	1	1	214	0
GTEX-OIZF	4	137	1	124	9	2	1	108	2
GTEX-14E6E	3	219	5	151	12	4	1	163	2
GTEX-ZP4G	4	169	4	131	9	3	0	138	0
GTEX-15DZA	4	253	5	155	8	0	4	205	2
GTEX-14C39	4	156	2	122	7	1	2	143	4
GTEX-11P81	0	153	2	115	5	1	0	143	1
GTEX-13CF3	1	71	1	52	7	0	0	59	0
GTEX-16NPV	2	125	2	104	9	1	0	97	0
GTEX-P4QT	6	203	2	172	12	2	1	187	1
GTEX-ZEX8	3	348	4	225	11	4	3	286	5
GTEX-1GF9V	4	152	1	119	5	0	0	122	0
GTEX-WFG8	4	102	1	71	5	1	2	96	2
GTEX-1ICLY	2	96	2	52	3	0	0	71	0
GTEX-YFC4	3	193	4	140	10	2	1	165	5
GTEX-14BIM	2	193	1	135	14	0	0	156	1
GTEX-1GTWX	1	136	4	113	7	1	0	111	0
GTEX-111CU	4	186	4	166	8	3	3	153	3
GTEX-PSDG	1	156	1	118	11	1	0	127	1
GTEX-Z9EW	4	109	4	69	6	2	1	85	0
GTEX-S95S	4	132	3	89	1	2	2	110	1
GTEX-XV7Q	4	151	2	126	9	0	0	157	2
GTEX-13OW7	1	171	4	110	7	2	2	123	2
