individual	chr7:43640649:43645251:cluster45326	chr7:43640649:43647535:cluster45326	chr7:43645399:43647535:cluster45326	chr7:43648652:43650612:cluster45326	chr7:43648652:43656033:cluster45326	chr7:43648652:43665658:cluster45326	chr7:43648652:43711400:cluster45326	chr7:43648652:43729429:cluster45326	chr7:43650712:43729429:cluster45326	chr7:43656153:43657216:cluster45326	chr7:43656153:43729429:cluster45326	chr7:43665722:43729429:cluster45326	chr7:43711449:43729429:cluster45326
GTEX-T5JW	173	0	154	3	0	10	10	68	6	0	0	15	5
GTEX-TMZS	31	0	18	1	0	2	0	11	2	0	0	1	1
GTEX-1LC47	195	1	155	4	0	20	1	107	11	0	0	31	6
GTEX-11DXX	104	0	99	0	0	13	2	63	3	0	0	13	2
GTEX-1MJK3	192	0	158	3	0	10	2	102	3	0	0	14	4
GTEX-1I6K7	140	2	132	1	0	15	5	85	5	0	0	14	5
GTEX-1399R	125	0	95	3	0	5	5	52	1	0	0	7	9
GTEX-113JC	134	0	116	1	0	15	5	60	3	0	0	17	10
GTEX-13CF2	117	2	122	2	0	14	4	75	3	0	0	22	8
GTEX-13RTK	86	0	81	7	0	11	3	45	4	0	0	14	3
GTEX-PWN1	46	0	33	0	0	1	2	17	0	0	0	6	1
GTEX-1A32A	88	1	78	4	0	13	1	61	2	0	0	17	4
GTEX-14PJ4	78	0	55	1	0	6	4	42	4	0	0	8	6
GTEX-1QP6S	200	3	183	2	0	13	6	90	5	1	0	14	9
GTEX-11NUK	107	0	92	2	0	12	2	85	5	0	0	13	4
GTEX-12696	70	0	52	1	0	5	1	40	1	0	0	12	3
GTEX-XQ8I	64	0	44	3	0	7	3	22	1	0	0	7	3
GTEX-13W3W	199	0	159	2	0	29	7	109	2	0	0	25	10
GTEX-1AX9K	103	0	91	2	0	4	2	63	0	0	0	9	4
GTEX-1B933	131	1	122	0	0	11	5	82	1	0	0	21	11
GTEX-11VI4	142	1	136	4	0	10	6	81	5	0	0	12	10
GTEX-XUW1	98	0	65	3	0	7	3	41	2	0	0	9	9
GTEX-1313W	238	1	191	1	0	30	6	116	2	0	0	25	7
GTEX-1C6WA	177	2	125	4	0	18	3	91	6	0	0	17	4
GTEX-XUZC	167	1	116	4	0	7	3	64	6	0	0	17	9
GTEX-18A7B	140	0	105	3	0	17	1	66	6	0	0	11	5
GTEX-XBEW	239	0	178	1	0	20	9	97	3	0	0	21	9
GTEX-1KD5A	200	0	150	7	0	16	11	117	10	0	0	19	8
GTEX-ZDYS	58	0	75	2	0	3	2	41	3	0	0	9	3
GTEX-1NUQO	201	0	181	2	0	12	1	103	10	0	0	23	2
GTEX-OHPN	276	2	224	6	0	20	2	95	11	0	0	28	6
GTEX-ZUA1	111	0	94	4	0	12	0	60	3	0	0	21	8
GTEX-1GF9W	107	1	88	3	0	2	2	45	3	0	0	17	2
GTEX-18A6Q	153	1	154	0	0	10	4	102	5	0	0	24	10
GTEX-13FTZ	136	2	139	1	0	12	4	72	3	0	0	17	8
GTEX-1LGOU	229	0	182	2	0	21	4	124	5	0	0	34	4
GTEX-1L5NE	64	0	56	1	0	2	0	21	2	0	0	10	2
GTEX-1JMQJ	160	0	107	2	0	18	4	61	2	0	0	16	8
GTEX-13FTY	100	0	88	4	0	7	0	49	5	0	0	11	2
GTEX-16NPX	116	2	100	6	0	8	4	80	5	0	0	16	9
GTEX-15ETS	165	0	145	5	0	6	1	100	4	0	0	21	6
GTEX-1PPH7	183	0	178	5	0	20	3	116	2	0	0	22	11
GTEX-1212Z	148	1	124	3	0	16	5	69	10	0	0	28	6
GTEX-1F5PL	160	1	128	3	0	18	6	104	4	0	0	19	9
GTEX-WK11	221	0	169	4	0	21	7	120	3	0	0	20	8
GTEX-1GN1W	223	0	155	2	0	21	5	131	5	0	0	25	3
GTEX-1RAZR	255	0	204	6	0	30	3	141	5	0	0	39	4
GTEX-1S82P	127	1	106	4	0	9	7	64	5	0	0	16	4
GTEX-Y8DK	207	0	181	3	0	14	7	128	8	0	0	23	4
GTEX-OHPL	92	1	74	5	0	5	2	52	2	0	0	11	6
GTEX-1QPFJ	113	0	116	4	0	14	1	56	6	0	0	13	6
GTEX-1ICG6	184	1	148	5	0	19	2	93	4	0	0	14	8
GTEX-1K2DA	316	0	287	6	0	37	11	178	13	0	0	43	16
GTEX-18D9A	129	0	128	3	0	18	6	77	4	0	0	21	9
GTEX-QEL4	61	0	51	1	0	3	0	40	1	0	0	12	2
GTEX-U8T8	112	0	96	1	0	12	1	58	1	0	0	21	2
GTEX-T5JC	257	0	195	5	0	31	10	105	4	0	0	23	7
GTEX-ZF2S	129	0	121	2	0	13	1	82	4	0	0	11	5
GTEX-WEY5	378	2	273	3	0	26	8	201	3	0	0	40	23
GTEX-1399T	151	0	129	2	0	17	8	88	5	0	0	11	11
GTEX-11ZUS	143	1	104	1	0	11	4	93	4	0	0	19	5
GTEX-P44G	58	0	48	3	0	4	1	28	3	0	0	7	2
GTEX-14LZ3	121	0	68	2	0	6	1	59	1	0	0	13	5
GTEX-13O3Q	94	1	72	4	0	11	6	37	4	0	0	11	6
GTEX-146FQ	130	1	121	3	0	16	3	64	7	0	0	19	5
GTEX-13QBU	162	0	156	8	0	18	5	76	12	0	0	16	8
GTEX-13G51	138	0	124	1	0	15	2	68	2	0	0	16	5
GTEX-ZDTS	95	0	70	2	0	13	1	43	4	0	0	6	2
GTEX-1A3MX	106	0	95	6	0	8	3	54	6	0	0	10	8
GTEX-1IDFM	129	0	91	5	0	10	1	47	4	0	0	15	2
GTEX-17GQL	211	0	187	0	0	29	2	113	6	0	0	27	5
GTEX-1FIGZ	106	0	67	3	0	8	2	61	1	0	0	9	6
GTEX-OXRK	92	1	59	1	0	6	1	54	2	0	0	9	1
GTEX-15RIG	193	0	156	5	0	24	8	102	2	0	0	30	7
GTEX-13FTW	99	0	79	2	0	9	2	49	0	0	0	11	2
GTEX-1339X	142	0	100	2	0	14	6	75	1	0	0	12	9
GTEX-13RTL	123	0	109	7	0	13	3	62	5	0	0	17	8
GTEX-17HGU	83	0	71	5	0	5	2	31	1	0	0	12	1
GTEX-11OF3	176	0	157	7	0	15	6	98	6	0	0	22	10
GTEX-1R46S	101	1	75	4	0	9	6	43	3	0	0	15	4
GTEX-1P4AB	133	0	98	2	0	5	3	48	3	0	0	11	8
GTEX-11UD2	100	0	101	0	0	10	2	50	2	0	0	11	5
GTEX-1KWVE	196	1	137	2	0	9	5	83	7	0	0	19	8
GTEX-1CB4F	81	0	71	0	0	4	0	36	2	0	0	11	1
GTEX-17EVQ	152	0	113	10	0	12	5	60	5	0	0	21	4
GTEX-PWCY	150	0	109	0	0	10	6	91	2	0	0	11	8
GTEX-Y111	112	0	99	4	0	14	3	72	2	0	0	16	5
GTEX-1A3MW	61	0	43	1	0	5	1	38	2	0	0	6	1
GTEX-YEC3	155	1	113	5	0	14	1	58	3	0	0	15	5
GTEX-Y3I4	78	1	63	0	0	6	1	35	1	0	0	9	4
GTEX-O5YT	99	0	86	0	0	10	3	67	1	0	0	14	2
GTEX-11ZU8	90	0	74	3	0	14	1	44	1	0	0	13	2
GTEX-18D9U	186	0	123	4	0	15	3	103	8	0	0	16	8
GTEX-1LVA9	168	0	142	6	0	18	9	106	4	0	0	18	6
GTEX-1192X	41	0	39	0	0	3	0	26	0	0	0	4	0
GTEX-1MUQO	148	3	149	5	0	12	4	91	6	0	0	23	4
GTEX-15D79	179	0	157	1	0	13	6	113	3	0	0	17	11
GTEX-1RAZA	176	0	159	4	0	19	5	115	6	0	0	12	16
GTEX-U3ZN	246	0	159	5	0	22	5	76	5	0	0	28	10
GTEX-11ZTS	90	1	86	1	0	14	6	55	1	0	0	16	5
GTEX-WYVS	136	0	126	1	0	11	5	76	4	0	0	17	2
GTEX-16BQI	190	0	138	6	0	16	6	95	7	0	0	17	7
GTEX-13N1W	94	0	88	2	0	6	4	42	2	0	0	14	6
GTEX-117YW	107	0	103	2	0	7	4	74	2	0	0	13	10
GTEX-111VG	148	0	117	3	0	17	6	75	0	0	0	17	7
GTEX-1F6IF	211	1	167	6	0	28	1	117	4	0	0	35	9
GTEX-1AX9J	118	1	101	1	0	8	2	55	2	1	0	14	4
GTEX-1F7RK	233	0	185	4	0	18	7	96	4	0	0	30	13
GTEX-1R9K4	148	0	140	4	0	18	0	89	2	0	0	20	3
GTEX-YJ8O	144	0	103	1	0	22	5	75	1	0	0	16	7
GTEX-ZC5H	126	0	122	2	0	5	1	69	4	0	0	8	7
GTEX-15CHQ	115	0	89	4	0	7	0	68	0	0	0	15	2
GTEX-Y5LM	206	0	130	5	0	12	5	102	2	0	0	14	5
GTEX-11EI6	148	0	129	1	0	11	6	89	5	0	0	13	13
GTEX-17KNJ	118	0	108	1	0	9	1	74	0	0	0	14	6
GTEX-1M5QR	247	1	178	4	0	20	4	123	6	0	0	27	11
GTEX-1AMEY	179	0	164	7	0	13	4	83	1	0	0	22	12
GTEX-1IDJF	193	0	181	4	0	13	6	141	7	0	0	24	8
GTEX-11LCK	74	1	73	4	0	5	0	43	1	0	0	8	4
GTEX-RTLS	64	0	60	0	0	7	0	25	0	0	0	11	3
GTEX-1S82Y	215	3	172	7	0	21	11	123	8	0	0	24	18
GTEX-18A66	90	0	98	4	0	11	2	49	2	0	0	5	3
GTEX-XBEC	78	0	78	1	0	8	4	42	2	0	0	10	6
GTEX-1QAET	166	1	136	0	0	9	3	80	2	0	0	10	9
GTEX-15CHC	127	0	97	1	0	14	0	59	4	0	0	19	5
GTEX-13O21	131	0	117	4	0	10	5	94	6	0	0	15	8
GTEX-1QCLZ	184	0	170	6	0	16	2	74	5	0	0	15	5
GTEX-1314G	80	0	49	1	0	7	2	31	4	0	0	5	3
GTEX-1399U	73	1	78	2	0	11	2	31	4	0	0	9	2
GTEX-YB5K	112	0	104	2	0	11	5	80	3	0	0	19	6
GTEX-ZE7O	96	0	65	0	0	9	3	32	1	0	0	7	5
GTEX-QDVN	88	0	73	1	0	4	0	32	2	0	0	6	2
GTEX-13SLW	72	0	61	5	0	7	0	39	2	0	0	11	2
GTEX-16GPK	130	0	98	3	0	21	3	78	3	0	0	15	4
GTEX-15CHR	105	0	105	3	0	11	2	47	6	0	0	13	6
GTEX-11TT1	54	0	68	2	0	6	2	36	2	0	0	10	3
GTEX-ZAK1	140	0	135	3	0	10	2	68	0	0	0	20	4
GTEX-1GZ4I	172	0	131	3	0	11	1	73	6	0	0	20	4
GTEX-R55G	126	0	113	2	0	16	8	59	3	0	0	11	5
GTEX-1E2YA	122	0	107	2	0	20	4	66	1	0	0	16	5
GTEX-16XZY	57	0	59	0	0	9	1	34	1	0	0	10	4
GTEX-13X6H	67	0	73	1	0	9	0	44	2	0	0	15	1
GTEX-OIZG	76	0	52	2	0	3	3	32	1	0	0	8	3
GTEX-1F5PK	147	0	133	8	0	14	1	62	7	0	0	18	2
GTEX-1A3MV	233	0	171	6	0	27	7	120	12	0	0	22	10
GTEX-1IDJE	249	0	183	5	0	17	8	141	8	0	0	14	13
GTEX-144GM	69	0	72	0	0	9	1	32	3	0	0	12	4
GTEX-14PJ5	128	0	90	1	0	5	1	66	0	0	0	13	5
GTEX-1K2DU	201	0	137	4	0	14	7	105	2	0	0	20	5
GTEX-O5YV	66	0	41	1	0	7	2	30	1	0	0	8	3
GTEX-14PII	119	0	95	2	0	12	2	72	1	0	0	15	6
GTEX-T8EM	112	0	110	5	0	9	2	57	3	0	0	22	9
GTEX-13OW6	113	0	116	0	0	13	4	64	4	0	0	12	9
GTEX-ZPCL	90	1	87	0	0	12	1	40	5	0	0	11	5
GTEX-1LG7Z	188	0	131	3	0	13	6	90	4	0	0	19	9
GTEX-1R7EU	104	0	78	3	0	3	2	51	6	0	0	13	1
GTEX-1C4CL	112	0	98	1	0	9	1	67	1	0	0	10	3
GTEX-1A8G6	146	1	109	4	0	10	3	83	1	0	0	23	12
GTEX-WFON	172	0	122	1	0	15	3	103	2	0	0	23	5
GTEX-13VXU	207	0	189	0	0	27	8	107	2	0	0	26	7
GTEX-15SHV	130	0	103	4	0	10	8	79	4	1	0	12	5
GTEX-14PJ2	81	0	88	6	0	9	1	47	2	0	0	14	7
GTEX-RN64	96	1	85	3	0	13	5	53	4	0	0	13	2
GTEX-1GZHY	179	0	163	2	0	22	4	121	6	0	0	24	8
GTEX-1JN1M	98	1	91	4	0	9	3	50	3	0	0	18	5
GTEX-147JS	102	0	103	3	0	11	5	44	5	0	0	15	7
GTEX-144GL	115	0	95	0	0	13	3	71	2	0	0	13	5
GTEX-1GF9U	155	1	113	0	0	13	4	78	0	0	0	14	5
GTEX-11NSD	108	0	102	3	0	14	3	68	2	0	0	8	3
GTEX-15SKB	135	0	115	2	0	12	3	76	6	0	0	8	11
GTEX-1BAJH	89	0	67	1	0	8	1	39	3	0	0	11	1
GTEX-11ONC	62	0	67	5	0	7	2	35	3	0	0	12	3
GTEX-14LLW	188	1	134	1	0	12	4	78	4	0	0	12	5
GTEX-12WSL	61	0	55	1	0	4	4	40	0	0	0	4	3
GTEX-12KS4	117	1	85	4	0	5	3	47	1	0	0	17	3
GTEX-11I78	100	0	71	2	0	12	1	51	3	0	0	7	2
GTEX-13111	100	1	90	6	0	13	6	49	3	0	0	16	7
GTEX-14H4A	145	1	111	3	0	6	3	70	1	0	0	10	10
GTEX-139TS	187	0	135	3	0	16	7	92	5	0	0	24	9
GTEX-14PK6	64	0	47	2	0	5	1	45	0	0	0	7	3
GTEX-1B8L1	109	0	97	2	0	9	1	52	3	0	0	11	2
GTEX-ZYFD	90	0	92	1	0	6	1	40	4	0	0	18	2
GTEX-14JG1	177	2	136	1	0	16	4	91	1	0	0	21	6
GTEX-ZA64	99	0	103	5	0	5	2	58	3	0	0	11	4
GTEX-1PIIG	205	1	166	5	0	18	9	132	5	0	0	12	15
GTEX-ZVE1	89	0	88	2	0	7	1	59	5	0	0	6	5
GTEX-1JJ6O	129	0	107	2	0	10	3	83	2	0	0	22	3
GTEX-13OVK	85	0	70	2	0	13	0	46	3	0	0	7	2
GTEX-YECK	165	1	151	5	0	18	7	69	7	0	0	24	8
GTEX-WHSE	120	2	116	3	0	12	5	67	2	0	0	12	5
GTEX-1F88F	232	0	190	1	0	16	5	114	2	0	0	25	9
GTEX-1LG7Y	281	0	179	4	0	30	6	133	3	0	0	34	8
GTEX-OIZF	105	0	72	1	0	7	1	38	1	0	0	18	4
GTEX-14XAO	203	0	156	6	0	8	2	88	7	0	0	10	7
GTEX-1GN2E	120	1	106	3	0	15	3	90	2	0	0	14	6
GTEX-ZZPU	123	1	101	2	0	13	4	51	3	0	0	17	11
GTEX-14E6E	167	0	147	2	0	17	7	110	4	0	0	18	9
GTEX-ZP4G	146	0	124	2	0	8	2	66	3	0	0	15	3
GTEX-14C39	161	0	144	4	0	15	1	83	4	0	0	21	5
GTEX-1B8SF	179	2	142	3	0	25	4	110	2	0	0	27	9
GTEX-147GR	97	1	81	2	0	3	2	39	1	0	0	8	2
GTEX-11P81	116	0	76	1	0	9	4	61	1	0	0	9	4
GTEX-ZVT4	126	1	88	2	0	20	2	61	5	0	0	15	7
GTEX-12WSF	118	0	116	7	0	12	1	83	7	1	0	21	3
GTEX-1CB4I	84	0	84	2	0	11	2	29	1	0	0	8	6
GTEX-QESD	60	0	55	1	0	4	3	24	1	0	0	7	6
GTEX-1399S	84	0	63	2	0	4	0	34	1	0	0	10	2
GTEX-P4QT	74	0	43	4	0	7	0	42	2	0	0	6	4
GTEX-1B932	152	1	136	0	0	12	6	74	3	0	0	16	13
GTEX-QDVJ	88	0	85	0	0	9	3	53	1	0	0	19	3
GTEX-1EX96	71	0	60	3	0	7	0	48	3	0	0	15	3
GTEX-TKQ2	136	1	107	3	0	11	1	71	0	0	0	25	2
GTEX-14DAQ	132	1	144	2	0	16	2	96	2	0	0	20	10
GTEX-WFG7	120	1	87	1	0	13	1	51	2	0	0	7	2
GTEX-ZEX8	246	0	186	3	0	31	5	121	10	0	0	30	5
GTEX-13FHO	74	0	65	2	0	6	0	33	4	0	0	13	0
GTEX-146FH	52	1	38	3	0	6	0	26	1	0	0	6	2
GTEX-14BIM	148	0	119	0	0	11	1	87	1	0	0	17	3
GTEX-Y5V6	96	0	76	1	0	9	2	66	2	0	0	11	2
GTEX-VJWN	112	0	88	5	0	8	2	51	3	0	0	11	6
GTEX-PW2O	26	0	27	1	0	3	2	19	0	0	0	2	2
GTEX-15UKP	125	0	122	0	0	11	4	60	2	0	0	10	8
GTEX-13NZB	65	0	75	3	0	3	3	52	1	0	0	11	3
GTEX-17HHY	93	1	94	1	0	5	3	51	4	0	0	7	8
GTEX-Z9EW	86	0	78	3	0	7	4	61	3	0	0	6	4
GTEX-11GS4	155	0	128	6	0	10	1	91	2	1	0	15	8
GTEX-1QP67	169	0	125	2	0	7	7	90	2	0	0	13	7
GTEX-S95S	81	0	67	1	0	6	3	33	3	0	0	8	7
