individual	chr15:66494552:66495330:cluster8438	chr15:66494552:66497490:cluster8438	chr15:66494552:66497642:cluster8438	chr15:66495419:66497490:cluster8438	chr15:66495419:66497642:cluster8438
GTEX-WOFM	338	4	16	12	255
GTEX-1C4CL	101	1	5	6	81
GTEX-U3ZM	147	1	7	11	127
GTEX-1A8G6	79	1	7	6	66
GTEX-14PN4	72	0	4	3	56
GTEX-15SHV	180	2	16	10	136
GTEX-14PJ2	115	2	9	5	78
GTEX-RN64	63	0	5	4	43
GTEX-1GZHY	99	1	4	3	68
GTEX-1JN1M	169	3	11	7	151
GTEX-147JS	60	1	2	1	47
GTEX-15SB6	126	1	4	9	113
GTEX-13RTJ	92	1	6	5	67
GTEX-R55C	67	0	3	2	45
GTEX-14PJ6	134	4	9	6	108
GTEX-1GF9U	99	2	7	6	82
GTEX-OXRL	148	0	6	7	114
GTEX-14PJM	75	2	7	5	75
GTEX-117XS	64	1	4	2	63
GTEX-1EH9U	237	2	19	8	197
GTEX-1MA7W	282	7	15	21	236
GTEX-11ZTT	111	1	5	8	103
GTEX-1GN1U	93	0	4	4	83
GTEX-13111	105	2	8	4	91
GTEX-14PK6	76	0	4	4	58
GTEX-144FL	98	1	9	5	82
GTEX-13QJ3	144	2	7	6	129
GTEX-ZYFD	37	0	2	2	27
GTEX-ZA64	197	2	7	8	140
GTEX-1PIIG	98	3	3	4	75
GTEX-1JJ6O	175	2	6	7	145
GTEX-13OVK	93	3	6	4	83
GTEX-WHSE	108	1	10	9	87
GTEX-1JMQK	127	2	6	7	116
GTEX-14E6E	116	3	5	7	102
GTEX-14C39	162	1	12	8	130
GTEX-17EVP	77	2	3	7	70
GTEX-11P81	79	2	3	4	56
GTEX-13CF3	59	1	3	2	50
GTEX-ZVT4	92	1	4	4	83
GTEX-1CB4I	99	2	4	4	77
GTEX-15DCD	191	5	7	8	143
GTEX-QESD	49	0	2	2	35
GTEX-WWTW	114	0	7	4	76
GTEX-TKQ2	85	0	4	7	75
GTEX-ZEX8	230	3	13	18	202
GTEX-1GF9V	83	0	4	2	59
GTEX-1RAZQ	193	3	10	16	149
GTEX-PX3G	70	1	3	2	42
GTEX-RUSQ	29	0	3	1	27
GTEX-1ICLY	61	0	3	3	47
GTEX-1JKYR	212	2	11	12	144
GTEX-Y5V6	135	1	11	8	89
GTEX-PW2O	32	0	1	3	23
GTEX-ZF29	122	1	6	3	97
GTEX-15UKP	123	3	4	8	91
GTEX-17F97	140	2	5	7	106
GTEX-ZVE2	98	1	9	4	84
GTEX-17HHY	60	0	5	2	42
GTEX-13O3P	94	3	5	6	77
