individual	chr11:64754836:64755089:cluster66001	chr11:64754836:64755273:cluster66001	chr11:64754836:64757779:cluster66001	chr11:64755558:64756237:cluster66001	chr11:64755558:64757779:cluster66001	chr11:64755558:64758246:cluster66001	chr11:64756335:64757779:cluster66001	chr11:64757910:64758246:cluster66001	chr11:64757910:64758437:cluster66001	chr11:64758349:64758437:cluster66001
GTEX-13JVG	6	3431	0	4	3133	0	5	2286	6	2721
GTEX-1CB4G	2	7409	0	6	7967	0	8	5068	13	6210
GTEX-P78B	0	3657	1	5	3609	0	2	2663	3	2976
GTEX-1122O	0	3011	0	0	3045	0	2	1984	11	2365
GTEX-1LB8K	5	12291	2	4	10624	0	5	7957	22	9538
GTEX-15SHU	5	9018	1	19	8895	0	18	5554	23	6606
GTEX-17MFQ	2	4735	0	1	4182	0	2	3217	22	3696
GTEX-TMZS	0	4890	0	0	4688	0	0	3310	9	3538
GTEX-1LC47	0	1600	0	2	1453	0	3	1065	0	1224
GTEX-14753	0	3671	0	0	3702	1	2	2653	0	2966
GTEX-11DXX	6	8310	5	5	8103	0	6	5897	18	6916
GTEX-139T6	0	4681	0	4	4506	0	2	3301	9	3784
GTEX-13PL6	13	6347	1	4	6196	0	4	4606	6	5102
GTEX-12ZZZ	3	2055	0	1	2003	0	3	1395	4	1611
GTEX-13FTX	2	1837	0	2	1629	0	3	1187	4	1410
GTEX-ZDXO	3	4280	1	6	4072	0	4	3198	14	3479
GTEX-1399R	0	2603	0	1	2445	0	0	1803	8	2003
GTEX-X4XY	0	5026	0	5	4936	0	4	3375	5	3759
GTEX-15UF7	4	3511	0	7	2977	1	2	2360	10	2802
GTEX-1PPGY	15	17067	1	13	15411	0	14	11187	80	12428
GTEX-13CF2	6	8778	1	10	8424	0	7	6105	30	7220
GTEX-13RTK	0	2880	0	2	2914	0	1	1969	7	2298
GTEX-1CB4H	4	2042	0	4	2027	0	5	1399	2	1682
GTEX-1OFPY	0	3049	0	0	2647	0	0	1995	4	2290
GTEX-1F75B	0	5662	2	7	5173	0	3	3422	3	4044
GTEX-131YS	7	11426	0	1	11193	0	3	7827	37	9602
GTEX-14PJN	0	2852	0	1	2849	0	2	2065	7	2531
GTEX-12696	1	7086	1	6	7441	2	9	5097	42	5977
GTEX-147F4	9	9381	0	2	9338	0	4	6833	16	7647
GTEX-13W3W	9	3478	1	2	3439	0	1	2490	10	2843
GTEX-QV31	0	3159	1	9	3206	0	6	2125	8	2596
GTEX-11VI4	0	3665	1	0	3625	1	1	2407	6	2873
GTEX-XUW1	0	2377	0	2	2510	0	7	1768	2	1984
GTEX-WZTO	8	6837	2	8	7327	0	4	4904	8	5874
GTEX-1GZ2Q	3	5046	0	2	4638	0	1	3554	0	3837
GTEX-12ZZY	7	5799	0	5	6311	0	5	4258	16	5107
GTEX-XQ3S	13	9738	1	13	10678	0	15	7309	47	8099
GTEX-1GMR3	7	7941	0	8	7399	0	6	5082	8	5824
GTEX-1C6WA	9	14745	0	24	15660	0	24	10828	22	12840
GTEX-XBEW	18	9881	1	1	8994	0	3	6766	23	7752
GTEX-145LU	0	6630	0	2	6041	0	4	4279	18	4816
GTEX-1KD5A	2	10926	1	5	10689	0	5	7560	14	9036
GTEX-1LSNL	10	9101	1	3	7868	0	2	5543	30	6601
GTEX-1S83E	3	12236	1	12	11228	0	8	7682	30	8974
GTEX-ZLV1	4	3519	0	3	3336	0	1	2516	4	3025
GTEX-18A6Q	6	12507	1	18	13057	0	7	9606	37	11313
GTEX-13FTZ	12	9810	0	7	8949	0	7	6966	28	8335
GTEX-17EUY	4	5388	2	1	5117	0	1	3946	4	4539
GTEX-1LGOU	3	6560	3	6	5998	1	5	4335	4	5261
GTEX-1L5NE	0	8557	0	16	7679	0	2	5778	0	6497
GTEX-1I4MK	1	5465	0	7	5304	0	5	3477	4	4186
GTEX-X8HC	3	6095	1	7	5839	0	5	4056	10	4433
GTEX-169BO	0	5381	0	15	5793	0	10	3526	19	4229
GTEX-1MCYP	0	5459	0	1	4919	0	2	3813	0	4345
GTEX-13FTY	5	5148	0	3	4762	0	0	3626	8	3985
GTEX-16NPX	15	12215	1	5	12251	0	5	8024	6	9891
GTEX-1212Z	8	14779	0	21	14349	0	25	10573	34	11871
GTEX-WK11	11	13459	0	10	14270	0	6	9808	19	11680
GTEX-1GN1W	2	4519	0	7	4840	0	7	2953	18	3657
GTEX-1RAZR	7	10039	0	5	8807	0	6	6244	8	7205
GTEX-1211K	0	4235	0	1	4574	0	4	2950	6	3504
GTEX-TSE9	2	5422	2	10	4973	1	12	3488	5	3648
GTEX-W5WG	2	3826	0	4	4112	0	1	2892	7	3240
GTEX-1ICG6	1	1734	0	0	1577	0	4	1101	3	1373
GTEX-1N2DW	14	3639	0	3	3268	0	0	2521	8	2885
GTEX-18D9A	0	4270	0	3	4261	0	0	3030	4	3623
GTEX-T5JC	16	9949	0	4	10660	0	3	7154	5	8119
GTEX-ZV6S	0	4075	0	2	3946	0	0	2629	6	2911
GTEX-14BMU	0	5349	0	4	5035	0	0	3576	5	4189
GTEX-1399T	6	5701	1	4	5599	0	11	3842	13	4658
GTEX-11ZUS	14	9231	1	4	10086	0	5	6412	13	7943
GTEX-P44G	0	2887	0	2	2671	0	2	1957	0	2051
GTEX-14LZ3	5	2804	1	1	2960	0	1	2131	2	2514
GTEX-13O3Q	6	5276	1	4	5730	0	3	3597	12	4472
GTEX-146FQ	5	1653	0	3	1726	0	1	1097	5	1368
GTEX-13QBU	3	3508	0	1	3607	0	1	2313	9	2739
GTEX-XGQ4	0	3956	1	8	3939	0	4	2784	8	3159
GTEX-13U4I	3	1504	0	3	1506	0	3	1003	6	1212
GTEX-13G51	0	4417	4	3	4010	0	6	2826	15	3368
GTEX-WYJK	0	4659	1	1	4708	0	2	3355	0	3712
GTEX-ZDTS	8	10118	1	15	10318	2	10	7585	14	7779
GTEX-1A3MX	4	7878	0	23	7524	0	17	5577	3	6359
GTEX-XOT4	3	9023	4	7	9072	0	15	6502	37	7401
GTEX-11GSO	3	2732	0	5	2470	1	5	1830	9	2115
GTEX-15RIG	10	7061	2	2	7551	0	2	4643	38	5669
GTEX-WRHK	3	9833	1	9	9966	0	7	6722	8	7889
GTEX-11ZVC	0	8970	0	32	9743	0	31	6495	10	7823
GTEX-1339X	2	2774	0	6	3042	0	2	1943	2	2400
GTEX-ZZ64	3	7417	0	3	7709	0	0	4925	24	6256
GTEX-1C6VR	9	5317	1	5	5340	0	7	3807	10	4314
GTEX-QV44	0	1494	0	0	1492	0	0	992	1	1208
GTEX-ZV68	4	7216	0	2	7540	1	2	4756	8	6003
GTEX-1KWVE	8	12472	0	9	12403	0	5	8724	25	10123
GTEX-ZF3C	9	3720	0	6	3629	0	4	2802	4	3243
GTEX-PWCY	2	7289	1	9	7350	0	6	4936	10	5859
GTEX-14BIL	5	10241	0	18	11270	0	19	7533	18	8459
GTEX-18A67	11	7863	1	11	8543	0	1	5153	28	6575
GTEX-1GMRU	16	9767	1	8	9348	0	6	6365	21	7226
GTEX-X261	0	5969	2	6	6197	0	3	4117	3	5113
GTEX-YEC3	0	4415	0	0	4373	0	2	3158	13	3702
GTEX-Y3I4	0	2831	0	5	2866	0	2	2101	11	2560
GTEX-1269C	10	5093	0	2	5272	0	0	3351	12	3870
GTEX-11ZU8	2	2498	0	5	2487	0	2	1848	9	2114
GTEX-1192X	2	5421	0	5	5379	0	5	3753	4	4263
GTEX-1LSNM	0	2098	0	3	1962	0	0	1329	7	1595
GTEX-15D79	16	7120	1	5	7457	1	4	5032	22	6254
GTEX-1RAZA	1	7521	0	2	6694	0	3	5115	29	6097
GTEX-13OVH	0	3456	0	0	3328	0	1	2302	18	2837
GTEX-U3ZN	2	3180	2	4	2863	0	3	2234	12	2305
GTEX-11ZTS	2	4413	0	4	4342	0	4	2731	14	3331
GTEX-13N1W	5	9164	0	11	9471	0	6	6417	26	7695
GTEX-117YW	5	12256	2	11	12014	0	8	9114	14	10356
GTEX-16MT8	0	5159	0	16	5199	1	21	3820	0	4426
GTEX-1R9K4	0	2584	1	1	2246	0	6	1662	9	1864
GTEX-YJ8O	1	5911	0	6	5954	0	5	4079	8	4766
GTEX-1QEPI	8	9057	0	12	7975	0	11	5850	19	6823
GTEX-ZC5H	0	2368	0	0	2511	0	2	1739	2	2106
GTEX-Y9LG	2	3437	0	5	3481	0	4	2429	9	2844
GTEX-Y5LM	0	3025	0	3	2772	0	2	1978	0	2121
GTEX-11EI6	4	2703	0	4	2881	0	3	1931	5	2392
GTEX-17KNJ	4	1852	0	4	1917	0	3	1423	11	1676
GTEX-QDT8	3	3150	1	12	3271	0	3	2242	17	2653
GTEX-1A8FM	7	12918	1	5	12134	0	26	7739	23	9193
GTEX-15RIF	21	8303	0	6	8482	0	7	5687	22	7139
GTEX-1M5QR	15	5789	0	3	5497	0	2	3684	8	4308
GTEX-XPVG	2	4861	0	3	5329	1	1	3540	16	3966
GTEX-ZT9X	0	3081	0	6	2910	0	6	2122	3	2503
GTEX-1IDJF	0	2905	0	1	2952	0	2	1939	6	2293
GTEX-183WM	0	380	0	1	343	0	0	274	0	303
GTEX-11LCK	0	4167	0	2	3789	0	3	2727	3	3114
GTEX-1S82Y	3	9431	3	4	8896	2	2	6105	10	7495
GTEX-18A66	1	2811	0	3	2542	0	0	2000	11	2339
GTEX-XBEC	0	5788	0	8	5324	1	6	4222	21	4769
GTEX-15CHC	6	5352	0	5	5069	1	7	3826	27	4679
GTEX-ZTPG	0	1335	0	3	1278	0	2	855	3	1010
GTEX-1399U	3	4393	0	3	4398	0	1	3153	29	3710
GTEX-13SLW	2	1658	1	0	1457	0	0	1087	5	1305
GTEX-16GPK	7	8425	3	6	8428	0	11	5374	21	6290
GTEX-1PIEJ	2	7944	0	8	7015	1	4	4951	17	5572
GTEX-132Q8	0	1407	0	0	1280	0	0	904	1	1026
GTEX-13112	14	6870	0	5	6035	1	6	4443	7	5143
GTEX-18A7A	1	6385	0	12	6454	0	4	4546	20	5577
GTEX-ZAK1	5	7700	1	10	8108	0	11	5299	3	6456
GTEX-1PBJJ	1	3756	0	3	3868	0	1	2697	2	3004
GTEX-13OW8	0	4941	0	12	4498	0	14	3415	27	3822
GTEX-1QP2A	1	8363	4	6	7802	0	7	5225	16	6070
GTEX-145MH	3	7570	2	4	7504	0	4	5270	22	6249
GTEX-1F52S	1	1470	0	1	1420	0	0	928	0	1105
GTEX-11GSP	4	6968	0	8	7638	0	4	5175	12	6080
GTEX-1A3MV	0	3930	0	5	3845	0	1	2748	14	3437
GTEX-144GM	0	4655	0	3	4944	0	7	3128	4	3875
GTEX-1LVAM	5	5885	0	1	5352	0	1	3839	13	4898
GTEX-133LE	9	3981	2	1	3851	0	1	2577	8	3191
GTEX-X5EB	0	4346	0	5	4129	0	14	2861	10	3230
GTEX-16XZZ	0	2081	0	2	2051	0	5	1332	3	1548
GTEX-ZAB4	0	1767	0	6	1852	0	7	1291	12	1497
GTEX-14PII	3	4934	0	11	4953	1	6	3696	9	4389
GTEX-13OW6	0	6607	0	9	7138	0	4	4456	13	5341
GTEX-ZPCL	0	4697	0	3	4718	0	0	3245	7	3805
GTEX-WOFM	0	6562	0	8	6635	0	3	4512	3	5380
GTEX-1LG7Z	1	6232	0	11	6107	0	9	4557	22	5611
GTEX-1C4CL	1	2552	0	3	2524	0	1	1884	10	2162
GTEX-14PN4	0	2142	0	2	2112	0	4	1546	2	1898
GTEX-13VXU	4	8531	2	10	8636	0	5	5786	7	7409
GTEX-1QP66	3	1429	0	0	1356	0	1	873	3	1009
GTEX-1GZHY	6	7226	0	3	6852	0	3	4784	11	5469
GTEX-1JN1M	0	2122	0	7	2118	0	5	1402	3	1696
GTEX-147JS	14	7147	0	12	6735	0	14	4875	23	5345
GTEX-15SB6	2	7125	0	2	6861	0	3	5152	15	6107
GTEX-144GL	11	6005	0	10	5873	0	9	4302	15	4673
GTEX-1MCQQ	11	9147	2	21	7614	0	14	5915	34	6667
GTEX-14PJM	1	8479	3	7	9019	0	9	6269	47	7549
GTEX-139YR	0	2392	0	0	2484	0	4	1718	3	1890
GTEX-1MA7W	2	3889	0	2	3834	0	0	2753	19	3112
GTEX-ZVZP	3	1185	0	0	1184	0	0	811	6	1047
GTEX-WY7C	4	9042	0	5	9008	3	6	6731	25	7856
GTEX-14LLW	2	5565	0	1	5250	0	2	3987	2	4605
GTEX-VUSG	5	9922	1	10	9349	0	12	6802	26	8202
GTEX-13QIC	3	4704	2	3	4795	0	0	3074	7	3779
GTEX-11ZTT	7	7988	0	2	7983	0	7	5479	22	6666
GTEX-12WSL	8	6922	0	11	6961	0	5	4786	9	5610
GTEX-12KS4	5	5951	0	13	5226	0	5	3918	4	4492
GTEX-11I78	8	5226	0	5	5544	0	3	3708	15	4528
GTEX-1GMR8	3	6648	1	11	6500	0	0	4230	4	5333
GTEX-1GPI6	0	6938	0	7	6856	1	5	4814	12	5413
GTEX-Z93S	0	8355	1	3	8519	2	5	5931	26	6943
GTEX-1GN1U	0	2104	1	4	1950	0	4	1351	5	1801
GTEX-14H4A	10	3623	0	4	3707	0	5	2637	17	3048
GTEX-1CAMQ	1	3870	0	5	3661	0	1	2398	15	2901
GTEX-13QJ3	1	7297	2	3	7631	0	7	5117	19	6069
GTEX-ZYFD	0	4785	2	3	5000	0	6	3426	11	3778
GTEX-14JG1	12	8474	1	10	8944	0	14	5797	23	6939
GTEX-ZVE1	9	6415	0	0	5659	0	6	4483	3	4841
GTEX-11XUK	0	3595	0	2	3733	0	3	2520	4	2924
GTEX-REY6	0	10021	0	10	10294	0	18	6848	25	7718
GTEX-1JJ6O	1	3743	0	6	3754	0	2	2572	0	2866
GTEX-13OVK	4	2056	1	1	1762	0	1	1292	5	1499
GTEX-WRHU	3	11481	0	5	12053	0	7	8164	26	9744
GTEX-Y8LW	6	6081	0	2	5904	1	2	4560	16	5352
GTEX-13OVG	0	2929	0	10	2957	0	1	2011	2	2532
GTEX-YECK	1	7888	5	4	7218	0	4	4836	32	5454
GTEX-WHSE	3	10125	3	7	10737	0	14	6704	12	7960
GTEX-12WSA	3	1666	0	0	1690	0	0	1076	7	1380
GTEX-14XAO	0	1583	0	5	1484	0	1	1023	6	1151
GTEX-1GN2E	3	6658	0	1	6963	0	2	4619	16	5395
GTEX-1JMQK	1	1118	1	2	1002	0	0	754	0	807
GTEX-ZP4G	7	5750	0	11	5359	0	5	3764	5	4529
GTEX-15DZA	2	5034	1	0	4921	0	3	3462	9	4068
GTEX-ZGAY	0	6500	0	3	6026	1	3	4381	14	5303
GTEX-14C39	0	5127	0	14	4706	0	10	3577	5	4173
GTEX-1B8SF	2	5182	2	4	4634	0	3	3650	27	4137
GTEX-147GR	19	9459	0	5	9532	0	3	6546	13	7136
GTEX-ZVT4	3	6956	0	4	6669	0	10	4829	15	5787
GTEX-1R9K5	0	6581	2	7	6169	0	10	4154	20	5074
GTEX-12WSF	7	11168	4	10	10099	0	8	7867	6	9265
GTEX-12584	0	4766	1	7	4734	0	8	3357	15	3862
GTEX-1CB4I	2	2546	0	3	2577	0	4	1799	3	2075
GTEX-1R9JW	2	752	0	0	696	0	0	548	0	598
GTEX-QESD	3	6783	0	3	7019	0	1	4669	19	5831
GTEX-1399S	0	1732	0	0	1796	0	3	1171	12	1475
GTEX-11O72	1	3637	0	2	3861	0	2	2561	0	2963
GTEX-13X6K	0	3732	0	10	3359	0	5	2436	11	2892
GTEX-1A8G7	6	5236	0	2	4700	1	5	3733	6	4336
GTEX-1B932	0	6437	2	0	5907	0	0	4586	19	5331
GTEX-1EX96	4	4076	2	7	3686	0	3	2644	4	2937
GTEX-RM2N	0	2646	0	1	2882	0	0	1885	2	2251
GTEX-14DAQ	2	15403	4	10	16446	0	3	11448	22	13440
GTEX-WFG7	5	4207	0	2	3691	0	0	2844	13	3247
GTEX-ZEX8	0	3728	0	3	3353	0	5	2504	2	2918
GTEX-WL46	18	12081	0	5	12239	0	5	7948	31	8592
GTEX-1GF9V	8	9719	0	4	10033	0	3	6666	19	7705
GTEX-1RAZQ	7	5761	0	6	5135	1	2	3881	20	4460
GTEX-13FHO	1	4213	0	6	4240	0	6	3079	1	3480
GTEX-146FH	0	3296	0	3	3193	0	2	2370	10	2698
GTEX-1477Z	3	1872	0	3	1714	0	4	1222	2	1441
GTEX-14BIM	8	3635	0	5	3722	0	7	2632	0	2884
GTEX-17F98	2	5405	0	7	5168	1	11	3625	19	4116
GTEX-111CU	6	2483	0	4	2609	0	7	1710	10	2164
GTEX-XAJ8	6	7328	4	2	6815	1	3	4963	16	5530
GTEX-15UKP	7	3779	0	5	4132	0	6	2540	12	2973
GTEX-17F97	0	4087	0	9	3865	0	10	2936	3	3450
GTEX-PSDG	0	4421	0	3	4294	0	4	3141	0	3567
GTEX-17HHY	3	6339	0	6	5455	0	4	4263	14	4852
GTEX-13O3P	2	5155	0	2	5054	0	3	3857	0	3959
GTEX-Z9EW	3	4204	0	2	4163	0	5	2880	11	3557
GTEX-ZVT3	4	9252	1	8	9835	0	8	6411	16	7679
GTEX-OXRN	2	3079	0	5	3352	2	1	2359	7	2709
GTEX-XV7Q	0	1147	0	0	1010	0	0	787	0	854
