individual	chr7:44114945:44115295:cluster45328	chr7:44114945:44115766:cluster45328	chr7:44115354:44115766:cluster45328	chr7:44115396:44115766:cluster45328	chr7:44115396:44116430:cluster45328	chr7:44115893:44116115:cluster45328	chr7:44115893:44116430:cluster45328	chr7:44116272:44116430:cluster45328
GTEX-1QP9N	212	1	4	265	0	263	3	229
GTEX-11ZUS	137	1	5	146	0	184	5	143
GTEX-131XF	192	0	8	269	0	283	6	202
GTEX-1F75A	218	3	9	285	0	276	7	200
GTEX-P44G	125	1	2	134	0	151	4	118
GTEX-13O3Q	147	1	5	192	0	191	4	171
GTEX-13U4I	330	3	11	366	0	375	4	301
GTEX-13G51	151	0	5	153	0	169	4	126
GTEX-WYJK	385	2	12	452	0	441	10	403
GTEX-ZDTS	99	0	3	147	0	150	4	119
GTEX-17GQL	325	6	18	408	0	444	9	391
GTEX-15RIG	281	2	4	329	0	358	6	291
GTEX-WRHK	220	1	5	287	0	274	8	219
GTEX-1E1VI	103	0	2	142	0	156	2	118
GTEX-15G1A	360	3	11	380	0	425	12	345
GTEX-17HGU	69	1	2	90	0	101	2	76
GTEX-1JMQI	718	2	18	782	0	922	13	674
GTEX-11OF3	239	1	5	302	0	327	4	270
GTEX-1R46S	298	2	11	321	0	350	12	252
GTEX-11UD2	205	3	8	249	0	262	10	199
GTEX-1KWVE	160	0	3	219	0	230	4	173
GTEX-PWCY	192	0	9	261	0	278	2	219
GTEX-14BIL	211	2	11	274	0	316	6	264
GTEX-1GMRU	179	4	7	219	0	243	2	173
GTEX-OIZH	244	3	10	323	0	339	9	319
GTEX-11ZU8	269	4	4	288	0	334	6	250
GTEX-1192X	165	2	6	228	0	267	6	208
GTEX-1RAZA	244	2	11	319	0	326	11	273
GTEX-1EU9M	245	5	5	291	0	296	4	228
GTEX-U3ZN	243	2	7	312	0	352	9	303
GTEX-145MO	245	4	6	284	0	307	3	255
GTEX-117YW	148	1	8	213	0	188	5	158
GTEX-1AX9J	108	1	5	153	0	183	4	128
GTEX-1F7RK	178	1	5	208	0	223	6	175
GTEX-Y9LG	225	2	7	267	0	280	8	249
GTEX-11EI6	252	5	10	282	0	299	6	239
GTEX-17KNJ	240	3	11	318	0	344	8	281
GTEX-1M5QR	334	3	8	393	0	364	10	347
GTEX-ZT9X	184	3	6	235	0	245	9	216
GTEX-P4PQ	479	4	12	603	0	603	7	555
GTEX-1S82Y	314	4	5	370	0	434	12	361
GTEX-XBEC	152	2	5	188	0	190	5	161
GTEX-15CHC	356	4	12	398	0	427	2	386
GTEX-13O21	247	1	6	292	0	308	4	290
GTEX-1RB15	243	0	6	292	0	298	7	250
GTEX-YB5K	165	2	8	211	0	231	7	194
GTEX-1PIEJ	194	3	1	241	0	249	7	203
GTEX-15CHR	285	1	11	369	0	327	8	291
GTEX-132Q8	262	3	8	311	0	319	6	259
GTEX-1RQED	346	0	9	408	0	407	13	320
GTEX-1GZ4I	320	4	16	439	0	465	5	375
GTEX-1PBJJ	297	2	7	379	0	367	8	342
GTEX-R55G	58	0	4	69	0	81	0	64
GTEX-16XZY	145	1	5	167	0	201	4	180
GTEX-13X6H	233	2	13	289	0	342	5	263
GTEX-1F52S	208	2	8	252	0	287	8	186
GTEX-1A3MV	394	3	12	461	0	420	14	372
GTEX-1IDJE	272	1	8	355	0	352	11	261
GTEX-144GM	147	3	6	197	0	204	6	172
GTEX-1LVAM	286	1	8	331	0	356	3	326
GTEX-133LE	199	1	7	245	0	241	9	229
GTEX-1K2DU	191	1	9	238	0	293	8	203
GTEX-ZAB4	189	0	5	219	0	258	6	192
GTEX-15ER7	435	2	12	444	0	535	16	450
GTEX-1A8G6	228	0	7	280	0	266	4	257
GTEX-13VXU	203	3	8	255	0	269	6	248
GTEX-T6MN	42	0	3	60	0	72	1	47
GTEX-18465	191	2	6	234	0	238	5	191
GTEX-RN64	183	0	7	213	0	213	3	194
GTEX-1QP66	739	0	25	893	0	908	12	765
GTEX-1JN1M	370	4	18	407	0	433	12	339
GTEX-147JS	98	0	5	119	0	128	4	93
GTEX-R55C	125	0	2	171	0	163	2	133
GTEX-14PJ6	270	0	5	296	0	333	11	278
GTEX-OXRL	197	3	9	270	0	251	7	208
GTEX-1B8KZ	223	4	4	281	0	292	5	267
GTEX-15SKB	371	0	6	452	0	517	10	424
GTEX-U8XE	146	0	3	168	0	183	6	162
GTEX-11ONC	127	1	5	140	0	192	3	145
GTEX-WY7C	224	0	5	253	0	287	9	249
GTEX-11ZTT	249	5	11	348	0	383	12	290
GTEX-12KS4	191	0	3	243	0	260	4	187
GTEX-1GN1U	169	0	5	208	0	209	7	182
GTEX-111YS	131	2	7	165	0	191	5	157
GTEX-14H4A	190	0	3	202	0	234	7	191
GTEX-139TS	238	0	9	290	0	326	7	282
GTEX-XMD2	378	5	12	407	0	397	12	350
GTEX-14JG1	138	2	5	180	0	211	3	170
GTEX-ZVE1	155	2	8	208	0	218	6	157
GTEX-1JJ6O	323	4	8	433	0	472	5	367
GTEX-13OVG	184	0	8	216	0	235	10	194
GTEX-12ZZX	107	2	3	129	0	144	1	105
GTEX-WHSE	145	0	5	155	0	159	5	122
GTEX-14XAO	235	0	7	302	0	291	5	229
GTEX-14E6E	177	0	5	207	0	248	4	174
GTEX-14C39	205	2	4	233	0	250	10	198
GTEX-1B8SF	252	2	12	286	0	340	8	264
GTEX-13CF3	108	2	2	122	0	129	4	112
GTEX-12584	292	4	9	369	0	426	4	317
GTEX-1R9JW	459	2	18	614	0	580	15	452
GTEX-15DCD	277	1	10	345	0	369	6	281
GTEX-1399S	193	0	7	244	0	254	7	239
GTEX-11O72	321	3	12	387	0	435	5	354
GTEX-P4QT	210	3	7	249	0	301	8	251
GTEX-Q734	228	3	4	248	0	259	9	198
GTEX-1B932	183	0	5	233	0	234	9	189
GTEX-ZEX8	351	4	5	460	0	450	15	358
GTEX-WL46	281	2	12	321	0	326	11	266
GTEX-146FH	78	0	4	95	0	94	3	84
GTEX-RUSQ	64	1	4	84	0	95	0	66
GTEX-U3ZH	282	1	10	323	0	334	4	296
GTEX-1ICLY	174	0	8	223	0	233	3	184
GTEX-YFC4	187	3	6	251	0	249	4	228
GTEX-1JKYR	231	1	11	250	0	257	5	236
GTEX-14BIM	374	1	11	467	0	522	11	389
GTEX-1QP67	300	3	14	388	0	413	13	336
GTEX-OXRN	423	0	16	517	0	550	17	446
GTEX-S95S	139	0	6	179	0	175	5	134
GTEX-1QP28	167	0	6	214	0	217	6	188
GTEX-XV7Q	465	0	18	544	0	569	9	491
GTEX-13OW7	147	0	5	179	0	196	7	154
