individual	chr3:47877523:47891024:cluster48677	chr3:47877523:47902950:cluster48677	chr3:47877523:47909038:cluster48677	chr3:47877523:47914817:cluster48677	chr3:47877523:47915951:cluster48677	chr3:47903000:47909038:cluster48677	chr3:47912421:47914817:cluster48677	chr3:47912421:47915951:cluster48677	chr3:47914939:47915951:cluster48677	chr3:47916541:47918719:cluster48677	chr3:47917165:47918719:cluster48677	chr3:47917174:47918719:cluster48677	chr3:47917174:47921765:cluster48677	chr3:47917174:47928228:cluster48677	chr3:47918841:47921765:cluster48677	chr3:47918841:47928228:cluster48677	chr3:47921878:47928228:cluster48677
GTEX-XOT4	1	41	700	29	0	51	420	0	308	0	0	270	23	0	332	4	332
GTEX-11GSO	0	36	668	14	0	31	308	0	228	2	0	198	57	0	231	0	292
GTEX-1FIGZ	0	17	619	29	0	21	390	0	272	1	0	250	39	0	260	3	294
GTEX-15RIG	2	45	725	11	0	45	409	0	250	2	0	215	49	2	239	2	330
GTEX-WRHK	0	29	1128	47	1	44	599	0	499	0	0	344	57	0	410	7	445
GTEX-13FTW	0	13	455	28	0	14	292	0	189	1	1	157	46	0	172	0	211
GTEX-QEG5	1	27	850	44	0	33	508	0	271	0	0	246	45	0	269	1	306
GTEX-11ZVC	0	76	1032	61	0	104	676	0	434	0	0	416	60	2	516	8	619
GTEX-1339X	0	19	339	28	0	17	180	0	147	0	0	109	15	0	117	1	133
GTEX-15G1A	0	79	1567	63	0	88	892	0	565	4	0	533	139	7	574	19	723
GTEX-1C6VR	0	59	780	42	0	55	418	0	359	1	0	278	31	0	314	5	361
GTEX-1JMQI	2	60	829	34	0	72	374	0	278	0	0	244	29	1	240	4	272
GTEX-11OF3	0	48	681	35	0	46	330	0	315	0	0	209	18	0	248	2	267
GTEX-11UD2	0	30	533	28	0	40	312	0	182	0	0	208	23	0	248	3	269
GTEX-1KWVE	0	34	739	31	0	39	394	0	270	0	0	292	39	0	305	8	351
GTEX-ZF3C	0	70	833	34	0	71	500	0	344	0	0	268	60	0	323	5	381
GTEX-PWCY	1	50	1157	28	0	57	623	0	420	2	0	354	47	1	391	4	464
GTEX-Y111	0	39	532	51	0	47	297	0	259	0	0	184	22	3	253	2	283
GTEX-14BIL	0	63	976	37	0	60	492	0	329	0	0	340	37	1	349	7	371
GTEX-SJXC	0	67	1193	47	0	85	588	0	632	0	0	441	27	0	540	3	530
GTEX-1GMRU	0	36	804	49	0	35	486	0	324	0	0	329	50	0	371	3	424
GTEX-1A3MW	2	20	534	52	0	28	324	0	276	0	0	210	23	0	251	3	262
GTEX-X261	0	35	664	29	0	31	319	0	270	0	0	189	42	2	207	1	241
GTEX-13FH7	2	33	515	33	0	42	300	0	243	1	0	215	43	0	224	4	297
GTEX-YEC3	2	71	1032	38	0	68	580	0	417	3	1	344	120	4	364	3	540
GTEX-Y3I4	1	30	700	22	0	45	385	0	301	1	0	190	43	0	221	7	231
GTEX-S32W	0	21	400	25	0	23	184	0	178	0	0	174	16	0	133	6	212
GTEX-18D9U	0	83	1360	44	0	74	933	0	611	7	0	535	149	4	599	8	702
GTEX-1LVA9	0	25	640	34	0	28	264	0	204	0	0	133	13	1	207	2	197
GTEX-1192X	0	29	940	20	0	28	447	0	305	0	0	260	45	0	323	3	314
GTEX-15D79	0	46	732	20	0	49	358	0	264	0	0	197	36	1	226	4	218
GTEX-1RAZA	0	58	1521	74	0	66	923	0	820	5	2	603	104	2	650	17	787
GTEX-13OVH	0	74	937	31	0	91	546	0	399	2	0	268	54	0	339	3	381
GTEX-1EU9M	0	44	996	69	0	36	523	0	358	0	0	336	40	0	345	4	343
GTEX-U3ZN	7	128	1734	96	0	141	716	0	801	9	0	512	79	2	667	7	769
GTEX-11ZTS	0	20	522	20	0	29	253	0	140	0	0	121	22	0	178	3	206
GTEX-WYVS	2	75	1197	42	0	85	473	0	335	0	0	273	45	0	302	3	392
GTEX-13N1W	0	17	576	31	0	28	321	0	232	0	0	211	29	0	185	1	260
GTEX-16MT8	0	114	1123	50	0	120	706	0	506	0	0	389	41	0	438	8	493
GTEX-111VG	0	62	719	20	0	57	466	0	339	0	0	277	67	0	308	3	375
GTEX-1F6IF	0	119	1499	60	0	136	635	0	507	1	1	467	55	1	546	4	617
GTEX-YJ8O	0	25	417	16	0	22	200	0	122	0	0	98	20	0	149	3	151
GTEX-15CHQ	0	38	768	54	0	44	376	0	271	1	0	251	38	0	290	4	295
GTEX-1A8FM	0	52	917	47	0	65	469	0	373	1	2	318	49	0	331	7	398
GTEX-V1D1	0	44	832	32	0	63	407	0	424	0	0	234	28	0	303	7	431
GTEX-15RIF	0	29	905	34	0	38	368	0	283	0	0	248	22	0	234	3	301
GTEX-1M5QR	1	56	1078	22	0	55	554	0	424	1	0	325	70	0	349	5	422
GTEX-1JN6P	0	34	667	22	0	35	336	0	242	0	0	241	37	0	244	1	248
GTEX-1AMEY	0	32	894	35	0	39	423	0	327	3	0	286	53	0	291	5	353
GTEX-1IDJF	0	88	1815	53	0	107	1012	0	627	5	0	569	164	6	579	7	771
GTEX-1GN73	0	70	947	65	0	88	616	0	448	2	0	352	87	0	415	2	471
GTEX-11LCK	0	18	439	27	0	19	224	0	176	0	0	149	25	2	143	2	177
GTEX-RTLS	0	57	764	31	0	48	343	0	244	0	0	216	45	0	219	3	250
GTEX-OXRP	0	25	328	11	0	25	202	0	154	0	0	132	18	2	114	2	151
GTEX-14E6D	0	51	745	40	0	52	495	0	321	3	0	284	63	3	360	3	421
GTEX-1S82Y	0	78	1291	46	0	85	720	0	615	1	0	434	74	2	534	5	643
GTEX-XBEC	0	31	526	24	0	43	201	0	183	0	0	132	22	0	165	0	175
GTEX-1QAET	0	61	747	26	0	69	400	0	377	1	0	276	45	1	286	2	355
GTEX-13O21	0	58	679	50	0	61	465	0	378	1	0	274	48	2	323	2	363
GTEX-1QCLZ	0	41	730	21	0	49	421	0	372	0	0	262	50	1	308	1	321
GTEX-1RB15	0	47	785	13	0	52	407	0	319	0	0	236	35	0	227	8	239
GTEX-1314G	1	47	1076	22	0	54	623	0	360	2	0	335	76	0	412	5	515
GTEX-PLZ6	0	40	505	23	0	50	277	0	176	2	0	149	21	0	193	0	183
GTEX-1399U	2	24	796	19	0	34	375	0	224	0	0	211	55	1	229	2	300
GTEX-16GPK	0	15	570	29	0	21	276	0	199	0	0	164	25	0	204	0	212
GTEX-1PIEJ	1	29	943	54	0	36	443	0	401	0	0	358	85	4	317	4	424
GTEX-15CHR	0	39	754	58	0	41	337	0	285	2	0	204	28	1	188	7	258
GTEX-13112	1	40	579	39	0	52	275	0	209	0	0	170	28	1	201	2	235
GTEX-18A7A	0	69	724	38	0	85	486	0	350	1	0	326	47	0	344	4	339
GTEX-ZAK1	0	26	471	23	0	26	231	0	136	0	0	133	18	0	158	3	151
GTEX-1GZ4I	0	77	1214	118	0	74	628	0	491	1	0	422	76	1	473	3	524
GTEX-1PBJJ	0	47	1033	27	0	55	462	0	422	0	0	305	63	0	323	2	384
GTEX-145MH	0	25	551	26	0	36	312	0	241	0	0	155	28	0	178	2	234
GTEX-1E2YA	0	55	921	25	0	68	592	0	356	0	0	304	57	0	377	2	455
GTEX-16XZY	0	64	964	28	0	58	496	0	344	0	0	290	31	0	351	4	386
GTEX-13X6H	0	14	528	40	0	13	271	0	175	0	0	127	26	0	193	0	212
GTEX-1F52S	0	55	952	37	0	63	610	0	463	0	0	345	93	4	400	14	497
GTEX-11GSP	0	17	434	35	0	25	220	0	198	0	0	113	16	0	162	1	190
GTEX-1A3MV	1	73	917	34	0	70	593	0	509	3	0	315	55	1	345	5	393
GTEX-144GM	2	42	1098	25	0	60	623	0	399	4	0	314	69	3	394	5	429
GTEX-1LVAM	0	22	860	25	0	28	425	0	306	0	0	248	22	0	292	1	305
GTEX-133LE	1	48	951	18	0	47	482	0	329	2	0	251	39	2	303	3	344
GTEX-1R9PO	0	69	793	42	0	80	365	0	303	0	0	250	36	0	285	3	317
GTEX-X5EB	0	10	482	15	0	17	248	0	180	0	0	155	37	0	155	0	204
GTEX-16XZZ	1	41	817	58	0	36	380	0	250	1	0	232	39	0	309	7	278
GTEX-O5YV	0	19	643	19	0	22	344	0	244	0	0	236	24	1	230	6	236
GTEX-14PII	0	26	843	43	0	30	433	0	360	4	0	235	44	0	283	3	309
GTEX-15ER7	1	125	2289	67	1	132	1083	0	850	1	1	803	93	0	846	10	859
GTEX-T8EM	0	77	1878	41	0	121	779	0	722	4	0	625	104	2	674	15	848
GTEX-13OW6	1	39	564	27	0	47	318	0	233	1	0	196	14	0	198	6	266
GTEX-ZPCL	0	31	1012	20	0	41	546	0	461	1	0	342	74	2	411	3	488
GTEX-1LG7Z	0	69	883	71	0	71	564	0	499	1	0	409	72	2	447	7	515
GTEX-WFON	1	48	1159	49	0	47	648	0	482	0	0	407	101	2	391	7	457
GTEX-13VXU	1	60	868	36	0	75	462	0	319	1	0	261	22	0	301	0	302
GTEX-SNMC	0	95	1267	34	0	82	460	0	465	1	0	341	38	4	355	9	459
GTEX-T6MN	0	20	359	16	0	21	187	0	112	0	0	123	15	0	139	0	158
GTEX-18465	0	47	724	25	0	63	331	0	221	0	0	196	30	0	222	4	244
GTEX-14PJ2	0	57	758	24	0	67	346	0	255	2	1	203	59	0	222	3	286
GTEX-1128S	0	38	788	48	0	38	360	0	239	0	0	192	39	0	206	3	248
GTEX-RN64	0	31	774	29	0	35	495	0	311	0	0	265	24	0	294	7	322
GTEX-1GZHY	0	30	646	19	0	34	320	0	238	0	0	229	27	0	234	2	257
GTEX-147JS	1	50	608	24	0	53	369	0	301	0	0	182	39	0	230	0	249
GTEX-15SB6	0	59	1763	28	0	99	1011	0	653	0	0	529	107	0	621	8	784
GTEX-QCQG	2	53	1035	22	0	54	615	0	480	2	0	427	110	0	438	7	543
GTEX-144GL	0	53	607	28	1	59	315	0	270	0	0	207	18	1	234	1	259
GTEX-14PJ6	2	69	1052	31	0	93	603	0	500	0	0	395	84	1	431	3	490
GTEX-1MCQQ	2	32	606	32	0	24	301	0	221	0	0	156	33	2	201	3	234
GTEX-OXRL	0	40	1068	26	0	50	460	0	299	3	1	286	51	1	322	3	342
GTEX-11NSD	2	33	622	15	0	34	337	0	280	5	0	175	59	0	243	3	288
GTEX-14PJM	0	53	777	37	0	57	528	0	347	0	0	313	36	1	310	4	384
GTEX-117XS	0	34	594	19	0	28	371	0	230	0	0	188	35	0	266	2	294
GTEX-1B8KZ	0	65	708	39	0	73	304	0	258	0	0	219	25	0	304	6	298
GTEX-1445S	0	43	786	16	0	66	487	0	259	0	0	286	44	0	309	2	374
GTEX-15SKB	1	36	1192	32	1	29	557	0	470	0	0	333	23	3	390	13	392
GTEX-U8XE	0	54	1012	20	0	47	444	0	293	1	2	278	68	0	250	0	347
GTEX-WY7C	1	46	1083	51	0	46	523	0	450	1	1	384	58	3	391	1	490
GTEX-11ZTT	2	67	833	25	0	81	425	0	285	0	1	236	52	0	245	2	329
GTEX-12KS4	0	64	710	26	0	72	380	0	306	0	0	209	31	0	231	3	288
GTEX-11I78	0	22	584	12	0	21	371	0	247	0	0	176	41	2	192	4	242
GTEX-1GMR8	0	29	780	45	0	31	397	0	319	0	0	239	24	0	338	3	348
GTEX-1GPI6	0	27	471	24	0	23	229	0	169	0	0	147	25	0	158	3	162
GTEX-Z93S	1	30	905	30	0	36	479	0	295	0	0	272	42	0	354	1	363
GTEX-X4EO	1	76	1002	43	0	87	541	0	364	1	0	317	43	0	336	3	389
GTEX-13111	0	23	577	19	0	21	333	0	223	0	0	200	42	0	264	2	299
GTEX-14H4A	0	33	630	14	0	32	325	0	259	2	1	175	40	0	201	2	213
GTEX-139TS	1	42	735	30	0	49	380	0	298	1	0	247	27	0	261	1	231
GTEX-1B8L1	0	24	498	30	0	28	309	0	211	0	0	210	13	0	228	1	238
GTEX-13QJ3	0	128	1430	56	1	133	899	0	607	1	0	467	103	4	581	5	704
GTEX-ZYFD	0	19	244	18	0	28	128	0	117	0	0	94	14	0	76	0	101
GTEX-14JG1	0	50	756	19	0	51	425	0	247	0	0	212	27	0	252	3	274
GTEX-1PIIG	2	44	785	30	0	54	428	0	320	1	1	314	41	2	365	10	356
GTEX-17JCI	0	36	631	32	0	42	363	0	257	0	0	214	42	0	288	4	274
GTEX-11XUK	1	22	504	39	0	21	305	0	278	2	0	179	52	0	234	3	284
GTEX-1JJ6O	0	70	1030	49	0	61	672	0	562	5	0	447	102	5	478	8	608
GTEX-13OVK	1	67	1052	31	0	77	524	0	395	1	0	255	70	0	245	2	365
GTEX-WRHU	2	90	1122	114	0	91	736	0	631	2	0	462	58	0	536	6	608
GTEX-Y8LW	0	26	632	43	0	28	313	0	237	1	0	150	45	1	210	1	232
GTEX-13OVG	2	15	626	39	0	15	366	0	240	3	0	180	45	0	204	0	260
GTEX-12ZZX	0	49	780	53	0	51	531	0	388	1	0	324	52	0	354	5	381
GTEX-OIZF	0	79	1067	18	0	73	508	0	371	2	1	332	58	0	370	4	344
GTEX-1GN2E	0	21	359	28	0	21	159	0	103	0	0	90	10	0	102	3	135
GTEX-14E6E	0	10	646	24	0	18	382	0	258	0	0	219	54	0	236	3	280
GTEX-13D11	1	42	651	41	0	37	377	0	294	1	0	194	32	0	256	1	306
GTEX-ZP4G	1	12	668	44	0	20	294	0	216	0	0	166	47	0	204	0	244
GTEX-ZGAY	1	58	1415	45	0	64	840	0	633	2	0	503	142	3	576	11	698
GTEX-14C39	2	30	548	54	0	34	329	0	237	0	0	186	43	1	180	2	254
GTEX-1B8SF	0	99	1309	59	0	136	800	0	587	4	0	469	39	5	531	6	545
GTEX-17EVP	0	25	692	24	0	34	377	0	297	0	0	271	27	0	264	0	314
GTEX-11P81	0	23	534	13	0	23	246	0	222	0	0	176	26	0	213	1	230
GTEX-12WSF	0	28	425	33	0	31	182	0	165	0	0	103	26	0	124	2	147
GTEX-12584	0	55	646	37	0	65	375	0	302	0	0	190	35	0	238	1	271
GTEX-1CB4I	1	55	848	28	0	60	460	0	344	1	0	264	42	2	276	3	319
GTEX-QESD	0	31	589	16	0	36	345	0	232	3	0	190	37	0	203	0	237
GTEX-1A8G7	0	87	1036	44	0	83	664	0	485	7	1	428	46	1	508	6	534
GTEX-1B932	0	77	1603	42	0	89	856	0	734	6	0	548	110	3	566	6	717
GTEX-1EX96	0	33	381	20	0	21	192	0	130	1	0	104	10	0	124	1	146
GTEX-TKQ2	2	126	1647	47	0	140	686	0	725	3	0	552	69	0	634	16	748
GTEX-RM2N	0	58	764	39	0	52	403	0	441	4	0	323	65	2	345	0	389
GTEX-14DAQ	0	47	909	46	0	67	601	0	459	0	0	375	48	1	403	4	408
GTEX-1S82U	0	128	1583	107	0	102	781	0	576	2	0	650	76	1	472	7	664
GTEX-WFG7	1	11	286	14	0	15	148	0	139	0	0	111	17	0	114	1	146
GTEX-ZEX8	2	71	1088	52	0	74	638	0	470	2	0	391	116	1	429	13	509
