individual	chr2:9412405:9414178:cluster20065	chr2:9412405:9418626:cluster20065	chr2:9412405:9423373:cluster20065	chr2:9414256:9418626:cluster20065	chr2:9414256:9423373:cluster20065	chr2:9418732:9419990:cluster20065	chr2:9418732:9422479:cluster20065	chr2:9418732:9422882:cluster20065	chr2:9418732:9422966:cluster20065	chr2:9418732:9423373:cluster20065	chr2:9420100:9422479:cluster20065	chr2:9420100:9423373:cluster20065
GTEX-YEC3	121	4	2	97	9	15	30	0	3	57	10	1
GTEX-11ZU8	76	2	2	69	0	16	12	0	3	44	6	3
GTEX-1192X	42	0	0	36	2	5	6	0	0	19	3	0
GTEX-1RAZA	216	3	3	185	22	32	41	0	3	92	16	6
GTEX-145MO	81	3	2	82	3	15	19	0	3	53	6	2
GTEX-16BQI	124	3	9	122	6	21	23	0	8	66	7	5
GTEX-13N1W	55	2	2	42	1	9	10	0	3	23	5	0
GTEX-111VG	134	5	8	111	2	16	20	0	2	46	8	3
GTEX-Q2AG	30	0	0	30	1	5	4	0	0	8	1	0
GTEX-1F7RK	155	6	10	124	8	23	24	0	4	59	12	2
GTEX-YJ8O	89	3	7	84	2	18	21	0	2	39	6	1
GTEX-OOBK	39	1	4	32	2	7	9	0	1	25	5	1
GTEX-Y9LG	77	4	3	70	0	14	21	0	3	31	6	2
GTEX-1EWIQ	149	8	4	130	2	34	35	0	4	64	16	1
GTEX-Y5LM	88	5	3	76	7	12	17	0	2	38	2	2
GTEX-17KNJ	60	1	0	38	4	5	12	0	1	29	4	1
GTEX-15RIF	136	2	6	104	13	18	24	0	4	52	3	2
GTEX-1M5QR	126	1	2	88	6	12	23	0	2	53	13	0
GTEX-XPVG	102	2	3	75	8	15	16	0	3	36	3	2
GTEX-1JN6P	124	3	7	103	9	28	23	0	2	63	6	6
GTEX-1AMEY	77	3	3	63	4	11	21	0	0	31	5	1
GTEX-183WM	141	3	9	107	11	18	32	0	3	78	6	0
GTEX-13O21	65	0	1	75	3	13	15	0	2	25	6	1
GTEX-1RB15	47	3	2	38	1	5	8	0	1	20	5	0
GTEX-YB5K	93	4	6	72	1	21	10	0	3	42	9	1
GTEX-132Q8	56	3	3	45	2	6	7	0	0	21	3	0
GTEX-13112	48	1	1	43	1	13	11	0	0	26	4	1
GTEX-1PBJJ	41	3	1	38	1	8	8	0	1	18	3	0
GTEX-13OW8	53	2	0	38	0	12	7	0	2	22	4	1
GTEX-1QP2A	115	2	2	100	3	13	17	0	4	42	5	5
GTEX-16XZY	65	1	4	51	6	12	17	0	1	22	7	1
GTEX-144GM	55	2	1	49	4	8	7	0	1	33	5	3
GTEX-1LVAM	105	2	5	106	4	11	30	0	6	50	5	3
GTEX-16XZZ	175	7	3	154	8	24	21	0	10	77	8	3
GTEX-1K2DU	98	2	4	92	5	13	12	0	3	63	7	0
GTEX-14PII	56	6	3	60	5	10	15	0	1	28	4	1
GTEX-15ER7	273	5	9	223	8	50	46	0	4	160	26	6
GTEX-17HHE	80	2	5	65	9	8	22	0	3	37	6	1
GTEX-ZPCL	78	0	4	69	1	11	18	0	3	34	8	1
GTEX-1LG7Z	152	2	9	149	7	30	37	0	6	51	10	5
GTEX-1R7EU	166	8	7	144	10	22	46	0	5	71	15	2
GTEX-U3ZM	48	1	2	40	2	2	8	0	1	15	2	1
GTEX-14PN4	51	1	3	37	3	11	7	0	1	16	6	0
GTEX-13VXU	170	2	9	115	7	27	33	0	4	61	13	2
GTEX-1GZHY	61	1	0	58	1	10	17	0	0	32	6	2
GTEX-147JS	44	3	1	31	2	10	13	0	2	15	4	1
GTEX-15SB6	138	1	6	96	8	18	25	0	4	79	13	2
GTEX-13RTJ	59	5	3	54	2	15	11	0	1	27	4	3
GTEX-14PJ6	82	3	1	60	8	10	14	0	2	39	2	0
GTEX-1MCQQ	80	2	7	80	4	19	21	0	3	39	7	0
GTEX-14PJM	102	2	2	65	6	19	13	0	2	31	9	0
GTEX-14LLW	77	5	6	79	1	16	17	0	2	51	9	2
GTEX-VUSG	105	3	2	119	4	10	25	0	3	53	10	1
GTEX-11ZTT	38	0	3	26	0	8	7	0	0	15	2	0
GTEX-11I78	41	1	3	34	4	9	8	0	1	23	3	1
GTEX-1GMR8	99	3	9	96	5	15	21	0	2	49	5	5
GTEX-111YS	107	1	8	84	6	13	20	0	0	46	4	0
GTEX-139TS	152	0	4	131	3	28	35	0	5	67	11	3
GTEX-14PK6	75	2	2	64	1	14	18	0	2	50	4	2
GTEX-1O9I2	82	1	2	81	4	20	14	0	1	29	7	3
GTEX-11XUK	73	5	0	60	5	14	14	0	4	43	7	1
GTEX-WRHU	206	4	5	188	10	46	46	0	6	71	19	2
GTEX-12ZZX	55	1	6	50	3	10	14	0	2	24	4	2
GTEX-YECK	83	0	2	79	4	10	14	0	0	34	9	1
GTEX-1F88F	101	3	0	73	1	12	21	0	3	39	10	3
GTEX-1GN2E	74	0	2	62	4	13	13	0	3	34	2	3
GTEX-1JMQK	110	4	5	86	2	12	18	0	2	56	4	0
GTEX-14E6E	79	0	4	64	6	8	12	0	2	33	3	1
GTEX-17EVP	95	2	3	89	9	18	25	0	1	37	6	2
GTEX-11P81	63	3	1	47	1	10	14	0	1	21	1	0
GTEX-13CF3	89	3	5	79	7	15	16	0	1	56	3	1
GTEX-1F48J	96	5	7	93	7	23	9	0	2	48	5	2
GTEX-ZVT4	56	2	1	45	2	12	13	0	1	17	7	1
GTEX-1R9K5	157	4	5	124	5	21	26	0	11	70	9	5
GTEX-12WSF	137	6	6	107	6	17	24	0	2	69	17	2
GTEX-12584	54	3	2	43	1	11	4	0	1	25	3	1
GTEX-1CB4I	47	0	1	37	5	7	8	0	0	17	4	0
GTEX-15DCD	163	7	7	141	6	25	23	0	6	56	16	3
GTEX-1399S	53	1	4	56	6	7	10	0	0	23	2	2
GTEX-1B932	87	3	5	79	6	8	20	0	1	41	8	0
GTEX-1EX96	47	0	1	41	5	7	6	0	2	22	5	0
GTEX-14DAQ	111	2	4	83	6	18	28	0	2	55	12	0
GTEX-ZEX8	100	4	5	100	8	12	26	0	5	54	9	2
GTEX-YFC4	65	3	1	65	3	18	11	0	2	28	10	1
GTEX-1JKYR	136	1	3	119	7	22	19	0	1	69	11	2
GTEX-14BIM	155	4	5	133	5	25	22	0	2	89	5	5
GTEX-Y5V6	72	0	3	62	4	8	17	0	2	30	9	0
GTEX-PW2O	41	1	0	36	2	6	12	0	1	18	4	0
GTEX-13NZB	85	2	3	64	7	10	22	0	1	31	7	2
GTEX-13PVQ	74	3	2	62	6	13	21	0	2	35	7	2
GTEX-Z9EW	58	2	1	38	2	7	10	0	0	19	4	0
GTEX-ZVT3	55	2	3	43	4	10	7	0	1	26	3	2
GTEX-XV7Q	85	2	2	63	1	11	18	0	2	41	8	1
