individual	chr1:246840998:246842694:cluster24616	chr1:246840998:246843795:cluster24616	chr1:246840998:246849615:cluster24616	chr1:246842776:246843795:cluster24616	chr1:246842776:246849615:cluster24616	chr1:246843916:246849615:cluster24616	chr1:246843928:246849615:cluster24616
GTEX-YEC3	116	2	2	70	2	0	99
GTEX-Y3I4	50	1	5	46	2	0	50
GTEX-18D9U	78	4	3	70	1	0	81
GTEX-1192X	52	1	2	26	1	0	57
GTEX-1LSNM	96	1	1	85	3	0	91
GTEX-1MUQO	95	1	5	101	3	0	104
GTEX-1EU9M	61	0	3	41	1	0	46
GTEX-1AX9J	65	5	5	55	2	0	62
GTEX-1R9K4	94	1	3	81	7	0	81
GTEX-YJ8O	31	0	0	27	0	0	33
GTEX-ZC5H	97	0	4	90	1	0	114
GTEX-1LVAO	80	1	5	55	4	0	76
GTEX-Y5LM	125	0	8	119	2	0	133
GTEX-QDT8	76	0	0	61	3	0	75
GTEX-1ICLZ	60	0	0	53	1	0	59
GTEX-1JN6P	47	1	2	41	2	0	46
GTEX-11LCK	44	0	1	33	2	0	43
GTEX-OXRP	18	0	1	19	0	0	19
GTEX-QVUS	50	0	5	46	4	0	51
GTEX-15CHR	70	0	6	74	2	0	78
GTEX-WHSB	98	4	2	98	1	0	98
GTEX-WOFL	83	0	7	87	4	0	87
GTEX-1QP2A	54	2	1	50	0	0	56
GTEX-1E2YA	32	2	1	28	3	0	29
GTEX-13X6H	38	1	0	19	2	0	33
GTEX-1F52S	81	0	2	73	3	0	66
GTEX-12WSJ	57	0	3	46	2	0	53
GTEX-1A3MV	90	2	7	71	1	0	74
GTEX-133LE	58	1	2	27	3	0	50
GTEX-16XZZ	84	0	4	87	2	0	111
GTEX-O5YV	43	0	2	35	0	0	54
GTEX-13OW6	37	1	3	33	0	0	31
GTEX-1LG7Z	87	3	7	84	3	0	77
GTEX-U3ZM	53	1	0	49	2	0	58
GTEX-SNMC	93	5	7	99	2	0	107
GTEX-T6MN	22	0	1	13	0	0	18
GTEX-1128S	73	1	4	53	1	0	49
GTEX-1GZHY	62	0	4	41	0	0	49
GTEX-QCQG	53	3	2	46	1	0	63
GTEX-14PJ6	71	2	0	66	3	0	67
GTEX-1GF9U	107	3	8	105	3	0	111
GTEX-1CB4E	39	0	1	28	1	0	33
GTEX-1MA7W	69	3	1	71	1	0	71
GTEX-15SKB	107	4	2	93	5	0	144
GTEX-1BAJH	45	0	2	29	1	0	48
GTEX-13QIC	30	1	1	14	1	0	32
GTEX-12WSL	61	1	3	52	1	0	67
GTEX-12KS4	49	1	0	49	4	0	58
GTEX-Z93S	32	0	2	30	0	0	44
GTEX-X4EO	90	2	4	48	5	0	67
GTEX-111YS	50	2	4	57	5	0	66
GTEX-13111	39	0	3	35	2	0	40
GTEX-14H4A	52	0	1	38	0	0	47
GTEX-1O9I2	39	0	0	21	1	0	36
GTEX-11XUK	65	2	2	60	5	0	70
GTEX-1JJ6O	90	2	7	67	0	0	98
GTEX-13OVG	91	2	7	59	1	0	65
GTEX-12ZZX	36	1	2	36	4	0	45
GTEX-WHSE	40	0	2	22	1	0	47
GTEX-1LG7Y	114	3	4	61	7	0	86
GTEX-OIZF	50	2	2	52	0	0	65
GTEX-14XAO	63	0	2	41	2	0	50
GTEX-13CF3	94	5	3	74	2	0	92
GTEX-1R9K5	90	3	4	79	1	0	100
GTEX-1399S	112	2	9	123	7	0	133
GTEX-11O72	89	2	5	73	6	0	75
GTEX-13X6K	50	1	3	25	2	0	55
GTEX-14DAQ	54	1	1	30	3	0	62
GTEX-1S82U	120	7	6	78	2	0	109
GTEX-WFG7	65	0	0	52	3	0	68
GTEX-15RIE	97	2	10	79	4	0	95
GTEX-1RAZQ	76	2	7	88	2	0	90
GTEX-WFG8	77	0	4	58	2	0	78
GTEX-RUSQ	29	1	1	17	0	0	29
GTEX-1ICLY	63	1	4	35	1	0	67
GTEX-Q2AI	37	0	0	25	1	0	38
GTEX-Y5V6	65	0	4	41	2	0	77
GTEX-13NZB	61	0	3	45	1	0	48
GTEX-PSDG	105	0	2	90	2	0	101
GTEX-17HHY	35	1	1	24	0	0	35
GTEX-11GS4	27	1	0	19	0	0	29
GTEX-1QP67	66	0	5	60	3	0	80
GTEX-ZVT3	43	2	1	41	1	0	36
GTEX-13OW7	55	1	2	45	1	0	68
