individual	chr20:36607818:36607890:cluster12792	chr20:36607818:36608585:cluster12792	chr20:36607818:36609601:cluster12792	chr20:36607818:36612010:cluster12792	chr20:36608000:36609601:cluster12792	chr20:36608000:36612010:cluster12792	chr20:36608706:36609601:cluster12792	chr20:36609730:36611992:cluster12792	chr20:36609730:36612010:cluster12792	chr20:36609758:36612010:cluster12792	chr20:36611132:36612010:cluster12792
GTEX-16MTA	68	0	909	24	106	4	0	12	1136	2	2
GTEX-ZQG8	110	0	970	19	132	16	0	13	1137	3	0
GTEX-139T4	7	0	119	2	15	2	0	2	160	0	0
GTEX-1K9T9	31	0	288	5	43	4	0	2	321	0	0
GTEX-14C38	16	0	183	2	30	0	0	2	210	2	0
GTEX-XBED	20	0	224	7	37	4	0	2	318	1	0
GTEX-U4B1	30	0	336	9	67	4	0	3	457	0	0
GTEX-146FR	77	0	733	16	124	9	0	4	925	4	0
GTEX-1AX9I	21	0	209	1	36	2	0	7	279	0	0
GTEX-17F96	30	0	538	7	51	6	0	7	617	0	0
GTEX-14JG6	43	0	520	6	86	4	0	5	610	1	0
GTEX-1KANA	86	0	1101	18	127	5	0	20	1394	0	0
GTEX-Y5V5	46	0	539	16	85	10	0	7	595	0	0
GTEX-1S5VW	36	0	429	11	82	3	0	8	665	2	0
GTEX-1C64N	58	0	948	15	113	4	0	9	1227	1	0
GTEX-16YQH	17	0	335	6	40	4	0	10	401	0	0
GTEX-S33H	49	0	592	8	97	1	0	7	766	4	0
GTEX-13JVG	15	0	273	5	24	2	0	5	307	0	0
GTEX-1CB4G	22	0	311	2	34	2	0	3	349	1	0
GTEX-P78B	58	0	668	4	72	3	0	5	806	2	0
GTEX-13S7M	4	0	57	1	12	2	0	0	84	0	0
GTEX-1LB8K	29	0	347	6	59	7	0	6	422	0	0
GTEX-17MFQ	28	0	359	8	57	1	0	8	396	0	0
GTEX-11TTK	8	0	116	0	14	1	0	0	127	0	0
GTEX-T5JW	43	0	476	6	90	7	0	17	679	0	0
GTEX-TMZS	9	0	110	4	9	1	0	0	138	0	0
GTEX-1LC47	31	0	332	7	31	5	0	7	437	0	0
GTEX-139T6	67	0	679	9	92	10	0	5	719	1	0
GTEX-1MJK3	103	0	1587	40	226	11	0	22	2019	5	0
GTEX-12ZZZ	13	0	257	2	27	2	0	4	283	0	0
GTEX-14DAR	71	0	687	8	129	3	0	10	939	0	0
GTEX-15UF6	14	0	208	4	42	2	0	3	273	0	0
GTEX-P4PP	7	0	139	4	23	1	0	2	179	0	0
GTEX-1PPGY	43	0	428	6	79	2	0	11	500	1	0
GTEX-ZXG5	33	0	460	9	70	8	0	11	499	0	0
GTEX-1C6VQ	11	0	242	3	38	4	0	2	285	3	0
GTEX-14PJ4	35	0	339	7	63	3	0	2	444	0	0
GTEX-14PJN	75	0	619	14	91	10	0	6	752	0	0
GTEX-XUW1	23	0	201	3	34	2	0	3	251	0	0
GTEX-12ZZY	12	0	191	4	27	3	0	2	224	2	0
GTEX-XQ3S	23	0	188	3	29	0	0	7	263	1	0
GTEX-1GMR3	18	0	258	3	41	3	0	3	289	2	0
GTEX-1C6WA	37	0	306	7	54	6	0	6	407	0	0
GTEX-1JKYN	59	0	583	10	97	3	0	9	797	1	0
GTEX-XBEW	204	0	2836	62	396	24	0	44	3354	8	0
GTEX-R53T	51	0	581	6	96	9	0	7	792	0	0
GTEX-183FY	77	0	757	16	136	13	0	7	896	4	0
GTEX-145LU	20	0	276	2	43	1	0	7	350	1	0
GTEX-13X6J	24	0	352	6	43	1	0	6	420	0	0
GTEX-1LNCM	13	0	159	0	20	1	0	2	216	1	0
GTEX-1LSNL	9	0	165	2	16	1	0	0	183	0	0
GTEX-ZUA1	27	0	265	2	41	3	0	2	295	0	0
GTEX-17EUY	86	0	1085	23	180	10	0	10	1405	5	0
GTEX-1LGOU	24	0	281	3	42	2	0	2	382	0	0
GTEX-1I4MK	38	0	450	2	58	3	0	12	494	0	0
GTEX-1MCYP	117	1	964	17	170	6	1	10	1237	3	0
GTEX-13FTY	13	0	202	3	18	3	0	3	218	0	0
GTEX-16NPX	24	0	329	1	33	4	0	4	353	0	0
GTEX-15ETS	60	0	718	8	115	12	0	11	835	2	2
GTEX-1PPH7	30	0	533	5	92	7	0	10	738	3	0
GTEX-1212Z	28	0	270	5	48	1	0	5	319	0	0
GTEX-1F5PL	46	0	367	5	68	3	0	7	489	0	0
GTEX-1GPI7	69	0	701	15	96	7	0	6	941	0	1
GTEX-1RAZR	145	0	1661	31	245	5	1	23	1910	0	0
GTEX-Y8DK	27	0	283	5	41	4	0	1	347	0	0
GTEX-OHPL	34	0	356	1	58	1	0	6	413	1	0
GTEX-1211K	33	0	279	2	42	3	0	6	304	0	0
GTEX-TSE9	13	0	181	4	35	4	0	1	255	1	0
GTEX-ZYFG	63	0	727	11	115	7	0	9	834	2	0
GTEX-1ICG6	165	0	1614	45	335	20	0	27	2373	11	0
GTEX-PLZ5	106	1	1297	29	176	22	0	12	1719	5	1
GTEX-13O3O	21	0	242	5	30	1	0	0	292	0	0
GTEX-1LH75	13	0	157	0	20	2	0	2	194	0	0
GTEX-U8T8	26	0	421	13	48	5	0	6	570	1	0
GTEX-ZV6S	87	0	880	21	142	8	1	10	998	2	1
GTEX-1QP9N	81	0	829	10	160	12	1	12	965	4	0
GTEX-11ZUS	20	0	252	4	25	3	0	7	286	1	0
GTEX-1B97J	168	1	1474	32	238	24	0	35	1877	4	0
GTEX-131XF	76	0	912	22	110	8	0	17	1005	3	0
GTEX-1F75A	32	0	404	4	52	5	0	6	547	0	0
GTEX-13O3Q	10	0	242	2	27	1	0	3	300	0	0
GTEX-13N2G	45	0	673	5	65	5	0	8	770	0	0
GTEX-WYJK	76	0	1045	24	165	21	0	17	1403	0	0
GTEX-17GQL	67	1	783	19	133	16	1	13	974	2	0
GTEX-1FIGZ	61	0	545	11	80	3	0	6	758	1	0
GTEX-OXRK	42	0	429	14	46	3	0	11	571	0	0
GTEX-15RIG	175	0	1737	63	286	23	0	24	2268	9	0
GTEX-1339X	27	0	344	10	70	5	0	5	450	3	0
GTEX-15G1A	56	0	710	12	105	5	0	6	892	3	0
GTEX-17HGU	27	0	229	3	36	1	0	3	297	1	0
GTEX-1C6VR	26	0	274	5	39	2	0	8	355	1	0
GTEX-1R46S	19	0	302	5	24	2	0	4	370	0	0
GTEX-1P4AB	60	0	688	10	119	12	0	15	1003	8	0
GTEX-1KWVE	22	0	275	2	37	1	0	11	349	1	0
GTEX-ZF3C	71	0	616	14	120	7	0	6	755	1	0
GTEX-1GMRU	16	0	245	4	21	3	0	5	275	0	0
GTEX-X261	21	0	404	4	51	4	0	4	473	0	0
GTEX-1192X	18	0	296	5	36	1	0	1	336	0	0
GTEX-1LSNM	156	0	1407	36	239	20	1	21	1858	2	0
GTEX-15D79	27	0	383	6	41	3	0	6	433	0	0
GTEX-1RAZA	145	0	1453	29	223	15	0	29	1760	3	0
GTEX-1EU9M	21	0	282	4	33	1	0	6	392	1	0
GTEX-13N1W	19	0	325	3	38	2	0	5	377	0	0
GTEX-117YW	12	0	174	1	26	2	0	2	238	1	0
GTEX-16MT8	14	0	238	5	26	4	0	4	310	1	0
GTEX-111VG	24	0	346	4	36	3	0	3	416	1	0
GTEX-1R9K4	18	0	270	7	30	3	0	4	312	0	0
GTEX-OOBK	23	0	310	8	34	4	0	3	323	0	0
GTEX-1QEPI	40	0	463	8	93	13	0	13	622	0	0
GTEX-Y9LG	71	2	789	10	119	9	0	9	924	1	2
GTEX-1EWIQ	21	0	343	4	44	3	0	3	424	2	0
GTEX-1M5QR	109	0	1072	15	158	11	0	17	1269	3	0
GTEX-ZT9X	55	0	681	17	101	0	0	12	742	0	0
GTEX-P4PQ	46	0	780	13	120	12	0	25	923	0	0
GTEX-1IDJF	72	1	849	22	83	8	0	12	1022	3	0
GTEX-1S82Y	68	0	808	14	84	8	0	16	939	1	1
GTEX-18A66	23	0	389	9	46	3	0	11	508	0	0
GTEX-XBEC	41	0	369	8	78	4	0	3	513	1	0
GTEX-15CHC	48	0	544	10	78	9	0	5	745	1	0
GTEX-1QCLZ	35	0	458	7	87	8	0	9	597	2	0
GTEX-PLZ6	9	0	147	3	20	1	0	2	151	0	0
GTEX-15CHR	50	0	675	13	79	3	0	6	830	3	0
GTEX-13112	22	0	219	1	28	1	0	5	227	0	0
GTEX-1PBJJ	86	0	959	14	115	9	0	14	1238	1	0
GTEX-13OW8	18	0	164	4	22	1	0	3	166	0	0
GTEX-1QP2A	38	0	489	5	80	7	0	8	575	0	0
GTEX-145MH	15	0	242	0	32	2	0	5	262	1	0
GTEX-OIZG	119	0	1169	23	185	16	0	16	1427	3	0
GTEX-11GSP	13	0	143	2	16	2	0	2	142	1	0
GTEX-1F5PK	21	0	366	11	34	6	0	5	479	2	0
GTEX-N7MS	10	0	171	0	23	5	0	2	217	0	0
GTEX-1A3MV	183	1	1870	29	331	30	0	41	2562	3	0
GTEX-1IDJE	319	0	3164	73	509	41	0	36	4085	21	1
GTEX-1LVAM	50	0	672	11	92	4	0	17	919	0	0
GTEX-14PJ5	24	0	194	4	36	3	0	1	253	0	0
GTEX-133LE	33	0	343	10	60	1	0	3	462	2	0
GTEX-1R9PO	26	0	475	1	59	6	0	10	547	3	0
GTEX-O5YV	15	0	258	6	22	2	0	4	318	2	0
GTEX-14PII	15	0	298	5	38	3	0	2	347	0	0
GTEX-13OW6	9	0	185	2	19	3	0	4	220	0	0
GTEX-17HHE	71	0	593	10	90	8	0	6	733	3	0
GTEX-ZPCL	44	0	473	11	64	4	0	5	565	0	0
GTEX-WOFM	147	0	1314	21	263	16	0	21	1670	6	0
GTEX-U3ZM	48	0	669	16	125	2	0	19	918	0	0
GTEX-1A8G6	14	0	236	4	28	2	0	2	296	0	0
GTEX-SNMC	91	0	1377	34	195	18	0	36	1920	0	0
GTEX-15SHV	29	0	459	11	43	7	0	8	538	0	0
GTEX-18465	21	0	367	1	49	2	0	8	470	0	0
GTEX-1128S	32	0	582	8	55	7	0	4	643	1	0
GTEX-15SB6	72	0	562	5	95	9	0	8	749	0	0
GTEX-QCQG	57	0	557	15	107	11	0	15	733	1	0
GTEX-14PJ6	108	0	926	13	164	9	1	20	1127	0	0
GTEX-1MCQQ	24	0	228	1	41	3	0	4	305	0	0
GTEX-1GF9U	34	0	362	8	57	1	0	3	505	0	0
GTEX-1CB4E	14	0	214	5	35	0	0	7	322	1	0
GTEX-OXRL	64	0	530	10	86	0	0	8	699	2	0
GTEX-1MA7W	136	0	1241	29	228	27	0	29	1742	9	0
GTEX-1BAJH	12	0	158	1	28	3	0	3	179	2	0
GTEX-ZVZP	80	0	841	25	136	16	0	12	1006	1	0
GTEX-WY7C	93	0	1255	46	182	18	0	26	1659	3	2
GTEX-11ZTT	79	0	841	4	145	5	0	16	1016	3	0
GTEX-12WSL	21	0	286	6	41	1	0	5	306	1	0
GTEX-12KS4	11	0	146	0	25	5	0	3	180	0	0
GTEX-1GPI6	12	0	214	4	25	5	0	3	275	0	0
GTEX-1GN1U	83	0	890	11	135	16	0	17	1156	1	0
GTEX-X4EO	16	0	224	2	28	5	0	6	283	1	0
GTEX-14PK6	21	0	302	4	43	1	0	6	370	1	0
GTEX-1B8L1	9	0	99	0	11	2	0	0	126	0	0
GTEX-13QJ3	34	0	359	5	57	7	0	5	459	1	0
GTEX-ZYFD	6	0	122	3	22	2	0	2	171	0	0
GTEX-1JJ6O	57	0	779	12	73	5	0	8	915	1	0
GTEX-13OVK	126	0	1057	24	183	15	0	17	1253	3	0
GTEX-WRHU	25	0	344	4	46	6	0	11	438	0	0
GTEX-YECK	27	0	300	4	39	4	0	6	379	1	0
GTEX-1JMQK	15	0	180	3	24	3	0	3	254	0	0
GTEX-15DZA	173	0	1605	24	224	15	0	24	1792	7	0
GTEX-1B8SF	20	0	238	1	28	2	0	3	330	0	0
GTEX-17EVP	25	0	207	3	37	2	0	0	286	1	0
GTEX-147GR	13	0	233	2	28	0	0	6	296	0	0
GTEX-11P81	28	0	274	7	49	3	0	4	349	2	0
GTEX-13CF3	18	0	227	1	45	1	0	4	271	0	0
GTEX-ZVT4	21	0	226	3	18	1	0	3	276	0	0
GTEX-12WSF	21	0	320	7	29	1	0	7	404	0	0
GTEX-1CB4I	80	1	745	13	123	14	0	18	982	1	0
GTEX-15DCD	20	0	270	3	29	1	0	4	332	1	0
GTEX-QESD	11	0	149	1	14	1	0	2	165	0	0
GTEX-1399S	54	0	560	7	89	15	0	4	714	2	0
GTEX-P4QT	69	0	827	15	124	13	0	9	998	4	0
GTEX-1B932	120	0	1272	28	189	21	0	18	1640	3	0
GTEX-1EX96	11	0	127	2	17	1	0	2	146	0	0
GTEX-TKQ2	55	0	663	18	105	4	0	16	1025	0	0
GTEX-RM2N	37	0	474	4	84	4	0	13	691	0	0
GTEX-14DAQ	17	0	291	6	22	3	0	5	364	0	0
GTEX-ZEX8	144	1	1360	35	239	31	2	27	1771	4	0
GTEX-15RIE	69	0	1093	25	120	16	0	12	1394	5	0
GTEX-1RAZQ	141	0	1588	37	259	28	0	22	2012	11	0
GTEX-17F98	53	0	579	10	87	6	0	12	698	1	0
GTEX-PW2O	17	0	164	2	23	1	0	0	179	0	0
GTEX-PSDG	38	0	467	4	46	3	0	5	637	0	0
GTEX-13PVQ	18	0	207	2	31	0	0	1	249	0	0
GTEX-11GS4	24	0	210	2	24	4	0	3	232	1	0
GTEX-1QP67	37	0	440	10	71	4	0	12	608	1	0
GTEX-S95S	14	0	251	4	35	1	0	3	342	0	0
GTEX-13OW7	26	0	294	1	42	5	0	6	345	0	0
