individual	chr3:197950221:197950936:cluster20007	chr3:197950299:197950936:cluster20007
GTEX-1QP66	1192	37
GTEX-1GZHY	673	17
GTEX-1JN1M	1050	31
GTEX-144GL	560	14
GTEX-14PJ6	543	18
GTEX-OXRL	225	7
GTEX-11NSD	471	13
GTEX-1445S	451	12
GTEX-1MA7W	1529	38
GTEX-WY7C	715	21
GTEX-11I78	447	13
GTEX-Z93S	536	18
GTEX-13111	277	6
GTEX-14H4A	521	16
GTEX-144FL	1089	30
GTEX-14JG1	626	16
GTEX-17JCI	594	18
GTEX-11XUK	416	11
GTEX-WRHU	502	18
GTEX-Y8LW	686	21
GTEX-1F88F	723	24
GTEX-OIZF	208	7
GTEX-1GN2E	486	11
GTEX-ZP4G	636	18
GTEX-14C39	776	27
GTEX-1B8SF	765	25
GTEX-ZVT4	493	13
GTEX-12584	585	15
GTEX-1CB4I	463	13
GTEX-SE5C	819	19
GTEX-1399S	583	16
GTEX-11O72	730	25
GTEX-WWTW	624	18
GTEX-Q734	395	11
GTEX-1A8G7	604	16
GTEX-14DAQ	952	22
GTEX-WFG7	271	6
GTEX-ZEX8	1345	37
GTEX-WL46	746	21
GTEX-1RAZQ	1237	31
GTEX-12WSN	352	11
GTEX-13FHO	571	14
GTEX-146FH	526	13
GTEX-RUSQ	89	3
GTEX-1ICLY	394	9
GTEX-17F98	404	12
GTEX-VJWN	583	17
GTEX-111CU	560	19
GTEX-PW2O	46	1
GTEX-1CB4J	1132	39
GTEX-17F97	904	31
GTEX-PSDG	679	17
GTEX-17HHY	397	11
GTEX-Z9EW	424	13
GTEX-ZVT3	435	10
GTEX-S95S	291	7
GTEX-XV7Q	488	11
