individual	chr4:70789592:70793785:cluster29161	chr4:70789592:70794795:cluster29161	chr4:70789592:70800141:cluster29161	chr4:70789592:70802956:cluster29161	chr4:70793904:70794795:cluster29161	chr4:70794894:70800141:cluster29161	chr4:70799875:70800141:cluster29161	chr4:70800205:70802956:cluster29161	chr4:70802983:70804348:cluster29161	chr4:70802983:70806516:cluster29161	chr4:70803059:70804348:cluster29161	chr4:70803059:70806516:cluster29161	chr4:70803176:70804348:cluster29161	chr4:70804416:70806516:cluster29161
GTEX-15UF7	75	11	42	13	94	116	10	155	141	18	13	11	5	160
GTEX-ZXG5	19	1	8	3	43	34	1	59	53	0	4	3	2	49
GTEX-14PJ4	19	7	13	3	28	29	0	47	34	0	7	3	3	61
GTEX-1OFPY	16	0	10	1	23	14	3	32	24	3	4	0	0	42
GTEX-1F75B	32	4	12	1	34	41	6	52	55	1	7	0	3	72
GTEX-QV31	15	0	2	0	15	13	2	27	23	0	4	2	1	25
GTEX-1AX9K	15	3	9	2	16	34	1	43	35	3	10	3	0	48
GTEX-11VI4	22	5	12	2	19	30	0	50	34	5	4	3	0	59
GTEX-1313W	13	0	6	0	24	23	4	33	26	2	3	2	0	40
GTEX-1C6WA	23	3	9	4	35	29	1	54	56	2	4	2	1	66
GTEX-18A7B	17	2	7	2	28	33	1	50	44	2	13	4	5	55
GTEX-183FY	26	2	6	2	27	40	1	50	39	2	7	3	0	44
GTEX-13X6J	26	2	8	2	24	36	1	46	39	4	5	0	3	48
GTEX-1LNCM	10	0	1	0	15	14	1	23	16	0	4	1	1	29
GTEX-1KD5A	19	2	8	2	26	20	0	39	34	1	4	2	0	40
GTEX-1S83E	61	10	37	8	54	81	2	118	97	4	17	7	2	123
GTEX-ZDYS	14	2	9	0	18	19	2	40	33	2	3	1	1	36
GTEX-1NUQO	24	2	18	2	35	30	4	40	48	4	2	1	4	55
GTEX-ZUA1	11	0	7	1	23	25	2	33	23	2	4	2	0	35
GTEX-18A6Q	23	3	11	0	29	31	0	50	34	1	5	1	1	49
GTEX-13FTZ	12	5	6	0	26	32	2	37	36	1	4	0	2	37
GTEX-169BO	15	2	13	1	41	39	2	48	43	2	10	2	1	53
GTEX-11EM3	18	3	5	0	20	23	1	43	29	3	1	0	3	29
GTEX-131XG	18	3	8	1	30	30	3	38	31	1	1	1	1	30
GTEX-1JMQJ	24	2	11	0	35	44	2	37	36	1	4	0	3	49
GTEX-15ETS	30	3	15	4	45	43	2	49	53	4	4	0	2	74
GTEX-1F5PL	35	6	14	2	32	37	2	50	40	2	12	2	0	49
GTEX-1GN1W	14	3	10	2	25	21	0	29	22	4	6	1	0	37
GTEX-OHPL	37	3	14	1	43	56	2	62	49	4	11	2	1	81
GTEX-W5WG	17	2	6	1	18	22	4	35	30	4	3	0	0	44
GTEX-1C2JI	27	4	14	1	37	32	2	41	36	3	4	0	1	51
GTEX-ZF2S	17	6	11	2	26	35	4	73	53	1	10	1	2	63
GTEX-1QP9N	29	5	10	2	26	39	2	45	43	4	9	3	3	47
GTEX-11ZUS	14	2	5	1	16	13	0	22	15	1	1	1	2	21
GTEX-131XF	8	3	9	0	21	22	2	33	23	2	4	0	2	38
GTEX-P44G	4	0	4	0	14	12	1	18	13	0	3	2	1	22
GTEX-13O3Q	9	0	1	0	12	10	0	15	11	1	0	1	2	23
GTEX-13N2G	22	4	7	0	33	40	1	50	39	2	5	2	2	50
GTEX-XGQ4	15	2	7	0	24	31	2	27	28	2	5	1	2	33
GTEX-RNOR	11	1	2	0	16	10	2	27	15	0	3	2	0	31
GTEX-WYJK	39	2	11	0	50	60	5	86	69	3	17	3	2	102
GTEX-XOT4	13	2	5	2	30	33	1	39	38	0	5	0	2	48
GTEX-17GQL	45	2	29	5	60	52	5	80	67	7	8	1	3	87
GTEX-1FIGZ	23	1	12	2	25	28	1	41	43	4	2	0	4	46
GTEX-OXRK	10	0	9	2	15	21	2	28	21	2	2	2	1	40
GTEX-1E1VI	11	1	5	0	18	22	3	27	18	2	2	2	2	20
GTEX-11ZVC	27	2	6	0	29	37	3	38	34	1	8	1	0	47
GTEX-ZZ64	32	5	9	2	43	47	2	46	43	3	6	5	5	71
GTEX-QV44	23	2	19	0	35	50	5	63	51	2	5	0	3	64
GTEX-1R46S	19	1	10	0	26	20	0	36	31	2	8	1	3	51
GTEX-1KWVE	20	1	6	1	23	23	0	27	26	0	7	0	2	44
GTEX-1M4P7	17	2	6	4	31	35	4	52	44	1	8	2	5	75
GTEX-17EVQ	19	2	5	3	27	34	3	40	36	4	10	1	3	64
GTEX-ZF3C	15	3	5	2	29	28	1	40	30	2	3	1	2	46
GTEX-Y3I4	17	1	12	2	36	31	2	48	36	1	6	4	0	52
GTEX-11ZU8	7	3	5	0	18	22	3	39	30	3	5	0	1	35
GTEX-1LVA9	16	4	6	0	20	20	1	31	27	1	4	2	1	42
GTEX-1RAZA	45	5	24	4	55	54	4	57	68	5	5	3	3	74
GTEX-13OVH	13	2	9	2	23	28	0	42	32	3	8	2	0	32
GTEX-145MO	14	3	4	1	15	20	0	32	31	0	5	0	0	28
GTEX-16BQI	20	5	12	0	36	27	4	55	44	3	6	4	1	58
GTEX-13N1W	13	2	5	0	32	40	3	46	44	2	6	0	3	57
GTEX-111VG	13	1	5	0	29	25	1	43	27	1	4	2	2	26
GTEX-OOBK	8	3	9	2	20	29	1	41	36	2	5	0	0	33
GTEX-1QEPI	44	3	9	0	46	57	4	60	53	3	12	7	3	79
GTEX-ZC5H	26	2	8	0	31	34	4	52	35	4	6	1	2	62
GTEX-Y9LG	25	4	8	1	30	40	5	53	50	5	7	3	0	58
GTEX-1EWIQ	25	4	8	1	27	28	1	43	28	5	8	3	3	56
GTEX-11EI6	21	1	9	0	26	16	3	40	44	3	5	2	3	54
GTEX-17KNJ	28	2	9	5	39	40	2	59	45	6	7	4	1	57
GTEX-1AMEY	38	2	13	2	45	35	3	69	34	2	10	3	3	60
GTEX-1IDJF	69	8	24	4	69	84	2	86	80	6	9	4	3	112
GTEX-183WM	25	1	7	0	36	26	4	56	48	2	11	1	3	48
GTEX-11LCK	17	2	5	1	17	27	2	29	29	0	4	2	1	36
GTEX-1S82Y	44	9	27	4	47	49	3	80	64	7	9	2	7	80
GTEX-18A66	23	4	10	0	39	37	0	58	45	2	6	1	2	50
GTEX-1QCLZ	18	1	8	1	21	18	0	38	33	3	8	2	2	45
GTEX-1RB15	24	0	5	3	26	30	1	49	40	0	4	4	0	54
GTEX-1314G	24	2	8	1	36	37	1	43	37	1	6	0	0	40
GTEX-1399U	29	5	16	2	33	38	4	58	50	2	6	3	3	56
GTEX-ZE7O	27	0	7	0	23	30	4	50	52	2	8	2	3	70
GTEX-QDVN	23	2	3	2	33	39	0	48	33	4	6	0	1	57
GTEX-13SLW	20	2	5	0	30	42	2	45	47	1	3	3	5	58
GTEX-13112	12	1	4	0	17	16	1	17	16	0	1	0	0	19
GTEX-18A7A	15	0	4	0	21	22	2	26	21	0	4	3	3	32
GTEX-ZAK1	11	0	1	0	16	23	2	30	21	0	3	2	1	27
GTEX-13OW8	16	2	10	4	30	28	1	31	36	3	2	0	2	38
GTEX-1F52S	15	3	4	2	20	18	2	27	25	3	0	2	0	32
GTEX-144GM	26	7	22	3	42	67	5	100	81	6	16	2	6	105
GTEX-14PJ5	13	4	6	1	22	27	3	50	43	1	5	2	0	34
GTEX-X5EB	11	3	6	3	16	11	2	23	17	1	3	0	0	26
GTEX-16XZZ	20	0	12	1	21	22	3	51	37	4	4	1	4	57
GTEX-O5YV	21	3	7	1	24	19	4	45	35	1	7	3	2	51
GTEX-14PII	17	4	5	1	34	33	2	50	39	3	6	2	4	54
GTEX-15ER7	34	7	13	2	47	52	4	83	75	3	12	7	1	108
GTEX-17HHE	35	3	9	3	45	40	1	59	52	1	8	2	0	69
GTEX-ZPCL	21	0	10	3	28	26	1	51	32	3	9	2	3	51
GTEX-1R7EU	35	9	14	1	51	52	3	103	69	7	5	2	6	103
GTEX-1A8G6	36	4	13	0	34	33	1	54	47	2	6	2	2	44
GTEX-WFON	30	3	20	1	32	29	1	49	36	5	9	2	1	58
GTEX-T6MN	3	0	2	0	6	6	0	11	6	1	2	1	1	10
GTEX-1128S	11	3	5	0	17	24	0	24	27	1	5	1	1	26
GTEX-RN64	8	0	3	0	15	14	1	20	13	2	2	0	2	28
GTEX-QCQG	39	3	19	5	45	38	2	68	58	3	2	3	2	68
GTEX-14PJ6	22	0	11	1	33	30	1	35	30	4	4	1	2	34
GTEX-139YR	17	2	12	2	18	26	0	48	37	5	5	2	3	52
GTEX-1445S	10	1	7	0	31	30	2	34	31	1	2	0	1	42
GTEX-1BAJH	15	0	5	1	17	16	1	17	17	0	4	1	2	24
GTEX-ZVZP	28	3	16	3	25	30	1	54	45	7	3	1	1	56
GTEX-14LLW	24	2	11	0	29	34	2	47	39	1	7	1	5	66
GTEX-VUSG	27	0	15	0	41	36	2	72	56	2	6	1	3	65
GTEX-12WSL	18	1	11	2	38	34	4	50	45	1	2	5	2	54
GTEX-1GPI6	10	3	7	1	21	21	2	32	22	1	4	2	3	31
GTEX-Z93S	12	5	5	2	27	37	1	39	30	1	6	4	1	43
GTEX-1GN1U	18	1	6	2	19	22	2	29	28	3	1	1	0	37
GTEX-X4EO	18	2	7	0	21	18	2	44	26	5	5	2	3	42
GTEX-13111	5	1	3	0	15	15	0	27	16	1	4	1	0	25
GTEX-14PK6	25	2	9	2	26	50	1	49	38	3	6	0	1	61
GTEX-1O9I2	10	0	5	1	12	14	2	26	12	1	3	1	0	23
GTEX-1JJ6O	18	0	7	0	24	23	1	32	28	2	0	0	2	49
GTEX-WRHU	29	1	6	1	45	42	2	54	40	2	8	4	4	70
GTEX-13OVG	37	6	32	3	49	70	5	96	65	5	17	7	4	93
GTEX-WHSE	14	2	9	2	24	20	0	53	37	0	5	3	3	49
GTEX-1JMQK	7	0	6	0	14	9	0	25	14	0	2	1	2	28
GTEX-14E6E	33	5	13	2	32	31	1	47	36	3	4	4	3	40
GTEX-13D11	21	2	5	4	34	37	4	58	54	1	5	5	3	51
GTEX-17EVP	12	1	8	0	21	11	1	30	22	0	4	0	1	23
GTEX-11P81	9	0	3	0	20	23	2	38	24	0	5	1	1	30
GTEX-13CF3	56	16	26	6	86	78	3	100	93	4	10	3	2	123
GTEX-ZVT4	11	1	3	0	12	14	1	30	20	0	5	3	2	25
GTEX-1R9K5	34	5	13	2	54	47	5	82	78	6	8	8	8	108
GTEX-QESD	10	2	6	1	15	15	0	34	24	1	2	0	1	33
GTEX-1399S	29	3	13	1	31	41	3	50	51	0	1	0	1	62
GTEX-WWTW	25	5	8	2	19	24	1	50	42	3	9	2	3	71
GTEX-13X6K	18	3	10	4	25	34	1	46	41	4	8	1	4	59
GTEX-Q734	22	3	10	0	31	42	4	54	41	2	11	0	1	43
GTEX-1A8G7	23	1	3	0	30	30	2	53	40	0	6	2	3	48
GTEX-1B932	40	4	18	3	36	37	4	69	64	4	6	2	1	64
GTEX-RM2N	15	0	4	1	20	32	3	33	26	2	3	2	1	40
GTEX-1RAZQ	41	3	17	3	40	43	6	55	48	5	12	2	5	101
GTEX-146FH	28	8	9	5	42	35	1	54	45	3	6	4	2	62
GTEX-YFC4	6	2	3	0	16	17	0	20	20	1	2	0	2	21
GTEX-1JKYR	15	4	5	1	25	29	1	35	29	1	10	1	0	49
GTEX-17F98	15	2	7	1	13	16	1	29	23	3	5	1	0	23
GTEX-111CU	40	9	27	0	72	63	3	99	74	7	4	5	4	94
GTEX-ZF29	39	3	21	4	43	46	5	80	80	4	8	5	5	86
GTEX-15UKP	22	5	9	0	34	35	1	48	34	2	11	5	2	51
GTEX-13NZB	22	4	12	0	21	40	0	41	34	1	8	2	1	58
GTEX-PSDG	24	6	16	1	40	39	3	52	48	3	6	0	3	65
GTEX-ZVE2	25	1	10	0	22	25	2	58	38	2	6	1	0	48
GTEX-11GS4	8	0	1	0	9	9	0	15	13	2	4	0	0	18
GTEX-ZVT3	4	2	1	0	12	14	1	20	17	0	5	0	1	19
GTEX-OXRN	38	3	18	1	34	49	1	73	46	8	11	5	3	60
GTEX-XV7Q	18	0	9	0	23	21	0	31	24	0	8	0	1	36
