individual	chr3:193240821:193251367:cluster67257	chr3:193240821:193254684:cluster67257	chr3:193241533:193251367:cluster67257	chr3:193241533:193254684:cluster67257	chr3:193241533:193255651:cluster67257	chr3:193241533:193262970:cluster67257	chr3:193251500:193254646:cluster67257	chr3:193251500:193254684:cluster67257	chr3:193251500:193255651:cluster67257	chr3:193254738:193255651:cluster67257	chr3:193255789:193262970:cluster67257
GTEX-14PJ4	4	0	0	1	23	0	0	1	7	4	51
GTEX-1F75B	14	0	8	0	40	0	2	5	8	6	83
GTEX-1QP6S	23	0	20	3	129	1	6	4	37	18	265
GTEX-11NUK	27	1	5	5	69	1	0	2	18	13	151
GTEX-147F4	30	0	8	2	64	0	5	1	25	15	166
GTEX-XUW1	12	0	3	1	22	0	1	1	6	4	53
GTEX-WZTO	24	4	7	5	75	1	6	4	24	18	196
GTEX-1313W	42	1	10	5	109	1	1	5	42	16	237
GTEX-1GMR3	26	0	10	3	70	0	0	7	23	9	161
GTEX-1C6WA	28	4	13	2	94	0	3	11	20	20	182
GTEX-XBEW	15	2	8	4	76	0	2	0	16	13	129
GTEX-1S83E	16	2	11	3	83	0	2	3	28	4	189
GTEX-ZLV1	5	0	5	1	40	0	2	0	11	4	75
GTEX-ZUA1	36	3	10	9	110	0	1	8	28	19	228
GTEX-13FTZ	37	3	10	5	107	1	1	6	33	15	207
GTEX-17EUY	12	1	7	2	40	0	2	4	11	7	65
GTEX-1LGOU	14	0	4	1	43	0	0	2	9	4	87
GTEX-1L5NE	16	2	1	2	40	0	1	3	13	11	89
GTEX-1I4MK	20	2	8	1	72	0	0	3	15	11	122
GTEX-169BO	8	0	7	4	58	0	0	3	13	8	115
GTEX-11EM3	15	0	7	0	66	0	2	2	18	5	138
GTEX-131XG	19	1	6	5	64	0	0	6	15	8	134
GTEX-1F5PL	21	0	8	3	63	0	0	3	19	19	140
GTEX-WK11	40	0	19	15	126	0	1	9	35	24	300
GTEX-1GPI7	28	2	8	1	62	0	1	5	21	9	147
GTEX-1RAZR	20	2	6	4	97	0	0	2	26	7	175
GTEX-1S82P	14	2	3	2	47	0	0	2	16	5	85
GTEX-OHPL	23	0	9	3	64	0	0	3	12	10	126
GTEX-12C56	16	0	12	4	61	0	0	6	22	13	134
GTEX-TSE9	11	0	3	0	20	0	1	0	5	2	54
GTEX-ZYFG	9	0	2	0	17	0	1	1	5	3	43
GTEX-W5WG	9	0	2	0	35	0	2	1	6	4	64
GTEX-WEY5	38	2	13	3	107	1	2	10	44	13	221
GTEX-11ZUS	35	1	6	5	94	0	1	7	25	14	186
GTEX-1F75A	36	5	12	14	136	0	4	11	30	28	275
GTEX-P44G	5	0	0	1	14	0	0	1	6	2	50
GTEX-13N2G	37	3	12	2	114	0	4	4	38	21	256
GTEX-146FQ	13	0	8	2	74	0	0	8	28	11	163
GTEX-ZDTS	17	1	10	2	71	0	4	2	16	12	146
GTEX-1B97I	13	0	8	1	43	1	2	4	15	6	93
GTEX-17GQL	23	2	6	4	52	0	0	2	14	14	126
GTEX-11GSO	12	1	7	2	62	0	2	2	10	7	109
GTEX-WRHK	17	1	13	4	79	1	2	6	18	7	130
GTEX-QEG5	15	0	5	0	65	0	1	2	15	5	129
GTEX-1E1VI	17	0	3	4	49	0	0	3	20	5	103
GTEX-13RTL	34	2	7	4	67	0	2	7	22	14	161
GTEX-ZZ64	10	1	7	2	59	0	1	0	12	6	112
GTEX-1C6VR	20	2	8	3	77	0	2	6	10	18	138
GTEX-1R46S	7	1	3	0	20	0	0	0	11	3	54
GTEX-1KWVE	41	2	18	4	97	1	4	9	41	17	223
GTEX-1CB4F	13	0	4	2	39	0	0	6	10	7	79
GTEX-1M4P7	14	1	4	5	57	0	1	6	15	13	149
GTEX-ZF3C	10	0	2	4	46	1	0	2	18	5	98
GTEX-PWCY	24	2	8	4	64	0	2	5	15	11	136
GTEX-13FH7	8	1	3	0	24	0	1	2	4	4	69
GTEX-OIZH	20	0	5	2	48	0	2	0	18	6	116
GTEX-1R9PM	16	0	8	2	50	0	0	4	11	7	129
GTEX-145MO	13	2	8	2	32	1	1	3	10	8	76
GTEX-WYVS	27	0	8	4	67	0	1	2	30	10	147
GTEX-16BQI	24	2	18	7	109	2	0	4	27	16	257
GTEX-ZWKS	4	1	4	0	34	0	0	1	9	2	61
GTEX-1AX9J	13	0	9	3	86	0	3	3	14	7	162
GTEX-YJ8O	17	2	4	2	82	1	1	4	33	8	168
GTEX-OOBK	14	0	5	0	48	0	0	3	18	5	109
GTEX-1LVAO	7	1	3	0	17	0	1	1	5	2	26
GTEX-15RIF	20	0	8	1	67	0	2	3	16	7	178
GTEX-1M5QR	18	0	13	9	74	1	3	6	25	12	157
GTEX-P4PQ	7	1	4	2	25	0	0	0	7	1	60
GTEX-1AMEY	14	1	15	2	90	0	1	5	17	12	148
GTEX-1IDJF	19	0	8	2	70	2	3	4	10	10	132
GTEX-183WM	2	0	3	1	7	0	0	0	3	2	18
GTEX-11LCK	14	3	6	1	45	0	1	2	16	6	97
GTEX-OXRP	7	1	4	1	16	0	1	0	3	2	46
GTEX-14E6D	36	0	13	1	141	0	7	5	27	21	245
GTEX-1S82Y	20	2	15	6	118	0	2	4	20	18	213
GTEX-XBEC	15	0	9	2	73	0	0	2	22	10	122
GTEX-1QAET	11	0	7	2	54	0	3	1	21	8	101
GTEX-15CHC	9	0	6	0	36	0	2	2	11	8	76
GTEX-1RB15	10	0	7	4	62	0	0	4	17	6	134
GTEX-1314G	19	2	6	5	57	0	0	2	19	12	119
GTEX-ZTPG	8	1	4	1	21	0	0	0	7	7	41
GTEX-1399U	15	0	8	2	46	0	3	3	15	5	103
GTEX-ZE7O	16	0	2	4	64	0	4	1	21	7	148
GTEX-16GPK	38	2	11	2	106	0	3	5	33	15	209
GTEX-1PIEJ	21	2	17	4	99	0	0	1	20	12	207
GTEX-132Q8	7	0	0	0	20	0	0	0	7	2	48
GTEX-R55G	4	0	1	0	17	0	0	1	2	1	39
GTEX-OIZG	16	0	6	5	80	2	0	2	24	9	159
GTEX-N7MS	29	1	10	6	87	0	0	1	19	9	162
GTEX-1LVAM	18	1	11	0	52	0	2	3	19	11	123
GTEX-X5EB	10	0	2	4	37	0	2	4	11	5	73
GTEX-16XZZ	8	0	7	2	34	0	2	3	7	4	69
GTEX-14PII	20	0	3	1	61	0	1	5	13	11	115
GTEX-ZPCL	12	1	8	1	61	0	0	5	12	11	110
GTEX-RWSA	9	0	7	4	57	0	0	2	18	14	137
GTEX-U3ZM	9	0	10	1	57	0	4	2	13	7	115
GTEX-1A8G6	27	3	11	5	52	0	1	4	21	14	137
GTEX-14PN4	12	0	4	0	24	1	0	2	7	5	60
GTEX-13VXU	39	2	11	3	87	0	3	11	41	13	249
GTEX-T6MN	11	0	6	1	24	0	2	0	9	5	80
GTEX-18465	25	0	12	3	92	0	1	5	48	13	249
GTEX-RN64	22	0	7	5	40	0	0	4	21	11	119
GTEX-1QP66	19	3	11	2	71	0	2	3	22	6	151
GTEX-1GZHY	37	3	11	3	92	0	5	4	33	16	206
GTEX-147JS	17	0	9	4	73	0	1	2	24	15	110
GTEX-QCQG	16	0	10	2	61	0	0	1	13	4	101
GTEX-1MCQQ	17	1	7	8	75	0	3	2	18	12	158
GTEX-1GF9U	25	2	16	3	75	0	3	3	20	9	148
GTEX-1CB4E	4	0	4	0	31	0	1	0	7	5	73
GTEX-117XS	31	0	12	6	88	0	0	5	24	22	214
GTEX-U8XE	11	0	8	3	89	0	1	1	23	11	175
GTEX-1BAJH	19	1	12	4	69	1	0	1	24	10	128
GTEX-ZVZP	5	0	0	1	23	0	0	0	6	4	47
GTEX-13QIC	11	1	3	4	39	0	1	5	11	7	98
GTEX-11ZTT	10	0	9	3	54	0	0	2	10	7	87
GTEX-12WSL	14	0	5	3	51	1	1	0	12	3	106
GTEX-Z93S	36	2	13	3	140	0	1	5	28	16	212
GTEX-XMD2	4	0	2	0	15	0	0	1	9	3	37
GTEX-1PIIG	43	0	14	8	108	4	4	9	42	28	249
GTEX-17JCI	41	3	11	2	125	1	9	3	39	22	274
GTEX-YECK	22	6	10	7	94	0	3	8	31	21	223
GTEX-WHSE	22	2	10	3	93	3	3	4	28	11	188
GTEX-14XAO	4	0	4	2	26	0	0	3	8	7	64
GTEX-ZP4G	18	1	10	3	77	0	5	2	20	12	149
GTEX-ZGAY	22	0	9	5	59	0	1	4	20	10	110
GTEX-17EVP	28	1	8	2	90	0	4	3	26	10	147
GTEX-1CB4I	12	0	3	2	42	0	0	2	9	7	75
GTEX-1R9JW	10	1	6	1	32	0	0	1	14	4	66
GTEX-1399S	11	1	2	2	35	0	0	3	9	2	56
GTEX-1B932	21	1	14	3	119	0	3	2	24	18	175
GTEX-QDVJ	8	0	7	2	40	0	0	0	13	6	77
GTEX-TKQ2	30	1	14	6	128	0	0	5	39	11	206
GTEX-1S82U	25	0	8	3	83	1	1	9	32	17	207
GTEX-PX3G	3	0	1	0	13	0	1	1	5	0	32
GTEX-146FH	13	0	2	4	40	0	0	1	12	4	95
GTEX-17F98	4	0	0	2	31	0	1	1	9	4	55
GTEX-1GTWX	20	2	5	3	67	0	0	1	9	10	124
GTEX-ZF29	23	0	15	4	64	0	0	4	15	14	126
GTEX-15UKP	14	0	8	1	51	0	2	1	18	9	85
GTEX-PSDG	13	2	5	0	33	0	1	2	14	10	75
GTEX-13PVQ	21	2	5	3	69	0	2	2	15	16	114
GTEX-Z9EW	10	0	6	2	38	0	0	2	6	5	86
GTEX-11GS4	13	2	8	3	86	0	2	7	24	15	147
GTEX-S95S	11	0	2	0	22	0	0	1	7	7	61
GTEX-1QP28	5	0	3	0	26	0	2	0	8	4	49
GTEX-13OW7	37	1	16	1	143	0	6	2	34	17	260
