individual	chr3:197066754:197069219:cluster31804	chr3:197066754:197076586:cluster31804	chr3:197069260:197075837:cluster31804	chr3:197069260:197076586:cluster31804	chr3:197075870:197076586:cluster31804	chr3:197076682:197081051:cluster31804	chr3:197076685:197081051:cluster31804
GTEX-1K2DA	202	5	16	189	16	46	122
GTEX-18D9A	158	0	19	124	18	31	79
GTEX-T5JC	32	0	2	30	1	3	20
GTEX-ZF2S	90	0	10	72	7	22	52
GTEX-ZV6S	165	2	19	148	16	24	74
GTEX-WEY5	92	2	11	82	9	15	42
GTEX-14BMU	85	1	10	83	8	18	64
GTEX-1QP9N	54	0	5	51	1	11	27
GTEX-11ZUS	38	0	4	35	3	5	21
GTEX-1B97J	169	3	21	155	13	37	94
GTEX-131XF	78	1	4	70	3	12	44
GTEX-14LZ3	59	1	4	44	1	10	30
GTEX-13O3Q	28	0	1	29	1	5	15
GTEX-ZDTS	28	0	3	17	1	6	14
GTEX-R3RS	39	0	3	32	1	11	19
GTEX-1B97I	71	0	6	65	3	20	34
GTEX-XOT4	44	0	3	32	5	7	15
GTEX-11GSO	35	0	3	34	4	6	18
GTEX-15RIG	65	0	8	70	6	15	43
GTEX-13FTW	68	2	4	61	4	9	41
GTEX-11ZVC	41	0	4	48	2	11	28
GTEX-1339X	62	0	8	56	4	13	25
GTEX-15G1A	125	3	9	98	7	16	63
GTEX-ZZ64	108	2	10	108	9	22	75
GTEX-1R46S	122	0	9	107	11	23	47
GTEX-1KWVE	41	0	3	44	4	5	22
GTEX-ZF3C	68	0	5	56	5	16	25
GTEX-Y111	42	0	4	35	3	7	18
GTEX-14BIL	43	0	5	34	5	4	23
GTEX-1GMRU	58	0	5	51	4	6	21
GTEX-1A3MW	82	0	5	73	3	11	39
GTEX-13FH7	50	0	8	55	5	13	32
GTEX-YEC3	99	2	6	83	2	18	49
GTEX-1AMFI	150	3	15	138	14	19	68
GTEX-11ZU8	49	0	5	39	2	10	24
GTEX-13OVH	70	0	7	60	6	15	43
GTEX-16BQI	118	1	13	103	11	25	65
GTEX-13N1W	29	0	3	24	3	8	18
GTEX-1F7RK	29	0	1	32	1	6	18
GTEX-1R9K4	50	0	5	45	4	16	28
GTEX-1QEPI	59	0	3	42	3	8	21
GTEX-Y9LG	65	0	4	50	4	7	27
GTEX-1EWIQ	47	0	3	52	2	10	22
GTEX-Y5LM	106	2	9	75	7	17	46
GTEX-11EI6	94	1	6	73	4	15	39
GTEX-QDT8	87	2	7	68	7	22	38
GTEX-1A8FM	51	0	4	41	5	6	25
GTEX-1M5QR	65	0	7	59	4	11	29
GTEX-XPVG	99	2	14	83	7	21	49
GTEX-P4PQ	68	1	8	53	5	9	30
GTEX-1AMEY	131	1	14	135	9	29	71
GTEX-1IDJF	96	1	12	82	13	20	52
GTEX-1GN73	48	0	7	35	3	9	19
GTEX-183WM	39	0	6	32	3	10	25
GTEX-RTLS	64	0	5	50	3	16	32
GTEX-OXRP	17	0	3	14	3	3	9
GTEX-1S82Y	78	1	7	72	5	13	37
GTEX-18A66	80	2	11	73	11	16	51
GTEX-13O21	70	1	6	65	8	18	39
GTEX-ZTPG	75	0	8	66	6	9	29
GTEX-1399U	97	1	9	80	6	12	47
GTEX-YB5K	81	0	9	72	7	14	37
GTEX-ZE7O	11	0	0	15	1	3	10
GTEX-13SLW	26	0	3	30	2	5	14
GTEX-16GPK	43	0	4	27	3	5	18
GTEX-1PIEJ	78	0	6	83	5	15	34
GTEX-15CHR	66	0	8	51	5	16	35
GTEX-11TT1	19	0	2	12	2	6	9
GTEX-1RQED	38	0	3	38	2	9	26
GTEX-1GZ4I	87	0	3	74	5	16	47
GTEX-R55G	35	0	4	26	1	9	14
GTEX-145MH	23	0	4	26	4	5	18
GTEX-1A3MV	91	1	6	75	5	24	45
GTEX-144GM	99	0	12	81	8	15	42
GTEX-14PJ5	136	1	18	120	10	27	52
GTEX-133LE	94	1	5	87	3	19	42
GTEX-X5EB	26	0	1	25	3	5	19
GTEX-16XZZ	122	0	10	105	8	28	58
GTEX-1K2DU	151	4	16	143	15	27	74
GTEX-14PII	44	1	3	45	3	8	26
GTEX-T8EM	200	0	20	190	15	36	120
GTEX-17HHE	81	2	10	95	6	17	41
GTEX-1R7EU	64	0	6	58	4	15	39
GTEX-U3ZM	124	0	11	98	9	20	76
GTEX-13VXU	56	0	3	42	3	9	21
GTEX-15SHV	73	0	8	56	6	18	32
GTEX-1JN1M	54	0	5	38	4	7	26
GTEX-15SB6	109	0	13	79	9	20	50
GTEX-13RTJ	67	0	7	57	6	11	25
GTEX-14PJ6	68	0	4	71	6	17	42
GTEX-11NSD	48	1	5	47	6	11	28
GTEX-14PJM	28	0	2	25	1	9	16
GTEX-117XS	36	0	1	32	1	5	19
GTEX-1445S	63	0	3	55	2	12	31
GTEX-15SKB	85	0	10	74	5	15	48
GTEX-ZVZP	69	0	5	73	3	14	45
GTEX-11ZTT	63	0	6	48	5	12	29
GTEX-12KS4	37	0	2	28	2	6	22
GTEX-11I78	70	1	5	62	5	12	41
GTEX-1GN1U	51	0	2	45	2	10	24
GTEX-111YS	83	3	12	75	8	16	41
GTEX-13111	40	0	6	42	5	10	31
GTEX-139TS	42	0	1	35	3	8	18
GTEX-XMD2	42	1	2	45	2	7	23
GTEX-144FL	67	0	4	50	3	11	26
GTEX-13QJ3	104	1	14	89	11	15	66
GTEX-ZYFD	17	0	1	13	0	3	9
GTEX-14JG1	25	1	1	22	1	3	12
GTEX-ZA64	84	1	6	89	6	13	49
GTEX-1PIIG	45	0	4	33	3	6	17
GTEX-17JCI	59	0	5	45	5	13	27
GTEX-11XUK	42	1	6	37	5	7	20
GTEX-1JJ6O	164	1	13	158	12	36	70
GTEX-12WSA	122	2	11	110	6	19	68
GTEX-OIZF	46	0	3	41	3	12	33
GTEX-14XAO	56	0	4	48	3	12	20
GTEX-13D11	85	0	8	73	5	20	42
GTEX-15DZA	113	3	9	96	7	13	53
GTEX-17EVP	28	0	3	25	2	9	18
GTEX-147GR	11	0	1	6	1	2	6
GTEX-1F48J	159	2	11	152	10	21	78
GTEX-ZVT4	45	0	3	34	3	12	25
GTEX-12584	40	0	1	36	1	8	19
GTEX-1R9JW	170	3	17	155	13	33	75
GTEX-15DCD	64	1	7	59	7	9	30
GTEX-13X6K	60	0	8	55	7	9	30
GTEX-QDVJ	69	0	4	57	4	9	32
GTEX-1EX96	31	0	2	28	2	6	12
GTEX-RM2N	146	0	10	123	7	19	69
GTEX-14DAQ	81	1	8	71	6	12	40
GTEX-1GF9V	31	0	3	24	3	10	17
GTEX-146FH	33	0	4	38	2	5	19
GTEX-U3ZH	59	0	5	52	3	10	30
GTEX-YFC4	30	0	3	20	3	7	11
GTEX-1JKYR	110	2	9	89	8	17	56
GTEX-1477Z	51	0	6	42	4	7	30
GTEX-14BIM	79	2	7	79	5	16	43
GTEX-111CU	86	3	9	73	9	17	50
GTEX-XAJ8	74	1	5	70	4	9	38
GTEX-ZF29	153	1	13	154	15	32	76
GTEX-13NZB	87	2	6	76	6	19	45
GTEX-13O3P	46	0	5	43	4	9	24
GTEX-Z9EW	56	1	3	47	5	7	25
GTEX-11GS4	25	0	3	18	1	6	14
