individual	chr14:92117642:92118849:cluster44749	chr14:92117642:92121196:cluster44749	chr14:92117642:92121280:cluster44749	chr14:92117642:92121642:cluster44749	chr14:92118966:92121280:cluster44749	chr14:92118966:92121642:cluster44749	chr14:92121399:92121642:cluster44749	chr14:92121413:92121642:cluster44749
GTEX-11VI4	15	7	0	704	0	9	2	0
GTEX-XUW1	9	0	0	417	0	4	0	1
GTEX-WZTO	34	3	0	1269	0	11	0	0
GTEX-1313W	48	6	0	1633	0	37	8	1
GTEX-12ZZY	14	4	0	853	0	6	0	0
GTEX-XQ3S	19	2	0	865	0	7	4	2
GTEX-XUZC	21	2	0	847	0	6	4	1
GTEX-145LU	21	3	0	1179	0	12	3	0
GTEX-13X6J	17	7	0	1571	0	11	3	1
GTEX-1LNCM	14	7	0	622	0	8	3	1
GTEX-1KD5A	47	8	0	1865	0	32	7	0
GTEX-1LSNL	22	4	0	1100	0	8	4	1
GTEX-1S83E	23	7	0	1704	0	24	4	1
GTEX-1NUQO	14	8	0	1022	0	11	2	1
GTEX-ZUA1	17	5	0	1101	0	17	2	1
GTEX-17EUY	13	2	0	505	0	8	1	0
GTEX-1L5NE	16	5	0	1043	0	12	3	0
GTEX-1I4MK	15	2	0	782	0	7	0	1
GTEX-X8HC	14	1	0	537	0	13	1	1
GTEX-169BO	18	0	0	1115	0	13	3	0
GTEX-11EM3	34	9	0	1014	0	19	2	1
GTEX-1MCYP	39	8	0	1064	0	24	2	1
GTEX-13FTY	18	1	0	874	0	5	2	1
GTEX-16NPX	17	0	0	901	0	12	0	0
GTEX-15ETS	35	8	0	1071	0	24	3	4
GTEX-1PPH7	37	3	0	1605	0	18	2	0
GTEX-1212Z	24	5	0	1342	0	21	1	2
GTEX-1F5PL	17	7	0	1110	0	17	3	0
GTEX-WK11	34	4	0	1101	0	19	1	1
GTEX-1GPI7	15	8	0	938	0	8	3	1
GTEX-1GN1W	37	5	0	1140	0	12	2	0
GTEX-1S82P	10	0	0	604	0	9	0	0
GTEX-Y8DK	18	1	0	1405	0	16	2	0
GTEX-1QPFJ	24	5	0	732	0	15	2	2
GTEX-1211K	18	4	0	509	0	9	1	1
GTEX-ZYFG	20	3	0	886	0	8	3	1
GTEX-W5WG	18	5	0	1000	0	9	2	0
GTEX-TMMY	7	1	0	508	0	8	0	1
GTEX-1N2DW	35	5	0	1268	0	19	2	1
GTEX-PLZ5	12	1	0	588	0	11	0	0
GTEX-13O3O	11	4	0	974	0	14	0	0
GTEX-1C2JI	11	1	0	664	0	10	1	0
GTEX-1K2DA	41	7	0	2235	0	26	6	0
GTEX-18D9A	19	0	0	833	0	11	1	0
GTEX-1LH75	8	0	0	410	0	6	0	0
GTEX-U8T8	26	1	0	1012	0	10	0	1
GTEX-T5JC	32	4	0	1982	0	30	7	1
GTEX-ZF2S	38	3	0	1393	0	27	2	1
GTEX-WEY5	43	3	0	2178	0	29	2	1
GTEX-1399T	14	3	0	890	0	11	2	0
GTEX-1QP9N	32	8	0	1250	0	17	4	1
GTEX-11ZUS	16	1	0	1231	0	16	0	0
GTEX-131XF	13	2	0	591	0	9	0	2
GTEX-1F75A	26	10	0	1715	0	20	0	0
GTEX-139UW	18	7	0	1273	0	18	0	0
GTEX-13QBU	16	5	0	687	0	5	6	2
GTEX-13G51	9	3	0	838	0	10	0	1
GTEX-RNOR	16	1	0	578	0	11	3	1
GTEX-1A3MX	19	2	0	1040	0	8	1	0
GTEX-XOT4	17	2	0	598	0	11	3	0
GTEX-11GSO	7	1	0	537	0	8	0	2
GTEX-15RIG	36	8	0	1429	0	21	9	3
GTEX-QEG5	15	1	0	596	0	9	0	0
GTEX-1E1VI	24	4	0	833	0	7	1	0
GTEX-1C6VR	28	7	0	988	0	11	3	1
GTEX-1JMQI	45	2	0	1387	0	21	1	0
GTEX-1R46S	26	10	0	1214	0	18	0	3
GTEX-ZV68	15	4	0	967	0	5	1	1
GTEX-11UD2	25	5	0	957	0	14	4	0
GTEX-1CB4F	24	6	0	768	0	10	0	0
GTEX-1M4P7	34	14	0	2443	0	17	1	3
GTEX-17EVQ	20	10	0	1293	0	19	3	1
GTEX-ZF3C	17	6	0	1162	0	21	4	1
GTEX-PWCY	22	6	0	1113	0	10	2	1
GTEX-Y111	7	1	0	612	0	7	1	0
GTEX-14BIL	29	9	0	1538	0	20	3	1
GTEX-18A67	18	4	0	1002	0	12	1	1
GTEX-1GMRU	14	3	0	1008	0	13	1	1
GTEX-13FH7	10	2	0	603	0	13	0	0
GTEX-OIZH	29	1	0	816	0	12	2	0
GTEX-YEC3	28	6	0	1308	0	24	4	2
GTEX-1R9PN	17	7	0	1583	0	14	5	2
GTEX-1269C	45	6	0	1312	0	25	1	1
GTEX-1AMFI	16	5	0	606	0	7	1	0
GTEX-1R9PM	14	4	0	787	0	6	2	0
GTEX-1LVA9	24	5	0	1660	0	9	1	1
GTEX-1192X	9	1	0	540	0	6	1	0
GTEX-1LSNM	47	8	0	1687	0	27	3	3
GTEX-1RAZA	21	7	0	1083	0	16	2	0
GTEX-13OVH	24	7	0	876	0	19	1	0
GTEX-T2IS	12	2	0	906	0	17	4	0
GTEX-145MO	17	2	0	965	0	19	2	0
GTEX-WYVS	26	11	0	975	0	11	0	0
GTEX-16BQI	21	1	0	1091	0	11	5	0
GTEX-13N1W	10	2	0	883	0	6	2	1
GTEX-117YW	16	3	0	874	0	6	2	1
GTEX-16MT8	20	7	0	812	0	9	1	0
GTEX-111VG	19	5	0	1109	0	9	1	0
GTEX-Q2AG	6	2	0	201	0	4	0	0
GTEX-1F7RK	40	4	0	1473	0	13	0	0
GTEX-1R9K4	43	19	0	2152	0	35	7	1
GTEX-YJ8O	18	0	0	760	0	16	2	0
GTEX-OOBK	11	2	0	501	0	5	0	2
GTEX-ZC5H	18	3	0	702	0	8	3	0
GTEX-15CHQ	17	2	0	826	0	10	1	0
GTEX-Y9LG	9	2	0	698	0	4	1	0
GTEX-11EI6	30	5	0	910	0	16	0	1
GTEX-17KNJ	7	4	0	530	0	3	0	1
GTEX-QDT8	14	3	0	948	0	18	1	0
GTEX-1A8FM	10	6	0	675	0	9	1	0
GTEX-1ICLZ	6	3	0	316	0	2	2	0
GTEX-1M5QR	23	5	0	1448	0	15	1	0
GTEX-XPVG	33	7	0	1514	0	12	5	0
GTEX-1JN6P	19	4	0	961	0	24	4	2
GTEX-1AMEY	15	6	0	1092	0	7	1	0
GTEX-11LCK	7	5	0	738	0	12	1	0
GTEX-OXRP	5	1	0	163	0	1	0	0
GTEX-15CHC	13	5	0	1084	0	12	3	4
GTEX-13O21	14	2	0	791	0	11	2	1
GTEX-1QCLZ	11	0	0	728	0	8	0	1
GTEX-1RB15	13	5	0	747	0	7	1	0
GTEX-1314G	6	1	0	480	0	7	1	0
GTEX-ZTPG	21	3	0	696	0	8	1	1
GTEX-PLZ6	5	2	0	165	0	2	1	0
GTEX-YB5K	14	1	0	908	0	10	2	0
GTEX-ZE7O	34	8	0	1205	0	17	1	1
GTEX-1PDJ9	39	11	0	1664	0	23	4	5
GTEX-1PIEJ	16	6	0	1294	0	14	2	2
GTEX-15CHR	18	3	0	767	0	16	4	2
GTEX-11TT1	4	2	0	335	0	5	1	1
GTEX-18A7A	35	6	0	1163	0	22	1	0
GTEX-WHSB	15	6	0	726	0	10	4	0
GTEX-ZAK1	21	1	0	828	0	6	1	0
GTEX-1GZ4I	36	5	0	1321	0	20	4	2
GTEX-1PBJJ	16	5	0	896	0	15	3	3
GTEX-13OW8	15	3	0	587	0	3	4	0
GTEX-1QP2A	22	2	0	860	0	5	1	0
GTEX-R55G	8	3	0	458	0	9	0	0
GTEX-145MH	23	3	0	1013	0	17	0	0
GTEX-1E2YA	10	2	0	705	0	12	0	2
GTEX-13X6H	9	4	0	471	0	3	1	0
GTEX-11GSP	12	2	0	831	0	5	4	0
GTEX-N7MS	14	0	0	695	0	9	1	2
GTEX-1A3MV	36	6	0	1154	0	13	1	2
GTEX-144GM	11	4	0	673	0	7	1	2
GTEX-1LVAM	22	3	0	1190	0	10	0	0
GTEX-133LE	13	1	0	802	0	12	0	0
GTEX-1R9PO	28	7	0	1017	0	27	2	2
GTEX-16XZZ	33	9	0	1195	0	20	2	3
GTEX-1K2DU	14	1	0	967	0	7	0	1
GTEX-ZAB4	9	3	0	957	0	10	3	3
GTEX-15ER7	69	7	0	2569	0	37	2	2
GTEX-T8EM	26	2	0	882	0	18	0	0
GTEX-17HHE	8	4	0	419	0	6	2	0
GTEX-WOFM	17	6	0	1198	0	9	2	2
GTEX-RWSA	8	4	0	508	0	9	0	0
GTEX-1R7EU	13	2	0	835	0	3	2	1
GTEX-U3ZM	10	1	0	482	0	4	0	0
GTEX-14PN4	9	2	0	456	0	6	2	0
GTEX-15SHV	24	2	0	1061	0	20	4	1
GTEX-13PLJ	11	0	0	482	0	6	3	0
GTEX-18465	18	1	0	1214	0	10	2	0
GTEX-1128S	48	9	0	1430	0	21	1	3
GTEX-RN64	7	1	0	570	0	5	0	0
GTEX-1GZHY	25	1	0	1277	0	9	2	0
GTEX-1JN1M	19	9	0	811	0	9	2	2
GTEX-147JS	19	4	0	559	0	8	0	0
GTEX-QCQG	13	3	0	845	0	11	3	0
GTEX-R55C	10	0	0	522	0	12	1	1
GTEX-14PJ6	9	3	0	630	0	5	0	1
GTEX-1GF9U	32	6	0	1130	0	12	0	2
GTEX-117XS	26	3	0	1092	0	13	3	0
GTEX-1B8KZ	17	1	0	740	0	6	0	0
GTEX-139YR	14	2	0	625	0	9	1	2
GTEX-1MA7W	26	7	0	1235	0	19	3	1
GTEX-ZVZP	11	2	0	605	0	11	1	0
GTEX-11ONC	16	1	0	555	0	9	0	0
GTEX-VUSG	5	1	0	292	0	2	2	1
GTEX-13QIC	6	2	0	551	0	7	0	0
GTEX-11ZTT	22	6	0	753	0	9	0	1
GTEX-12KS4	10	3	0	763	0	4	0	1
GTEX-11I78	12	0	0	786	0	9	0	0
GTEX-X4EO	24	3	0	1042	0	13	1	0
GTEX-111YS	22	5	0	633	0	8	1	1
GTEX-13111	11	4	0	759	0	10	1	0
GTEX-14H4A	20	3	0	966	0	12	3	2
GTEX-139TS	30	4	0	1439	0	28	4	2
GTEX-14PK6	16	7	0	731	0	7	1	0
GTEX-1O9I2	29	10	0	1345	0	12	1	0
GTEX-1CAMQ	18	5	0	948	0	15	2	2
GTEX-XMD2	13	1	0	608	0	8	1	0
GTEX-1B8L1	11	2	0	482	0	9	0	0
GTEX-13QJ3	26	8	0	773	0	8	2	1
GTEX-1PIIG	18	5	0	1078	0	9	2	0
GTEX-ZVE1	24	9	0	983	0	13	3	2
GTEX-17JCI	24	11	0	1374	0	14	0	0
GTEX-11XUK	12	4	0	613	0	7	1	1
GTEX-WRHU	16	6	0	1155	0	9	0	2
GTEX-YECK	25	5	0	1553	0	18	2	0
GTEX-WHSE	11	3	0	1006	0	8	3	3
GTEX-1F88F	32	9	0	1946	0	10	4	0
GTEX-1LG7Y	39	8	0	1659	0	20	4	1
GTEX-OIZF	13	2	0	549	0	7	3	1
GTEX-14XAO	12	6	0	702	0	14	3	2
GTEX-1GN2E	13	4	0	1274	0	11	2	0
GTEX-ZZPU	17	5	0	912	0	7	0	1
GTEX-14E6E	26	4	0	1191	0	14	0	1
GTEX-13D11	18	4	0	671	0	17	0	1
GTEX-ZGAY	10	1	0	986	0	12	1	2
GTEX-14C39	19	2	0	1054	0	7	1	0
GTEX-17EVP	10	3	0	910	0	11	2	1
GTEX-147GR	21	3	0	1330	0	8	3	1
GTEX-13CF3	16	4	0	607	0	16	0	0
GTEX-12WSF	37	8	0	1459	0	25	4	0
GTEX-1CB4I	9	2	0	532	0	2	0	1
GTEX-1R9JW	18	4	0	750	0	5	2	2
GTEX-QESD	6	2	0	333	0	1	0	0
GTEX-1399S	15	3	0	589	0	7	1	1
GTEX-P4QT	17	6	0	856	0	10	2	1
GTEX-13X6K	16	2	0	933	0	15	3	0
GTEX-1A8G7	28	8	0	842	0	15	3	1
GTEX-1B932	11	2	0	672	0	5	2	1
GTEX-1EX96	16	1	0	645	0	5	1	0
GTEX-TKQ2	11	7	0	587	0	11	2	0
GTEX-RM2N	9	3	0	362	0	6	0	0
GTEX-14DAQ	39	10	0	1421	0	30	2	2
GTEX-ZEX8	33	2	0	1070	0	21	1	1
GTEX-1GF9V	32	3	0	1063	0	11	4	3
GTEX-12WSN	12	2	0	634	0	10	3	1
GTEX-PX3G	3	0	0	150	0	4	0	0
GTEX-13FHO	16	0	0	770	0	6	0	0
GTEX-1R7EV	21	8	0	805	0	12	2	0
GTEX-146FH	16	6	0	527	0	8	0	0
GTEX-RUSQ	1	0	0	76	0	2	0	0
GTEX-1JKYR	21	10	0	1376	0	21	3	0
GTEX-1477Z	12	2	0	638	0	9	0	3
GTEX-ZF29	15	3	0	1073	0	10	0	0
GTEX-15UKP	9	3	0	740	0	6	2	1
GTEX-1CB4J	21	8	0	810	0	8	4	2
GTEX-17F97	29	6	0	946	0	20	2	0
GTEX-13NZB	15	0	0	915	0	11	0	0
GTEX-PSDG	14	2	0	415	0	4	2	1
GTEX-13PVQ	13	4	0	827	0	5	1	0
GTEX-13O3P	18	5	0	790	0	14	0	1
GTEX-Z9EW	7	4	0	776	0	8	0	0
GTEX-1QP67	6	2	0	664	0	6	1	0
GTEX-OXRN	30	3	0	957	0	19	0	1
GTEX-S95S	16	1	0	481	0	5	0	0
GTEX-1QP28	16	0	0	583	0	9	1	2
GTEX-13OW7	19	2	0	1347	0	13	1	0
