individual	chr10:125039155:125074743:cluster36117	chr10:125039155:125088191:cluster36117	chr10:125039155:125110990:cluster36117	chr10:125039155:125122657:cluster36117	chr10:125039155:125133512:cluster36117	chr10:125039155:125160319:cluster36117	chr10:125088319:125110990:cluster36117	chr10:125111093:125122657:cluster36117	chr10:125111093:125133512:cluster36117	chr10:125111093:125160319:cluster36117	chr10:125133612:125160319:cluster36117
GTEX-1C6WA	2	9	38	0	1	4	3	9	2	12	6
GTEX-OIZI	0	1	10	0	0	1	0	4	0	4	3
GTEX-1JKYN	0	0	7	0	0	1	0	2	0	0	0
GTEX-18A7B	1	2	31	0	2	3	1	6	3	13	7
GTEX-111FC	0	0	5	0	0	1	0	1	0	0	2
GTEX-1KD5A	0	5	28	2	5	4	2	11	3	10	3
GTEX-ZLV1	0	2	30	0	3	3	0	11	2	4	5
GTEX-18A6Q	0	1	11	0	0	4	0	4	2	1	1
GTEX-1LGOU	0	1	8	0	1	2	0	2	2	1	2
GTEX-1L5NE	0	3	33	2	1	9	2	8	8	9	4
GTEX-11EM3	0	2	30	0	2	3	0	1	2	6	2
GTEX-13FTY	1	1	27	0	3	3	0	6	1	7	1
GTEX-1PPH7	1	3	30	0	2	5	3	6	3	8	3
GTEX-1212Z	0	3	17	0	1	2	0	6	0	3	3
GTEX-1GPI7	0	1	24	0	3	3	0	12	5	11	3
GTEX-1RAZR	0	1	17	0	0	3	0	3	1	7	2
GTEX-1S82P	0	1	27	0	2	1	0	4	2	5	2
GTEX-TSE9	0	2	25	0	1	1	0	3	5	8	6
GTEX-1N2DW	0	0	11	0	0	1	1	2	3	4	2
GTEX-PLZ5	0	2	23	0	3	2	1	8	3	6	7
GTEX-13O3O	0	2	12	0	0	1	0	6	2	1	1
GTEX-U8T8	0	1	27	0	4	3	0	10	3	11	3
GTEX-1399T	0	1	10	0	1	1	0	2	0	1	3
GTEX-1B97J	0	3	33	0	2	6	0	5	4	11	2
GTEX-1F75A	0	1	17	0	0	1	1	3	0	2	1
GTEX-13N2G	4	4	61	0	5	11	5	16	6	17	5
GTEX-146FQ	0	8	24	0	3	4	1	7	4	6	3
GTEX-13U4I	0	2	15	0	0	2	0	1	1	2	0
GTEX-13G51	0	1	10	0	0	2	1	1	2	2	1
GTEX-ZDTS	0	0	7	0	1	1	0	3	1	1	0
GTEX-1B97I	1	1	15	0	1	3	0	6	0	7	4
GTEX-17HII	0	1	4	0	0	0	0	2	0	1	1
GTEX-1339X	1	10	65	0	3	8	4	20	14	18	7
GTEX-13RTL	0	2	15	0	0	3	1	6	2	8	2
GTEX-1C6VR	0	1	13	0	1	3	1	4	2	1	0
GTEX-QV44	0	1	23	0	3	2	0	6	0	8	2
GTEX-11OF3	0	2	10	0	1	1	0	5	1	2	2
GTEX-1KWVE	0	1	11	0	0	0	1	4	1	4	0
GTEX-ZF3C	0	2	14	0	1	5	1	4	1	6	2
GTEX-18A67	2	3	36	2	2	10	0	14	4	8	5
GTEX-1GMRU	0	1	11	0	0	3	0	6	2	2	0
GTEX-1A3MW	1	0	12	0	1	4	1	5	3	5	4
GTEX-18D9U	0	2	35	0	2	6	0	8	8	10	5
GTEX-1192X	0	1	22	0	1	6	0	5	4	5	2
GTEX-15D79	0	1	13	0	1	2	0	1	1	7	2
GTEX-1RAZA	0	2	33	0	3	7	0	5	0	10	2
GTEX-13N1W	0	2	9	0	0	2	0	1	3	2	1
GTEX-117YW	0	1	11	0	1	0	0	3	1	2	0
GTEX-1AX9J	0	5	23	0	4	4	1	12	6	5	4
GTEX-1R9K4	0	1	12	0	2	3	0	1	1	1	2
GTEX-OOBK	0	3	15	0	0	2	0	6	3	3	5
GTEX-15CHQ	0	2	17	0	0	3	1	1	2	4	0
GTEX-1EWIQ	0	2	9	0	1	0	0	2	0	4	2
GTEX-QDT8	0	2	12	0	0	2	0	3	3	2	3
GTEX-1A8FM	0	1	22	0	1	1	1	5	3	2	4
GTEX-15RIF	0	4	23	0	0	1	1	9	4	7	1
GTEX-1M5QR	1	2	35	2	2	7	1	20	5	12	6
GTEX-11LCK	0	1	16	0	1	3	1	2	0	4	2
GTEX-14E6D	0	3	15	0	0	2	0	2	1	4	1
GTEX-1S82Y	0	2	16	0	3	4	0	8	0	4	2
GTEX-18A66	0	2	14	0	0	3	0	4	1	2	2
GTEX-13O21	0	0	16	0	2	4	0	3	3	1	3
GTEX-YB5K	0	2	16	0	3	5	2	9	2	7	2
GTEX-ZE7O	0	1	6	0	1	0	0	2	0	0	0
GTEX-QDVN	0	2	12	0	1	3	0	0	0	4	2
GTEX-1PDJ9	0	1	31	0	2	1	0	7	2	4	3
GTEX-13SLW	0	3	10	0	2	1	0	2	2	2	1
GTEX-16GPK	0	2	5	0	1	1	0	4	1	2	1
GTEX-1PIEJ	0	3	30	0	4	6	0	5	3	6	5
GTEX-132Q8	0	3	25	0	2	5	0	2	5	8	4
GTEX-13112	0	2	11	0	0	1	0	2	0	3	0
GTEX-WOFL	1	3	28	0	1	11	1	4	3	8	5
GTEX-ZAK1	0	1	12	0	0	3	1	2	0	2	0
GTEX-1PBJJ	0	1	7	0	1	2	0	3	2	3	3
GTEX-1E2YA	0	0	13	0	2	3	0	4	2	2	2
GTEX-11GSP	0	2	11	0	1	0	1	3	1	2	4
GTEX-12WSG	0	1	3	0	0	0	0	1	0	0	0
GTEX-12WSJ	0	1	12	0	0	1	0	1	1	2	1
GTEX-N7MS	0	3	17	0	1	2	1	3	1	6	1
GTEX-144GM	0	3	33	0	4	7	0	6	5	5	7
GTEX-14PJ5	2	7	27	1	2	3	1	5	6	6	6
GTEX-X5EB	0	1	8	0	0	2	0	2	0	1	0
GTEX-O5YV	0	4	16	0	1	5	2	2	3	5	4
GTEX-14PII	0	4	18	0	2	3	0	4	1	3	3
GTEX-15ER7	1	4	48	2	4	7	0	18	5	4	9
GTEX-ZPCL	0	1	8	0	1	0	0	5	0	3	2
GTEX-14PN4	0	1	19	0	1	3	0	7	6	5	1
GTEX-T6MN	0	1	5	0	0	1	1	2	1	1	0
GTEX-R55C	0	1	6	0	0	1	0	3	0	1	1
GTEX-1GF9U	0	1	15	0	2	1	0	4	2	2	1
GTEX-OXRL	0	0	18	0	2	2	2	7	3	3	2
GTEX-11NSD	0	1	13	0	0	4	0	5	4	4	2
GTEX-117XS	0	0	8	0	1	2	0	4	1	4	2
GTEX-139YR	1	1	18	0	4	5	1	5	3	5	5
GTEX-1MA7W	0	4	17	0	3	5	0	2	2	5	4
GTEX-15SKB	0	1	27	0	2	3	0	6	3	8	5
GTEX-11ONC	0	3	18	0	0	2	0	4	2	3	5
GTEX-11ZTT	0	0	16	0	1	0	1	4	1	5	2
GTEX-1GPI6	0	2	7	0	0	1	0	3	1	2	2
GTEX-1GN1U	0	1	7	0	1	2	0	0	2	1	0
GTEX-111YS	0	4	26	2	2	11	1	5	3	10	6
GTEX-139TS	0	1	25	0	0	2	1	4	3	5	1
GTEX-1O9I2	0	0	6	0	0	0	0	2	0	1	1
GTEX-ZA64	0	2	22	0	1	1	0	2	3	9	5
GTEX-17JCI	0	3	12	0	2	2	2	6	4	6	1
GTEX-WHSE	0	7	35	0	0	10	2	6	6	9	5
GTEX-OIZF	0	3	18	0	3	4	0	4	2	4	1
GTEX-1JMQK	0	2	17	0	0	4	1	3	2	7	1
GTEX-ZP4G	1	0	32	0	3	4	0	6	4	14	4
GTEX-15DZA	2	2	30	0	3	3	1	10	3	8	4
GTEX-ZGAY	0	4	24	0	3	2	2	4	2	6	1
GTEX-17EVP	0	0	12	0	0	2	0	1	0	3	1
GTEX-1F48J	0	8	23	0	2	5	0	7	6	7	5
GTEX-ZVT4	0	3	16	0	2	2	2	7	1	2	1
GTEX-12WSF	0	1	6	0	1	1	0	3	1	2	1
GTEX-12584	0	5	16	0	2	6	0	7	3	6	2
GTEX-16NPV	0	0	13	0	1	1	0	1	0	2	1
GTEX-11O72	0	2	12	0	1	3	1	1	2	6	2
GTEX-WWTW	0	2	8	0	1	0	0	2	2	2	0
GTEX-13X6K	0	2	11	0	1	3	2	3	2	5	0
GTEX-Q734	0	2	25	0	2	3	1	9	0	6	8
GTEX-1B932	0	1	31	0	0	3	1	12	3	6	2
GTEX-U3ZH	0	3	9	0	1	1	1	1	2	3	2
GTEX-1ICLY	0	0	12	0	0	4	0	1	2	2	2
GTEX-Q2AI	0	0	8	0	0	1	0	2	0	2	2
GTEX-111CU	0	0	12	0	0	1	0	3	0	5	1
GTEX-ZF29	0	3	21	0	2	3	1	6	0	5	2
GTEX-17F97	0	6	18	0	0	2	0	5	3	5	2
GTEX-ZVE2	1	1	20	0	0	4	0	6	3	7	5
GTEX-Z9EW	0	1	12	0	0	1	0	4	0	2	1
GTEX-11GS4	0	0	9	0	0	4	0	4	1	3	2
GTEX-S95S	0	1	8	0	1	1	0	1	3	3	0
GTEX-1QP28	0	1	18	0	1	6	0	5	3	4	1
