individual	chr10:86680157:86681436:cluster4412	chr10:86680157:86685594:cluster4412	chr10:86680157:86685678:cluster4412	chr10:86681803:86685678:cluster4412	chr10:86681803:86687069:cluster4412	chr10:86681803:86691896:cluster4412	chr10:86685700:86686065:cluster4412	chr10:86685700:86687069:cluster4412	chr10:86685700:86689260:cluster4412	chr10:86685700:86691896:cluster4412	chr10:86687272:86689260:cluster4412	chr10:86687272:86691896:cluster4412	chr10:86689274:86691896:cluster4412	chr10:86690612:86691896:cluster4412
GTEX-1GN1V	25	1	7854	11	0	1	0	6547	5	0	34	5214	33	0
GTEX-1C475	40	0	2225	8	2	7	1	1789	2	4	20	1332	22	0
GTEX-ZF28	18	0	1700	3	3	3	0	1373	1	0	6	1007	8	0
GTEX-14BMV	44	2	7547	8	0	0	0	6340	26	3	139	4469	159	0
GTEX-XPT6	19	0	1612	3	0	8	0	1417	3	1	14	1119	14	1
GTEX-U4B1	16	0	1566	3	0	7	2	1339	1	0	25	866	29	0
GTEX-146FR	12	0	1046	5	0	3	2	903	0	1	18	747	12	0
GTEX-1AX9I	17	2	6604	7	1	4	1	5671	16	0	152	4624	148	2
GTEX-1B8KE	22	0	1139	3	0	6	0	1004	0	0	15	899	18	1
GTEX-ZVT2	10	0	690	4	2	2	0	600	0	1	8	447	7	0
GTEX-14JG6	14	0	1085	3	0	4	0	927	0	1	8	749	8	0
GTEX-1KANA	12	0	2241	6	1	0	1	1953	0	1	11	1643	11	1
GTEX-1JN76	57	3	3840	30	1	5	3	3166	8	1	68	2642	83	6
GTEX-1RQEC	39	4	12263	11	0	11	3	10514	43	5	138	8485	194	0
GTEX-Y5V5	22	0	2159	7	2	3	0	1876	11	0	29	1382	44	0
GTEX-1S5VW	22	2	10290	9	1	4	1	7832	16	0	167	6165	214	0
GTEX-1C64N	13	1	4171	7	0	0	0	3509	2	0	47	3142	59	6
GTEX-16YQH	31	4	9977	19	2	5	0	8358	8	2	50	6728	67	7
GTEX-14PQA	2	0	652	2	0	3	0	589	0	0	9	518	7	0
GTEX-S33H	41	2	4953	9	0	1	3	4369	6	3	45	3634	51	2
GTEX-13JVG	16	0	1050	3	1	3	0	893	0	0	29	660	27	2
GTEX-1CB4G	21	4	8492	8	3	5	1	7160	16	3	43	5399	63	0
GTEX-SIU8	33	0	7261	17	1	5	1	6307	12	3	77	5098	106	8
GTEX-P78B	3	0	972	0	3	1	0	824	0	0	5	670	5	0
GTEX-13S7M	34	0	4217	17	0	3	2	3279	5	2	60	2258	71	11
GTEX-ZAB5	6	0	2235	6	0	2	2	1908	1	0	11	1342	14	0
GTEX-1LB8K	48	2	8211	33	0	4	1	6962	12	2	192	5849	217	6
GTEX-15SHU	23	0	6160	11	2	5	1	5411	12	4	27	4452	44	2
GTEX-17MFQ	14	3	1254	11	1	3	0	1068	2	0	10	826	8	0
GTEX-11TTK	9	2	2042	5	0	2	1	1827	0	1	33	1375	24	2
GTEX-TMZS	16	0	2569	1	0	1	3	2151	0	0	20	1797	21	9
GTEX-14753	4	2	1757	0	0	0	1	1495	1	0	18	1104	19	0
GTEX-11DXX	26	0	1718	2	2	11	0	1486	2	0	14	1180	22	0
GTEX-14DAR	8	0	856	0	2	0	0	746	3	0	14	494	21	0
GTEX-RWS6	26	0	2367	6	1	3	0	2079	0	0	13	1755	13	3
GTEX-ZDXO	32	2	3168	13	1	11	1	2672	12	0	66	2133	75	1
GTEX-11EMC	11	0	2535	0	0	4	0	2012	4	0	29	1561	33	0
GTEX-X4XY	8	3	2590	3	0	0	2	2292	10	2	66	1921	77	4
GTEX-113JC	32	2	5738	12	1	4	0	4869	2	0	56	3670	55	8
GTEX-1PPGY	61	1	10596	57	1	11	2	8925	30	3	189	7210	194	9
GTEX-13RTK	16	0	883	5	0	2	0	776	1	2	8	509	9	0
GTEX-ZXG5	5	0	1571	1	0	1	0	1326	3	0	14	930	12	3
GTEX-1CB4H	6	0	585	1	0	2	2	506	0	1	13	401	12	0
GTEX-1A32A	39	3	6939	14	2	7	1	6074	16	0	69	4830	76	12
GTEX-14PJ4	12	0	771	1	1	6	0	670	2	0	11	608	13	0
GTEX-1F75B	21	0	2188	0	0	4	0	1855	3	2	8	1638	12	0
GTEX-11NUK	10	1	6057	6	0	6	0	5139	13	0	47	3737	59	3
GTEX-131YS	16	4	7770	9	1	1	0	6673	5	3	53	5285	51	2
GTEX-14PJN	9	1	1047	1	2	5	0	902	0	0	6	718	6	0
GTEX-147F4	37	1	7639	21	0	2	0	6533	8	0	46	5070	46	1
GTEX-13W3W	18	1	1351	6	1	4	1	1193	6	0	19	854	21	2
GTEX-QV31	10	0	1131	3	2	6	0	926	3	0	8	773	11	1
GTEX-1AX9K	9	1	2145	1	2	4	0	1801	1	1	14	1444	20	1
GTEX-1B933	19	9	8344	11	1	4	1	7137	12	0	58	5470	73	0
GTEX-11VI4	16	4	1935	6	0	6	2	1603	5	5	9	1243	17	3
GTEX-XUW1	5	0	1632	1	2	2	0	1321	1	1	22	1126	21	0
GTEX-1GZ2Q	28	7	9635	8	1	6	1	8404	10	0	40	6826	52	0
GTEX-1313W	45	10	12671	21	0	7	3	10939	8	2	50	8260	62	4
GTEX-12ZZY	15	0	6263	2	0	3	0	5250	11	1	57	3856	76	0
GTEX-XQ3S	20	3	7073	14	0	4	1	5957	17	2	44	5049	55	3
GTEX-1C6WA	23	1	6096	16	0	0	0	5236	8	0	141	4037	147	7
GTEX-1JKYN	5	0	822	0	0	0	0	681	0	0	6	550	7	0
GTEX-18A7B	28	1	3462	1	3	6	1	2907	9	2	14	2428	25	0
GTEX-XBEW	11	0	2114	2	1	4	0	1705	1	0	9	1420	10	1
GTEX-R53T	9	0	923	1	2	1	1	846	0	0	6	704	6	0
GTEX-183FY	6	0	1073	1	1	0	0	865	1	0	10	647	14	2
GTEX-145LU	19	3	8476	12	0	2	1	7301	8	0	43	5411	47	2
GTEX-111FC	37	2	6206	6	0	6	2	5251	5	0	41	3724	41	1
GTEX-13X6J	38	2	9958	25	0	5	0	8318	14	2	165	6629	172	3
GTEX-1KD5A	39	2	9827	12	2	4	0	8684	9	3	66	7432	79	2
GTEX-1LSNL	29	2	6383	18	2	5	0	5566	12	1	48	4490	63	5
GTEX-1S83E	17	1	2856	7	3	5	0	2449	1	1	27	2019	30	7
GTEX-ZDYS	31	0	1810	15	2	5	2	1543	6	5	20	1055	29	9
GTEX-ZLV1	11	0	1010	1	0	1	2	879	0	0	8	627	8	4
GTEX-1NUQO	13	0	1991	1	2	7	0	1735	3	0	47	1495	53	0
GTEX-ZUA1	37	0	7041	11	1	8	1	6046	25	1	185	4580	193	6
GTEX-18A6Q	34	2	9398	15	4	7	1	8117	15	3	173	6502	185	4
GTEX-13FTZ	47	2	6251	15	1	9	2	5411	5	1	53	4003	57	5
GTEX-17EUY	7	0	556	1	3	3	0	468	0	0	5	374	7	0
GTEX-1LGOU	22	0	2842	3	2	1	0	2461	14	2	73	1971	93	0
GTEX-1L5NE	10	0	2196	1	0	3	0	1959	8	2	38	1469	44	0
GTEX-1I4MK	27	0	1809	4	2	11	1	1490	0	0	25	1177	29	3
GTEX-X8HC	10	0	1100	1	0	1	0	965	5	0	32	797	31	0
GTEX-131XG	28	5	1963	12	0	2	1	1680	3	0	21	1110	18	0
GTEX-1JMQJ	44	2	8835	24	0	3	0	6977	4	0	71	5479	95	5
GTEX-13FTY	27	3	5628	8	4	14	2	4826	7	0	18	3737	18	0
GTEX-16NPX	21	1	4905	2	0	5	2	4038	2	1	27	3077	28	1
GTEX-15ETS	24	0	2090	7	4	3	1	1843	0	0	16	1610	26	3
GTEX-1PPH7	14	0	2799	2	0	3	0	2409	4	1	17	1951	23	0
GTEX-1212Z	46	3	11115	21	0	5	0	9676	30	0	199	6641	243	6
GTEX-1F5PL	16	0	2578	3	3	5	1	2104	0	5	18	1643	20	3
GTEX-WK11	29	5	10505	18	0	1	0	9172	7	1	56	7735	67	2
GTEX-1GPI7	14	0	2532	5	2	4	0	2040	3	0	27	1572	26	2
GTEX-1GN1W	9	0	1559	6	0	1	0	1300	5	0	18	1032	21	1
GTEX-1RAZR	19	0	3696	4	0	3	0	3159	2	0	34	2495	35	1
GTEX-1S82P	7	0	1390	1	5	6	0	1270	1	0	21	1042	19	2
GTEX-Y8DK	34	4	10456	6	1	9	0	9172	20	1	147	7359	149	3
GTEX-OHPL	21	3	2221	1	0	4	0	1829	9	1	18	1406	25	2
GTEX-12C56	6	0	2817	3	2	2	1	2413	5	0	16	1718	23	0
GTEX-1211K	5	0	1161	2	0	1	0	936	1	0	11	732	13	0
GTEX-ZYFG	9	0	670	0	1	2	0	513	2	0	6	385	7	0
GTEX-W5WG	16	0	2778	6	0	5	0	2285	2	1	20	1793	24	0
GTEX-1N2DW	62	17	16941	19	5	22	2	15075	14	2	128	11763	154	7
GTEX-PLZ5	9	0	1037	1	0	2	0	942	0	0	3	687	3	1
GTEX-13O3O	17	0	6001	6	0	5	2	5295	11	2	92	4017	105	7
GTEX-1C2JI	15	0	1498	2	2	0	0	1317	1	0	5	1116	5	0
GTEX-1K2DA	15	0	1559	6	3	6	1	1414	0	0	17	1213	19	0
GTEX-18D9A	12	0	1067	1	2	7	0	934	0	0	13	814	10	0
GTEX-1LH75	11	0	971	2	0	5	0	865	3	0	19	775	20	0
GTEX-U8T8	30	0	4979	16	1	5	2	4245	6	2	70	3469	78	2
GTEX-ZV6S	7	0	506	3	0	2	1	364	0	1	4	333	5	0
GTEX-14BMU	7	0	1173	5	2	4	0	1045	3	0	6	782	7	0
GTEX-1399T	32	0	7274	4	0	7	1	6333	4	0	32	5132	35	3
GTEX-1QP9N	19	0	1902	4	3	5	2	1634	0	0	23	1422	21	2
GTEX-11ZUS	26	0	6853	7	0	3	0	5858	8	5	57	3956	70	3
GTEX-1B97J	16	0	2488	6	1	8	0	1954	2	1	12	1525	19	0
GTEX-131XF	7	1	338	1	1	1	0	306	0	0	4	280	4	0
GTEX-1F75A	29	2	9575	11	0	5	3	7658	5	2	65	5791	73	0
GTEX-P44G	12	0	2071	4	0	2	0	1776	0	0	20	1460	21	3
GTEX-14LZ3	10	1	3567	2	0	6	3	3026	5	0	56	2466	66	0
GTEX-139UW	36	3	8405	24	1	5	0	7072	21	0	149	5673	170	1
GTEX-13N2G	42	3	8193	15	4	4	5	6934	7	0	62	5351	61	4
GTEX-146FQ	19	0	4030	1	0	7	8	3546	6	2	60	2655	61	5
GTEX-XGQ4	15	2	1669	4	0	1	0	1395	2	0	29	1195	34	0
GTEX-13G51	16	1	5063	6	1	3	0	4373	14	3	38	3289	50	2
GTEX-ZDTS	28	3	5542	7	1	7	0	4470	16	2	153	3583	158	0
GTEX-XOT4	29	1	7029	13	0	5	0	6156	8	1	92	4840	94	10
GTEX-PLZ4	9	0	1082	1	0	0	1	944	0	0	11	718	9	0
GTEX-1IDFM	22	0	1549	2	3	7	0	1272	0	3	15	999	11	0
GTEX-OXRK	5	0	905	1	0	2	0	737	1	0	10	594	9	0
GTEX-15RIG	8	0	1019	2	0	4	2	849	0	1	10	808	11	0
GTEX-QEG5	20	2	2599	5	0	3	1	2229	12	1	52	1667	58	0
GTEX-1E1VI	20	3	5887	8	0	4	0	4855	15	3	40	3742	49	0
GTEX-1339X	7	0	1162	4	0	2	0	965	3	0	26	711	32	1
GTEX-13RTL	25	0	5913	9	0	10	0	4740	23	0	130	3789	149	2
GTEX-1JMQI	9	0	2348	1	0	4	0	2093	3	0	43	1631	48	3
GTEX-1R46S	7	0	606	1	0	0	0	539	0	0	4	419	7	0
GTEX-ZV68	16	0	4796	5	2	4	0	4082	5	0	25	3076	24	2
GTEX-1P4AB	14	1	885	7	1	2	0	808	0	0	7	600	9	0
GTEX-11UD2	23	4	5766	10	0	3	0	4968	11	5	76	3514	85	10
GTEX-1KWVE	34	2	9518	27	3	4	2	8454	11	0	79	6497	73	6
GTEX-1CB4F	6	0	1566	5	2	0	0	1348	0	0	18	1141	13	0
GTEX-ZF3C	20	0	1601	8	2	1	0	1417	5	0	44	1138	50	3
GTEX-PWCY	18	0	3159	3	0	0	0	2697	2	2	29	1839	31	2
GTEX-Y111	37	1	7931	13	0	3	0	7079	2	1	65	6013	57	10
GTEX-18A67	32	2	2241	20	0	4	1	1867	4	1	58	1385	60	6
GTEX-X261	12	1	616	1	0	0	0	496	3	0	12	456	16	0
GTEX-13FH7	14	1	2341	4	1	4	0	1971	4	0	24	1476	21	1
GTEX-YEC3	24	0	1695	3	1	7	0	1429	0	2	14	1124	15	1
GTEX-1R9PN	48	1	5190	28	1	14	3	4746	5	10	28	3411	45	3
GTEX-Y3I4	7	0	1516	2	0	9	1	1214	2	0	32	984	36	3
GTEX-O5YT	31	0	2492	12	0	0	2	2169	2	0	22	1874	31	0
GTEX-1AMFI	9	0	709	1	3	6	0	625	2	0	3	509	5	0
GTEX-18D9U	24	0	1466	12	1	8	0	1232	3	0	17	935	23	0
GTEX-1192X	10	0	1446	4	1	2	1	1275	0	0	6	1005	5	0
GTEX-15D79	14	3	5315	7	0	10	0	4605	3	3	40	3850	47	1
GTEX-1RAZA	26	2	2115	3	2	6	0	1814	4	0	23	1511	18	1
GTEX-13OVH	7	0	1112	1	2	3	0	966	0	0	24	798	27	0
GTEX-1EU9M	13	4	6326	0	0	3	0	5273	17	0	49	4431	70	2
GTEX-11ZTS	14	2	6563	7	0	2	0	5456	10	0	53	4187	62	1
GTEX-145MO	22	0	3263	4	0	5	0	2796	6	1	72	1906	81	0
GTEX-WYVS	24	0	3303	1	1	13	0	2891	6	1	30	2609	43	6
GTEX-16BQI	38	0	4536	14	0	3	3	3918	12	0	72	2965	85	2
GTEX-13N1W	25	4	5406	14	3	5	0	4727	10	0	102	3472	106	3
GTEX-117YW	23	0	8320	13	1	2	0	7004	14	0	98	5059	122	4
GTEX-111VG	35	5	9070	21	0	6	0	7672	14	1	88	5491	94	7
GTEX-1F6IF	30	3	7572	10	0	3	1	6199	26	2	75	4790	101	2
GTEX-ZWKS	6	0	324	0	0	0	0	266	0	0	3	247	2	0
GTEX-1AX9J	15	2	4391	6	1	8	0	3768	6	2	62	3201	64	1
GTEX-1F7RK	16	3	5560	6	1	3	0	4708	4	1	27	3962	35	0
GTEX-YJ8O	24	0	5406	10	0	1	1	4450	4	0	41	3324	45	6
GTEX-OOBK	10	0	1681	7	0	6	0	1385	0	0	12	1163	12	0
GTEX-1QEPI	59	1	7790	23	5	7	2	6653	34	1	206	5386	237	7
GTEX-15CHQ	31	0	2416	9	4	4	2	2202	8	0	21	1818	35	6
GTEX-1EWIQ	14	1	6709	3	0	9	0	5438	10	2	100	4353	97	2
GTEX-Y5LM	8	0	436	1	0	2	0	399	0	0	3	362	4	0
GTEX-1A8FM	25	1	4183	23	0	0	1	3566	4	0	52	2854	61	2
GTEX-15RIF	30	0	2705	12	0	7	2	2251	8	5	36	2021	47	0
GTEX-1M5QR	11	0	3514	4	1	3	0	3005	4	2	23	2444	27	0
GTEX-XPVG	16	0	2308	0	1	6	0	1977	2	0	53	1465	60	0
GTEX-1JN6P	17	1	5628	13	1	0	0	4900	15	1	90	4024	109	12
GTEX-ZT9X	9	0	606	3	0	2	0	505	2	2	2	442	4	0
GTEX-P4PQ	23	0	1194	1	3	6	1	1067	1	0	20	809	18	2
GTEX-1AMEY	22	1	2080	7	3	4	0	1804	0	0	20	1709	25	0
GTEX-1IDJF	10	0	1749	1	0	9	1	1487	1	1	12	1222	13	2
GTEX-1GN73	63	1	6897	49	0	6	1	5705	15	1	180	4558	207	19
GTEX-11LCK	11	0	2512	8	2	0	0	2079	8	0	37	1483	48	0
GTEX-RTLS	7	0	1347	2	1	3	0	1164	1	0	17	920	19	1
GTEX-OXRP	17	0	2671	8	0	2	0	2210	3	0	13	1662	18	0
GTEX-14E6D	33	3	10467	15	0	8	2	9052	18	2	102	5970	116	7
GTEX-1S82Y	25	2	4406	11	0	5	0	3907	9	1	45	3333	45	3
GTEX-18A66	12	0	1192	7	1	0	0	1051	2	1	14	854	20	0
GTEX-XBEC	21	2	3766	12	0	3	1	3296	9	1	64	2945	59	5
GTEX-13O21	16	0	1337	5	0	6	1	1116	0	1	17	865	22	3
GTEX-13PVR	14	1	1047	2	0	1	0	935	3	0	15	704	20	0
GTEX-ZTPG	8	0	1217	0	0	8	1	1042	4	1	23	829	22	1
GTEX-PLZ6	4	0	585	0	1	1	0	517	0	0	1	426	2	0
GTEX-1399U	17	0	1406	1	2	2	0	1152	3	0	24	957	27	0
GTEX-QDVN	12	0	623	0	2	4	0	527	1	0	5	421	5	0
GTEX-1PDJ9	15	0	2069	0	0	5	0	1820	4	4	18	1483	13	0
GTEX-13SLW	24	3	1642	5	2	7	0	1393	0	0	7	1021	6	0
GTEX-16GPK	26	2	4893	11	0	2	0	4135	5	0	89	3355	90	5
GTEX-1PIEJ	22	0	1944	4	0	8	2	1650	3	5	34	1349	38	2
GTEX-13112	16	3	6616	3	0	0	0	5700	6	3	67	4141	73	2
GTEX-18A7A	25	1	8884	6	4	8	1	7524	21	8	39	6222	56	7
GTEX-1RQED	42	4	15340	20	1	10	6	12185	25	1	89	10643	131	9
GTEX-ZAK1	25	0	6211	6	1	2	0	5432	7	0	46	4152	45	2
GTEX-1GZ4I	27	3	6641	3	1	10	2	5498	3	0	55	4260	59	0
GTEX-1PBJJ	14	0	2437	2	0	0	0	2185	2	2	54	1867	49	4
GTEX-1QP2A	38	0	4687	32	1	7	3	3968	2	0	49	3208	51	0
GTEX-145MH	31	7	7678	13	2	1	2	6393	20	4	100	4667	121	7
GTEX-1E2YA	8	2	2564	3	0	3	0	2178	1	1	21	1830	25	3
GTEX-16XZY	16	0	2496	4	0	0	0	2206	3	0	23	1827	26	3
GTEX-OIZG	15	0	1718	5	0	5	0	1469	1	0	7	1188	7	0
GTEX-11GSP	27	1	7991	22	0	1	4	6704	6	0	96	5075	105	6
GTEX-12WSJ	14	0	1642	5	0	1	0	1432	4	0	13	1029	21	0
GTEX-N7MS	32	1	5326	14	1	7	4	4053	5	4	61	2836	63	1
GTEX-144GM	8	0	980	1	0	2	0	852	0	0	13	614	14	0
GTEX-14PJ5	25	0	2036	4	4	5	1	1805	2	0	15	1507	17	1
GTEX-133LE	12	3	2464	0	0	2	0	2174	3	1	38	1641	43	1
GTEX-16XZZ	8	0	1057	0	2	1	0	952	3	0	26	825	25	1
GTEX-1K2DU	19	0	1266	2	0	6	0	1093	1	0	22	820	21	0
GTEX-O5YV	5	0	283	0	1	1	0	271	0	0	3	241	3	0
GTEX-14PII	15	1	2860	3	1	3	0	2541	4	0	26	1834	30	0
GTEX-15ER7	45	6	16967	18	1	4	4	14654	14	3	73	12065	84	35
GTEX-13OW6	13	3	6918	10	1	2	1	5935	14	5	46	4360	59	0
GTEX-17HHE	17	1	1720	10	0	4	0	1484	0	0	22	1250	20	6
GTEX-ZPCL	17	0	2348	5	0	4	2	2084	1	1	8	1660	15	0
GTEX-1LG7Z	24	0	1759	6	2	6	2	1524	1	2	17	1327	16	2
GTEX-RWSA	51	0	5918	16	1	5	0	5080	13	2	43	4252	54	33
GTEX-U3ZM	11	2	2009	3	3	3	0	1740	2	0	28	1476	35	5
GTEX-1A8G6	41	1	8920	17	1	6	0	7844	12	3	53	6535	64	8
GTEX-14PN4	5	0	405	5	0	2	0	360	1	2	8	278	9	0
GTEX-T6MN	6	0	3555	1	0	1	0	3004	8	1	38	2422	48	3
GTEX-18465	20	5	7793	17	0	2	3	6317	8	3	42	5216	51	5
GTEX-1128S	8	1	1702	1	1	1	0	1407	1	0	12	1018	11	3
GTEX-1QP66	22	0	1582	2	1	7	0	1285	4	1	16	1084	22	2
GTEX-147JS	16	1	5320	9	0	3	1	4634	8	0	86	3351	100	2
GTEX-15SB6	9	1	2645	4	2	8	1	2337	1	0	7	1723	13	1
GTEX-QCQG	16	2	2133	8	2	9	1	1855	3	1	23	1636	29	13
GTEX-144GL	18	9	7172	7	0	1	1	6108	4	0	42	4466	45	1
GTEX-13RTJ	23	0	1813	12	0	8	1	1535	9	2	26	1252	35	0
GTEX-OXRL	8	0	1271	2	0	2	0	1005	0	0	7	736	7	0
GTEX-11NSD	9	1	3152	5	0	1	0	2648	8	0	58	1990	70	1
GTEX-14PJM	54	1	8673	16	3	7	1	7489	16	2	109	5864	118	12
GTEX-1B8KZ	10	7	4067	6	0	2	0	3653	7	0	46	3231	56	4
GTEX-U8XE	7	1	2202	2	0	1	0	1944	1	0	38	1581	33	0
GTEX-1BAJH	49	2	7172	9	1	2	1	6008	18	4	154	4642	175	7
GTEX-ZVZP	5	0	326	1	0	2	0	258	0	0	2	205	2	0
GTEX-11ONC	10	0	2137	5	1	4	0	1905	2	0	13	1555	13	1
GTEX-13QIC	17	0	5251	3	1	8	1	4465	3	2	25	3669	28	5
GTEX-11ZTT	13	0	2769	0	0	6	0	2344	1	0	37	1669	44	0
GTEX-12WSL	28	1	1745	16	0	8	2	1412	4	0	23	1093	28	1
GTEX-12KS4	14	1	3488	4	1	2	1	2955	3	1	30	2430	32	1
GTEX-11I78	13	0	2388	8	0	4	1	1998	0	0	17	1364	19	2
GTEX-1GMR8	11	0	2462	0	0	8	0	2101	2	0	12	1823	13	0
GTEX-1GPI6	17	4	4668	8	0	2	1	3905	11	0	59	3236	76	3
GTEX-1GN1U	13	0	1509	2	2	5	1	1250	1	0	26	1126	19	0
GTEX-X4EO	73	4	9481	25	1	3	0	8263	22	6	141	6778	162	8
GTEX-111YS	23	0	2279	6	1	2	1	1877	2	0	17	1399	20	0
GTEX-13111	19	1	2081	8	0	5	0	1793	9	3	52	1283	67	5
GTEX-14H4A	10	0	2869	1	1	3	2	2419	13	2	21	1846	36	0
GTEX-139TS	20	0	9909	7	0	5	1	8472	3	1	57	6580	57	7
GTEX-14PK6	8	4	2789	12	0	1	0	2395	0	3	21	1866	23	4
GTEX-1CAMQ	13	0	3327	5	0	2	0	2846	7	1	19	2534	26	0
GTEX-1B8L1	21	0	5272	12	0	4	2	4668	10	0	36	4023	41	2
GTEX-ZYFD	22	3	4188	8	0	7	0	3570	11	0	61	2473	64	1
GTEX-14JG1	43	0	8540	20	1	10	1	7468	17	0	113	5428	120	3
GTEX-ZA64	28	1	6054	5	1	3	0	5207	12	1	97	3741	102	0
GTEX-1PIIG	25	2	9586	20	0	7	2	8502	8	1	63	7138	61	4
GTEX-ZVE1	7	0	821	1	1	0	0	693	2	0	4	549	7	0
GTEX-17JCI	32	0	8564	4	1	6	0	7050	14	3	63	5879	78	8
GTEX-1JJ6O	9	0	583	2	2	4	0	507	0	0	6	434	6	0
GTEX-13OVK	9	0	1164	1	0	0	0	991	0	0	15	810	11	0
GTEX-Y8LW	21	1	2541	12	2	3	2	2189	4	0	24	1657	29	4
GTEX-12ZZX	26	1	4417	10	0	4	1	3726	4	2	74	2656	80	3
GTEX-YECK	11	1	5749	14	0	4	1	4864	9	3	76	4235	101	4
GTEX-WHSE	41	2	6176	20	1	5	0	5323	2	0	70	3912	62	3
GTEX-1LG7Y	30	6	8637	22	0	6	0	6520	8	4	77	5065	113	9
GTEX-OIZF	4	0	1857	2	0	3	1	1439	4	0	37	1061	29	0
GTEX-1GN2E	22	1	7228	7	1	2	3	5886	11	4	65	4558	75	0
GTEX-ZZPU	3	0	959	4	0	1	0	811	1	0	10	660	12	1
GTEX-14E6E	20	0	2671	6	0	3	0	2271	10	0	13	1573	19	0
GTEX-13D11	7	0	502	1	0	1	0	439	1	0	5	295	5	0
GTEX-15DZA	23	0	3619	9	3	11	0	3135	11	3	72	2095	78	3
GTEX-ZGAY	13	0	1218	5	0	5	2	1023	2	0	6	850	8	0
GTEX-1B8SF	44	9	12134	17	1	6	2	10351	25	8	84	8962	116	4
GTEX-17EVP	40	0	7361	8	1	11	0	6156	12	2	47	4479	64	6
GTEX-147GR	10	2	5499	10	1	2	0	4805	9	1	33	3432	42	1
GTEX-11P81	12	0	1985	3	0	3	0	1705	2	0	33	1292	38	0
GTEX-13CF3	28	0	1809	4	1	3	1	1558	3	0	28	1059	33	0
GTEX-1F48J	14	0	2452	5	1	5	0	2014	7	4	17	1479	15	1
GTEX-ZVT4	21	2	6270	8	2	9	0	5387	13	0	44	4606	52	3
GTEX-12WSF	21	0	6597	6	1	8	1	5940	5	0	124	5010	121	3
GTEX-12584	14	3	3358	2	0	5	0	2916	7	1	36	1959	45	4
GTEX-1CB4I	13	0	1227	8	0	4	0	1023	0	0	21	842	18	2
GTEX-1R9JW	11	0	1400	4	4	6	0	1248	6	3	8	937	19	0
GTEX-15DCD	52	0	6178	23	1	8	3	5291	4	2	106	3971	117	5
