individual	chr16:57452936:57456504:cluster27702	chr16:57452936:57458246:cluster27702	chr16:57452936:57459565:cluster27702	chr16:57456626:57456931:cluster27702	chr16:57456646:57456931:cluster27702	chr16:57457015:57457503:cluster27702	chr16:57457015:57458246:cluster27702	chr16:57457015:57459565:cluster27702	chr16:57457229:57457503:cluster27702	chr16:57457229:57458246:cluster27702	chr16:57457849:57458246:cluster27702	chr16:57458350:57459565:cluster27702
GTEX-14JG6	206	0	1	1	215	3	172	3	0	4	5	121
GTEX-1JN76	340	2	6	0	425	2	352	7	3	3	4	306
GTEX-13JVG	242	6	3	1	334	4	253	1	0	0	5	170
GTEX-1CB4G	367	2	3	0	475	0	378	6	0	5	3	202
GTEX-P78B	255	0	3	1	277	0	228	5	1	4	17	156
GTEX-15SHU	424	4	2	1	464	1	408	6	3	5	16	370
GTEX-17MFQ	168	1	1	0	200	2	167	4	0	0	11	118
GTEX-T5JW	318	2	1	1	375	8	339	6	1	1	13	183
GTEX-14753	232	1	0	1	265	1	227	3	2	3	9	121
GTEX-12ZZZ	278	2	4	0	271	0	257	5	1	4	8	157
GTEX-1I6K7	476	1	0	3	563	0	505	4	3	2	7	398
GTEX-1399R	276	3	5	0	341	1	242	2	3	3	10	146
GTEX-15UF7	363	0	10	1	467	4	325	3	3	1	13	230
GTEX-113JC	317	3	1	0	387	2	325	1	0	2	3	175
GTEX-13CF2	398	4	3	0	451	1	373	4	0	2	2	230
GTEX-ZXG5	228	3	0	1	262	3	208	2	2	0	8	108
GTEX-1A32A	227	2	0	0	265	2	241	2	0	2	3	140
GTEX-1C6VQ	377	3	5	0	473	1	407	2	0	1	1	280
GTEX-14PJ4	198	1	0	3	264	2	213	2	0	3	9	129
GTEX-11NUK	323	6	3	0	381	0	316	2	0	2	8	206
GTEX-131YS	406	3	1	0	464	3	349	6	4	1	12	267
GTEX-14PJN	219	1	0	1	283	0	218	1	0	0	4	178
GTEX-XQ8I	154	1	0	0	179	1	189	1	0	2	8	117
GTEX-147F4	523	2	5	0	648	2	497	7	0	3	9	273
GTEX-13W3W	519	2	2	1	614	4	457	9	5	2	23	322
GTEX-1AX9K	180	1	2	1	253	2	175	0	0	0	1	139
GTEX-1313W	704	5	6	0	792	2	687	7	0	0	10	410
GTEX-12ZZY	336	2	1	0	402	4	344	3	0	1	6	180
GTEX-XQ3S	401	3	0	0	455	8	414	2	1	0	9	283
GTEX-1C6WA	566	0	1	5	623	7	548	10	3	2	11	396
GTEX-XUZC	412	3	11	1	436	0	373	7	2	5	12	237
GTEX-183FY	169	2	0	1	193	1	176	2	0	0	2	112
GTEX-145LU	479	0	1	0	530	5	426	1	2	2	10	226
GTEX-13X6J	646	4	6	0	803	6	710	10	3	3	9	388
GTEX-ZDYS	168	3	1	0	196	1	153	3	0	0	1	86
GTEX-ZLV1	390	1	5	0	402	5	303	3	5	4	16	210
GTEX-OHPN	306	2	2	3	409	0	388	5	1	5	11	267
GTEX-13FTZ	403	3	3	0	473	2	382	3	2	5	5	211
GTEX-1LGOU	573	3	3	0	648	0	555	13	0	2	12	470
GTEX-13FTY	328	0	0	1	348	4	294	1	1	0	9	162
GTEX-15ETS	294	0	2	0	364	6	290	3	0	4	19	194
GTEX-1212Z	448	0	1	0	562	5	373	2	0	8	16	276
GTEX-1GN1W	515	1	7	1	625	0	555	13	0	3	14	445
GTEX-Y8DK	567	1	3	0	642	2	595	9	0	1	3	425
GTEX-OHPL	203	0	1	0	198	2	199	4	0	0	7	107
GTEX-12C56	223	1	1	2	300	2	237	0	2	0	3	139
GTEX-1211K	305	1	0	0	330	0	262	1	0	1	4	169
GTEX-13O3O	302	3	6	1	370	3	312	2	0	1	1	183
GTEX-SN8G	213	3	0	0	284	0	238	4	0	1	3	139
GTEX-1C2JI	195	1	0	0	235	3	186	3	2	4	11	108
GTEX-18D9A	301	3	3	0	406	6	340	5	2	5	9	234
GTEX-U8T8	480	2	3	2	498	2	346	6	0	4	15	236
GTEX-ZF2S	508	5	3	1	660	3	549	3	1	2	13	322
GTEX-14BMU	425	2	2	1	519	2	403	5	8	2	10	250
GTEX-1399T	398	0	3	0	469	5	347	0	0	0	13	220
GTEX-11ZUS	404	0	3	1	516	2	422	4	0	2	3	244
GTEX-14LZ3	414	2	3	0	514	2	431	6	5	0	13	250
GTEX-13O3Q	332	2	3	1	392	1	310	2	0	2	11	199
GTEX-139UW	674	4	3	1	710	0	626	7	2	3	14	386
GTEX-146FQ	479	3	0	0	576	4	467	7	1	4	13	284
GTEX-13QBU	347	0	2	0	398	0	310	2	2	5	9	176
GTEX-13U4I	300	7	2	0	351	2	269	1	0	0	11	163
GTEX-13G51	368	1	2	0	458	1	366	12	0	2	1	238
GTEX-ZDTS	305	3	1	0	336	4	251	2	3	3	12	169
GTEX-R3RS	219	1	1	0	283	0	204	2	1	2	6	117
GTEX-1A3MX	341	0	0	0	416	3	368	4	1	2	19	256
GTEX-XOT4	362	4	6	0	388	5	302	2	0	3	4	238
GTEX-17GQL	561	2	0	2	664	8	554	7	3	5	11	338
GTEX-11GSO	197	0	0	1	216	0	193	2	0	1	4	129
GTEX-OXRK	225	2	2	0	237	0	185	1	3	0	4	122
GTEX-WRHK	280	3	3	0	333	3	263	6	0	2	4	131
GTEX-13FTW	293	0	2	1	343	6	248	5	1	0	11	146
GTEX-QEG5	293	1	3	1	374	2	318	6	0	4	7	154
GTEX-17HII	145	0	0	1	163	0	114	1	2	1	6	91
GTEX-1E1VI	398	5	3	2	471	0	399	3	0	3	3	254
GTEX-1339X	195	2	1	0	247	0	190	4	0	2	3	103
GTEX-15G1A	320	1	5	0	362	3	291	3	0	0	3	247
GTEX-17HGU	176	0	2	1	204	0	177	2	0	5	3	139
GTEX-1C6VR	479	4	1	0	537	2	501	7	0	1	8	298
GTEX-11OF3	722	4	5	0	881	2	747	7	0	1	11	428
GTEX-ZV68	387	4	1	3	446	2	355	4	0	0	5	232
GTEX-ZF3C	328	4	1	0	360	8	336	7	2	0	7	203
GTEX-PWCY	405	3	0	0	519	2	425	4	5	1	24	238
GTEX-14BIL	591	3	5	0	730	2	551	9	0	0	6	384
GTEX-SJXC	471	2	5	4	553	0	422	8	2	0	15	270
GTEX-1A3MW	149	0	1	1	180	1	155	3	0	0	1	100
GTEX-13FH7	316	3	1	0	365	0	303	3	2	5	5	177
GTEX-Y3I4	136	0	2	0	170	1	130	3	0	2	0	99
GTEX-1269C	376	4	6	0	471	7	355	5	4	3	5	237
GTEX-13OVH	269	0	2	0	294	0	198	1	0	1	3	148
GTEX-T2IS	764	0	2	0	915	1	783	12	11	1	11	472
GTEX-145MO	426	3	2	0	514	1	412	4	0	5	7	262
GTEX-16BQI	372	4	4	0	460	0	365	3	0	6	8	264
GTEX-13N1W	456	1	2	0	561	5	417	5	0	5	6	296
GTEX-117YW	378	3	3	1	486	3	369	6	0	1	3	215
GTEX-16MT8	327	0	1	0	355	9	329	2	2	1	15	203
GTEX-15CHQ	261	3	5	0	318	3	260	2	0	2	2	164
GTEX-1A8FM	202	3	0	0	255	0	188	4	0	0	7	168
GTEX-XPVG	564	6	11	2	631	9	547	6	6	6	13	364
GTEX-1AMEY	294	0	0	0	375	2	255	3	5	2	9	194
GTEX-15CHC	288	3	3	0	342	2	271	1	1	0	11	171
GTEX-1RB15	285	1	4	0	343	2	298	2	1	5	12	257
GTEX-ZTPG	284	1	2	0	342	3	254	2	0	2	4	173
GTEX-PLZ6	137	1	0	0	164	0	113	0	0	0	3	70
GTEX-YB5K	392	0	3	0	486	5	380	5	0	3	8	190
GTEX-15CHR	280	0	3	1	321	0	283	2	2	2	6	188
GTEX-13112	377	5	3	1	463	0	361	3	1	2	7	212
GTEX-18A7A	426	2	2	2	537	0	382	4	0	0	6	283
GTEX-ZAK1	389	4	2	2	456	0	380	4	0	0	2	214
GTEX-1GZ4I	423	1	1	1	458	7	436	4	4	8	7	306
GTEX-1E2YA	201	0	2	0	206	1	174	3	0	1	3	148
GTEX-11GSP	312	0	2	1	357	0	288	1	0	2	8	170
GTEX-N7MS	353	2	4	0	409	0	328	2	0	2	4	207
GTEX-1A3MV	371	3	2	1	397	1	368	4	0	8	8	246
GTEX-144GM	139	1	2	0	174	0	128	2	2	3	2	91
GTEX-14PII	202	0	1	1	283	3	230	3	0	2	10	140
GTEX-T8EM	275	2	3	1	343	2	251	2	5	0	14	146
GTEX-17HHE	215	0	3	0	209	1	174	1	0	3	0	123
GTEX-WOFM	386	3	4	0	440	2	374	1	0	2	1	230
GTEX-1LG7Z	376	1	5	2	465	2	370	3	1	2	6	334
GTEX-1A8G6	434	3	2	0	505	3	460	4	0	2	5	292
GTEX-13VXU	601	9	5	1	754	1	571	6	2	8	7	322
GTEX-15SHV	595	3	0	2	690	9	640	4	2	3	17	353
GTEX-1128S	455	0	0	1	583	3	449	4	0	6	3	251
GTEX-15SB6	339	1	2	1	368	0	293	3	2	4	15	203
GTEX-144GL	325	7	1	1	400	2	321	3	1	0	8	180
GTEX-13RTJ	182	0	0	0	198	2	140	2	0	1	6	89
GTEX-14PJ6	235	0	4	1	253	3	201	3	0	1	10	132
GTEX-11NSD	218	1	3	0	256	3	189	0	0	1	7	125
GTEX-1445S	219	3	1	0	262	1	213	3	2	0	7	108
GTEX-U8XE	160	3	0	0	206	0	176	2	0	1	1	95
GTEX-1BAJH	346	1	1	1	414	3	333	2	1	4	5	213
GTEX-14LLW	316	1	0	0	407	8	311	2	4	1	16	232
GTEX-13QIC	211	2	1	0	279	2	199	2	2	3	11	129
GTEX-11ZTT	323	5	3	0	393	2	267	2	2	3	8	158
GTEX-12KS4	296	2	2	0	375	0	301	0	0	2	7	152
GTEX-111YS	284	2	1	0	301	2	232	0	1	5	8	141
GTEX-13111	228	1	2	0	299	1	236	1	0	1	2	129
GTEX-14H4A	399	0	2	0	444	4	349	2	4	0	19	220
GTEX-139TS	509	1	4	0	592	0	536	4	5	3	20	288
GTEX-1CAMQ	252	0	1	1	294	0	222	1	0	0	7	154
GTEX-14JG1	516	3	2	0	623	2	533	10	0	2	7	342
GTEX-ZVE1	226	1	0	0	281	3	221	0	4	2	10	139
GTEX-Y8LW	300	0	3	1	324	3	256	5	0	0	7	165
GTEX-12ZZX	323	1	3	0	360	0	303	2	0	0	0	179
GTEX-WHSE	363	1	2	0	433	0	339	6	2	1	4	203
GTEX-1LG7Y	636	4	0	0	780	9	645	2	2	7	20	557
GTEX-OIZF	332	2	2	0	347	5	255	1	2	0	8	172
GTEX-14XAO	385	1	5	2	432	0	360	3	0	1	3	242
GTEX-ZZPU	269	2	5	0	327	7	292	9	0	4	10	176
GTEX-14E6E	460	2	3	1	527	2	448	5	5	4	7	308
GTEX-ZGAY	309	1	4	1	313	3	242	4	2	6	7	237
GTEX-14C39	348	3	3	2	409	1	321	1	1	0	5	227
GTEX-1B8SF	412	4	3	0	536	1	502	5	0	3	5	296
GTEX-17EVP	481	8	4	0	523	2	425	14	0	2	6	295
GTEX-147GR	321	2	3	0	397	4	320	2	2	2	19	208
GTEX-11P81	250	0	0	0	266	2	233	1	0	0	5	153
GTEX-ZVT4	303	4	3	2	331	0	281	3	0	2	0	163
GTEX-1R9K5	161	0	1	0	186	3	133	4	1	4	6	117
GTEX-12WSF	469	3	2	0	585	7	478	3	2	5	12	374
GTEX-12584	252	2	2	1	263	3	192	4	0	0	3	137
GTEX-13X6K	384	3	3	1	431	4	309	2	0	1	9	244
GTEX-Q734	187	1	2	0	214	1	174	1	2	1	1	99
GTEX-1A8G7	237	4	3	0	325	0	267	2	0	0	14	155
GTEX-1B932	289	1	0	1	290	3	265	5	1	0	4	175
GTEX-14DAQ	621	4	7	0	727	0	594	7	0	2	4	414
GTEX-1S82U	611	2	2	1	692	3	539	10	0	2	6	440
GTEX-WFG7	166	0	5	0	196	2	148	2	0	3	3	98
GTEX-WFG8	279	0	0	0	313	7	255	5	1	5	10	186
GTEX-PX3G	131	1	1	0	129	0	116	1	0	0	0	65
GTEX-13FHO	360	2	3	1	398	1	287	6	0	3	4	165
GTEX-146FH	141	1	1	1	157	2	130	0	0	0	2	86
GTEX-U3ZH	277	0	1	0	313	6	315	3	0	4	11	188
GTEX-YFC4	430	2	1	0	552	3	445	3	2	3	10	239
GTEX-14BIM	402	4	1	2	506	7	360	4	7	2	15	246
GTEX-1CB4J	323	4	3	2	391	4	341	6	0	2	2	284
GTEX-17F97	412	5	5	1	428	3	389	3	0	1	11	260
GTEX-17HHY	245	1	1	1	305	0	248	0	1	1	3	187
GTEX-ZVT3	403	2	2	0	414	2	335	6	2	3	4	178
GTEX-OXRN	330	6	1	0	398	3	293	0	3	6	9	185
GTEX-XV7Q	243	4	1	0	250	4	224	1	2	4	9	161
