individual	chr12:109253158:109254214:cluster26911	chr12:109253158:109254288:cluster26911	chr12:109254334:109256057:cluster26911	chr12:109254334:109256140:cluster26911	chr12:109254334:109258268:cluster26911	chr12:109256236:109258268:cluster26911	chr12:109256236:109260480:cluster26911	chr12:109258364:109258577:cluster26911	chr12:109258364:109258580:cluster26911	chr12:109258364:109258960:cluster26911	chr12:109258364:109258973:cluster26911	chr12:109258364:109258982:cluster26911	chr12:109258364:109258985:cluster26911	chr12:109259108:109259756:cluster26911	chr12:109259108:109260065:cluster26911	chr12:109259108:109260480:cluster26911	chr12:109259985:109260480:cluster26911	chr12:109260149:109260480:cluster26911	chr12:109260657:109262357:cluster26911	chr12:109260657:109262377:cluster26911
GTEX-ZXG5	469	0	2	683	1	581	0	0	0	11	731	0	0	1	63	587	0	57	552	4
GTEX-PWN1	397	11	0	510	1	584	0	0	1	8	674	0	0	0	99	531	0	84	536	5
GTEX-14PJ4	575	4	2	651	3	713	0	2	3	8	930	0	0	0	64	590	0	81	641	8
GTEX-1OFPY	556	14	3	641	3	575	0	0	1	3	700	0	0	0	109	563	0	89	647	13
GTEX-1F75B	558	2	0	622	9	541	0	2	13	17	688	0	0	1	58	625	2	60	643	9
GTEX-11NUK	67	1	0	75	3	68	0	0	1	2	76	0	0	0	4	77	0	10	56	0
GTEX-131YS	63	1	0	81	0	58	0	0	1	3	90	0	0	0	6	77	0	6	82	2
GTEX-14PJN	674	8	2	765	7	609	0	0	0	10	833	0	0	0	133	638	0	95	762	8
GTEX-XQ8I	358	5	0	479	6	499	0	0	1	6	577	0	0	1	56	435	0	35	416	5
GTEX-147F4	98	1	0	117	4	116	0	0	0	2	120	0	0	0	15	94	0	24	120	0
GTEX-QV31	329	2	1	411	5	362	0	0	0	3	496	1	0	0	45	360	0	26	377	6
GTEX-1AX9K	783	4	4	845	3	812	0	5	6	16	927	0	0	0	60	791	0	51	770	8
GTEX-11VI4	778	5	1	995	11	848	0	0	1	4	1034	0	0	5	133	802	2	120	917	10
GTEX-XUW1	464	0	0	562	5	549	0	1	6	11	636	1	0	0	74	468	0	50	480	3
GTEX-WZTO	83	0	0	100	1	121	0	0	2	1	108	0	0	0	4	96	0	7	99	2
GTEX-XQ3S	85	3	0	112	1	100	0	0	1	2	137	0	0	0	18	99	0	14	107	1
GTEX-XUZC	725	10	2	927	11	850	0	0	5	8	1046	0	2	2	71	918	1	53	807	6
GTEX-XBEW	713	3	0	966	2	868	0	2	8	7	1052	0	0	0	48	842	0	47	848	7
GTEX-183FY	378	5	0	522	1	488	0	0	0	6	638	2	0	0	40	407	0	46	470	4
GTEX-145LU	82	0	0	121	2	87	0	0	0	2	98	0	0	0	9	81	0	3	93	0
GTEX-111FC	66	0	0	105	0	98	0	1	0	2	110	0	0	0	8	94	0	8	90	1
GTEX-1KD5A	260	0	0	305	1	275	0	2	0	7	368	0	0	2	39	283	0	34	311	5
GTEX-1S83E	526	9	2	715	5	659	0	0	0	13	789	0	0	0	127	572	0	85	606	8
GTEX-ZLV1	1399	6	3	1661	9	1590	0	4	8	26	1812	1	0	8	109	1455	8	114	1525	19
GTEX-1GF9W	210	2	1	246	4	219	0	0	0	7	268	0	0	0	42	230	0	40	261	2
GTEX-17EUY	1344	6	4	1425	6	1267	0	6	12	11	1564	0	1	19	129	1371	15	148	1356	5
GTEX-1LGOU	756	11	1	920	3	853	0	0	5	18	964	0	0	2	160	716	3	144	760	9
GTEX-1I4MK	982	7	4	1231	1	975	0	0	0	10	1207	0	0	0	107	961	0	87	955	19
GTEX-131XG	526	6	2	646	10	636	0	0	0	12	794	0	0	0	77	600	0	55	592	15
GTEX-16NPX	185	0	0	238	3	198	0	1	2	2	270	0	0	1	4	209	0	12	221	3
GTEX-15ETS	623	5	1	731	2	656	0	0	0	7	831	1	0	0	51	747	2	49	744	5
GTEX-1PPH7	902	2	4	1100	7	937	0	2	13	24	1029	0	1	2	62	936	1	54	954	6
GTEX-1F5PL	637	4	5	727	10	650	0	1	1	14	958	0	0	1	116	567	0	124	755	7
GTEX-WK11	131	1	0	171	0	141	0	1	2	3	151	0	0	0	13	141	0	12	146	0
GTEX-1GN1W	1018	13	2	1169	6	1002	0	0	3	8	1309	0	0	2	205	989	0	177	1080	24
GTEX-1RAZR	347	2	0	447	1	412	0	0	4	15	469	0	0	0	47	372	0	34	382	0
GTEX-1S82P	558	2	1	684	2	630	0	0	0	3	742	0	0	1	62	661	0	41	671	7
GTEX-Y8DK	49	0	0	77	0	78	0	0	0	2	99	0	0	0	8	59	0	11	78	1
GTEX-1QPFJ	1255	16	1	1309	19	1334	0	1	4	26	1478	1	0	0	151	1373	0	116	1572	36
GTEX-ZYFG	993	11	1	1340	7	1115	0	1	2	14	1578	0	0	0	213	1074	0	176	1079	14
GTEX-W5WG	752	3	3	1069	12	909	0	2	3	8	1056	0	0	0	75	878	0	47	837	6
GTEX-1ICG6	428	14	0	437	0	411	0	0	3	3	461	0	0	0	72	386	0	65	477	4
GTEX-TMMY	2860	9	19	2838	18	2525	0	8	18	54	2828	1	0	2	138	2912	0	135	2906	36
GTEX-1C2JI	815	4	0	850	10	831	0	0	0	7	951	0	0	2	68	780	2	62	895	8
GTEX-1K2DA	1596	14	4	1955	6	1477	0	0	0	15	1689	0	1	4	204	1585	0	144	1707	13
GTEX-18D9A	1596	18	0	1929	17	1762	0	1	8	26	2269	1	0	0	216	1810	0	183	1759	12
GTEX-1LH75	303	3	1	343	6	380	0	0	3	13	400	0	0	4	57	333	2	38	376	5
GTEX-ZF2S	255	0	0	305	1	258	0	0	0	2	309	0	0	0	13	259	1	14	261	0
GTEX-ZV6S	1404	8	0	1840	6	1575	0	4	18	17	1748	0	0	13	66	1612	9	82	1559	16
GTEX-WEY5	1417	36	0	1666	20	1497	0	4	3	15	1785	2	0	6	281	1440	1	246	1718	29
GTEX-14BMU	1661	5	1	1920	5	1600	0	0	2	19	2120	0	0	3	153	1721	0	141	1603	14
GTEX-1399T	82	0	0	105	0	95	0	0	2	4	110	0	0	0	14	72	0	19	102	0
GTEX-1QP9N	509	2	0	628	3	591	0	2	1	8	597	0	0	0	84	590	0	97	654	10
GTEX-131XF	614	6	0	714	4	730	0	0	0	7	815	0	0	0	33	732	0	42	776	8
GTEX-13O3Q	103	2	0	135	0	121	0	0	1	3	164	0	0	0	7	139	1	3	130	0
GTEX-13N2G	961	2	3	1022	3	1015	0	6	20	18	1198	0	0	15	44	1011	0	63	1071	18
GTEX-XGQ4	488	0	0	567	0	523	0	0	0	4	633	0	0	0	48	489	0	20	554	6
GTEX-13G51	58	1	0	73	0	75	0	0	0	0	85	0	0	0	6	66	0	5	57	0
GTEX-WYJK	958	14	6	1043	16	1179	0	0	3	21	1409	0	1	2	119	1239	1	156	1158	15
GTEX-ZDTS	47	0	0	50	1	45	0	0	0	0	69	0	0	0	4	32	0	4	49	0
GTEX-1B97I	866	10	0	918	9	831	0	2	3	6	1093	0	0	2	81	857	2	68	885	7
GTEX-XOT4	105	2	0	106	4	134	0	0	0	1	144	0	0	0	12	97	0	6	118	2
GTEX-17GQL	862	13	3	904	10	874	0	0	0	7	1105	0	0	2	93	885	0	82	867	12
GTEX-1FIGZ	592	0	0	733	1	624	0	0	1	6	807	0	0	0	54	625	0	40	622	7
GTEX-15RIG	664	2	1	784	5	729	0	0	0	7	967	0	0	0	40	698	0	45	826	4
GTEX-13FTW	725	6	1	881	9	820	0	1	0	8	1031	0	0	2	107	747	2	103	765	5
GTEX-QEG5	88	1	0	111	1	95	0	0	0	3	117	0	0	0	3	85	0	6	113	0
GTEX-1E1VI	62	0	0	63	1	71	0	0	1	0	82	0	0	0	8	62	0	5	76	0
GTEX-11ZVC	56	0	0	71	0	68	0	0	0	0	72	0	0	1	7	52	0	8	62	1
GTEX-1339X	90	0	0	143	0	121	0	0	0	2	159	0	0	0	11	117	0	9	110	0
GTEX-15G1A	428	9	5	629	6	500	0	1	0	6	672	1	0	0	108	444	0	80	515	7
GTEX-ZZ64	728	15	4	869	11	789	0	1	1	14	1014	0	0	1	153	677	0	122	784	11
GTEX-17HGU	158	0	0	130	1	127	0	0	0	0	180	0	0	0	8	141	0	9	152	3
GTEX-QV44	374	1	0	460	5	419	0	0	2	3	437	1	0	3	23	390	1	25	464	4
GTEX-1JMQI	953	5	9	1150	9	947	0	14	24	35	1119	0	1	4	188	1007	2	168	1146	7
GTEX-ZV68	155	0	0	197	2	170	0	1	1	6	181	0	1	2	26	139	0	21	183	3
GTEX-1KWVE	83	0	0	96	0	106	0	0	1	1	99	0	0	0	4	94	0	5	75	1
GTEX-1CB4F	72	0	0	85	2	67	0	0	0	1	109	0	0	0	10	89	0	9	84	0
GTEX-ZF3C	162	0	1	183	0	184	0	1	1	3	208	0	0	0	15	185	0	15	199	2
GTEX-PWCY	780	8	0	854	10	700	0	1	3	15	845	0	0	3	110	724	3	101	693	7
GTEX-Y111	90	0	0	95	2	98	0	0	0	3	112	0	0	0	10	103	0	9	110	1
GTEX-14BIL	192	3	2	196	0	202	0	3	0	6	252	0	0	0	44	200	0	33	220	2
GTEX-1A3MW	357	4	3	356	3	369	0	0	5	8	401	0	0	1	69	356	0	56	411	7
GTEX-X261	853	5	7	930	8	999	0	6	4	11	1253	0	0	0	74	962	0	78	1071	20
GTEX-13FH7	364	8	2	437	3	429	0	0	3	6	487	0	0	0	80	368	0	67	405	1
GTEX-YEC3	840	5	2	1065	5	947	0	0	0	12	1190	0	0	1	62	1008	0	46	1044	7
GTEX-Y3I4	427	6	0	513	5	375	0	0	0	8	547	1	0	0	82	426	0	67	473	9
GTEX-1269C	160	1	0	218	1	200	0	1	6	1	201	0	0	0	13	162	0	21	200	2
GTEX-O5YT	1062	6	9	1029	10	972	0	10	17	24	1128	0	0	8	96	1069	5	143	1064	17
GTEX-1AMFI	1447	6	9	1593	11	1477	0	1	8	19	1874	0	0	0	118	1478	1	104	1329	11
GTEX-1LSNM	569	11	1	675	5	610	0	0	0	13	848	0	0	0	37	684	0	22	683	3
GTEX-1MUQO	1335	6	10	1577	3	1512	0	0	1	15	1718	2	0	1	168	1429	1	126	1494	8
GTEX-15D79	219	0	1	203	1	211	0	0	1	6	268	0	0	0	24	218	0	21	208	6
GTEX-1RAZA	463	2	1	478	2	413	0	0	2	5	535	1	0	0	42	466	0	27	463	0
GTEX-1EU9M	111	1	0	134	2	130	0	0	2	0	188	0	0	0	10	118	0	8	153	2
GTEX-11ZTS	69	0	0	79	1	58	0	0	1	4	66	0	0	1	7	68	0	8	62	0
GTEX-145MO	329	3	1	361	1	409	0	1	2	4	492	0	1	0	54	339	0	61	320	2
GTEX-16BQI	570	7	0	610	2	600	0	0	0	7	840	0	0	0	81	594	0	70	636	8
GTEX-117YW	68	0	0	79	4	72	0	0	0	0	82	0	0	0	10	74	0	9	81	0
GTEX-111VG	82	0	0	83	1	85	0	0	0	0	89	0	0	0	6	86	0	6	81	2
GTEX-Q2AG	122	1	0	130	1	112	0	1	0	3	164	0	0	2	8	132	1	8	123	0
GTEX-1AX9J	520	8	3	614	7	527	0	1	0	6	639	0	1	0	99	478	1	97	532	11
GTEX-1F7RK	73	0	0	103	1	73	0	0	0	3	76	0	0	0	6	75	0	3	96	2
GTEX-1R9K4	216	2	0	244	5	214	0	0	0	4	265	0	0	0	52	211	0	16	281	3
GTEX-YJ8O	40	0	0	59	0	33	0	1	0	0	65	0	0	0	7	45	0	4	53	0
GTEX-OOBK	287	1	2	367	1	331	0	0	3	4	505	1	0	0	33	369	1	30	336	2
GTEX-Y9LG	440	8	4	556	13	541	0	0	5	15	602	0	0	2	82	497	3	77	551	5
GTEX-1EWIQ	63	0	0	74	0	83	0	0	0	2	81	0	0	0	14	79	0	4	89	2
GTEX-Y5LM	476	2	0	598	9	629	0	1	3	7	779	0	0	3	62	705	2	81	800	5
GTEX-11EI6	268	3	4	331	3	292	0	4	2	8	381	0	0	0	19	302	0	21	335	3
GTEX-17KNJ	163	0	0	188	8	172	0	0	3	5	183	0	0	0	26	160	1	30	162	0
GTEX-1M5QR	933	5	1	1042	10	947	0	7	18	27	1176	0	0	3	52	969	1	50	927	4
GTEX-XPVG	1200	32	1	1353	13	1342	0	3	2	24	1530	2	0	2	207	1153	1	154	1351	16
GTEX-1JN6P	193	0	0	245	0	220	0	0	0	3	226	0	0	0	31	168	0	34	236	2
GTEX-ZT9X	274	2	0	341	1	330	0	1	2	7	379	0	0	0	47	256	0	40	334	2
GTEX-P4PQ	347	2	1	355	1	390	0	1	4	13	503	0	0	3	53	347	1	44	378	4
GTEX-1AMEY	1277	12	1	1452	3	1197	0	0	3	15	1618	0	0	0	154	1485	1	129	1467	6
GTEX-1IDJF	437	3	0	495	9	372	0	5	7	12	502	0	0	1	54	423	0	52	426	4
GTEX-11LCK	482	7	4	732	2	587	0	0	1	4	599	0	0	0	105	543	4	90	607	6
GTEX-RTLS	229	2	0	223	4	249	0	2	0	9	312	0	0	0	49	244	0	42	246	5
GTEX-OXRP	76	0	1	97	3	81	0	0	0	3	85	0	0	0	14	99	0	15	92	3
GTEX-1S82Y	419	0	0	483	4	445	0	0	0	4	558	0	0	0	48	409	0	39	446	4
GTEX-18A66	349	3	0	381	1	351	0	0	0	8	431	0	0	0	15	377	0	11	407	2
GTEX-15CHC	253	1	2	275	5	270	0	1	0	3	337	0	0	1	20	269	0	17	312	4
GTEX-1RB15	185	3	0	210	4	259	0	0	2	3	270	0	0	0	36	245	0	27	218	3
GTEX-13PVR	1045	4	5	1256	4	1202	0	0	0	25	1305	1	0	5	164	1187	2	181	1137	10
GTEX-1314G	95	0	0	161	2	144	0	0	0	0	137	0	0	1	11	114	0	10	108	2
GTEX-ZTPG	202	0	0	204	2	209	0	0	0	6	256	0	0	0	31	239	0	24	242	2
GTEX-1399U	773	9	4	931	6	829	0	6	7	12	1028	0	1	1	142	783	0	135	831	5
GTEX-YB5K	488	3	0	662	1	585	0	0	0	8	771	0	1	0	87	491	0	73	546	10
GTEX-1PDJ9	1251	14	2	1527	7	1324	0	13	19	33	1569	0	1	2	116	1418	2	118	1352	11
GTEX-16GPK	70	1	1	101	0	73	0	0	0	1	95	0	0	0	10	92	0	2	77	0
GTEX-1PIEJ	693	8	0	816	7	703	0	0	1	12	838	0	0	1	72	708	0	50	674	8
GTEX-15CHR	326	0	0	376	0	347	0	0	1	5	403	0	0	0	18	324	1	18	364	5
GTEX-13112	55	0	0	82	0	68	0	1	2	1	65	0	0	0	10	64	0	3	84	2
GTEX-11TT1	58	0	0	66	0	68	0	0	0	0	72	0	0	0	2	63	0	2	68	1
GTEX-18A7A	74	0	0	98	0	90	0	0	0	0	134	0	0	0	13	96	0	10	76	1
GTEX-ZAK1	60	0	0	81	0	88	0	0	1	1	86	0	0	1	8	92	1	10	83	3
GTEX-1PBJJ	362	3	3	414	6	426	0	6	3	7	449	0	0	0	71	352	4	57	365	6
GTEX-1QP2A	656	4	4	743	4	690	0	1	1	1	750	0	0	6	72	607	1	87	621	9
GTEX-R55G	330	2	0	385	5	372	0	0	0	2	547	0	0	0	38	390	0	30	416	0
GTEX-145MH	84	1	0	105	0	80	0	0	0	1	107	0	0	0	13	88	0	7	73	1
GTEX-16XZY	77	0	0	72	2	65	0	0	1	1	87	0	0	0	7	69	0	4	82	1
GTEX-11GSP	50	0	0	64	1	54	0	0	0	0	50	0	0	0	6	51	0	6	45	0
GTEX-1F5PK	967	4	0	1180	8	967	0	0	0	18	1116	2	0	1	130	1085	2	101	1272	15
GTEX-1A3MV	1207	20	3	1261	8	1213	0	0	3	14	1584	4	4	0	171	1246	0	160	1290	9
GTEX-1IDJE	637	10	0	818	3	680	0	0	1	4	852	0	0	0	31	749	0	42	718	5
GTEX-14PJ5	963	6	0	1088	8	1025	0	1	0	13	1328	0	0	0	105	1108	0	84	1097	12
GTEX-16XZZ	1086	3	6	1320	7	1268	0	9	22	23	1483	2	0	9	177	1249	4	178	1465	17
GTEX-1K2DU	1687	16	2	1794	12	1587	0	0	1	15	1972	0	0	2	251	1612	0	182	1790	15
GTEX-14PII	670	2	2	733	5	673	0	1	11	17	779	0	0	3	75	647	0	55	638	11
GTEX-15ER7	377	2	0	480	1	460	0	0	0	7	569	0	0	5	40	516	0	24	445	5
GTEX-17HHE	326	5	1	372	7	343	0	0	0	4	434	0	0	0	42	359	0	27	355	5
GTEX-1LG7Z	468	1	0	461	2	482	0	0	0	2	528	0	0	2	48	481	0	40	518	10
GTEX-1R7EU	643	0	3	630	7	679	0	2	10	10	758	0	0	0	62	717	1	47	687	6
GTEX-1C4CL	243	4	0	256	6	218	0	1	0	7	294	0	0	0	15	283	2	12	271	0
GTEX-U3ZM	1108	3	5	1149	5	1032	0	0	0	22	1080	0	0	0	68	1086	0	59	1008	10
GTEX-1A8G6	89	3	0	109	2	103	0	0	0	1	139	0	0	1	5	110	0	7	123	0
GTEX-WFON	861	6	2	1022	7	1023	0	1	0	15	1197	0	0	4	85	1034	2	86	976	11
GTEX-T6MN	38	0	0	39	0	32	0	0	0	0	41	0	0	0	8	31	0	5	30	0
GTEX-15SHV	1100	2	1	1240	5	1118	0	0	2	23	1415	2	0	7	160	983	6	135	1094	15
GTEX-18465	111	0	0	134	0	97	0	0	0	3	143	0	0	0	10	156	0	11	138	0
GTEX-1128S	1232	6	2	1751	6	1448	0	1	3	33	1920	1	0	3	218	1378	1	154	1502	26
GTEX-RN64	98	0	0	121	1	103	0	1	1	5	135	0	0	0	12	89	0	8	93	0
GTEX-1GZHY	91	1	0	91	0	62	0	1	1	3	86	0	0	1	5	89	0	5	84	1
GTEX-1JN1M	206	5	1	235	3	229	0	0	0	6	221	0	0	0	46	194	0	32	236	5
GTEX-QVJO	104	0	0	97	2	87	0	1	0	1	99	0	0	0	11	95	0	8	89	0
GTEX-147JS	48	0	0	71	0	68	0	0	0	2	59	0	0	0	9	55	0	8	54	0
GTEX-15SB6	331	0	2	401	2	312	0	0	0	6	404	0	0	0	29	327	0	20	339	3
GTEX-R55C	423	8	0	515	5	482	0	0	1	5	473	0	0	0	50	527	0	36	537	5
GTEX-14PJ6	556	10	0	608	10	548	0	0	0	9	703	0	0	0	89	544	0	61	575	6
GTEX-1GF9U	259	1	0	267	4	229	0	4	2	6	297	0	0	3	34	232	1	29	318	6
GTEX-1CB4E	240	0	0	291	0	312	0	0	0	3	273	0	0	0	29	287	0	18	287	3
GTEX-OXRL	610	2	0	761	6	741	0	8	15	15	876	1	0	1	125	810	0	134	742	11
GTEX-11NSD	221	1	1	322	3	286	0	1	3	4	344	0	0	0	25	287	0	28	284	3
GTEX-117XS	54	0	0	82	1	62	0	0	0	0	84	0	0	1	5	70	0	4	70	0
GTEX-139YR	194	3	1	274	3	215	0	0	0	5	292	0	0	0	38	188	0	42	247	4
GTEX-1MA7W	570	10	0	759	4	689	0	2	2	12	853	0	0	0	66	728	0	69	732	6
GTEX-15SKB	376	0	4	448	2	396	0	2	3	11	427	0	0	0	77	422	2	69	444	4
GTEX-U8XE	151	2	3	177	2	151	0	1	0	4	211	0	0	1	23	188	0	18	187	0
GTEX-1BAJH	64	1	0	67	0	66	0	0	0	1	88	0	0	1	5	63	0	2	57	0
GTEX-ZVZP	1341	11	2	1625	10	1359	0	2	1	10	1574	0	0	4	170	1201	2	143	1410	13
GTEX-11ONC	86	0	0	95	3	107	0	0	0	2	124	0	0	1	16	93	0	12	112	0
GTEX-WY7C	1283	10	0	1378	7	1433	0	0	0	13	1704	0	0	1	173	1416	0	147	1489	7
GTEX-14LLW	1256	0	2	1351	5	1337	0	6	27	29	1593	0	1	0	114	1500	2	112	1547	8
GTEX-11ZTT	724	4	2	899	8	849	0	0	7	19	921	0	0	1	71	721	0	53	776	11
GTEX-12KS4	114	0	0	152	3	152	0	2	1	3	146	0	0	0	31	131	0	22	156	2
GTEX-1GPI6	74	0	0	77	1	85	0	1	0	1	105	0	0	0	15	87	0	8	86	2
GTEX-Z93S	206	1	1	195	2	183	0	1	0	1	226	0	0	0	20	193	0	10	181	5
GTEX-1GN1U	212	7	1	269	1	225	0	0	1	13	284	0	0	0	37	221	0	29	274	1
GTEX-111YS	837	3	1	1038	6	935	0	0	0	10	1165	1	0	1	115	801	1	90	940	7
GTEX-13111	316	2	0	336	2	302	0	0	0	0	419	0	0	0	31	303	0	21	334	4
GTEX-1CAMQ	173	0	0	191	2	149	0	1	3	2	203	0	0	0	26	152	0	14	201	2
GTEX-144FL	264	5	0	367	2	343	0	3	4	14	331	0	0	2	37	288	0	42	364	6
GTEX-1B8L1	64	0	0	79	0	64	0	0	0	3	68	0	0	0	2	57	0	8	82	1
GTEX-14JG1	75	0	1	123	0	89	0	0	2	1	102	0	0	0	7	89	0	8	90	0
GTEX-ZVE1	418	0	0	502	6	413	0	5	12	13	427	0	0	7	50	443	2	49	454	4
GTEX-1JJ6O	1089	7	1	1370	6	1179	0	1	2	25	1380	0	0	0	95	1144	2	91	1158	3
GTEX-13OVK	206	5	0	260	6	229	0	2	2	5	225	0	0	1	16	237	0	11	198	2
GTEX-WRHU	136	0	0	152	2	164	0	2	1	9	166	0	0	0	20	130	0	20	125	2
GTEX-13OVG	369	7	0	416	0	405	0	1	5	7	475	0	0	0	63	400	0	60	412	12
GTEX-12ZZX	75	0	0	108	0	68	0	0	0	1	87	0	0	0	14	76	0	4	81	2
GTEX-YECK	55	0	0	69	0	55	0	0	0	0	73	0	0	0	11	49	0	6	55	1
