individual	chr1:145957156:145958361:cluster84561	chr1:145957156:145959007:cluster84561	chr1:145957156:145974825:cluster84561	chr1:145957734:145958361:cluster84561	chr1:145958367:145959007:cluster84561	chr1:145958438:145959007:cluster84561	chr1:145959104:145974825:cluster84561	chr1:145961573:145964375:cluster84561	chr1:145961573:145964605:cluster84561	chr1:145961573:145974825:cluster84561	chr1:145964768:145974825:cluster84561	chr1:145964768:145975307:cluster84561	chr1:145974991:145975307:cluster84561
GTEX-XPT6	7	6	0	0	7	23	28	4	13	6	159	0	480
GTEX-1F75W	0	1	0	1	2	14	13	0	0	0	62	0	122
GTEX-146FR	16	15	4	0	3	37	44	1	6	3	104	0	327
GTEX-1AX9I	6	5	0	2	1	19	14	0	0	0	49	0	133
GTEX-1RQEC	11	2	0	0	4	16	13	0	5	2	102	0	239
GTEX-1S5VW	20	10	2	1	2	32	37	0	4	2	99	0	302
GTEX-16YQH	9	0	1	1	1	15	5	0	0	2	62	0	152
GTEX-SIU8	3	5	0	0	1	7	11	0	0	0	55	0	114
GTEX-P78B	9	7	0	1	0	12	11	2	1	4	86	0	247
GTEX-1122O	10	4	1	0	4	18	15	3	6	1	94	0	277
GTEX-ZAB5	8	8	2	2	1	17	31	2	4	4	113	0	278
GTEX-1LB8K	7	2	0	0	4	25	11	0	0	0	66	0	160
GTEX-17MFQ	4	3	0	0	0	8	9	0	0	1	53	0	127
GTEX-14753	4	2	3	1	2	10	14	1	4	1	79	0	200
GTEX-11DXX	19	16	8	1	1	34	31	0	3	5	150	0	376
GTEX-139T6	24	16	7	2	3	36	53	1	5	5	102	0	338
GTEX-1MJK3	16	19	7	0	3	26	29	2	3	3	139	0	304
GTEX-12ZZZ	4	5	0	0	0	7	6	0	0	2	42	0	115
GTEX-14DAR	7	10	2	1	1	12	28	0	5	4	111	0	294
GTEX-131XW	4	1	0	1	0	17	13	0	0	1	46	0	96
GTEX-1399R	2	4	2	0	0	3	12	1	2	0	59	0	148
GTEX-15UF7	1	4	1	2	3	6	12	0	0	0	79	0	166
GTEX-1PPGY	12	4	2	0	0	13	20	0	3	4	113	0	264
GTEX-13RTK	14	9	8	4	3	26	38	1	0	3	119	0	274
GTEX-ZXG5	11	7	4	1	1	21	24	2	7	2	85	0	289
GTEX-PWN1	6	5	2	0	3	13	12	0	2	0	27	0	102
GTEX-14PJ4	9	6	0	0	3	14	11	0	2	3	78	0	182
GTEX-1QP6S	6	5	0	1	4	19	19	1	4	0	129	0	213
GTEX-11NUK	6	2	0	0	0	21	6	0	2	2	61	0	126
GTEX-131YS	5	3	0	3	2	8	9	0	2	0	55	0	90
GTEX-14PJN	9	8	5	0	0	27	37	1	2	0	108	0	215
GTEX-147F4	8	7	0	2	4	27	17	0	0	4	68	0	162
GTEX-WZTO	1	1	0	2	2	12	8	1	0	0	60	0	166
GTEX-12ZZY	2	2	1	0	1	6	13	0	1	0	52	0	121
GTEX-XQ3S	4	1	0	0	1	11	16	0	1	0	60	0	132
GTEX-1GMR3	4	1	1	1	2	6	17	0	1	1	60	0	165
GTEX-1C6WA	5	3	0	2	6	17	18	0	0	1	91	0	173
GTEX-OIZI	0	0	0	0	0	7	7	0	0	0	45	0	112
GTEX-18A7B	15	13	2	4	3	28	28	0	2	5	92	0	257
GTEX-XBEW	15	25	8	1	0	22	44	0	9	0	227	1	543
GTEX-R53T	1	4	0	0	0	5	4	0	1	2	52	0	110
GTEX-183FY	8	6	2	2	3	24	28	1	3	4	117	0	256
GTEX-111FC	6	0	1	1	1	12	12	0	1	2	44	0	130
GTEX-1KD5A	6	3	0	1	2	15	19	0	5	5	127	0	244
GTEX-1S83E	19	17	3	0	3	40	54	1	8	10	152	0	337
GTEX-ZLV1	11	7	6	1	0	18	32	2	6	2	188	0	485
GTEX-ZUA1	3	3	0	1	1	17	16	0	1	0	70	0	140
GTEX-1GF9W	13	4	1	2	0	17	23	1	2	2	50	0	142
GTEX-13FTZ	3	1	0	0	0	14	7	0	0	3	71	0	141
GTEX-17EUY	11	17	0	1	1	14	29	0	7	3	96	0	306
GTEX-1MCYP	7	16	2	3	0	18	26	3	4	3	181	0	408
GTEX-1PPH7	14	20	7	3	3	29	46	0	5	5	129	0	299
GTEX-1212Z	5	0	0	2	0	21	18	0	3	1	84	0	158
GTEX-1F5PL	15	12	1	2	0	41	31	2	2	6	85	0	272
GTEX-1GPI7	9	14	2	0	4	15	36	3	8	1	108	0	360
GTEX-1GN1W	12	10	3	0	2	28	33	1	2	2	85	0	275
GTEX-1RAZR	16	7	10	0	1	27	33	0	6	4	217	0	395
GTEX-1S82P	9	12	3	3	1	23	22	5	5	0	133	0	297
GTEX-12C56	19	2	3	1	3	21	20	0	0	0	84	0	242
GTEX-ZYFG	15	9	2	2	4	39	53	3	7	0	101	0	361
GTEX-W5WG	7	15	3	0	2	10	22	0	5	0	86	0	296
GTEX-1ICG6	12	11	1	1	0	14	11	3	4	1	145	0	318
GTEX-TMMY	16	5	4	0	3	31	38	1	7	0	137	0	470
GTEX-PLZ5	9	5	2	0	2	11	10	0	1	0	74	0	236
GTEX-13O3O	2	2	0	1	3	21	21	0	1	0	77	0	182
GTEX-18D9A	17	29	1	1	3	20	32	1	4	5	135	0	447
GTEX-QEL4	8	7	1	0	0	7	5	0	1	0	47	0	141
GTEX-T5JC	6	1	0	3	4	20	9	0	2	0	61	0	191
GTEX-ZV6S	9	18	2	1	4	15	34	1	2	1	100	0	304
GTEX-WEY5	33	23	12	8	6	73	90	1	11	8	306	0	725
GTEX-11ZUS	0	0	1	1	2	13	7	0	1	0	49	0	127
GTEX-1B97J	47	41	8	4	2	46	77	2	11	3	208	0	686
GTEX-14LZ3	0	2	0	0	1	10	12	1	2	2	92	0	236
GTEX-13O3Q	4	0	0	0	2	9	8	1	1	4	64	0	144
GTEX-139UW	2	0	0	0	0	15	11	0	0	0	74	0	181
GTEX-146FQ	6	6	4	1	5	24	18	0	5	11	101	0	309
GTEX-WYJK	11	22	5	0	0	23	52	5	8	2	159	0	420
GTEX-ZDTS	2	2	0	0	0	12	4	0	0	0	52	0	119
GTEX-1B97I	9	20	3	0	1	27	39	1	2	2	98	0	267
GTEX-XOT4	6	2	0	1	1	17	11	0	0	2	86	0	184
GTEX-PLZ4	5	2	1	0	3	11	7	0	1	0	33	0	90
GTEX-1IDFM	5	1	0	0	2	10	6	2	0	0	39	0	103
GTEX-1FIGZ	8	7	1	4	0	14	28	4	1	0	65	0	221
GTEX-OXRK	4	5	0	1	1	10	8	1	2	2	48	0	183
GTEX-1339X	17	8	2	0	1	25	35	1	4	3	74	0	219
GTEX-13RTL	4	1	0	2	2	22	15	1	0	1	74	0	165
GTEX-1R46S	15	3	3	0	3	32	17	1	6	7	133	0	319
GTEX-ZV68	8	2	2	0	4	18	11	0	5	1	77	0	190
GTEX-1P4AB	2	8	4	0	3	20	22	1	2	0	86	0	266
GTEX-11UD2	5	0	0	2	1	14	9	1	1	0	43	0	133
GTEX-ZF3C	11	5	8	4	3	30	28	1	4	9	97	0	249
GTEX-Y111	1	3	0	0	0	5	7	1	2	1	68	0	134
GTEX-18A67	8	9	6	7	1	13	21	0	0	0	132	0	320
GTEX-X261	11	11	1	3	5	20	31	1	2	2	83	0	264
GTEX-13FH7	11	10	1	2	1	10	21	0	0	3	55	0	172
GTEX-Y3I4	11	6	0	1	0	12	13	0	0	1	75	0	184
GTEX-1269C	6	2	2	0	3	11	12	1	1	0	91	0	184
GTEX-1AMFI	17	15	3	0	6	12	27	2	2	1	159	0	347
GTEX-11ZU8	5	2	0	0	2	18	13	2	2	2	70	0	164
GTEX-18D9U	12	20	3	0	1	14	34	1	1	1	133	0	358
GTEX-1192X	2	3	1	0	0	17	12	2	2	2	86	0	213
GTEX-1LSNM	23	28	11	1	7	34	55	2	9	2	157	0	498
GTEX-1MUQO	26	21	6	1	0	24	31	0	1	1	204	0	400
GTEX-15D79	4	8	3	0	5	10	18	0	3	2	82	0	183
GTEX-1RAZA	9	20	8	0	2	21	37	0	5	2	179	0	388
GTEX-1EU9M	4	2	0	0	0	14	17	0	1	6	73	0	141
GTEX-U3ZN	5	5	2	2	2	13	25	0	0	1	101	0	303
GTEX-145MO	10	4	0	0	3	23	35	0	2	4	80	0	217
GTEX-WYVS	5	1	1	1	0	25	19	0	3	3	70	0	214
GTEX-111VG	3	8	0	0	0	20	14	0	0	0	60	0	158
GTEX-1F6IF	5	4	2	0	0	16	12	0	1	0	73	0	159
GTEX-ZWKS	1	2	2	0	4	5	17	1	1	0	67	0	160
GTEX-1F7RK	3	1	0	1	3	16	10	0	1	0	71	0	125
GTEX-Y9LG	12	0	1	0	3	29	25	1	0	1	102	0	285
GTEX-1EWIQ	7	2	0	0	2	8	6	0	0	1	73	0	143
GTEX-Y5LM	2	6	1	0	3	6	9	2	2	0	59	0	170
GTEX-17KNJ	0	2	0	1	1	4	8	0	3	0	50	0	133
GTEX-1A8FM	0	1	1	1	2	11	7	0	1	3	46	0	146
GTEX-1M5QR	16	19	0	2	2	18	32	0	4	3	195	0	451
GTEX-XPVG	20	12	2	0	3	37	53	0	10	5	144	0	449
GTEX-V955	4	13	6	4	0	29	30	0	4	0	115	0	479
GTEX-1JN6P	7	2	0	3	0	17	19	0	4	3	102	0	195
GTEX-P4PQ	4	1	0	1	2	16	13	3	9	2	108	0	310
GTEX-1GN73	9	1	1	0	3	15	8	0	1	1	85	0	156
GTEX-11LCK	15	4	1	3	5	21	29	1	5	3	62	0	206
GTEX-OXRP	2	1	1	1	1	2	5	0	2	0	15	0	55
GTEX-14E6D	5	4	2	3	1	21	19	0	0	0	106	0	185
GTEX-1S82Y	2	7	4	2	2	12	19	1	2	0	151	0	317
GTEX-18A66	2	6	3	0	0	5	11	1	1	0	60	0	195
GTEX-13O21	17	9	2	2	3	24	34	0	2	3	122	0	260
GTEX-1RB15	10	5	4	2	0	18	36	0	3	3	105	0	253
GTEX-13PVR	2	8	0	0	0	16	27	0	8	6	104	0	213
GTEX-1314G	2	3	1	0	1	9	7	1	2	4	90	0	204
GTEX-1PDJ9	28	25	7	2	2	30	41	3	2	6	162	0	404
GTEX-15CHR	6	7	2	0	0	7	15	2	0	3	96	0	213
GTEX-13112	3	1	0	0	1	6	7	1	0	0	45	0	118
GTEX-WHSB	22	17	14	0	3	34	60	0	4	5	197	0	465
GTEX-1PBJJ	4	1	0	0	1	12	17	1	4	4	125	0	247
GTEX-1E2YA	8	2	0	2	1	15	21	0	0	3	49	0	162
GTEX-13X6H	2	5	0	2	4	8	13	0	0	2	58	0	163
GTEX-11GSP	0	0	0	1	2	5	7	0	0	0	37	0	109
GTEX-1F5PK	18	24	3	1	3	33	46	2	19	11	145	0	525
GTEX-1IDJE	11	14	3	0	3	21	10	0	0	0	112	0	311
GTEX-1LVAM	8	14	3	2	1	12	28	0	3	3	120	0	284
GTEX-133LE	3	6	1	3	0	17	22	0	0	0	77	0	207
GTEX-1R9PO	7	5	1	1	0	10	8	1	2	2	105	0	280
GTEX-16XZZ	22	6	4	4	3	44	51	1	15	5	130	0	412
GTEX-O5YV	5	3	0	3	1	10	19	2	4	1	44	0	141
GTEX-14PII	13	8	0	1	3	21	30	0	3	4	83	0	240
GTEX-15ER7	26	8	5	3	6	41	36	1	19	10	184	0	522
GTEX-T8EM	15	12	2	0	2	31	40	1	2	1	154	0	494
GTEX-13OW6	2	0	1	1	0	11	1	0	1	0	34	0	88
GTEX-WOFM	30	11	1	1	0	45	46	2	13	14	176	0	465
GTEX-RWSA	0	0	1	0	1	7	3	0	1	1	44	0	87
GTEX-1R7EU	7	6	1	0	0	14	29	0	3	0	124	0	284
GTEX-SNMC	4	15	3	0	4	25	28	4	2	3	99	0	323
GTEX-T6MN	0	2	0	0	0	3	3	0	0	0	24	0	39
GTEX-15SHV	11	9	1	1	2	23	36	3	9	3	97	0	221
GTEX-18465	6	3	1	0	1	6	4	0	1	0	65	0	167
GTEX-14PJ2	4	2	1	2	0	16	9	0	0	1	72	0	136
GTEX-1QP66	12	10	2	3	5	31	31	3	11	7	266	0	542
GTEX-147JS	3	1	0	2	0	8	5	0	0	0	34	0	81
GTEX-15SB6	10	10	0	0	0	24	6	0	3	2	101	0	281
GTEX-QCQG	15	4	1	1	3	16	18	0	4	2	123	0	264
GTEX-14PJ6	13	11	7	1	3	24	21	0	2	2	109	0	280
GTEX-OXRL	3	9	2	0	3	6	22	0	2	2	66	0	235
GTEX-14PJM	4	2	0	1	0	13	7	0	1	0	50	0	118
GTEX-1B8KZ	3	2	0	2	2	11	10	0	2	0	91	0	158
GTEX-139YR	6	13	1	1	0	10	14	0	0	3	99	0	221
GTEX-1445S	5	1	0	0	0	10	13	0	1	0	53	0	134
GTEX-1MA7W	13	8	2	7	5	38	38	3	14	7	219	0	548
GTEX-1BAJH	4	1	0	2	2	5	7	0	1	0	42	0	95
GTEX-ZVZP	12	12	2	0	1	15	43	0	2	1	127	0	352
GTEX-14LLW	10	5	3	0	2	20	19	2	4	1	142	0	307
GTEX-VUSG	11	10	9	6	1	23	32	2	4	5	122	0	245
GTEX-13QIC	0	2	0	0	1	5	7	0	0	0	42	0	96
GTEX-11ZTT	9	2	3	0	0	21	16	0	0	1	85	0	218
GTEX-12WSL	4	6	1	1	2	11	11	0	0	1	59	0	164
GTEX-1GPI6	1	1	0	1	0	12	13	0	0	2	57	0	117
GTEX-Z93S	4	5	0	0	3	7	9	0	0	2	91	0	180
GTEX-1GN1U	6	5	0	0	0	10	14	1	2	2	73	0	184
GTEX-13111	4	1	0	1	3	16	19	0	1	1	52	0	152
GTEX-14PK6	14	2	1	2	0	18	25	0	2	2	62	0	192
GTEX-1B8L1	1	3	0	1	1	5	1	0	0	0	38	0	85
GTEX-13QJ3	2	1	1	1	1	16	22	0	3	0	89	0	238
GTEX-ZYFD	3	0	0	0	1	7	9	0	2	1	27	0	64
GTEX-14JG1	3	1	2	2	1	7	8	0	0	0	59	0	147
GTEX-1JJ6O	10	3	1	1	2	23	22	2	7	2	115	0	287
GTEX-YECK	1	2	0	1	0	15	11	0	0	1	52	0	142
GTEX-WHSE	3	3	0	0	4	8	20	0	1	2	58	0	129
GTEX-1LG7Y	9	4	5	3	2	47	30	0	2	5	93	0	298
GTEX-OIZF	2	6	2	3	0	13	20	0	1	3	87	0	251
GTEX-ZZPU	16	18	3	0	2	18	25	0	1	1	101	0	275
GTEX-15DZA	24	28	0	1	6	23	57	3	3	3	180	0	479
GTEX-1B8SF	4	2	1	0	2	8	8	0	0	0	56	0	138
GTEX-1F48J	5	1	0	2	7	16	13	1	6	1	62	0	194
GTEX-ZVT4	3	5	3	0	0	15	18	0	0	1	55	0	145
GTEX-1R9K5	4	11	3	1	1	14	26	1	2	4	121	0	267
GTEX-12584	2	4	0	2	3	5	7	1	0	0	39	0	119
GTEX-1CB4I	8	14	1	0	2	11	31	1	5	3	84	0	305
GTEX-1R9JW	15	7	1	1	3	34	26	0	21	12	213	0	529
GTEX-15DCD	4	0	0	4	0	11	10	0	0	1	62	0	138
GTEX-1399S	5	8	2	0	6	18	19	1	4	1	127	0	325
GTEX-1A8G7	1	1	1	0	0	5	4	0	1	2	41	0	117
GTEX-1EX96	3	3	0	0	0	6	3	0	0	0	21	0	81
GTEX-RM2N	8	4	0	1	5	18	16	1	2	0	58	0	164
GTEX-1S82U	22	13	5	4	3	32	28	1	3	4	133	0	456
GTEX-ZEX8	16	2	1	3	0	19	22	1	3	2	180	0	376
GTEX-15RIE	5	2	0	2	0	9	24	1	4	4	109	0	285
GTEX-1RAZQ	24	20	8	5	0	26	43	3	3	4	162	0	406
GTEX-1R7EV	13	11	5	0	0	26	26	0	2	3	91	0	232
GTEX-146FH	6	3	0	0	1	10	8	0	0	0	33	0	99
GTEX-14BIM	14	11	0	1	0	20	51	4	15	4	145	0	395
GTEX-Y5V6	7	5	3	1	2	18	40	0	5	0	83	0	211
GTEX-VJWN	10	4	0	1	0	22	15	0	3	3	50	0	219
GTEX-PW2O	2	2	0	2	1	10	7	0	3	0	24	0	69
GTEX-XAJ8	2	7	0	2	2	8	9	0	0	0	57	0	150
GTEX-13NZB	7	7	2	4	4	9	17	1	3	1	114	0	228
GTEX-PSDG	9	11	2	1	3	27	24	0	2	1	79	0	249
GTEX-ZVE2	3	3	1	1	1	22	18	1	4	4	117	0	259
GTEX-13PVQ	0	1	0	1	2	4	8	0	0	0	37	0	108
GTEX-13O3P	4	4	0	2	3	10	12	1	0	1	77	0	149
GTEX-1QP67	10	10	1	4	1	14	29	0	7	0	126	0	311
GTEX-ZVT3	5	3	0	0	0	9	8	0	0	1	53	0	128
GTEX-OXRN	6	0	5	3	2	18	29	1	9	1	84	0	232
GTEX-S95S	6	5	1	0	0	6	14	0	3	0	33	0	136
