individual	chr19:58306216:58312166:cluster54292	chr19:58306216:58312197:cluster54292	chr19:58312462:58314748:cluster54292	chr19:58312462:58314755:cluster54292
GTEX-WYJK	84	6	116	0
GTEX-XOT4	46	3	60	0
GTEX-17GQL	72	4	106	0
GTEX-OXRK	36	4	51	0
GTEX-15RIG	67	5	81	0
GTEX-17HII	29	2	36	0
GTEX-1339X	89	6	124	0
GTEX-15G1A	131	7	174	0
GTEX-17HGU	37	3	46	0
GTEX-1JMQI	93	10	128	0
GTEX-1R46S	53	4	74	0
GTEX-1P4AB	72	4	109	0
GTEX-18A67	83	5	122	0
GTEX-OIZH	73	7	93	0
GTEX-Y3I4	32	2	43	0
GTEX-1R9PM	62	5	91	0
GTEX-18D9U	114	12	154	0
GTEX-1LSNM	90	9	133	0
GTEX-15D79	44	4	56	0
GTEX-1RAZA	75	6	112	0
GTEX-WYVS	55	4	91	0
GTEX-111VG	51	4	61	0
GTEX-1F6IF	47	5	77	0
GTEX-Q2AG	12	1	20	0
GTEX-1AX9J	44	4	53	0
GTEX-1QEPI	71	7	98	0
GTEX-1EWIQ	43	4	71	0
GTEX-Y5LM	136	11	164	0
GTEX-XPVG	79	9	115	0
GTEX-1AMEY	73	8	93	0
GTEX-183WM	44	2	52	0
GTEX-11LCK	45	3	53	0
GTEX-18A66	43	3	52	0
GTEX-15CHC	36	3	57	0
GTEX-1QCLZ	75	8	120	0
GTEX-ZTPG	35	2	57	0
GTEX-YB5K	48	2	64	0
GTEX-18A7A	38	5	54	0
GTEX-WHSB	111	5	155	0
GTEX-13OW8	26	1	41	0
GTEX-R55G	35	2	46	0
GTEX-1E2YA	29	1	40	0
GTEX-1F52S	79	5	98	0
GTEX-12WSG	41	3	64	0
GTEX-14PII	44	4	53	0
GTEX-17HHE	31	2	50	0
GTEX-WOFM	178	16	274	0
GTEX-14PN4	35	2	53	0
GTEX-14PJ2	60	3	75	0
GTEX-RN64	38	2	44	0
GTEX-QCQG	88	5	111	0
GTEX-144GL	38	2	55	0
GTEX-R55C	37	3	42	0
GTEX-14PJ6	64	4	97	0
GTEX-1MCQQ	47	4	60	0
GTEX-14PJM	29	2	43	0
GTEX-117XS	27	2	35	0
GTEX-1B8KZ	52	5	74	0
GTEX-11ONC	44	3	56	0
GTEX-WY7C	65	6	84	0
GTEX-12WSL	58	5	76	0
GTEX-11I78	55	5	86	0
GTEX-1GPI6	40	3	58	0
GTEX-111YS	46	4	58	0
GTEX-14JG1	46	4	61	0
GTEX-ZA64	84	6	98	0
GTEX-17JCI	53	6	77	0
GTEX-11XUK	40	3	50	0
GTEX-12ZZX	47	3	56	0
GTEX-YECK	47	3	72	0
GTEX-1LG7Y	91	8	134	0
GTEX-OIZF	51	5	66	0
GTEX-14XAO	92	10	140	0
GTEX-14C39	84	5	100	0
GTEX-1B8SF	46	5	71	0
GTEX-1R9K5	115	6	147	0
GTEX-12584	43	2	63	0
GTEX-15DCD	89	9	120	0
GTEX-SE5C	74	5	117	0
GTEX-1399S	85	8	131	0
GTEX-13X6K	48	2	64	0
GTEX-1B932	77	9	105	0
GTEX-14DAQ	50	4	64	0
GTEX-WFG7	45	2	65	0
GTEX-WFG8	58	4	83	0
GTEX-12WSN	56	5	64	0
GTEX-Y5V6	50	4	82	0
GTEX-XAJ8	89	10	119	0
GTEX-17F97	35	2	50	0
GTEX-13PVQ	28	1	43	0
GTEX-Z9EW	33	2	41	0
GTEX-11GS4	49	5	60	0
GTEX-ZVT3	37	3	54	0
