individual	chr14:91199905:91204706:cluster9556	chr14:91199905:91215405:cluster9556	chr14:91204825:91215405:cluster9556	chr14:91204867:91215405:cluster9556
GTEX-X8HC	215	9	173	1
GTEX-11EM3	157	9	131	3
GTEX-1MCYP	161	6	114	2
GTEX-1212Z	380	10	300	1
GTEX-1F5PL	285	8	246	3
GTEX-1GN1W	199	8	198	3
GTEX-1RAZR	710	13	609	7
GTEX-Y8DK	535	14	447	7
GTEX-12C56	82	5	68	1
GTEX-ZYFG	208	9	203	3
GTEX-1N2DW	399	23	334	5
GTEX-13O3O	362	11	325	1
GTEX-1C2JI	145	5	139	2
GTEX-T5JC	459	15	386	6
GTEX-ZF2S	384	11	341	6
GTEX-ZV6S	70	3	68	0
GTEX-WEY5	493	27	378	5
GTEX-1QP9N	252	9	183	4
GTEX-1B97J	338	17	256	4
GTEX-1F75A	369	13	334	2
GTEX-P44G	194	5	161	2
GTEX-14LZ3	355	13	270	4
GTEX-146FQ	324	16	315	5
GTEX-13QBU	138	8	122	1
GTEX-XGQ4	122	5	116	0
GTEX-WYJK	260	8	189	3
GTEX-ZDTS	235	8	202	1
GTEX-1B97I	145	8	130	2
GTEX-1A3MX	288	9	218	3
GTEX-1FIGZ	132	2	119	2
GTEX-WRHK	199	7	163	4
GTEX-13FTW	121	7	110	2
GTEX-QEG5	158	9	138	2
GTEX-1E1VI	269	17	241	2
GTEX-11ZVC	272	12	242	2
GTEX-1339X	78	3	74	0
GTEX-15G1A	104	4	100	1
GTEX-17HGU	147	3	117	1
GTEX-1R46S	245	9	221	2
GTEX-1M4P7	473	14	411	6
GTEX-PWCY	289	13	219	1
GTEX-Y111	411	10	389	6
GTEX-18A67	92	4	79	0
GTEX-SJXC	427	11	350	3
GTEX-13FH7	193	5	173	4
GTEX-O5YT	74	3	68	0
GTEX-1R9PM	73	2	57	0
GTEX-1LVA9	549	20	443	3
GTEX-1MUQO	141	4	139	2
GTEX-15D79	311	13	264	1
GTEX-1RAZA	199	5	162	1
GTEX-13OVH	392	10	321	3
GTEX-1EU9M	363	12	318	1
GTEX-U3ZN	371	19	289	4
GTEX-11ZTS	290	9	280	2
GTEX-145MO	489	23	391	5
GTEX-WYVS	531	26	431	5
GTEX-111VG	286	17	240	4
GTEX-Q2AG	125	5	110	0
GTEX-1AX9J	206	11	193	3
GTEX-1R9K4	577	26	535	6
GTEX-15CHQ	287	9	220	2
GTEX-QDT8	486	19	438	1
GTEX-1A8FM	202	5	172	2
GTEX-1ICLZ	83	3	81	0
GTEX-15RIF	295	10	237	3
GTEX-1M5QR	322	15	285	5
GTEX-XPVG	389	14	332	1
GTEX-V955	352	9	315	1
GTEX-1GN73	481	21	381	5
GTEX-11LCK	116	5	95	1
GTEX-14E6D	436	12	371	3
GTEX-18A66	122	8	115	1
GTEX-1QCLZ	187	11	149	1
GTEX-1RB15	292	11	264	3
GTEX-ZTPG	351	11	303	5
GTEX-YB5K	258	12	237	1
GTEX-QDVN	119	3	105	0
GTEX-QVUS	156	6	138	0
GTEX-13SLW	236	6	211	4
GTEX-15CHR	253	10	243	3
GTEX-13112	394	10	327	1
GTEX-11TT1	67	2	61	1
GTEX-WOFL	215	9	193	1
GTEX-OIZG	171	9	170	3
GTEX-1A3MV	283	16	268	5
GTEX-144GM	120	4	120	2
GTEX-14PJ5	198	10	178	1
GTEX-133LE	276	9	239	1
GTEX-T8EM	445	13	369	2
GTEX-13OW6	343	13	277	0
GTEX-1A8G6	282	9	252	1
GTEX-14PN4	113	3	92	0
GTEX-SNMC	328	11	245	4
GTEX-15SHV	403	9	329	3
GTEX-1128S	564	11	471	6
GTEX-RN64	286	7	211	3
GTEX-1GZHY	464	16	341	5
GTEX-QVJO	202	7	169	4
GTEX-117XS	402	15	377	5
GTEX-1B8KZ	281	12	218	3
GTEX-1EH9U	267	13	216	1
GTEX-1445S	240	5	203	1
GTEX-U8XE	72	3	63	0
GTEX-1BAJH	290	7	229	3
GTEX-11ZTT	178	11	156	3
GTEX-12WSL	73	2	70	1
GTEX-1GMR8	448	10	380	2
GTEX-1GPI6	302	13	246	2
GTEX-Z93S	338	12	321	4
GTEX-X4EO	510	17	491	3
GTEX-14PK6	169	7	165	1
GTEX-ZYFD	231	7	178	1
GTEX-14JG1	399	11	300	5
GTEX-ZA64	143	5	114	1
GTEX-1PIIG	390	12	333	6
GTEX-ZVE1	275	11	198	2
GTEX-17JCI	435	13	359	2
GTEX-1JJ6O	392	16	309	8
GTEX-WRHU	467	24	373	7
GTEX-14XAO	75	3	63	2
GTEX-1GN2E	338	9	302	5
GTEX-1JMQK	167	7	128	1
GTEX-15DZA	221	12	166	3
GTEX-14C39	436	13	353	1
GTEX-17EVP	354	12	265	3
GTEX-147GR	297	5	256	3
GTEX-11P81	214	10	164	1
GTEX-12WSF	369	11	286	3
GTEX-12584	234	8	209	4
GTEX-15DCD	411	13	328	4
GTEX-11O72	274	7	261	3
GTEX-P4QT	111	5	104	0
GTEX-QDVJ	96	3	86	1
GTEX-WL46	562	25	472	4
GTEX-1RAZQ	294	7	262	1
GTEX-PX3G	164	5	134	0
GTEX-13FHO	371	11	321	4
GTEX-146FH	148	5	129	0
GTEX-RUSQ	45	1	40	0
GTEX-U3ZH	267	7	228	1
GTEX-YFC4	460	9	375	4
GTEX-Q2AI	56	3	48	0
GTEX-17F98	198	8	150	4
GTEX-Y5V6	101	4	73	2
GTEX-111CU	97	3	69	1
GTEX-15UKP	67	3	51	0
GTEX-17F97	504	14	447	5
GTEX-13O3P	253	10	194	1
GTEX-Z9EW	135	4	117	2
GTEX-11GS4	314	17	297	3
GTEX-ZVT3	304	12	270	6
GTEX-1QP28	178	5	171	1
