individual	chr8:66454157:66456817:cluster47968	chr8:66454157:66457070:cluster47968	chr8:66456895:66457070:cluster47968	chr8:66456895:66460308:cluster47968	chr8:66457166:66459452:cluster47968	chr8:66457166:66459902:cluster47968	chr8:66457166:66460308:cluster47968	chr8:66460094:66460308:cluster47968
GTEX-1PPH7	87	3	86	0	0	1	97	0
GTEX-1212Z	125	3	107	0	0	0	124	0
GTEX-1GN1W	60	2	55	0	0	3	60	1
GTEX-OHPL	72	2	69	0	0	0	85	1
GTEX-12C56	176	6	174	1	0	2	207	0
GTEX-1211K	77	2	68	3	0	3	75	1
GTEX-1ICG6	117	6	101	3	0	7	134	2
GTEX-18D9A	136	0	133	0	0	8	165	2
GTEX-U8T8	105	7	117	0	0	0	132	2
GTEX-ZF2S	208	8	207	2	0	2	217	0
GTEX-WEY5	180	3	161	2	1	4	217	3
GTEX-14BMU	74	2	78	0	0	0	77	0
GTEX-1399T	172	8	148	0	0	2	176	3
GTEX-1QP9N	150	6	114	1	0	1	139	1
GTEX-1B97J	152	2	138	4	0	6	171	2
GTEX-1F75A	145	4	181	0	0	4	185	0
GTEX-139UW	144	10	157	0	0	2	191	0
GTEX-13N2G	362	18	323	1	0	0	372	2
GTEX-XGQ4	52	2	56	0	0	2	64	2
GTEX-13U4I	132	3	131	0	1	1	131	0
GTEX-ZDTS	76	6	92	0	0	2	105	0
GTEX-1B97I	59	1	73	0	0	3	72	2
GTEX-1FIGZ	43	0	53	0	0	2	58	1
GTEX-13FTW	49	3	48	1	0	1	63	1
GTEX-1E1VI	112	6	93	0	0	0	135	2
GTEX-11ZVC	106	9	121	2	1	2	137	1
GTEX-1339X	31	1	26	0	0	0	29	0
GTEX-13RTL	154	5	159	1	1	11	179	3
GTEX-15G1A	50	2	50	0	0	1	54	0
GTEX-ZZ64	71	1	70	0	0	4	93	2
GTEX-1C6VR	196	4	182	0	0	0	208	1
GTEX-11OF3	271	10	230	0	0	2	282	0
GTEX-1R46S	155	2	149	1	0	5	165	5
GTEX-ZV68	184	6	171	4	0	0	199	1
GTEX-11UD2	118	7	140	0	1	2	142	2
GTEX-1KWVE	238	3	237	2	1	0	292	1
GTEX-ZF3C	89	7	106	0	0	1	128	2
GTEX-Y111	175	9	167	0	0	2	179	1
GTEX-14BIL	264	5	232	0	0	1	274	3
GTEX-SJXC	256	7	238	0	0	4	303	0
GTEX-1GMRU	93	6	92	1	0	2	104	0
GTEX-1A3MW	58	1	52	0	0	0	56	2
GTEX-X261	39	2	41	0	0	0	39	0
GTEX-YEC3	110	1	98	0	0	3	122	0
GTEX-11ZU8	83	4	77	1	0	3	106	5
GTEX-1R9PM	49	3	42	0	0	1	65	0
GTEX-15D79	175	7	153	0	0	2	179	1
GTEX-13OVH	143	2	134	0	0	4	143	1
GTEX-WYVS	255	8	270	1	0	3	279	7
GTEX-117YW	156	2	162	0	0	2	176	1
GTEX-111VG	168	2	169	1	2	3	178	0
GTEX-1QEPI	161	4	141	0	1	5	176	1
GTEX-Y9LG	122	4	131	0	1	4	151	2
GTEX-1EWIQ	183	10	167	0	0	3	176	0
GTEX-1A8FM	112	4	123	1	0	5	156	3
GTEX-XPVG	175	6	189	0	0	5	232	0
GTEX-ZT9X	83	6	93	0	0	5	119	2
GTEX-1AMEY	77	0	87	0	0	3	114	2
GTEX-11LCK	75	2	68	0	0	0	70	0
GTEX-RTLS	109	8	105	0	1	5	156	2
GTEX-OXRP	44	1	58	0	0	2	63	0
GTEX-14E6D	128	4	112	0	0	2	138	0
GTEX-XBEC	126	3	133	0	0	0	170	4
GTEX-1QCLZ	68	2	70	0	0	1	78	2
GTEX-1RB15	128	2	116	1	0	5	111	3
GTEX-13PVR	59	2	59	0	0	4	73	0
GTEX-1314G	251	5	208	0	2	9	251	4
GTEX-ZTPG	107	2	108	0	0	0	116	2
GTEX-PLZ6	92	2	71	2	0	3	92	2
GTEX-YB5K	111	4	113	0	0	3	157	0
GTEX-13SLW	45	2	46	0	0	2	52	0
GTEX-16GPK	96	5	99	0	0	0	103	0
GTEX-11TT1	43	0	46	0	0	0	55	0
GTEX-18A7A	214	11	243	1	0	0	261	0
GTEX-1RQED	218	8	246	0	0	0	280	1
GTEX-1GZ4I	138	6	135	0	0	2	166	0
GTEX-1PBJJ	151	9	165	0	2	1	190	3
GTEX-13OW8	98	2	71	0	0	4	95	1
GTEX-R55G	19	0	17	0	0	0	22	1
GTEX-145MH	118	2	122	0	0	0	134	0
GTEX-1E2YA	127	3	134	1	2	9	167	2
GTEX-11GSP	96	5	90	2	0	5	110	1
GTEX-1F5PK	224	5	170	0	2	4	232	3
GTEX-12WSJ	59	2	51	0	1	2	70	1
GTEX-1LVAM	146	3	162	0	1	7	162	0
GTEX-133LE	73	6	79	0	0	1	110	1
GTEX-1R9PO	100	2	113	0	0	1	112	2
GTEX-16XZZ	113	3	127	0	1	4	131	6
GTEX-14PII	143	2	127	0	1	5	164	4
GTEX-WOFM	255	5	223	1	1	15	249	8
GTEX-RWSA	159	4	136	0	0	0	187	4
GTEX-1C4CL	101	4	108	0	0	3	133	2
GTEX-1A8G6	198	4	176	0	0	2	237	1
GTEX-13VXU	166	9	171	0	0	0	215	0
GTEX-15SHV	72	3	90	0	0	2	99	1
GTEX-18465	130	7	141	1	0	0	161	0
GTEX-RN64	183	13	183	0	0	2	247	2
GTEX-15SB6	142	3	145	1	0	3	153	2
GTEX-R55C	111	2	91	0	0	5	100	1
GTEX-1MCQQ	84	2	99	3	0	5	103	4
GTEX-1GF9U	95	5	92	3	0	2	113	1
GTEX-OXRL	86	6	97	0	0	0	108	0
GTEX-11NSD	56	1	44	1	0	3	54	0
GTEX-14PJM	167	8	165	0	0	0	201	1
GTEX-117XS	135	10	127	0	0	1	156	1
GTEX-1B8KZ	167	8	168	0	1	0	207	0
GTEX-1445S	125	4	145	0	0	0	150	0
GTEX-11ONC	100	3	98	0	0	2	134	3
GTEX-14LLW	201	4	187	0	0	6	235	6
GTEX-13QIC	44	1	43	2	0	1	49	2
GTEX-11I78	45	2	46	0	0	1	64	0
GTEX-Z93S	152	5	134	5	0	4	159	4
GTEX-1GN1U	106	0	99	0	0	6	136	3
GTEX-X4EO	262	13	268	1	0	1	297	0
GTEX-111YS	37	1	54	1	0	1	59	0
GTEX-14H4A	122	3	121	0	0	8	128	3
GTEX-1CAMQ	112	5	124	0	0	1	128	0
GTEX-1B8L1	134	4	116	0	0	0	146	0
GTEX-13QJ3	236	8	221	0	2	12	254	7
GTEX-ZYFD	72	4	82	0	0	0	89	0
GTEX-ZA64	192	7	168	1	0	4	192	1
GTEX-REY6	134	4	128	0	0	5	165	4
GTEX-1JJ6O	85	6	96	0	0	4	114	5
GTEX-YECK	256	7	244	0	0	6	330	2
GTEX-OIZF	76	2	83	2	0	0	103	0
GTEX-14E6E	86	4	74	0	0	1	116	2
GTEX-15DZA	132	4	124	0	0	5	154	3
GTEX-1B8SF	228	11	203	0	0	2	227	1
GTEX-17EVP	139	8	121	1	0	4	165	0
GTEX-147GR	182	11	170	0	0	2	198	0
GTEX-13CF3	60	5	70	2	0	1	80	0
GTEX-ZVT4	128	3	119	4	0	5	123	1
GTEX-12WSF	203	1	186	1	0	7	246	6
GTEX-QESD	83	1	89	0	0	2	80	0
GTEX-1A8G7	117	7	105	0	0	1	142	0
GTEX-TKQ2	203	4	170	4	1	6	186	1
GTEX-14DAQ	288	8	251	7	0	3	297	0
GTEX-WFG7	20	1	18	0	0	0	24	0
GTEX-ZEX8	87	3	106	0	0	1	126	2
GTEX-15RIE	59	0	56	0	0	0	68	1
GTEX-PX3G	64	1	71	1	0	0	82	0
GTEX-1R7EV	84	3	95	0	0	5	106	4
GTEX-U3ZH	102	3	112	0	0	0	135	1
GTEX-YFC4	184	11	177	0	0	2	228	0
GTEX-1JKYR	146	3	131	0	0	6	133	4
GTEX-14BIM	147	9	133	5	1	2	165	2
GTEX-Y5V6	57	0	59	0	0	2	55	1
GTEX-PW2O	38	1	37	0	0	1	59	1
GTEX-13NZB	93	7	81	0	0	2	113	0
GTEX-17HHY	101	3	106	0	0	2	105	1
GTEX-OXRN	151	3	142	0	0	6	189	0
GTEX-1QP28	69	4	92	0	0	2	85	1
GTEX-XV7Q	101	5	109	0	0	1	110	1
GTEX-13OW7	92	5	87	1	0	4	99	2
