individual	chr1:228368871:228369136:cluster60293	chr1:228368894:228369049:cluster60293	chr1:228368894:228369136:cluster60293	chr1:228368894:228369942:cluster60293	chr1:228369162:228369904:cluster60293	chr1:228369162:228369942:cluster60293
GTEX-1CAMQ	5	0	823	0	1	714
GTEX-144FL	1	0	429	0	2	370
GTEX-ZA64	5	0	836	0	8	751
GTEX-ZVE1	4	0	677	0	1	611
GTEX-17JCI	6	0	832	0	7	755
GTEX-Y8LW	8	0	1013	0	8	897
GTEX-12ZZX	4	0	581	0	5	519
GTEX-YECK	2	0	295	0	0	270
GTEX-WHSE	2	0	567	0	2	498
GTEX-14XAO	2	0	252	0	1	229
GTEX-1GN2E	4	0	624	0	2	552
GTEX-1JMQK	1	0	360	0	3	298
GTEX-ZZPU	2	0	754	0	4	682
GTEX-14E6E	5	0	1015	0	4	901
GTEX-ZGAY	3	0	1047	0	5	938
GTEX-14C39	4	0	414	0	3	367
GTEX-17EVP	3	0	627	0	6	581
GTEX-147GR	1	0	590	0	3	520
GTEX-1F48J	10	0	1177	0	6	1029
GTEX-ZVT4	4	0	598	0	2	544
GTEX-1R9JW	5	0	942	0	1	872
GTEX-16NPV	3	0	612	0	1	565
GTEX-11O72	4	0	589	0	1	497
GTEX-13X6K	3	0	460	0	4	417
GTEX-1A8G7	5	0	701	0	2	613
GTEX-1B932	4	0	1116	0	8	1060
GTEX-TKQ2	8	0	1343	0	6	1218
GTEX-WFG7	1	0	272	0	2	243
GTEX-ZEX8	5	0	876	0	3	746
GTEX-WL46	3	0	927	0	3	881
GTEX-1GF9V	5	0	782	0	4	684
GTEX-1R7EV	7	0	832	0	4	760
GTEX-1477Z	1	0	255	0	2	214
GTEX-17F98	3	0	600	0	3	566
GTEX-Y5V6	1	0	563	0	3	513
GTEX-PW2O	3	0	380	0	2	323
GTEX-ZVE2	2	0	650	0	5	615
GTEX-13PVQ	3	0	812	0	5	737
GTEX-13O3P	1	0	332	0	0	294
GTEX-1QP67	3	0	548	0	0	490
GTEX-ZVT3	4	0	747	0	2	685
GTEX-XV7Q	3	0	372	0	1	340
GTEX-13OW7	7	0	872	0	7	762
