individual	chr7:128849517:128850384:cluster14560	chr7:128849543:128850384:cluster14560	chr7:128849578:128849976:cluster14560	chr7:128849578:128850384:cluster14560	chr7:128849578:128850803:cluster14560	chr7:128850074:128850384:cluster14560	chr7:128850483:128850803:cluster14560
GTEX-11ZUS	0	0	46	1931	0	50	2421
GTEX-P44G	0	2	24	1835	0	29	2195
GTEX-139UW	0	0	43	1683	0	24	2124
GTEX-13N2G	0	0	145	9191	1	137	10774
GTEX-XGQ4	0	2	32	1664	0	26	2021
GTEX-WYJK	0	1	46	2715	0	49	3116
GTEX-R3RS	0	1	80	3690	0	105	4278
GTEX-1B97I	0	0	37	2282	1	47	2680
GTEX-17GQL	1	2	98	5600	0	119	6824
GTEX-11GSO	0	0	25	965	0	24	1159
GTEX-1FIGZ	0	0	25	1913	0	30	2318
GTEX-OXRK	0	0	56	2314	0	58	2943
GTEX-13FTW	0	0	25	2196	0	37	2655
GTEX-17HII	0	1	12	725	0	13	872
GTEX-ZZ64	1	0	32	2081	0	46	2535
GTEX-17HGU	0	0	60	3667	0	75	4091
GTEX-1R46S	0	0	17	830	0	19	1120
GTEX-ZV68	0	0	42	2431	0	54	2998
GTEX-1KWVE	0	0	62	2473	0	53	2910
GTEX-17EVQ	0	1	47	1920	0	42	2414
GTEX-ZF3C	0	2	102	3764	1	86	4368
GTEX-PWCY	0	0	80	4965	0	91	6359
GTEX-SJXC	0	0	29	1612	0	36	1846
GTEX-1GMRU	0	0	31	1933	0	55	2536
GTEX-1A3MW	0	0	50	2111	0	57	2624
GTEX-13FH7	0	1	56	2670	0	58	3470
GTEX-YEC3	0	0	38	2616	0	48	3271
GTEX-1AMFI	0	0	37	2303	0	65	2752
GTEX-1LVA9	0	0	55	2300	0	69	2868
GTEX-1LSNM	0	1	47	4619	0	83	5622
GTEX-1RAZA	0	0	67	3803	0	69	4552
GTEX-13OVH	0	1	24	1331	0	36	1678
GTEX-T2IS	0	0	74	3282	0	90	3733
GTEX-145MO	1	0	66	2945	0	65	3878
GTEX-WYVS	0	0	38	2350	0	43	2762
GTEX-16BQI	0	0	73	3848	0	59	4875
GTEX-117YW	0	1	65	2719	0	74	3240
GTEX-16MT8	0	3	59	3440	0	70	4273
GTEX-111VG	0	0	39	1684	0	38	2004
GTEX-1F6IF	0	0	62	2261	0	62	2929
GTEX-1F7RK	0	0	19	1285	1	27	1560
GTEX-YJ8O	0	3	30	1816	0	38	2206
GTEX-1QEPI	0	2	32	1797	0	50	2209
GTEX-ZC5H	0	1	72	3126	0	88	3911
GTEX-Y9LG	0	0	23	1582	0	28	1941
GTEX-1EWIQ	0	0	21	1290	0	32	1635
GTEX-11EI6	0	0	28	1488	1	44	1950
GTEX-17KNJ	0	0	51	2058	0	56	2648
GTEX-1A8FM	0	0	39	1570	0	44	1879
GTEX-V1D1	0	0	22	1615	0	33	1924
GTEX-15RIF	0	1	42	3384	0	49	4050
GTEX-1M5QR	0	0	63	5266	1	94	6356
GTEX-XPVG	0	0	43	2280	0	59	2644
GTEX-V955	0	0	67	3628	0	59	4485
GTEX-1JN6P	0	0	47	2007	0	58	2528
GTEX-P4PQ	0	0	55	2346	0	67	2870
GTEX-1AMEY	0	0	90	4289	0	113	5048
GTEX-1IDJF	0	0	72	4289	0	66	5428
GTEX-1GN73	0	3	29	1845	0	32	2360
GTEX-RTLS	0	0	68	2293	0	60	2847
GTEX-1S82Y	0	0	45	2364	0	52	3064
GTEX-ZTPG	0	1	83	3750	0	86	4398
GTEX-QVUS	0	0	12	719	0	15	914
GTEX-15CHR	0	0	46	2425	0	57	2900
GTEX-132Q8	0	0	18	1705	0	28	2075
GTEX-13112	0	0	26	1445	0	36	1747
GTEX-18A7A	0	0	60	3550	0	79	4386
GTEX-ZAK1	0	0	24	1163	0	30	1487
GTEX-1PBJJ	0	0	71	3110	0	80	3820
GTEX-13OW8	0	1	25	1239	0	36	1544
GTEX-1E2YA	0	0	39	2407	0	41	2872
GTEX-16XZY	0	1	46	2089	0	58	2376
GTEX-1F5PK	0	0	24	1502	0	40	1882
GTEX-1A3MV	0	0	28	2245	0	43	2622
GTEX-1LVAM	0	0	44	2937	0	62	3428
GTEX-133LE	0	0	53	2794	1	63	3361
GTEX-O5YV	0	0	71	2800	0	59	3366
GTEX-14PII	0	0	28	1405	0	24	1711
GTEX-T8EM	0	1	53	3539	0	81	4170
GTEX-13OW6	1	0	32	1437	0	32	1810
GTEX-ZPCL	0	0	40	2257	0	44	2652
GTEX-WOFM	0	1	45	2162	0	46	2515
GTEX-RWSA	0	0	27	1276	0	25	1502
GTEX-1R7EU	0	2	28	1644	0	41	1850
GTEX-SNMC	0	0	49	3490	0	57	4056
GTEX-T6MN	0	0	18	716	0	20	924
GTEX-15SHV	0	0	70	3848	0	94	4873
GTEX-14PJ2	0	1	24	1223	0	27	1662
GTEX-1QP66	0	0	107	5853	3	147	7253
GTEX-1GZHY	0	0	35	1649	0	40	2148
GTEX-147JS	0	2	31	1181	0	32	1475
GTEX-QCQG	0	0	58	3183	0	54	3676
GTEX-R55C	0	0	37	1527	0	41	1865
GTEX-1MCQQ	0	0	24	1719	0	26	2106
GTEX-OXRL	0	0	63	2911	0	61	3821
GTEX-11NSD	0	0	36	2219	0	36	2572
GTEX-14PJM	0	0	41	1719	0	45	2164
GTEX-117XS	0	0	33	1975	0	38	2327
GTEX-1445S	0	0	34	1502	0	32	1839
GTEX-1BAJH	0	1	52	1902	0	50	2417
GTEX-11ONC	0	0	35	1524	0	41	1864
GTEX-14LLW	0	0	34	1863	0	43	2298
GTEX-13QIC	0	1	43	2375	0	52	2769
GTEX-11ZTT	0	2	55	3203	0	57	3944
GTEX-12KS4	0	0	47	1946	0	51	2225
GTEX-1GPI6	0	2	24	1137	0	22	1437
GTEX-Z93S	1	0	52	2297	0	50	2715
GTEX-1GN1U	0	1	29	1180	0	30	1432
GTEX-X4EO	0	0	49	3013	0	42	3474
GTEX-111YS	0	1	48	2647	0	30	3135
GTEX-13111	0	0	34	2077	0	40	2582
GTEX-14H4A	0	0	34	1598	0	42	2058
GTEX-1CAMQ	0	1	28	1566	0	40	2066
GTEX-1B8L1	0	0	32	1482	0	39	1801
GTEX-ZYFD	0	2	20	1267	0	25	1603
GTEX-14JG1	0	0	34	1910	0	46	2423
GTEX-17JCI	0	1	23	1801	0	52	2176
GTEX-12ZZX	0	1	34	1668	0	37	2169
GTEX-YECK	0	0	16	666	0	17	825
GTEX-OIZF	0	0	86	3453	0	97	4433
GTEX-1GN2E	0	0	24	1240	0	26	1620
GTEX-ZZPU	0	0	34	1729	0	51	1997
GTEX-15DZA	0	0	84	5004	0	98	6249
GTEX-ZGAY	0	1	25	2123	0	43	2625
GTEX-14C39	0	1	73	3116	0	78	3820
GTEX-17EVP	0	1	45	2190	0	47	2667
GTEX-147GR	0	0	29	1222	0	32	1562
GTEX-1F48J	0	0	54	2733	0	66	3440
GTEX-ZVT4	0	0	24	1325	0	25	1462
GTEX-1R9K5	0	0	76	3802	0	93	4650
GTEX-12WSF	0	0	16	684	0	10	854
GTEX-1CB4I	0	0	29	1749	0	27	2173
GTEX-SE5C	0	0	22	1968	0	40	2308
GTEX-13X6K	0	0	30	1602	0	41	2112
GTEX-Q734	0	1	39	2913	0	65	3277
GTEX-1EX96	0	0	55	2824	0	62	3712
GTEX-14DAQ	0	1	68	3399	0	67	4532
GTEX-ZEX8	0	0	87	3451	0	79	4146
GTEX-1GF9V	0	0	51	3125	3	62	3849
GTEX-1RAZQ	0	1	66	4455	0	75	5249
GTEX-PX3G	0	0	26	927	0	21	1215
GTEX-13FHO	0	0	31	1171	0	31	1363
GTEX-RUSQ	0	0	15	1264	0	20	1592
GTEX-U3ZH	0	0	71	4196	1	99	4785
GTEX-1JKYR	1	1	108	4641	0	136	5796
GTEX-14BIM	0	0	45	2451	0	40	3137
GTEX-Y5V6	0	0	24	1749	0	27	2071
GTEX-VJWN	0	1	38	1965	0	36	2372
GTEX-ZF29	1	0	59	3084	0	70	3727
GTEX-1CB4J	0	1	21	1341	0	25	1793
GTEX-13NZB	0	0	36	2146	1	49	2582
GTEX-13PVQ	0	0	29	1611	0	26	2078
GTEX-17HHY	0	0	23	1253	0	30	1500
GTEX-Z9EW	0	0	24	1559	0	25	1868
GTEX-11GS4	0	0	28	1131	0	29	1501
GTEX-ZVT3	0	0	42	2065	0	54	2642
GTEX-OXRN	0	0	70	3915	0	77	4558
GTEX-S95S	0	0	19	891	0	24	1116
GTEX-1QP28	0	0	32	2060	0	34	2374
