individual	chr12:120560886:120562945:cluster87054	chr12:120560886:120565072:cluster87054	chr12:120563070:120563332:cluster87054	chr12:120563070:120563347:cluster87054	chr12:120563623:120563810:cluster87054	chr12:120563623:120563816:cluster87054	chr12:120563943:120565072:cluster87054	chr12:120565529:120566825:cluster87054	chr12:120565529:120571191:cluster87054	chr12:120566980:120571172:cluster87054	chr12:120566980:120571191:cluster87054	chr12:120566980:120575631:cluster87054	chr12:120571291:120574468:cluster87054	chr12:120571291:120575631:cluster87054	chr12:120574537:120575631:cluster87054	chr12:120575950:120576590:cluster87054	chr12:120575950:120576593:cluster87054
GTEX-15SHU	437	5	79	540	488	5	593	425	5	2	485	17	0	435	2	377	5
GTEX-11TTK	294	2	48	344	351	1	403	316	0	2	424	24	0	351	2	387	3
GTEX-TMZS	199	1	27	217	204	3	224	216	2	0	263	16	1	212	2	185	0
GTEX-1LC47	685	5	92	749	784	3	896	730	2	10	818	48	5	747	7	671	6
GTEX-14753	373	0	73	479	477	0	533	377	3	4	464	26	1	388	1	362	5
GTEX-1MJK3	758	2	84	888	838	8	908	743	2	8	817	31	3	835	8	711	13
GTEX-13PL6	346	0	54	421	395	4	428	369	0	0	380	20	0	329	1	297	2
GTEX-13FTX	819	5	146	1071	896	8	1106	1016	4	4	1034	45	2	970	2	1006	11
GTEX-14DAR	499	3	97	553	639	1	729	633	1	5	677	27	1	596	1	612	4
GTEX-ZDXO	326	2	71	405	329	1	437	378	3	1	377	18	1	303	2	311	5
GTEX-11EMC	323	1	45	436	412	4	442	428	0	5	435	29	2	342	1	339	3
GTEX-15UF7	1229	2	230	1405	1371	7	1375	1134	5	9	1281	65	5	1238	5	1176	11
GTEX-P4PP	280	2	56	390	326	1	368	316	1	0	366	18	1	280	2	249	5
GTEX-1PPGY	874	9	146	930	880	2	931	787	1	4	918	47	7	788	4	746	2
GTEX-13RTK	662	3	129	778	722	3	759	640	0	6	653	56	3	577	3	617	6
GTEX-PWN1	299	0	65	374	331	3	364	306	0	1	371	19	2	277	5	270	1
GTEX-1A32A	430	1	67	440	498	3	576	466	1	0	473	31	3	380	1	430	1
GTEX-1C6VQ	513	3	123	495	549	5	575	474	2	2	561	28	3	498	1	506	6
GTEX-14PJ4	527	1	103	632	605	7	738	639	0	3	604	45	1	524	3	570	3
GTEX-1F75B	456	2	75	612	632	4	643	556	2	3	554	35	0	462	0	468	9
GTEX-1QP6S	624	3	86	742	720	7	718	723	0	1	784	41	4	681	3	624	7
GTEX-11NUK	456	1	71	550	507	3	544	438	0	0	489	29	1	417	1	493	6
GTEX-131YS	496	2	57	588	550	3	591	463	0	4	513	22	1	481	2	472	3
GTEX-14PJN	478	3	67	555	459	4	520	473	3	3	478	24	2	467	2	444	3
GTEX-XQ8I	280	2	35	346	329	4	362	330	2	3	368	23	2	294	2	291	1
GTEX-147F4	454	4	70	613	579	1	666	540	0	2	599	36	0	485	2	500	9
GTEX-1AX9K	511	1	67	629	561	0	625	545	3	5	557	39	2	451	1	488	1
GTEX-11VI4	542	0	82	605	653	1	629	496	1	4	523	28	2	479	2	527	8
GTEX-XUW1	302	2	38	328	325	3	353	336	1	4	396	10	0	308	2	289	4
GTEX-WZTO	518	3	75	701	598	4	725	649	3	2	738	33	4	583	2	595	1
GTEX-XQ3S	450	3	79	494	545	0	611	507	1	2	571	32	1	407	2	424	1
GTEX-1C6WA	743	8	128	862	764	5	930	771	2	6	864	60	1	704	4	759	5
GTEX-XUZC	901	4	163	1076	1059	5	1186	1002	9	5	1226	73	0	1040	4	1003	14
GTEX-18A7B	491	3	102	649	657	4	612	551	1	0	649	43	0	590	3	525	6
GTEX-XBEW	1167	4	144	1332	1248	9	1494	1310	6	9	1393	74	6	1157	3	1161	3
GTEX-145LU	519	1	94	699	584	2	655	500	0	0	632	33	6	522	3	522	5
GTEX-13X6J	750	4	127	888	889	1	959	731	3	2	817	43	2	622	4	687	7
GTEX-1LNCM	315	2	45	352	372	4	429	367	2	0	416	28	0	375	1	379	7
GTEX-1KD5A	592	2	94	655	724	4	766	668	1	2	700	39	2	663	2	601	5
GTEX-1LSNL	352	0	53	467	430	3	460	369	1	0	406	23	0	442	1	396	0
GTEX-1S83E	959	2	199	1171	1048	2	1244	1012	5	8	988	72	5	982	4	928	12
GTEX-1NUQO	775	2	171	808	913	7	966	769	1	4	850	38	3	808	2	808	4
GTEX-ZUA1	470	3	91	606	592	3	542	546	1	0	540	22	2	459	3	455	2
GTEX-18A6Q	766	6	150	925	868	4	971	760	0	5	885	43	1	800	3	747	7
GTEX-17EUY	992	7	165	1205	1050	9	1370	1048	2	11	1172	59	4	1079	8	1065	10
GTEX-1LGOU	654	3	102	680	734	5	728	660	1	4	767	27	4	680	8	575	4
GTEX-1L5NE	811	6	142	896	1004	2	940	757	0	10	896	33	4	784	6	814	6
GTEX-1MCYP	832	2	111	942	813	3	928	756	4	2	858	45	4	776	5	685	8
GTEX-13FTY	382	0	46	511	454	2	529	437	3	3	529	23	3	385	3	501	4
GTEX-15ETS	969	2	141	1024	1030	7	1033	954	0	8	940	37	3	871	5	918	8
GTEX-1PPH7	631	4	103	759	777	4	889	678	0	0	857	60	1	720	0	730	11
GTEX-1212Z	544	2	102	649	588	0	701	562	2	3	535	27	0	505	2	501	4
GTEX-1GPI7	881	2	178	1075	1107	4	1123	865	3	6	1072	31	0	891	5	860	11
GTEX-1S82P	473	1	61	550	492	3	598	456	3	3	552	17	3	514	11	472	6
GTEX-Y8DK	637	5	117	785	784	4	878	727	3	6	760	34	3	584	5	608	3
GTEX-OHPL	669	0	108	936	760	3	940	764	3	3	926	39	3	729	4	715	6
GTEX-TSE9	371	1	72	460	458	3	487	510	4	1	533	36	1	486	2	491	9
GTEX-W5WG	558	1	68	706	636	5	690	570	2	1	662	26	4	548	2	557	6
GTEX-PLZ5	506	2	96	766	710	3	775	683	3	4	764	44	3	612	5	699	5
GTEX-13O3O	446	0	81	478	491	0	556	521	0	4	491	12	0	430	1	484	4
GTEX-1C2JI	613	4	132	730	684	3	776	633	1	4	682	39	2	610	4	596	6
GTEX-1K2DA	1582	10	289	1879	2013	11	2032	1631	6	10	1839	65	11	1835	8	1669	26
GTEX-18D9A	980	4	156	1023	1045	9	1090	862	1	5	1024	52	2	950	6	810	9
GTEX-ZF2S	511	0	69	636	499	3	567	517	2	3	553	30	2	476	1	475	4
GTEX-ZV6S	934	3	195	1123	993	4	1123	898	6	2	1078	45	1	928	6	867	14
GTEX-1QP9N	675	3	107	720	680	0	825	712	1	0	714	29	2	747	7	719	4
GTEX-1B97J	958	8	180	1074	1125	7	1203	845	2	6	1028	60	3	928	5	985	18
GTEX-131XF	486	6	87	503	578	1	610	601	0	2	582	36	3	557	2	558	0
GTEX-1F75A	673	3	128	951	804	3	884	710	4	6	844	41	2	822	1	795	5
GTEX-P44G	241	3	54	293	270	2	308	293	2	0	282	27	2	253	0	254	2
GTEX-139UW	555	1	108	637	608	3	680	613	0	3	581	38	3	537	5	574	8
GTEX-13N2G	791	2	114	1049	964	8	1114	939	3	0	914	43	4	782	7	803	9
GTEX-146FQ	606	9	101	860	767	5	872	718	3	1	780	44	2	677	5	787	11
GTEX-XGQ4	321	0	63	348	382	1	405	371	1	2	405	19	1	351	6	319	8
GTEX-13U4I	480	3	59	628	553	3	619	501	2	1	651	22	4	543	10	572	3
GTEX-13G51	371	4	58	468	482	1	483	411	1	2	443	21	0	418	0	464	2
GTEX-RNOR	348	4	46	431	451	3	486	475	1	2	478	20	0	406	4	446	3
GTEX-WYJK	704	1	98	872	903	2	1020	933	9	9	980	80	2	906	5	874	9
GTEX-ZDTS	378	0	68	410	372	2	455	373	1	0	386	19	2	316	2	342	5
GTEX-1B97I	1064	2	215	1195	1186	5	1401	1103	4	3	1203	29	3	1037	11	974	17
GTEX-1A3MX	763	4	172	861	949	7	980	801	4	6	887	62	1	880	11	804	5
GTEX-XOT4	460	0	57	529	507	0	518	496	1	5	618	24	1	470	0	464	5
GTEX-PLZ4	192	0	14	229	210	3	239	201	1	1	247	13	0	208	2	214	3
GTEX-17GQL	896	2	183	965	1087	4	1115	964	6	4	945	61	8	844	11	855	4
GTEX-OXRK	413	4	82	587	497	2	542	456	5	4	547	24	1	467	0	406	3
GTEX-15RIG	655	5	108	786	880	5	898	800	1	2	743	47	5	655	5	707	6
GTEX-WRHK	746	2	123	956	825	4	1034	859	2	7	996	51	1	828	5	822	5
GTEX-QEG5	873	0	159	1210	1013	5	1269	1025	3	6	1214	70	0	969	6	955	7
GTEX-1339X	971	2	197	1290	1206	7	1326	1070	2	11	1171	55	4	992	10	1056	6
GTEX-13RTL	547	3	147	701	781	2	763	684	3	7	722	40	0	633	1	674	1
GTEX-15G1A	1203	6	266	1574	1377	6	1612	1270	6	5	1430	79	3	1164	8	1096	12
GTEX-17HGU	491	0	96	496	561	1	620	465	3	4	521	22	1	493	3	517	2
GTEX-1JMQI	566	2	71	761	784	4	871	728	1	4	774	61	1	784	4	759	10
GTEX-1R46S	342	0	87	444	418	0	524	397	1	0	489	25	5	415	3	435	4
GTEX-ZV68	399	0	59	524	467	3	555	440	2	3	455	31	1	395	1	437	5
GTEX-11UD2	404	4	75	476	464	0	526	387	1	5	448	24	0	362	0	416	2
GTEX-1KWVE	648	5	86	717	702	0	747	604	1	3	627	40	4	629	1	541	3
GTEX-1CB4F	411	1	63	537	496	1	561	463	0	0	560	21	2	541	5	481	2
GTEX-ZF3C	661	2	124	727	673	0	804	664	4	6	742	25	0	639	0	709	9
GTEX-PWCY	684	0	109	814	850	6	932	689	0	6	747	29	5	683	1	692	5
GTEX-Y111	423	1	62	510	442	1	589	545	3	2	563	15	2	481	2	453	4
GTEX-1A3MW	379	2	60	463	429	3	463	411	3	2	428	31	0	398	1	407	2
GTEX-X261	616	1	134	769	778	3	889	735	6	9	888	54	3	702	8	746	6
GTEX-OIZH	747	4	131	1011	887	1	968	832	1	10	935	60	2	799	2	831	5
GTEX-YEC3	940	2	199	1101	1037	10	1166	1025	5	7	1102	53	4	880	5	1031	10
GTEX-1269C	362	2	47	481	452	3	472	379	2	1	403	33	0	358	0	387	3
GTEX-1AMFI	627	5	91	798	731	8	743	644	3	4	727	39	5	607	0	610	3
GTEX-11ZU8	416	0	51	481	427	3	463	436	0	4	457	38	0	402	1	363	5
GTEX-1R9PM	986	3	185	1117	1138	7	1381	1033	4	8	1238	112	8	1173	9	1193	15
GTEX-1LVA9	504	2	68	634	665	2	742	644	3	3	628	59	2	598	3	636	10
GTEX-1192X	391	0	58	482	365	3	463	433	5	2	425	18	1	361	4	369	4
GTEX-1LSNM	1302	6	187	1559	1428	7	1856	1468	11	7	1592	105	9	1354	11	1415	16
GTEX-1MUQO	827	2	155	990	870	2	964	876	3	3	891	40	5	835	3	771	11
GTEX-15D79	504	0	87	680	641	4	687	535	1	3	544	30	1	508	3	595	7
GTEX-1RAZA	820	4	155	955	1021	2	1040	861	7	0	946	53	4	925	9	849	7
GTEX-13OVH	441	3	71	595	531	6	587	499	1	5	493	21	1	467	4	487	4
GTEX-11ZTS	361	2	47	403	410	4	468	344	1	0	370	23	0	314	1	401	4
GTEX-145MO	491	3	101	609	506	4	575	533	1	1	581	25	2	436	1	434	4
GTEX-16BQI	1125	6	233	1104	1131	6	1231	1029	2	2	1215	57	7	1117	8	998	11
GTEX-13N1W	457	2	84	547	511	2	595	463	1	1	520	19	5	402	1	428	5
GTEX-117YW	488	3	86	564	480	2	593	505	0	0	568	30	2	475	3	449	1
GTEX-16MT8	603	2	125	626	604	4	718	548	1	2	647	29	1	591	3	574	5
GTEX-1AX9J	643	3	135	682	693	3	818	668	1	2	638	48	5	597	10	609	7
GTEX-1F7RK	551	1	66	657	626	2	703	590	2	3	645	35	2	647	3	670	4
GTEX-YJ8O	324	1	67	471	412	1	440	377	0	1	415	19	0	375	1	374	9
GTEX-1QEPI	824	9	186	992	996	4	1180	953	5	11	1062	90	1	958	3	930	9
GTEX-Y9LG	541	0	90	693	624	3	789	711	6	2	694	40	1	568	4	628	3
GTEX-1EWIQ	500	4	98	668	696	2	777	619	0	4	748	45	4	667	5	699	9
GTEX-11EI6	447	0	51	559	513	0	558	429	1	2	513	31	0	421	2	495	5
GTEX-17KNJ	637	3	99	733	711	6	788	620	1	3	631	50	2	602	8	685	10
GTEX-QDT8	463	0	78	588	587	1	746	568	3	5	679	29	0	584	3	580	3
GTEX-15RIF	1352	2	257	1722	1651	8	2022	1520	6	14	1685	88	4	1579	5	1445	19
GTEX-1M5QR	1108	3	147	1319	1140	5	1452	1056	3	12	1163	71	4	1050	4	1074	11
GTEX-XPVG	688	3	138	892	840	5	963	795	4	4	1009	60	4	790	6	758	6
GTEX-1JN6P	582	5	78	698	732	4	721	625	1	2	689	27	2	670	1	633	8
GTEX-P4PQ	690	7	111	957	826	3	972	743	5	4	939	55	3	734	2	690	3
GTEX-1AMEY	741	1	123	906	859	3	1001	856	1	2	977	41	3	899	2	987	14
GTEX-11LCK	371	2	71	458	426	1	470	409	0	2	463	29	3	411	0	385	4
GTEX-OXRP	178	0	44	283	221	1	268	215	1	2	246	19	0	200	0	203	0
GTEX-1S82Y	746	3	152	911	854	5	1017	778	4	6	847	47	3	778	3	736	5
GTEX-18A66	663	1	82	791	662	2	791	651	3	2	749	28	0	667	2	566	8
GTEX-1QAET	674	1	90	788	836	5	851	864	2	2	835	43	5	821	5	698	3
GTEX-1RB15	686	3	123	782	808	6	903	786	2	5	927	54	3	852	5	738	5
GTEX-13PVR	311	3	55	346	396	5	455	377	1	0	384	14	4	328	2	286	2
GTEX-1314G	351	3	71	416	422	1	442	368	0	2	401	9	0	356	1	351	3
GTEX-ZTPG	418	2	59	488	464	1	454	403	0	1	464	29	2	455	1	397	0
GTEX-PLZ6	220	0	39	230	238	0	255	198	0	2	252	15	0	205	2	179	0
GTEX-1399U	481	0	107	554	527	2	610	507	2	4	521	19	3	471	5	462	3
GTEX-QDVN	472	2	91	624	587	2	668	618	0	6	700	36	3	518	3	534	7
GTEX-1PDJ9	984	6	126	1130	1066	7	1135	926	0	10	1112	53	2	1056	7	927	8
GTEX-16GPK	457	2	88	470	477	1	553	483	3	0	511	20	5	423	1	420	0
GTEX-1PIEJ	1166	7	255	1284	1302	5	1397	1105	3	7	1269	118	8	1151	7	1094	14
GTEX-15CHR	584	6	83	665	777	5	903	752	1	2	710	36	5	634	4	663	5
GTEX-13112	445	2	75	555	518	3	524	454	2	1	507	25	2	477	3	479	4
GTEX-18A7A	547	3	73	660	620	2	706	490	0	3	581	27	1	587	4	476	5
GTEX-WHSB	1318	6	258	1641	1451	4	1654	1387	3	15	1561	74	5	1156	10	1248	20
GTEX-ZAK1	340	1	51	436	388	1	497	442	1	2	466	16	0	349	2	348	2
GTEX-1GZ4I	789	5	109	903	936	5	938	689	1	5	835	48	4	818	3	802	10
GTEX-1PBJJ	686	7	100	788	771	8	988	855	0	4	900	37	3	796	0	697	5
GTEX-1QP2A	582	1	92	646	579	0	716	589	0	6	670	39	1	567	4	465	6
GTEX-16XZY	401	2	62	540	481	1	548	437	0	4	484	34	1	468	3	438	5
GTEX-13X6H	571	1	142	671	738	2	830	707	0	0	703	27	1	590	10	627	7
GTEX-OIZG	858	10	190	1149	962	6	1143	886	5	5	1073	58	2	883	3	813	6
GTEX-11GSP	331	3	57	343	394	3	411	366	1	0	375	21	1	369	0	367	0
GTEX-N7MS	420	1	66	521	451	1	554	525	0	0	582	36	1	506	2	454	6
GTEX-1A3MV	656	1	79	853	814	7	906	767	2	0	876	42	0	748	10	761	7
GTEX-1IDJE	1098	9	195	1310	1298	10	1447	1087	6	8	1259	95	5	1241	7	1309	20
GTEX-1LVAM	592	0	88	721	700	5	802	688	3	9	719	41	1	642	3	682	10
GTEX-133LE	551	1	85	640	661	3	735	559	0	5	597	30	1	488	1	528	9
GTEX-1R9PO	582	0	86	571	663	4	762	634	2	4	680	37	4	645	7	600	3
GTEX-16XZZ	625	1	152	806	858	2	959	853	0	6	940	47	5	803	3	886	10
GTEX-1K2DU	836	0	175	956	1037	1	1101	899	2	7	1044	44	5	910	11	893	8
GTEX-O5YV	486	2	64	644	604	4	758	578	0	3	623	25	4	515	1	596	2
GTEX-14PII	383	3	58	454	453	3	472	451	4	0	470	35	1	323	3	400	1
GTEX-15ER7	1209	3	165	1488	1413	10	1556	1231	0	4	1483	76	3	1159	7	1111	14
GTEX-17HHE	411	3	88	491	476	4	520	456	0	5	477	28	0	429	3	395	5
GTEX-ZPCL	470	1	104	613	571	2	597	493	1	2	525	25	4	443	3	501	5
GTEX-WOFM	876	6	197	1032	1122	5	1289	1124	4	2	1178	115	6	1000	10	988	9
GTEX-1LG7Z	792	13	132	865	859	3	998	845	3	0	849	43	4	796	6	750	12
GTEX-1C4CL	1206	4	238	1454	1484	8	1563	1286	6	3	1350	79	10	1167	9	1218	12
GTEX-U3ZM	752	4	142	1047	919	9	948	858	3	5	1047	29	6	833	6	800	5
GTEX-1A8G6	516	2	65	662	607	5	634	594	2	2	636	30	0	522	5	537	6
GTEX-14PN4	411	1	100	527	553	3	618	512	3	1	540	39	2	438	9	555	4
GTEX-WFON	969	1	209	1099	1041	3	1269	1063	4	3	1301	59	1	1016	5	902	9
GTEX-15SHV	567	4	86	620	577	0	681	518	1	5	594	29	0	478	3	549	2
GTEX-18465	615	8	104	848	815	4	849	680	1	1	740	30	2	594	4	742	5
GTEX-1128S	492	7	105	634	601	4	701	521	1	2	564	34	5	537	1	603	4
GTEX-RN64	344	3	60	452	440	4	494	451	0	6	486	23	1	400	0	395	4
GTEX-1QP66	1046	7	126	1296	1238	5	1368	1091	3	5	1215	93	3	1225	5	1106	7
GTEX-147JS	364	0	53	420	394	2	429	385	0	3	355	19	0	322	0	346	2
GTEX-15SB6	716	1	131	895	809	4	864	687	3	3	753	57	3	674	1	670	6
GTEX-QCQG	836	4	168	829	911	1	1003	836	6	5	914	55	3	900	0	769	6
GTEX-144GL	353	1	66	453	423	2	403	409	1	6	405	22	0	357	3	382	0
GTEX-14PJ6	600	1	111	718	724	2	860	596	2	0	664	31	2	649	6	654	8
GTEX-1MCQQ	451	2	80	462	515	2	559	464	1	2	523	40	5	484	3	402	1
GTEX-1GF9U	779	10	148	952	1003	5	1032	818	4	8	925	60	4	934	1	981	9
GTEX-14PJM	458	1	84	523	562	2	571	492	2	2	473	14	2	436	2	442	6
GTEX-1B8KZ	353	3	42	465	437	1	523	422	1	6	468	22	1	454	0	440	0
GTEX-139YR	718	5	179	824	879	8	898	695	8	5	897	56	5	748	7	703	8
GTEX-1MA7W	1221	7	188	1321	1378	8	1555	1437	8	12	1690	89	14	1491	5	1339	18
GTEX-U8XE	946	0	200	1326	1309	2	1311	1185	0	5	1253	109	2	1088	4	1042	15
GTEX-1BAJH	427	0	93	481	472	3	559	462	2	0	498	26	1	408	1	402	1
GTEX-11ONC	302	0	45	298	302	1	407	330	0	0	323	17	1	312	1	291	2
GTEX-13QIC	232	3	38	318	322	2	347	283	3	0	326	14	0	261	0	300	3
GTEX-11ZTT	639	2	122	734	748	4	774	619	0	5	699	38	1	662	0	669	13
GTEX-12KS4	376	2	61	496	445	1	434	363	1	2	443	24	1	424	4	371	5
GTEX-1GMR8	511	4	67	648	644	1	707	524	2	3	616	32	2	581	2	639	4
GTEX-1GPI6	397	6	77	436	439	1	521	420	1	1	430	25	1	440	3	400	0
GTEX-Z93S	561	1	104	800	710	5	750	673	2	5	739	20	1	594	1	620	5
GTEX-1GN1U	418	1	71	473	455	1	558	447	1	0	518	18	0	431	1	368	6
GTEX-14H4A	457	0	93	615	586	6	624	511	1	2	581	29	0	527	3	521	4
GTEX-139TS	490	4	67	659	612	1	658	625	1	4	606	21	1	522	2	553	4
GTEX-144FL	472	2	81	605	518	3	567	522	2	6	586	36	5	483	4	488	6
GTEX-1B8L1	348	2	62	370	408	3	434	377	0	4	413	13	1	389	4	371	2
GTEX-ZYFD	323	6	61	398	345	1	368	351	1	3	379	35	2	343	1	301	2
GTEX-1PIIG	711	0	94	857	761	6	885	768	3	7	742	55	2	748	2	623	5
GTEX-ZVE1	478	6	71	595	534	6	601	556	2	2	556	30	0	569	1	582	3
GTEX-1JJ6O	575	4	96	743	773	4	782	605	3	2	675	29	1	661	3	574	4
GTEX-13OVK	628	2	111	776	723	6	766	617	1	2	704	60	2	625	8	661	5
GTEX-WRHU	630	3	129	762	768	4	983	776	4	0	782	33	3	676	4	700	8
GTEX-Y8LW	506	0	114	578	564	4	674	517	4	3	546	46	3	488	1	434	4
GTEX-13OVG	682	2	141	837	825	4	896	755	1	2	734	37	4	754	7	776	6
GTEX-12WSA	379	2	103	422	424	3	480	371	4	1	459	30	2	381	3	373	4
GTEX-OIZF	736	0	114	836	665	4	830	755	0	6	830	39	6	657	4	684	13
GTEX-14XAO	869	3	191	1054	1060	8	1272	969	6	8	1147	39	6	1086	18	1130	13
GTEX-1GN2E	420	2	62	446	475	3	519	372	0	4	476	12	2	434	2	398	2
GTEX-14E6E	685	3	117	783	718	0	845	656	1	3	685	30	2	628	2	638	6
GTEX-1B8SF	578	4	96	679	702	2	805	729	3	5	766	34	3	677	3	727	4
GTEX-17EVP	502	0	85	598	580	2	614	483	3	2	499	26	3	467	0	449	4
GTEX-11P81	435	1	59	506	382	4	501	451	1	1	470	27	0	435	1	404	1
GTEX-13CF3	404	2	72	517	547	4	547	496	2	7	491	23	4	420	6	485	6
GTEX-ZVT4	376	0	66	446	469	1	544	472	2	4	470	27	0	435	2	450	2
GTEX-12584	333	3	64	423	400	2	461	355	0	1	404	30	0	336	1	338	2
GTEX-1CB4I	504	3	78	621	641	0	717	609	1	4	703	45	1	610	5	688	11
GTEX-1399S	647	3	123	828	809	2	925	839	5	6	898	36	2	747	1	847	6
GTEX-11O72	344	0	39	464	413	4	440	395	1	5	413	24	0	362	1	387	4
GTEX-P4QT	689	0	110	818	814	3	847	661	1	3	691	50	2	598	5	614	9
GTEX-13X6K	428	3	97	469	465	1	581	553	1	4	565	29	3	409	0	448	3
GTEX-1B932	819	6	94	964	815	1	983	802	2	6	865	49	4	781	3	707	8
GTEX-1EX96	321	3	55	445	388	3	414	299	1	1	356	18	0	353	2	339	8
GTEX-RM2N	392	3	67	416	397	2	450	449	3	0	445	12	2	381	0	438	3
GTEX-14DAQ	658	4	106	799	760	2	792	696	0	2	716	27	3	660	1	562	10
GTEX-WFG7	420	0	81	463	468	4	544	513	0	3	527	36	3	479	0	507	6
GTEX-ZEX8	1013	7	204	1134	1107	1	1287	1050	7	0	1172	61	6	1148	8	1000	12
GTEX-15RIE	945	3	132	1093	1191	5	1216	971	5	7	1031	55	1	878	0	865	4
GTEX-1RAZQ	1156	2	213	1277	1284	10	1327	1126	11	10	1182	58	4	1176	3	936	9
GTEX-12WSN	627	2	99	757	717	6	770	646	3	2	598	27	2	541	2	609	6
