individual	chr12:55688957:55692785:cluster26857	chr12:55688957:55692844:cluster26857	chr12:55688957:55693141:cluster26857	chr12:55692975:55693141:cluster26857	chr12:55692975:55693213:cluster26857	chr12:55692975:55694039:cluster26857
GTEX-WHSE	0	317	0	431	0	2
GTEX-1F88F	0	461	0	580	1	3
GTEX-1GN2E	1	283	0	353	1	1
GTEX-1JMQK	0	92	0	118	0	0
GTEX-ZGAY	0	389	2	496	1	6
GTEX-1B8SF	0	510	0	600	2	4
GTEX-11P81	0	104	0	134	0	0
GTEX-13CF3	0	174	0	211	0	0
GTEX-15DCD	1	366	1	434	2	2
GTEX-16NPV	2	608	0	747	0	5
GTEX-QESD	0	192	1	229	0	1
GTEX-11O72	1	183	0	220	0	3
GTEX-1A8G7	1	323	0	407	0	3
GTEX-1EX96	0	212	0	275	0	1
GTEX-TKQ2	1	354	0	416	0	4
GTEX-RM2N	0	82	0	98	0	0
GTEX-14DAQ	1	425	0	563	0	4
GTEX-ZEX8	0	249	0	298	0	2
GTEX-WL46	0	565	1	654	0	4
GTEX-1RAZQ	0	736	3	990	0	8
GTEX-WFG8	0	105	0	118	0	0
GTEX-PX3G	0	84	0	106	0	0
GTEX-1ICLY	0	142	0	171	0	0
GTEX-1477Z	0	128	0	178	0	1
GTEX-17F98	0	285	0	366	1	1
GTEX-Y5V6	0	54	0	60	0	0
GTEX-13NZB	0	333	0	383	1	1
GTEX-PSDG	0	615	1	710	0	4
GTEX-Z9EW	0	160	0	196	0	1
GTEX-11GS4	0	299	0	403	1	2
GTEX-S95S	0	190	0	244	0	2
GTEX-13OW7	0	516	1	623	0	2
