individual	chr11:64230940:64231032:cluster57047	chr11:64230940:64231871:cluster57047	chr11:64230940:64232430:cluster57047	chr11:64230940:64233894:cluster57047	chr11:64231147:64231871:cluster57047	chr11:64231964:64232430:cluster57047	chr11:64232614:64232701:cluster57047	chr11:64232614:64232704:cluster57047	chr11:64232865:64233334:cluster57047	chr11:64232865:64233894:cluster57047
GTEX-1212Z	4	87	0	2	3	101	28	165	1	160
GTEX-WK11	7	118	0	2	4	136	22	154	0	188
GTEX-W5WG	3	98	0	1	2	110	25	171	0	167
GTEX-TMMY	5	115	0	0	3	143	24	146	0	178
GTEX-1N2DW	3	123	0	0	1	171	33	200	0	210
GTEX-PLZ5	1	46	0	1	1	66	12	92	1	99
GTEX-1C2JI	3	66	1	0	4	73	18	93	1	109
GTEX-18D9A	4	74	0	1	2	75	23	118	2	120
GTEX-1LH75	2	54	0	0	1	65	18	97	0	111
GTEX-QEL4	0	43	0	0	1	44	5	64	1	66
GTEX-14BMU	1	89	0	2	2	81	29	123	1	135
GTEX-1399T	3	67	1	3	4	87	19	137	0	156
GTEX-1QP9N	3	86	0	2	2	114	20	141	1	148
GTEX-1B97J	3	67	0	1	2	88	20	116	3	148
GTEX-131XF	1	46	0	2	1	55	13	70	1	57
GTEX-1F75A	4	172	0	0	2	219	51	248	0	310
GTEX-13O3Q	0	75	1	1	3	89	23	126	1	144
GTEX-146FQ	5	173	0	2	8	157	35	217	5	260
GTEX-13G51	3	106	1	3	4	109	26	150	1	156
GTEX-WYJK	0	126	0	3	3	149	25	164	0	214
GTEX-R3RS	5	78	0	3	1	97	21	128	0	146
GTEX-1B97I	2	67	0	2	2	88	14	118	0	116
GTEX-XOT4	4	103	0	3	1	129	18	143	0	143
GTEX-1IDFM	4	122	0	5	3	118	36	186	3	203
GTEX-1FIGZ	1	45	0	1	1	48	12	76	2	78
GTEX-OXRK	0	39	0	1	0	57	8	58	1	76
GTEX-15RIG	2	116	0	2	4	125	25	131	1	163
GTEX-1E1VI	1	82	0	0	0	89	18	123	1	133
GTEX-1339X	2	57	0	2	5	89	20	121	0	115
GTEX-17HGU	5	63	0	3	2	73	13	75	2	104
GTEX-1C6VR	0	95	0	0	2	109	20	146	3	150
GTEX-1JMQI	7	154	0	2	4	148	37	169	2	215
GTEX-1KWVE	1	99	0	1	0	116	24	166	0	169
GTEX-1M4P7	2	210	0	4	2	240	59	295	0	391
GTEX-PWCY	3	90	0	2	4	77	25	123	1	135
GTEX-14BIL	1	96	0	1	2	133	25	186	3	181
GTEX-OIZH	1	75	1	1	0	94	27	127	0	124
GTEX-YEC3	1	101	0	3	3	96	21	125	2	130
GTEX-1LVA9	1	169	2	5	1	197	43	225	0	256
GTEX-15D79	3	76	1	3	4	87	21	132	0	126
GTEX-1RAZA	3	126	1	6	5	159	18	180	2	211
GTEX-1EU9M	0	88	0	3	1	119	31	162	2	194
GTEX-U3ZN	2	81	0	3	1	96	14	116	1	142
GTEX-T2IS	3	132	0	0	4	150	39	192	2	196
GTEX-145MO	2	80	0	1	4	103	29	128	2	141
GTEX-13N1W	5	98	0	0	0	99	26	140	0	149
GTEX-111VG	3	86	0	2	0	87	23	155	1	145
GTEX-Q2AG	0	26	0	1	0	30	6	38	0	43
GTEX-1AX9J	4	82	1	2	5	102	22	106	2	119
GTEX-1F7RK	2	135	0	3	3	149	29	164	2	238
GTEX-15CHQ	3	79	0	0	5	102	21	128	0	133
GTEX-Y9LG	1	68	0	3	4	80	16	98	0	102
GTEX-1EWIQ	1	109	1	3	2	130	24	134	0	194
GTEX-17KNJ	2	64	0	3	5	74	22	95	2	101
GTEX-QDT8	4	121	0	0	6	169	38	172	3	197
GTEX-1A8FM	0	96	0	3	5	99	23	149	2	141
GTEX-1ICLZ	2	64	0	1	4	89	16	102	0	94
GTEX-1JN6P	0	111	0	6	5	119	28	156	0	187
GTEX-ZT9X	2	58	0	2	0	67	18	106	1	111
GTEX-RTLS	4	48	0	1	1	73	18	84	2	108
GTEX-OXRP	0	31	0	0	1	33	5	49	1	64
GTEX-1S82Y	0	115	0	6	4	122	31	170	0	182
GTEX-15CHC	4	82	0	4	4	93	17	114	1	159
GTEX-13PVR	1	35	0	2	2	37	12	59	1	63
GTEX-YB5K	3	81	0	2	0	107	20	154	0	149
GTEX-ZE7O	4	140	0	5	6	203	44	268	0	336
GTEX-1PDJ9	4	140	2	3	1	149	40	213	4	223
GTEX-13SLW	3	103	1	0	2	122	26	162	0	183
GTEX-16GPK	1	81	0	0	2	95	14	116	0	130
GTEX-1PIEJ	1	92	1	5	2	129	32	137	0	190
GTEX-132Q8	1	87	1	2	3	83	11	118	1	135
GTEX-18A7A	1	117	0	4	4	138	29	156	0	176
GTEX-1GZ4I	2	88	0	1	4	102	24	162	1	185
GTEX-1PBJJ	6	99	0	5	3	108	32	135	0	153
GTEX-1QP2A	3	72	0	0	3	83	26	120	0	143
GTEX-OIZG	0	68	1	3	1	95	17	98	0	123
GTEX-N7MS	4	96	0	1	2	101	16	131	0	156
GTEX-1A3MV	3	86	0	4	2	108	18	125	0	181
GTEX-1LVAM	4	113	0	4	4	124	16	144	1	160
GTEX-133LE	0	61	1	0	1	73	15	100	0	91
GTEX-1K2DU	4	56	0	0	2	83	18	98	0	110
GTEX-14PII	4	98	0	3	2	123	24	132	0	149
GTEX-15ER7	5	257	0	5	8	328	54	367	1	450
GTEX-13OW6	3	94	0	0	1	84	24	115	0	137
GTEX-ZPCL	0	65	0	1	0	66	14	88	0	90
GTEX-1LG7Z	2	115	0	4	3	115	20	155	0	175
GTEX-1C4CL	1	68	0	1	1	71	15	98	0	104
GTEX-14PN4	3	41	0	0	3	49	10	57	0	69
GTEX-15SHV	3	90	0	4	6	105	30	144	3	146
GTEX-1GZHY	0	103	1	2	1	124	28	163	3	189
GTEX-147JS	0	78	0	4	0	82	20	100	2	128
GTEX-144GL	2	80	0	1	2	117	31	157	2	190
GTEX-R55C	2	75	0	5	4	89	18	100	0	131
GTEX-1MCQQ	4	84	0	2	4	112	30	131	0	187
GTEX-1CB4E	3	77	0	2	1	83	15	102	0	98
GTEX-11NSD	5	59	0	3	2	64	16	89	0	89
GTEX-14PJM	3	89	0	0	3	94	19	124	0	169
GTEX-117XS	1	79	0	3	1	94	18	116	0	135
GTEX-1B8KZ	4	92	0	3	3	120	18	130	0	157
GTEX-15SKB	0	131	0	1	2	144	25	180	0	216
GTEX-U8XE	0	46	0	1	2	53	15	92	0	101
GTEX-ZVZP	3	54	1	4	3	59	16	95	1	91
GTEX-11ONC	1	45	0	0	1	40	11	68	1	66
GTEX-WY7C	10	142	1	2	2	161	29	185	2	225
GTEX-14LLW	6	123	0	1	4	134	26	187	2	192
GTEX-13QIC	4	64	0	2	1	72	13	84	2	100
GTEX-12KS4	3	65	0	1	3	67	17	101	1	112
GTEX-11I78	2	61	0	2	2	74	14	70	1	89
GTEX-1GMR8	1	101	2	3	6	137	27	170	1	215
GTEX-1GPI6	5	80	0	4	4	113	29	138	0	163
GTEX-Z93S	3	116	1	4	3	118	25	166	1	190
GTEX-111YS	4	71	0	2	2	69	18	97	0	96
GTEX-139TS	6	136	0	1	7	152	21	194	1	210
GTEX-1CAMQ	4	86	0	1	6	123	26	143	2	177
GTEX-14JG1	6	108	0	1	7	122	30	191	1	216
GTEX-11XUK	3	64	0	1	2	64	9	95	0	103
GTEX-WRHU	2	169	2	3	5	178	40	214	3	242
GTEX-13OVG	4	57	0	0	3	66	13	81	2	94
GTEX-WHSE	2	63	0	1	2	79	13	120	0	134
GTEX-OIZF	1	39	0	1	2	45	10	65	0	78
GTEX-1GN2E	2	75	0	3	0	93	27	119	1	161
GTEX-13D11	1	68	0	2	2	59	22	81	0	91
GTEX-15DZA	5	113	1	4	5	103	25	161	0	149
GTEX-ZGAY	1	96	0	4	0	106	18	120	2	143
GTEX-17EVP	1	84	0	0	2	116	17	136	1	143
GTEX-147GR	3	108	0	0	0	120	30	157	0	181
GTEX-15DCD	3	119	2	1	2	138	37	170	2	228
GTEX-16NPV	4	61	0	4	4	85	19	100	0	134
GTEX-11O72	4	70	0	0	3	107	23	138	2	153
GTEX-1B932	3	97	1	1	1	98	18	105	0	134
GTEX-QDVJ	3	35	0	2	1	61	10	76	0	92
GTEX-14DAQ	2	123	1	0	2	150	37	202	0	228
GTEX-ZEX8	4	109	1	4	1	121	30	156	0	170
GTEX-WL46	2	169	0	1	10	214	54	279	0	309
GTEX-15RIE	1	88	0	5	1	113	19	143	2	185
GTEX-YFC4	1	110	0	1	2	127	35	168	2	178
GTEX-1JKYR	2	93	0	3	4	96	14	141	2	172
GTEX-17F98	3	41	0	2	3	48	14	71	1	79
GTEX-1GTWX	2	86	0	4	2	105	18	118	1	163
GTEX-15UKP	0	63	1	1	0	76	21	90	0	108
GTEX-PSDG	4	61	0	2	1	63	8	92	0	92
GTEX-Z9EW	2	48	1	2	3	47	17	68	0	73
GTEX-OXRN	8	125	0	2	4	132	29	152	4	187
GTEX-S95S	3	62	0	0	1	76	12	76	1	109
