individual	chr1:32222630:32224034:cluster41092	chr1:32222630:32228499:cluster41092	chr1:32224475:32226171:cluster41092	chr1:32224475:32228499:cluster41092	chr1:32226283:32228499:cluster41092	chr1:32226320:32226403:cluster41092	chr1:32226320:32228499:cluster41092	chr1:32226530:32228499:cluster41092	chr1:32226530:32228727:cluster41092	chr1:32228609:32228727:cluster41092	chr1:32228816:32229135:cluster41092	chr1:32228816:32230927:cluster41092	chr1:32229208:32230927:cluster41092
GTEX-17HGU	179	0	274	5	3	317	0	306	0	366	332	2	303
GTEX-1C6VR	220	0	338	2	1	377	3	376	0	487	381	0	331
GTEX-1R46S	401	3	558	9	4	563	3	653	0	797	758	3	591
GTEX-ZV68	396	1	485	4	2	572	2	608	0	833	619	2	491
GTEX-ZF3C	416	5	538	9	5	668	2	684	0	922	761	4	620
GTEX-PWCY	432	3	522	12	4	673	2	741	0	927	744	2	595
GTEX-Y111	230	0	401	4	3	447	2	428	0	538	491	4	375
GTEX-14BIL	393	2	602	5	4	666	3	724	0	931	696	3	527
GTEX-1GMRU	333	4	397	4	0	497	1	536	0	584	500	1	410
GTEX-1A3MW	397	5	578	6	8	688	0	668	0	769	691	3	603
GTEX-YEC3	423	3	527	11	4	637	3	734	0	929	746	7	539
GTEX-1269C	246	1	324	0	0	414	0	408	0	527	439	0	327
GTEX-1AMFI	380	2	436	9	0	570	2	603	0	703	606	3	484
GTEX-11ZU8	355	2	511	3	4	618	2	690	0	844	735	3	556
GTEX-1LVA9	284	4	411	7	1	488	1	502	0	567	489	1	447
GTEX-1MUQO	512	4	689	7	4	756	0	781	0	858	868	3	696
GTEX-1RAZA	470	3	613	9	2	729	4	717	0	869	765	2	603
GTEX-13OVH	427	8	615	8	6	675	0	758	0	941	826	4	623
GTEX-U3ZN	1016	8	1538	15	26	1886	4	1976	0	2343	1953	4	1723
GTEX-13N1W	269	2	367	5	1	391	1	462	0	557	471	3	348
GTEX-117YW	259	2	321	2	5	450	2	444	0	556	521	0	407
GTEX-16MT8	637	4	916	7	7	1069	0	998	0	1243	1147	5	893
GTEX-111VG	264	3	371	2	5	396	0	468	0	596	496	0	375
GTEX-1F6IF	311	1	378	7	4	467	4	499	0	607	544	4	483
GTEX-Q2AG	58	0	95	1	0	111	0	132	0	157	135	0	104
GTEX-1AX9J	252	1	344	8	6	427	0	455	0	568	522	2	460
GTEX-1R9K4	392	5	559	4	2	662	2	665	0	893	809	5	703
GTEX-YJ8O	180	0	182	3	1	246	0	271	0	351	309	0	221
GTEX-1QEPI	369	7	534	9	1	602	5	628	0	813	752	1	616
GTEX-15CHQ	330	4	437	3	2	515	4	546	0	660	547	2	428
GTEX-11EI6	335	1	428	2	3	519	0	560	0	668	587	1	414
GTEX-17KNJ	235	0	322	1	1	419	0	465	0	581	479	0	390
GTEX-QDT8	580	4	656	6	5	797	4	884	0	995	891	3	760
GTEX-1A8FM	358	1	430	8	5	470	3	563	0	709	607	1	478
GTEX-XPVG	491	3	561	6	5	655	0	730	0	991	849	0	666
GTEX-ZT9X	431	5	506	3	4	607	0	646	0	800	679	0	509
GTEX-P4PQ	763	5	897	5	11	1121	3	1215	0	1398	1195	2	926
GTEX-11LCK	214	0	283	4	4	344	0	366	0	438	420	1	355
GTEX-RTLS	285	1	453	2	2	545	0	571	0	651	598	1	437
GTEX-15CHC	226	4	369	5	2	429	0	442	0	592	522	2	436
GTEX-13O21	302	6	428	12	3	497	3	510	0	672	578	0	404
GTEX-13PVR	247	5	416	2	2	466	0	473	0	565	513	1	401
GTEX-ZTPG	414	3	566	3	7	631	2	750	0	866	757	3	622
GTEX-1399U	272	4	404	10	6	443	2	479	0	639	532	3	405
GTEX-YB5K	228	4	310	4	4	375	2	411	0	533	424	3	300
GTEX-QDVN	421	4	586	6	4	767	0	810	0	881	754	2	622
GTEX-1PDJ9	514	2	654	8	4	738	3	828	0	948	904	1	778
GTEX-13SLW	217	0	299	5	4	371	3	405	0	510	423	4	375
GTEX-16GPK	235	4	279	6	6	324	0	375	0	412	360	2	289
GTEX-1PIEJ	473	6	632	16	7	754	7	755	0	927	852	4	700
GTEX-18A7A	299	2	442	4	0	472	0	476	0	605	541	1	402
GTEX-1GZ4I	471	4	567	3	6	708	1	725	0	923	788	0	677
GTEX-1PBJJ	399	5	577	9	4	672	2	734	0	826	859	3	616
GTEX-1QP2A	310	3	464	6	0	507	2	580	0	643	630	3	456
GTEX-16XZY	225	3	340	3	0	362	4	401	0	470	403	3	367
GTEX-13X6H	686	9	819	17	12	1035	2	1061	0	1415	1092	1	865
GTEX-OIZG	436	0	477	2	2	584	1	639	0	837	700	2	522
GTEX-12WSJ	436	7	579	4	7	730	2	801	0	993	789	2	571
GTEX-N7MS	199	2	264	2	3	302	0	375	0	480	348	0	312
GTEX-1A3MV	528	4	746	10	3	799	0	839	0	996	929	3	789
GTEX-1IDJE	483	7	568	3	1	710	5	774	0	930	792	6	712
GTEX-133LE	310	2	418	6	6	533	3	528	0	725	542	3	437
GTEX-16XZZ	632	2	784	7	9	969	2	1041	0	1295	1119	1	983
GTEX-14PII	241	2	350	6	1	422	0	445	0	524	456	0	359
GTEX-13OW6	197	3	287	3	0	325	0	331	0	446	345	0	249
GTEX-17HHE	269	3	304	4	2	370	1	387	0	444	382	1	325
GTEX-WOFM	693	10	836	15	6	989	9	1117	0	1296	1185	2	1010
GTEX-1LG7Z	486	2	625	8	7	747	4	722	0	896	839	4	773
GTEX-1C4CL	363	2	454	11	3	621	0	586	0	809	603	3	547
GTEX-1A8G6	310	2	404	3	0	514	0	532	0	629	581	0	465
GTEX-WFON	431	6	617	5	0	714	2	703	0	874	808	4	610
GTEX-13VXU	329	2	410	2	4	471	0	526	0	718	601	0	417
GTEX-14PJ2	284	4	406	5	4	478	1	501	0	685	535	6	422
GTEX-RN64	238	0	332	1	1	425	1	401	0	493	410	1	337
GTEX-1QP66	739	9	994	12	7	1155	4	1330	0	1457	1418	3	1118
GTEX-1GZHY	230	1	305	0	1	383	0	401	0	451	411	0	334
GTEX-147JS	212	2	298	3	1	372	0	372	0	443	351	0	279
GTEX-15SB6	406	3	550	4	3	588	1	656	0	755	674	0	496
GTEX-QCQG	414	5	523	14	4	609	1	628	0	744	670	3	552
GTEX-144GL	253	0	334	5	1	414	0	469	0	531	406	0	358
GTEX-14PJ6	344	4	516	3	0	545	0	572	0	682	602	2	488
GTEX-1MCQQ	271	3	426	1	4	458	0	534	0	572	531	0	457
GTEX-1GF9U	274	3	332	6	1	391	1	470	0	560	472	1	420
GTEX-OXRL	272	2	424	7	6	495	0	521	0	647	474	1	429
GTEX-11NSD	276	3	291	6	4	370	0	409	0	530	427	3	320
GTEX-14PJM	226	5	329	1	3	356	1	381	0	477	378	3	292
GTEX-117XS	258	1	305	3	1	375	1	413	0	522	421	0	330
GTEX-15SKB	535	0	784	5	4	928	1	978	0	1111	1073	2	885
GTEX-WY7C	442	8	686	2	5	772	4	835	0	984	961	3	759
GTEX-VUSG	352	1	514	7	5	584	3	644	0	767	673	0	542
GTEX-13QIC	190	1	249	1	3	330	0	358	0	392	344	3	271
GTEX-12KS4	366	2	505	5	0	542	3	576	0	672	615	1	492
GTEX-1GMR8	443	2	534	5	1	621	0	728	0	829	691	3	574
GTEX-1GPI6	248	1	345	3	6	372	1	422	0	508	444	0	398
GTEX-1GN1U	232	3	330	5	3	433	0	435	0	473	438	2	374
GTEX-X4EO	431	4	479	14	4	675	0	708	0	833	697	3	583
GTEX-14H4A	290	0	342	0	2	412	0	437	0	576	494	0	429
GTEX-1CAMQ	277	0	363	3	0	425	2	490	0	639	496	3	430
GTEX-144FL	460	2	579	3	5	709	2	831	0	986	778	3	644
GTEX-1PIIG	262	1	399	6	2	422	2	431	0	492	475	0	403
GTEX-ZVE1	335	6	460	4	5	592	0	588	0	784	708	1	597
GTEX-11XUK	211	3	264	4	4	297	4	360	0	418	346	1	277
GTEX-13OVK	256	5	359	5	5	409	2	429	0	522	487	0	371
GTEX-WRHU	344	3	428	2	6	537	4	587	0	733	603	4	508
GTEX-Y8LW	248	3	325	6	6	382	3	415	0	498	480	2	347
GTEX-13OVG	444	4	557	14	7	758	1	860	0	1006	835	5	647
GTEX-1GN2E	189	0	274	3	0	313	0	301	0	398	362	0	276
GTEX-1JMQK	301	3	435	9	6	558	0	525	0	646	553	2	486
GTEX-ZP4G	367	3	507	10	3	578	0	586	0	719	621	6	557
GTEX-15DZA	577	5	841	6	5	836	3	906	0	1194	1032	0	785
GTEX-1B8SF	294	2	388	5	1	446	0	457	0	573	504	0	382
GTEX-11P81	226	0	297	3	1	353	1	412	0	487	426	0	344
GTEX-1F48J	540	5	605	10	2	761	0	796	0	932	795	0	615
GTEX-12584	406	0	480	3	3	597	1	595	0	754	634	3	478
GTEX-1CB4I	365	3	474	3	0	656	0	619	0	801	661	1	572
GTEX-15DCD	640	11	707	10	5	851	2	908	0	1236	1009	4	796
GTEX-11O72	484	4	509	4	3	645	3	691	0	922	720	1	591
GTEX-1A8G7	241	2	321	3	0	414	0	463	0	501	490	0	364
GTEX-1B932	330	4	486	3	3	589	1	616	0	758	689	1	501
GTEX-QDVJ	296	2	370	5	1	514	4	490	0	617	548	2	458
GTEX-ZEX8	678	14	974	13	7	1095	3	1152	0	1320	1264	3	971
GTEX-1GF9V	268	0	347	4	0	403	1	439	0	544	467	0	373
GTEX-1RAZQ	546	7	720	14	1	826	0	812	0	1025	1021	3	785
GTEX-12WSN	334	1	397	3	5	524	0	540	0	674	528	2	421
GTEX-U3ZH	423	6	597	4	3	694	4	731	0	849	780	5	656
GTEX-1477Z	279	6	417	2	4	531	3	504	0	628	550	0	453
GTEX-17F98	296	2	379	7	1	448	1	466	0	529	520	1	432
GTEX-Y5V6	313	2	416	5	7	528	0	559	0	726	548	0	469
GTEX-111CU	411	1	512	4	2	596	0	664	0	766	596	2	512
GTEX-PW2O	82	0	111	1	0	147	0	163	0	212	172	0	120
GTEX-17F97	450	1	572	3	1	647	0	639	0	850	742	2	578
GTEX-PSDG	364	4	503	7	2	609	3	638	0	798	693	1	575
GTEX-ZVE2	315	3	504	10	3	562	0	570	0	695	608	6	524
GTEX-OXRN	589	6	603	6	3	858	1	944	0	1082	985	2	788
GTEX-13OW7	295	1	404	5	2	477	2	559	0	637	495	0	377
