individual	chr19:3933697:3936546:cluster59752	chr19:3933697:3936575:cluster59752	chr19:3933820:3936575:cluster59752	chr19:3936665:3937225:cluster59752	chr19:3936665:3937240:cluster59752	chr19:3936978:3937240:cluster59752	chr19:3937288:3938565:cluster59752	chr19:3937288:3938603:cluster59752	chr19:3938759:3939900:cluster59752	chr19:3938759:3941071:cluster59752	chr19:3938759:3942083:cluster59752	chr19:3938806:3939900:cluster59752	chr19:3938806:3941071:cluster59752	chr19:3939971:3941071:cluster59752	chr19:3939971:3942083:cluster59752	chr19:3941173:3942083:cluster59752	chr19:3941177:3942083:cluster59752	chr19:3941918:3942083:cluster59752
GTEX-13S7M	0	196	1	8	197	0	0	179	197	30	2	0	1	141	6	0	185	0
GTEX-1LB8K	0	1488	10	43	1827	0	3	1744	1791	224	19	6	3	1751	67	13	1702	0
GTEX-15SHU	0	3935	8	94	4617	3	2	4392	4664	401	26	20	2	4571	158	54	4058	5
GTEX-17MFQ	0	123	0	1	145	0	0	110	141	11	2	0	0	123	8	0	154	0
GTEX-11TTK	0	238	0	7	237	0	0	256	241	44	4	1	0	265	12	0	262	1
GTEX-TMZS	0	258	1	6	283	0	0	286	315	45	2	2	0	312	16	3	344	0
GTEX-1LC47	0	887	2	30	1021	1	1	986	1070	112	8	18	0	1020	46	15	908	0
GTEX-14753	0	212	0	8	268	0	0	236	232	35	2	3	0	232	12	4	233	0
GTEX-11DXX	0	1510	7	34	1639	1	4	1550	1464	257	23	12	2	1484	104	17	1364	0
GTEX-139T6	0	399	1	15	468	0	0	459	381	81	5	4	0	367	21	3	374	0
GTEX-13PL6	1	5141	10	86	5170	1	2	4784	4530	696	27	22	5	4826	179	22	5018	7
GTEX-12ZZZ	2	1449	9	18	1749	0	1	1676	1765	153	8	3	2	1585	77	11	1683	3
GTEX-14DAR	0	406	3	16	472	1	0	518	500	58	9	6	1	539	28	7	462	1
GTEX-1I6K7	0	2808	14	60	3097	3	10	2896	3172	291	28	11	0	2928	108	58	2590	5
GTEX-131XW	0	2468	16	41	2238	0	1	2159	2070	282	24	3	0	2088	61	18	2003	4
GTEX-11EMC	0	432	1	14	444	0	1	486	401	40	0	5	1	420	9	3	397	1
GTEX-X4XY	0	1091	5	22	1130	1	4	1214	1212	263	24	8	2	1211	51	13	1217	3
GTEX-15UF7	1	1697	14	61	2126	3	6	1888	1828	161	34	17	1	1720	117	17	1718	8
GTEX-113JC	0	304	2	2	323	0	0	309	266	29	0	0	0	282	7	1	281	0
GTEX-P4PP	0	80	0	1	68	0	0	69	64	10	0	2	0	75	4	1	65	1
GTEX-1PPGY	2	2164	10	41	2360	0	3	2186	2712	263	15	13	1	2437	143	14	2055	2
GTEX-13CF2	0	309	2	4	325	0	0	312	323	23	4	0	0	306	5	2	307	0
GTEX-13RTK	0	1306	1	33	1324	0	2	1181	1243	169	27	6	0	1097	76	27	988	6
GTEX-1CB4H	0	182	0	2	172	0	0	152	164	32	3	3	0	142	8	0	161	2
GTEX-PWN1	0	238	0	7	267	1	0	283	277	39	6	4	0	271	33	2	266	0
GTEX-1A32A	0	942	6	13	1086	0	0	1101	1116	118	6	2	0	1012	42	5	993	0
GTEX-1C6VQ	0	1888	8	43	1885	5	8	1776	1989	212	24	13	3	1986	57	56	1675	3
GTEX-14PJ4	0	226	1	4	234	0	0	245	211	15	2	2	1	254	9	0	194	0
GTEX-1OFPY	0	804	2	21	1036	1	1	965	988	138	19	1	1	966	70	5	923	0
GTEX-1QP6S	0	100	0	2	159	0	0	156	163	18	2	0	0	167	5	0	137	1
GTEX-11NUK	0	831	3	26	880	0	0	753	783	79	4	0	1	758	13	8	715	0
GTEX-131YS	0	1441	7	21	1529	2	0	1398	1562	144	15	12	2	1388	80	6	1339	2
GTEX-14PJN	0	408	1	10	442	0	1	453	432	52	3	5	1	432	19	1	424	0
GTEX-12696	0	735	2	19	742	2	2	706	678	97	3	3	0	692	24	8	645	1
GTEX-147F4	0	1106	7	13	1149	0	2	1108	1145	89	3	0	0	1138	29	4	1041	0
GTEX-13W3W	0	2836	14	103	3316	0	4	3058	3089	238	39	30	2	2870	203	51	2775	15
GTEX-QV31	0	285	0	5	341	0	0	305	313	61	4	1	0	320	20	7	319	0
GTEX-1AX9K	0	364	0	11	358	0	0	378	409	45	1	1	1	361	14	5	330	1
GTEX-1B933	0	2208	8	31	2315	0	2	2307	2430	196	3	4	1	2443	62	6	2251	0
GTEX-11VI4	0	83	0	2	80	0	0	67	79	12	2	0	0	74	2	0	69	1
GTEX-XUW1	0	377	2	4	334	0	0	363	399	34	2	0	0	362	12	1	358	1
GTEX-1GZ2Q	0	1525	12	40	1804	1	0	1690	1856	138	10	3	0	1772	66	6	1523	0
GTEX-1313W	0	4958	28	86	5300	0	1	5055	5074	430	21	6	3	5011	103	20	4618	9
GTEX-12ZZY	0	1435	13	30	1430	0	1	1330	1386	168	19	6	0	1338	47	7	1234	2
GTEX-1C6WA	0	1992	14	44	2214	0	3	2296	2381	372	25	14	0	2388	72	24	2410	3
GTEX-OIZI	0	237	0	7	304	0	0	344	308	31	5	0	0	336	17	3	327	2
GTEX-18A7B	0	406	1	9	468	0	0	427	533	56	7	0	0	421	32	3	432	1
GTEX-XBEW	0	1100	3	13	1054	0	0	1146	1111	167	12	11	2	1049	56	10	1022	2
GTEX-183FY	1	350	0	7	382	0	2	367	360	56	14	8	2	317	30	9	352	1
GTEX-13X6J	0	1404	10	30	1363	0	1	1251	1254	155	6	1	1	1226	47	7	1081	0
GTEX-1LNCM	0	74	0	4	97	0	0	90	103	12	1	0	1	99	5	1	115	0
GTEX-1KD5A	0	433	2	6	481	0	2	499	466	51	8	6	2	451	22	4	367	0
GTEX-1LSNL	0	450	0	14	532	0	2	513	537	52	2	0	0	527	17	1	507	3
GTEX-1S83E	0	517	0	15	607	0	1	618	580	102	8	2	0	545	31	7	577	0
GTEX-ZDYS	0	1045	4	15	1075	1	0	1022	1018	139	35	3	0	1030	84	12	988	0
GTEX-1NUQO	0	614	0	21	705	4	2	694	675	105	7	2	0	703	27	11	655	2
GTEX-ZUA1	0	961	3	11	948	0	1	917	823	97	7	2	0	860	27	6	780	0
GTEX-1GF9W	0	424	3	12	564	0	1	498	641	60	4	3	0	537	28	9	518	4
GTEX-18A6Q	0	2105	11	33	2252	1	1	2148	1989	354	23	3	2	2003	71	14	1876	3
GTEX-13FTZ	0	1471	6	17	1384	1	0	1317	1301	177	14	3	2	1434	55	11	1374	1
GTEX-17EUY	0	356	2	5	436	0	0	434	407	81	5	7	0	426	30	3	424	1
GTEX-1LGOU	0	1683	4	48	1784	3	0	1811	2007	138	20	15	0	2038	49	21	1773	2
GTEX-1L5NE	0	1622	3	33	1942	0	2	1738	1775	290	70	35	5	1556	145	15	1563	0
GTEX-1I4MK	0	432	3	12	521	0	0	464	470	78	2	3	2	396	18	4	397	0
GTEX-X8HC	0	569	1	13	605	0	0	666	659	80	13	2	0	619	40	8	631	2
GTEX-11EM3	0	320	1	6	312	0	1	280	277	34	2	0	0	261	13	3	278	0
GTEX-1MCYP	0	141	0	0	177	0	0	132	133	15	4	0	1	162	7	0	135	0
GTEX-13FTY	0	511	6	11	548	0	0	494	583	31	3	5	0	565	26	6	524	0
GTEX-16NPX	0	473	3	12	563	0	0	546	595	77	7	9	0	533	38	4	496	0
GTEX-15ETS	0	696	4	32	910	0	1	858	801	84	9	13	3	814	50	12	782	0
GTEX-1PPH7	0	1481	2	42	1886	0	1	1776	1652	291	27	12	4	1677	71	9	1703	4
GTEX-1212Z	0	963	4	22	1059	0	0	954	1034	115	9	2	0	899	36	3	931	0
GTEX-1F5PL	1	2420	16	72	2771	2	5	2548	2682	282	29	39	8	2640	145	25	2427	0
GTEX-WK11	0	490	1	11	522	0	0	535	466	78	5	2	0	493	33	5	490	0
GTEX-1GPI7	0	617	0	12	742	0	0	638	705	77	14	15	1	598	49	5	548	1
GTEX-1GN1W	0	2030	12	71	2412	3	2	2288	2332	231	18	12	3	2296	126	8	1991	4
GTEX-1S82P	0	541	3	19	625	0	2	722	654	103	7	10	2	588	33	9	610	0
GTEX-Y8DK	0	1437	13	25	1509	0	0	1567	1455	232	17	1	0	1500	36	11	1508	2
GTEX-OHPL	0	682	3	23	689	1	0	697	646	62	7	3	0	719	38	8	722	1
GTEX-1211K	0	771	0	20	731	0	2	755	693	62	4	6	0	718	30	7	650	1
GTEX-1ICG6	0	406	4	8	486	2	2	485	556	59	9	8	0	465	41	6	460	0
GTEX-1N2DW	1	4949	29	119	5886	4	5	5432	5850	523	29	26	5	5887	289	30	5671	13
GTEX-PLZ5	0	625	2	19	691	0	1	628	632	92	11	3	1	626	42	3	610	0
GTEX-13O3O	0	767	6	25	854	0	0	873	817	105	16	3	2	911	33	8	835	1
GTEX-1C2JI	0	466	1	7	501	0	1	537	509	69	11	4	0	533	26	3	480	0
GTEX-1K2DA	0	753	3	24	1008	1	3	894	935	102	21	6	0	940	58	7	867	0
GTEX-18D9A	0	520	3	10	536	0	1	545	463	68	8	7	0	499	38	4	428	0
GTEX-U8T8	4	2060	16	79	2691	2	17	2983	2736	335	60	46	1	2849	216	34	3058	10
GTEX-T5JC	2	2603	13	42	2843	0	0	3021	2882	194	13	11	1	3227	133	21	3304	4
GTEX-14BMU	0	448	0	15	508	0	1	475	461	52	6	6	0	464	16	3	436	0
GTEX-1399T	0	502	2	11	451	0	0	455	422	46	3	1	0	440	15	4	445	0
GTEX-1QP9N	1	1048	4	35	1397	1	3	1381	1499	120	13	6	0	1422	87	9	1381	0
GTEX-11ZUS	0	1221	4	17	1202	0	0	1114	1100	86	5	3	0	1123	36	11	1005	0
GTEX-1F75A	0	1350	10	28	1746	0	1	1631	1800	179	13	1	0	1614	87	9	1485	1
GTEX-P44G	0	136	0	1	186	0	0	201	163	20	3	3	0	164	14	0	182	0
GTEX-139UW	0	1056	7	22	1033	1	1	1057	1101	128	6	3	1	1127	34	2	1079	0
GTEX-13N2G	0	736	5	15	803	0	2	759	686	112	7	7	2	777	27	5	720	2
GTEX-146FQ	1	2355	9	82	2377	2	2	2279	2346	270	16	10	1	2361	90	7	2206	6
GTEX-13QBU	0	391	0	17	408	0	1	367	358	47	7	11	0	368	11	5	367	0
GTEX-XGQ4	0	167	0	1	177	0	0	170	154	43	3	0	0	160	9	2	159	0
GTEX-13U4I	0	1023	6	34	1041	0	0	994	1027	79	9	5	0	1060	34	3	971	3
GTEX-13G51	0	2633	15	48	2611	1	0	2547	2521	218	17	7	2	2645	118	22	2444	4
GTEX-RNOR	0	360	0	17	405	0	0	452	484	44	0	0	0	442	8	4	451	0
GTEX-1A3MX	0	447	1	13	519	0	0	482	455	94	4	5	2	426	23	7	462	0
GTEX-XOT4	0	445	1	6	512	0	0	521	576	64	7	6	1	563	28	3	561	0
GTEX-PLZ4	0	279	0	9	315	0	1	286	300	60	6	3	2	307	7	1	336	0
GTEX-17GQL	0	910	9	21	1051	1	0	977	863	139	6	5	2	828	35	10	794	0
GTEX-11GSO	0	1050	2	36	1143	0	0	1198	1047	131	11	0	0	1028	33	11	1003	4
GTEX-1FIGZ	0	438	0	14	414	0	0	403	403	59	4	3	0	412	19	1	351	0
GTEX-WRHK	0	775	1	21	850	0	1	914	830	129	21	8	0	914	68	6	916	0
GTEX-13FTW	0	1119	4	26	1135	1	1	1058	988	171	25	9	0	1008	56	18	972	0
GTEX-QEG5	0	3091	25	97	2998	0	9	2822	3058	284	26	21	3	3065	140	74	3184	3
GTEX-17HII	0	242	3	11	321	0	0	300	306	49	4	0	0	306	16	5	313	0
GTEX-1E1VI	0	736	9	16	810	1	0	707	903	75	5	1	0	856	28	7	744	0
GTEX-11ZVC	0	1784	12	30	1836	1	5	1773	1524	207	16	6	2	1572	31	29	1380	1
GTEX-1339X	0	2961	11	86	2967	3	7	2912	2945	278	27	36	0	2871	142	47	2732	22
GTEX-13RTL	0	1995	7	34	2236	0	2	2060	2374	355	24	1	0	2224	67	29	2144	4
GTEX-ZZ64	2	1465	11	38	1717	3	0	1540	1520	221	44	8	5	1397	98	5	1374	0
GTEX-17HGU	0	719	8	17	950	1	1	922	918	131	30	22	5	826	53	10	811	2
GTEX-1C6VR	0	1471	2	22	1582	0	2	1506	1701	149	11	11	0	1547	54	9	1350	2
GTEX-QV44	0	5	0	0	2	0	0	5	3	1	0	0	0	4	0	0	9	0
GTEX-1JMQI	0	62	1	1	78	0	0	94	93	14	1	1	0	61	4	2	78	0
GTEX-1R46S	0	121	2	5	151	0	1	167	184	13	2	0	0	151	16	2	156	0
GTEX-ZV68	0	130	0	2	156	0	0	150	158	23	0	0	0	128	2	0	133	0
GTEX-11UD2	0	792	4	16	786	0	0	674	761	81	8	5	0	776	36	6	680	1
GTEX-1KWVE	0	1543	8	27	1652	0	0	1553	1795	139	14	4	1	1702	56	13	1494	1
GTEX-1CB4F	0	27	0	0	27	0	0	28	25	9	1	0	0	23	2	0	27	0
GTEX-17EVQ	0	1724	9	43	1902	2	0	1835	1919	313	31	5	1	1924	55	43	1941	5
GTEX-ZF3C	0	147	0	5	156	0	1	150	153	17	3	1	0	153	11	0	161	0
GTEX-PWCY	0	1807	4	52	1969	3	4	1777	1630	384	39	8	6	1565	110	21	1513	7
GTEX-Y111	0	631	4	15	678	0	0	727	774	66	7	2	0	737	40	4	708	1
GTEX-14BIL	0	1254	10	25	1338	0	3	1194	1262	94	10	8	1	1198	46	6	1057	0
GTEX-18A67	0	920	2	31	1102	1	2	1007	999	193	23	2	0	927	32	17	942	4
GTEX-1GMRU	0	861	3	29	1038	1	1	1010	1087	120	10	1	1	975	31	4	913	0
GTEX-1A3MW	0	462	6	9	523	1	3	582	568	91	7	1	0	551	17	5	528	1
GTEX-X261	2	549	5	12	559	1	3	641	542	87	15	6	3	671	29	4	671	0
GTEX-OIZH	0	221	2	6	208	0	0	241	208	23	1	3	0	257	12	0	256	1
GTEX-Y3I4	1	526	0	15	513	1	1	500	526	86	8	3	0	537	19	5	545	0
GTEX-1269C	0	604	5	9	547	0	0	527	511	69	5	0	0	531	19	0	475	0
GTEX-1AMFI	0	81	0	1	89	0	0	102	106	22	1	2	1	100	9	2	98	0
GTEX-11ZU8	0	146	0	4	154	0	0	147	141	14	2	0	0	133	3	3	142	0
GTEX-1R9PM	0	1056	1	21	1430	1	0	1373	1478	207	35	11	2	1336	59	42	1319	1
GTEX-1LVA9	0	1792	12	30	2132	0	1	2139	2203	214	10	7	2	2342	86	13	1964	3
GTEX-1LSNM	0	893	2	21	1038	3	3	1076	976	120	18	14	0	906	103	7	887	2
GTEX-1MUQO	0	80	1	2	88	0	0	78	78	16	2	0	0	74	2	0	80	0
GTEX-15D79	0	1238	6	29	1268	0	1	1243	1195	130	13	8	0	1247	61	10	1144	3
GTEX-1RAZA	0	89	1	5	117	0	0	110	116	17	1	0	1	101	6	2	109	0
GTEX-13OVH	0	100	0	4	120	0	1	108	104	15	1	1	0	99	8	1	99	0
GTEX-1EU9M	0	1867	13	28	1932	0	0	1846	1956	149	13	24	3	1961	87	16	1785	2
GTEX-11ZTS	0	858	3	21	879	2	0	890	916	56	6	1	0	920	34	7	874	0
GTEX-WYVS	0	236	2	7	294	0	0	257	302	32	6	2	0	269	12	1	298	0
GTEX-16BQI	0	1928	10	35	2133	0	1	2099	1830	249	41	8	0	1772	102	17	1682	0
GTEX-13N1W	0	830	0	10	837	0	0	791	801	89	8	0	1	817	16	6	751	1
GTEX-117YW	0	836	8	20	972	2	3	977	1016	126	3	8	1	1022	19	15	863	0
GTEX-16MT8	0	783	1	24	878	1	0	758	668	118	14	1	0	662	31	14	661	1
GTEX-111VG	0	903	4	12	921	0	1	835	820	87	6	2	0	877	38	4	782	1
GTEX-1F6IF	0	697	2	12	941	0	0	884	1047	84	11	3	0	906	42	6	836	0
GTEX-ZWKS	0	12	0	0	12	0	0	18	18	2	0	0	0	12	0	0	18	0
GTEX-1AX9J	2	686	3	12	823	1	1	830	819	96	11	7	0	830	41	7	817	0
GTEX-1F7RK	0	504	5	16	679	0	0	649	737	81	2	2	0	654	42	6	574	0
GTEX-1R9K4	0	7190	36	108	9024	5	6	8955	10379	1053	124	14	2	10041	591	72	9486	15
GTEX-YJ8O	0	687	3	17	756	1	1	715	691	88	4	0	0	719	29	3	688	1
GTEX-OOBK	0	59	0	2	66	0	0	51	60	5	0	1	0	65	1	0	46	0
GTEX-1QEPI	0	2291	14	37	2844	0	1	2746	2792	358	41	10	2	2621	139	32	2644	5
GTEX-ZC5H	0	16	0	1	17	0	0	18	11	1	1	0	0	20	0	0	10	0
GTEX-15CHQ	0	155	1	2	147	0	0	172	150	15	1	3	1	151	8	0	174	0
GTEX-1EWIQ	0	1220	8	26	1631	0	1	1558	1673	207	18	0	1	1486	57	4	1526	0
GTEX-17KNJ	0	1083	7	33	1223	0	1	1187	1219	136	15	14	0	1132	108	10	1030	2
GTEX-QDT8	0	596	1	3	692	1	3	617	743	55	10	0	0	772	28	8	733	0
GTEX-1A8FM	0	207	0	4	227	0	0	243	244	37	5	0	1	238	8	0	234	0
GTEX-15RIF	0	2168	16	47	2579	0	6	2399	2459	430	99	30	2	2377	204	46	2455	3
GTEX-1M5QR	0	900	7	28	994	0	3	935	930	107	4	11	0	877	51	6	736	2
GTEX-XPVG	0	863	0	18	867	0	0	910	866	138	18	10	0	813	62	4	836	5
GTEX-1JN6P	0	1323	4	29	1691	0	2	1578	1684	198	17	7	1	1575	61	5	1560	1
GTEX-ZT9X	0	222	0	2	212	0	0	189	202	23	3	1	0	182	6	0	175	2
GTEX-P4PQ	0	28	0	0	20	0	0	15	24	2	0	0	0	25	1	0	19	0
GTEX-1AMEY	0	861	2	15	1039	0	0	1063	1120	105	5	18	0	1047	75	12	1107	7
GTEX-1GN73	0	1010	5	20	1375	0	2	1291	1388	106	15	2	0	1335	62	8	1197	0
GTEX-11LCK	0	616	2	12	736	0	3	702	700	74	4	6	0	642	15	1	638	2
GTEX-RTLS	0	88	0	1	110	0	0	104	121	20	3	0	0	121	6	1	117	0
GTEX-OXRP	0	250	0	7	233	0	0	209	256	28	3	0	0	256	13	4	233	0
GTEX-14E6D	1	1219	5	26	1195	2	0	1146	1012	156	3	2	0	1044	35	15	952	0
GTEX-1S82Y	0	659	0	17	798	0	0	723	740	68	5	1	0	697	40	9	667	0
GTEX-18A66	0	486	2	8	571	0	1	548	656	64	3	4	0	553	35	5	517	0
GTEX-15CHC	0	719	0	24	864	1	1	827	850	100	15	5	0	922	66	14	974	2
GTEX-1QCLZ	0	478	2	19	643	0	1	612	684	84	5	5	0	623	28	11	582	2
GTEX-1RB15	0	582	1	16	804	0	0	788	768	130	16	3	1	670	32	8	759	0
GTEX-13PVR	0	239	1	3	269	1	1	275	262	33	3	3	0	274	11	4	263	0
GTEX-ZTPG	0	1711	8	60	1900	3	11	1872	1826	163	8	33	3	1921	39	12	1711	4
GTEX-PLZ6	0	96	0	2	85	0	0	73	76	7	0	2	0	86	5	0	85	0
GTEX-1399U	0	1585	6	47	1601	0	4	1617	1523	229	26	1	1	1591	61	17	1596	2
GTEX-YB5K	0	2704	16	56	2409	1	3	2293	2299	227	15	11	1	2391	70	15	2050	4
GTEX-1PDJ9	0	1109	6	25	1129	0	0	1135	1301	145	31	17	3	1108	119	3	1023	0
GTEX-13SLW	0	158	0	1	154	0	0	143	140	14	0	0	0	140	7	0	167	0
GTEX-16GPK	0	229	0	3	247	0	0	256	261	22	2	2	0	254	9	1	247	0
GTEX-1PIEJ	0	731	7	8	906	0	4	807	800	128	24	4	0	710	52	7	674	0
GTEX-13112	0	747	8	14	791	0	3	726	706	74	1	2	0	716	20	3	685	0
GTEX-WOFL	0	350	1	14	351	0	0	339	393	41	4	0	0	381	24	3	425	0
GTEX-ZAK1	0	1246	3	18	1397	0	0	1498	1421	134	16	11	0	1400	57	15	1357	0
GTEX-1GZ4I	1	1930	12	58	2196	0	3	2151	2377	213	31	19	4	2079	85	14	2114	3
GTEX-1PBJJ	0	41	0	2	43	0	0	42	51	11	0	0	0	32	3	0	49	0
GTEX-13OW8	0	879	5	12	917	0	0	941	874	141	13	3	0	893	20	16	958	1
GTEX-1QP2A	0	840	2	23	904	0	1	798	907	85	10	5	4	811	46	6	853	2
GTEX-145MH	1	740	6	6	801	0	0	750	774	93	4	3	0	755	16	3	709	0
GTEX-1E2YA	0	126	0	2	142	0	0	103	111	21	2	0	0	109	2	2	100	0
GTEX-13X6H	0	868	10	26	864	0	0	876	834	89	21	1	1	867	39	33	799	4
GTEX-OIZG	0	251	0	6	227	0	0	223	214	43	4	4	0	206	19	3	237	0
GTEX-12WSJ	0	1814	6	67	1698	1	5	1613	1550	235	11	14	0	1686	36	23	1593	1
GTEX-N7MS	0	2174	11	29	2062	1	1	2090	2514	180	11	6	0	2355	73	11	2251	3
GTEX-1A3MV	0	196	0	6	256	0	0	244	261	38	3	3	0	226	18	1	233	0
GTEX-144GM	0	338	2	9	339	0	1	316	312	54	3	0	0	290	13	4	346	1
GTEX-1LVAM	0	816	2	21	930	0	0	907	870	113	16	10	1	813	23	3	801	0
GTEX-14PJ5	0	281	0	7	300	0	1	244	236	32	4	6	0	270	11	1	237	0
GTEX-133LE	0	247	0	7	248	0	0	217	273	33	1	2	0	216	19	0	221	0
GTEX-1R9PO	0	136	1	0	190	1	0	176	182	28	0	1	0	191	9	0	186	0
GTEX-X5EB	0	260	0	4	272	1	1	296	256	44	1	2	0	299	4	3	292	0
GTEX-16XZZ	0	229	0	8	312	0	0	304	290	43	2	0	0	324	11	4	318	0
GTEX-14PII	0	827	2	13	891	0	0	853	891	106	13	2	0	830	41	4	768	2
GTEX-15ER7	0	789	4	17	931	0	1	888	1083	95	2	3	1	911	42	4	869	1
GTEX-ZPCL	0	820	3	18	902	0	0	907	877	94	11	3	0	859	44	13	807	1
GTEX-1LG7Z	1	1437	11	26	1619	0	4	1657	1744	203	26	20	2	1667	97	16	1522	2
