individual	chr15:40335700:40335784:cluster33050	chr15:40335700:40336574:cluster33050	chr15:40335826:40336574:cluster33050	chr15:40335888:40336574:cluster33050
GTEX-1IDJE	91	4	64	6
GTEX-14PJ5	85	3	61	4
GTEX-1R9PO	63	5	41	3
GTEX-X5EB	43	2	33	1
GTEX-14PII	72	4	49	4
GTEX-15ER7	218	14	169	10
GTEX-13OW6	91	6	61	3
GTEX-ZPCL	86	3	63	5
GTEX-1LG7Z	117	5	91	5
GTEX-SNMC	87	3	61	5
GTEX-15SHV	165	9	118	8
GTEX-13PLJ	46	2	34	3
GTEX-1128S	59	5	49	2
GTEX-QCQG	107	7	76	4
GTEX-1GF9U	103	5	65	3
GTEX-OXRL	58	2	44	1
GTEX-14PJM	69	2	54	2
GTEX-1EH9U	34	2	27	2
GTEX-15SKB	54	4	47	2
GTEX-1BAJH	108	8	70	3
GTEX-12WSL	45	4	32	2
GTEX-111YS	71	5	48	3
GTEX-1O9I2	34	1	28	1
GTEX-1CAMQ	40	1	25	2
GTEX-1B8L1	71	4	57	3
GTEX-14JG1	110	9	79	4
GTEX-17JCI	110	7	74	2
GTEX-1JJ6O	82	4	56	6
GTEX-13OVK	33	2	23	1
GTEX-WRHU	133	5	96	8
GTEX-13OVG	47	3	38	2
GTEX-YECK	30	3	24	2
GTEX-13D11	52	2	40	1
GTEX-ZP4G	101	5	74	3
GTEX-17EVP	102	5	73	7
GTEX-1F48J	102	7	69	7
GTEX-1R9K5	60	3	35	3
GTEX-1R9JW	102	4	74	5
GTEX-QESD	56	1	36	2
GTEX-1399S	60	4	39	2
GTEX-11O72	23	2	13	1
GTEX-WWTW	7	0	5	0
GTEX-QDVJ	40	1	30	1
GTEX-15RIE	78	4	64	3
GTEX-1RAZQ	174	7	126	5
GTEX-1JKYR	96	5	76	4
GTEX-17F98	78	4	56	2
GTEX-PW2O	23	1	22	1
GTEX-XAJ8	70	5	47	3
GTEX-ZF29	76	3	55	4
GTEX-15UKP	116	6	84	6
GTEX-11GS4	71	4	52	4
GTEX-13OW7	127	5	87	8
