individual	chr15:88887345:88887426:cluster36582	chr15:88887345:88892974:cluster36582	chr15:88887345:88895459:cluster36582	chr15:88887345:88901551:cluster36582	chr15:88893112:88895459:cluster36582	chr15:88899532:88899656:cluster36582	chr15:88899532:88900657:cluster36582	chr15:88899532:88901551:cluster36582	chr15:88899811:88900657:cluster36582	chr15:88899811:88901551:cluster36582	chr15:88899811:88901571:cluster36582	chr15:88900716:88901551:cluster36582	chr15:88900758:88901551:cluster36582
GTEX-1PPGY	2	1	8	0	1	594	2	64	17	570	0	5	22
GTEX-13CF2	0	0	5	0	0	182	0	20	3	202	2	2	2
GTEX-13RTK	3	2	2	0	1	754	2	120	22	768	4	5	27
GTEX-ZXG5	0	0	11	0	2	787	3	71	11	834	2	0	11
GTEX-1F75B	2	0	1	1	0	903	0	63	24	905	2	8	8
GTEX-1QP6S	0	0	0	0	0	209	0	11	6	240	0	2	7
GTEX-11NUK	0	0	0	0	0	167	0	13	2	155	0	0	2
GTEX-14PJN	4	0	2	0	1	836	2	51	29	811	2	5	21
GTEX-147F4	0	1	1	0	0	198	0	11	5	233	0	1	7
GTEX-13W3W	2	0	6	1	0	793	0	54	23	690	2	3	19
GTEX-QV31	0	0	0	0	0	596	0	35	20	522	3	5	18
GTEX-1B933	0	1	1	0	0	253	0	19	6	231	0	0	1
GTEX-1313W	0	0	4	0	1	308	0	23	6	347	1	2	6
GTEX-12ZZY	0	0	2	0	0	233	0	17	1	225	1	0	2
GTEX-1C6WA	0	0	5	0	3	430	1	34	7	496	1	0	10
GTEX-XUZC	0	0	2	0	0	1227	2	121	31	1208	9	8	30
GTEX-18A7B	0	1	11	2	0	1048	2	97	19	1012	3	3	19
GTEX-183FY	0	0	5	0	1	404	1	61	8	401	2	1	10
GTEX-111FC	2	2	3	0	0	309	0	28	3	340	2	1	3
GTEX-1KD5A	0	0	5	1	1	698	0	69	9	705	1	5	9
GTEX-1LSNL	0	0	1	0	1	291	0	28	4	270	0	1	5
GTEX-1S83E	0	1	5	0	2	654	2	40	28	622	6	5	23
GTEX-UTHO	2	1	1	0	1	682	0	51	26	796	5	6	18
GTEX-ZDYS	0	3	2	0	2	585	0	50	23	590	4	3	31
GTEX-ZLV1	0	0	7	0	0	1382	1	105	18	1471	1	3	19
GTEX-1GF9W	1	1	1	0	0	450	4	67	11	467	0	1	14
GTEX-18A6Q	0	0	3	0	1	381	0	39	7	404	1	1	2
GTEX-13FTZ	0	0	3	0	1	320	2	23	3	332	0	1	13
GTEX-1L5NE	2	0	2	0	2	824	2	74	19	936	1	2	14
GTEX-1I4MK	0	0	2	0	2	1069	4	124	34	1058	2	10	26
GTEX-1MCYP	0	0	1	0	0	678	0	51	22	712	6	6	16
GTEX-1JMQJ	0	0	2	0	0	331	1	36	9	258	0	3	12
GTEX-1212Z	0	0	2	1	0	385	0	50	10	441	0	3	5
GTEX-1F5PL	4	1	3	0	0	760	3	57	22	774	3	4	22
GTEX-1GN1W	0	0	1	0	0	718	3	55	15	723	1	4	29
GTEX-1S82P	3	1	6	4	0	751	1	87	8	717	0	1	15
GTEX-TMMY	4	5	11	5	0	1161	4	140	31	1434	7	8	24
GTEX-1N2DW	3	0	1	0	0	449	1	63	17	446	0	2	6
GTEX-13O3O	1	0	2	0	0	402	0	60	7	382	1	0	12
GTEX-U8T8	1	0	13	2	1	1022	2	75	32	1002	7	5	22
GTEX-ZF2S	0	0	6	0	0	493	1	25	18	542	2	0	14
GTEX-ZV6S	1	0	7	0	0	876	1	45	20	866	7	1	10
GTEX-WEY5	3	0	7	0	1	1668	8	135	58	1482	5	12	44
GTEX-1399T	0	0	3	0	0	183	0	11	9	185	1	1	3
GTEX-131XF	0	0	1	0	0	604	4	62	22	626	1	3	16
GTEX-1F75A	0	0	2	2	0	330	0	38	12	323	0	2	8
GTEX-P44G	2	1	5	1	4	447	3	60	15	534	0	0	13
GTEX-14LZ3	0	1	6	0	1	520	0	46	6	554	0	1	2
GTEX-13O3Q	0	0	1	0	2	233	2	24	10	248	2	2	5
GTEX-146FQ	0	3	12	3	1	799	4	62	25	774	2	7	10
GTEX-13QBU	0	1	1	1	0	970	3	85	34	980	6	3	38
GTEX-13U4I	0	0	7	0	1	454	0	67	6	455	1	0	14
GTEX-RNOR	0	0	0	2	0	408	0	28	10	392	0	0	15
GTEX-WYJK	2	1	4	0	0	1457	3	210	29	1379	8	7	46
GTEX-1B97I	1	0	3	0	0	689	1	56	34	730	2	2	26
GTEX-XOT4	0	0	5	1	1	410	1	66	9	467	2	0	6
GTEX-PLZ4	1	1	9	0	0	425	0	28	8	428	3	2	8
GTEX-1IDFM	2	2	11	3	2	955	1	75	26	955	0	2	15
GTEX-15RIG	1	1	3	0	1	891	2	57	27	764	6	7	27
GTEX-13FTW	0	1	4	0	2	1369	1	109	35	1490	1	10	40
GTEX-13RTL	3	0	12	3	0	623	0	35	10	596	3	3	15
GTEX-15G1A	0	1	5	0	0	719	2	88	16	745	3	0	14
GTEX-17HGU	2	3	1	0	1	401	0	50	10	450	0	2	14
GTEX-QV44	0	0	1	0	0	529	2	67	9	539	1	2	8
GTEX-1JMQI	1	0	7	2	0	923	0	77	15	894	1	3	15
GTEX-ZV68	0	0	4	0	1	450	2	45	3	429	1	2	2
GTEX-1M4P7	1	0	12	1	3	707	0	67	14	659	1	1	2
GTEX-ZF3C	1	1	6	0	3	487	2	43	21	506	1	6	24
GTEX-PWCY	0	0	0	0	0	875	0	81	25	919	1	1	18
GTEX-14BIL	2	1	2	0	1	636	3	54	21	609	1	3	19
GTEX-SJXC	2	1	4	2	0	381	1	44	12	488	1	0	14
GTEX-1GMRU	0	0	2	0	0	299	2	37	9	302	2	0	6
GTEX-YEC3	0	0	3	0	0	1041	1	149	23	990	7	9	25
GTEX-1R9PN	4	10	8	2	2	2280	0	239	58	2752	13	6	56
GTEX-1269C	0	0	4	0	1	450	0	26	12	454	1	1	5
GTEX-1AMFI	0	1	2	0	4	1103	2	75	25	1065	9	4	17
GTEX-1R9PM	0	0	4	1	0	527	0	67	10	571	5	1	5
GTEX-1192X	0	0	5	0	0	398	1	18	17	398	2	4	11
GTEX-1LSNM	0	3	3	0	0	873	3	85	19	898	5	6	17
GTEX-1MUQO	0	0	3	4	0	1183	2	107	21	1203	10	4	21
GTEX-15D79	0	0	0	1	0	515	0	48	11	490	2	3	6
GTEX-1EU9M	1	0	5	0	3	447	1	41	12	461	1	0	3
GTEX-U3ZN	0	0	9	1	0	1320	4	193	36	1545	2	3	29
GTEX-11ZTS	1	0	1	0	0	165	0	22	0	152	1	0	2
GTEX-145MO	2	0	1	1	0	763	1	110	22	739	3	6	19
GTEX-13N1W	3	1	4	0	1	307	3	45	8	322	0	2	8
GTEX-117YW	0	0	1	0	0	187	1	22	3	191	1	0	2
GTEX-16MT8	3	3	9	0	5	830	1	101	32	788	1	10	18
GTEX-1F6IF	0	0	3	0	1	454	0	45	15	470	0	3	7
GTEX-1F7RK	1	0	3	0	0	290	3	26	11	270	0	0	10
GTEX-1R9K4	6	2	8	2	4	581	3	59	13	568	1	3	13
GTEX-YJ8O	1	0	1	0	0	193	2	17	1	177	1	0	2
GTEX-1QEPI	0	0	5	0	2	485	0	47	7	454	1	3	4
GTEX-1EWIQ	0	1	6	0	3	406	0	38	11	395	2	1	12
GTEX-Y5LM	0	1	2	0	0	655	4	34	20	677	1	3	23
GTEX-17KNJ	1	0	3	0	0	343	1	37	12	287	1	0	2
GTEX-1A8FM	4	2	2	0	0	342	1	47	8	363	2	3	5
GTEX-V955	1	2	22	0	0	1685	5	145	34	1704	16	2	37
GTEX-ZT9X	0	0	0	0	0	403	2	26	13	365	2	2	10
GTEX-P4PQ	3	0	4	4	0	1033	0	92	43	1004	0	8	32
GTEX-1GN73	3	0	2	0	0	316	0	40	12	317	1	0	2
GTEX-14E6D	0	0	1	0	0	256	0	29	4	278	0	1	5
GTEX-1S82Y	0	0	14	1	1	914	0	68	25	828	3	1	28
GTEX-18A66	0	0	3	0	0	405	2	33	21	460	4	1	14
GTEX-15CHC	2	1	3	0	2	955	2	81	26	802	6	9	29
GTEX-13O21	2	1	4	2	0	757	0	92	28	828	5	5	37
GTEX-1RB15	0	0	1	0	1	369	0	30	13	391	0	4	11
GTEX-1314G	0	1	10	2	2	474	0	38	10	476	3	0	10
GTEX-ZTPG	0	1	4	1	0	480	1	43	15	508	2	4	11
GTEX-1399U	0	0	3	0	1	778	2	44	22	766	4	3	17
GTEX-YB5K	2	1	3	3	0	1027	2	86	35	1007	3	7	38
GTEX-16GPK	0	0	4	0	1	201	0	18	2	193	0	1	2
GTEX-1PIEJ	0	1	4	0	0	532	1	58	6	566	4	5	14
GTEX-13112	0	0	1	0	0	176	0	14	1	199	0	1	1
GTEX-WHSB	2	3	6	0	2	1213	6	120	51	1178	4	6	54
GTEX-WOFL	6	6	30	5	12	1821	1	172	71	1887	7	6	84
GTEX-1GZ4I	0	3	9	1	1	590	0	57	10	609	0	0	9
GTEX-1PBJJ	2	3	8	0	3	408	1	41	11	430	2	2	8
GTEX-13OW8	3	2	5	0	1	324	0	43	17	363	2	3	9
GTEX-1QP2A	2	1	3	0	1	1023	1	97	25	1038	3	5	22
GTEX-1E2YA	1	0	1	0	1	528	2	59	17	509	1	8	11
GTEX-11GSP	1	0	4	1	1	305	2	30	9	283	1	4	3
GTEX-1F5PK	3	0	9	1	0	1301	6	87	54	1314	3	9	34
GTEX-1A3MV	0	0	1	0	0	1092	1	115	40	1193	5	6	37
GTEX-1IDJE	0	0	7	2	0	556	3	57	18	468	2	3	11
GTEX-1LVAM	3	0	5	1	1	924	1	46	17	944	4	4	11
GTEX-14PJ5	6	0	7	0	0	860	4	60	46	868	4	8	15
GTEX-133LE	0	1	1	0	1	496	0	45	11	525	0	2	6
GTEX-16XZZ	0	0	9	1	0	1051	0	115	22	1089	4	6	32
GTEX-1K2DU	2	0	8	1	0	687	4	71	19	697	0	5	17
GTEX-14PII	0	2	9	2	0	724	0	47	14	685	6	0	12
GTEX-15ER7	3	0	4	0	0	1291	5	129	12	1333	3	8	27
GTEX-1LG7Z	1	0	10	2	0	1943	4	152	40	1869	5	11	36
GTEX-U3ZM	2	0	0	3	1	1018	1	87	31	1158	2	2	23
GTEX-1A8G6	0	2	6	0	0	379	0	24	10	392	1	0	6
GTEX-14PN4	0	1	4	0	0	295	1	29	14	299	0	0	13
GTEX-SNMC	0	0	0	0	0	880	0	70	14	904	3	0	14
GTEX-15SHV	5	0	3	0	1	2261	2	169	26	2273	1	6	32
GTEX-18465	0	0	2	0	0	211	0	26	7	191	0	0	2
GTEX-1QP66	1	1	7	1	2	1122	2	112	51	1079	3	10	34
GTEX-15SB6	0	2	5	0	2	593	1	41	10	581	1	10	12
GTEX-144GL	0	2	1	0	1	261	0	27	7	255	0	0	6
GTEX-14PJ6	0	2	5	0	5	716	1	37	28	719	3	3	25
GTEX-1MCQQ	6	0	4	1	1	547	1	62	17	516	3	3	11
GTEX-11NSD	0	0	1	0	0	314	0	49	8	343	0	3	5
GTEX-14PJM	0	1	3	0	0	246	1	38	10	254	1	0	2
GTEX-1B8KZ	0	0	5	0	0	433	0	23	7	465	1	0	10
GTEX-1EH9U	3	1	3	0	0	972	3	110	23	1019	4	4	19
GTEX-15SKB	2	0	2	0	0	597	0	67	5	542	1	2	9
GTEX-1BAJH	1	0	2	0	0	266	1	33	12	279	4	2	11
GTEX-ZVZP	0	0	4	2	0	967	3	66	23	1009	9	3	26
GTEX-WY7C	2	0	0	0	1	1354	1	141	31	1438	2	6	17
GTEX-13QIC	0	1	3	1	2	288	0	27	4	283	1	1	8
GTEX-12WSL	2	0	6	0	2	416	2	49	19	357	4	4	16
GTEX-12KS4	0	0	1	0	0	259	0	30	12	236	2	3	6
GTEX-11I78	1	0	1	1	2	891	2	44	25	898	8	3	21
GTEX-Z93S	0	0	3	2	0	397	0	34	9	433	0	3	13
GTEX-111YS	1	2	4	0	2	1117	0	58	28	1092	4	7	30
GTEX-13111	1	0	0	0	2	750	3	75	12	684	5	6	14
GTEX-14H4A	2	1	0	1	0	666	0	53	18	667	2	6	18
GTEX-139TS	0	0	3	0	0	412	0	52	7	471	0	1	6
GTEX-14PK6	1	0	0	0	0	269	1	35	3	279	1	3	3
GTEX-1B8L1	0	0	0	1	0	186	0	13	2	183	0	0	4
GTEX-14JG1	0	0	0	0	0	225	0	14	4	214	0	0	4
GTEX-ZA64	1	0	0	1	0	630	2	86	26	630	4	4	30
GTEX-1JJ6O	0	0	8	0	0	1012	3	44	36	1035	6	9	20
GTEX-13OVK	0	1	3	2	2	275	1	36	7	297	3	5	10
GTEX-12ZZX	1	0	2	0	0	245	0	20	5	247	0	1	4
GTEX-YECK	1	0	3	0	0	449	0	51	9	409	1	1	6
GTEX-OIZF	1	0	5	0	1	743	0	100	14	720	3	6	8
GTEX-14XAO	0	0	6	0	0	878	2	98	16	779	3	1	11
GTEX-ZZPU	1	0	1	0	0	1368	5	123	53	1264	7	9	53
GTEX-13D11	0	0	2	1	0	589	1	43	15	591	3	4	15
GTEX-ZP4G	1	0	1	0	4	965	2	125	26	907	6	6	14
GTEX-15DZA	2	1	2	1	1	1279	3	139	41	1449	3	8	37
GTEX-1B8SF	0	0	1	0	0	355	0	23	15	309	2	2	5
GTEX-17EVP	1	0	1	0	0	284	0	19	10	297	0	0	3
GTEX-147GR	0	0	3	0	0	323	0	29	7	288	2	1	7
GTEX-11P81	1	0	1	2	0	201	0	20	2	217	0	2	7
GTEX-1CB4I	5	1	2	0	1	1563	4	211	28	1640	6	10	25
GTEX-1R9JW	3	0	4	3	0	1048	3	96	34	1085	3	1	30
GTEX-1399S	2	1	1	1	0	554	1	68	18	573	2	0	14
GTEX-P4QT	0	0	6	1	0	568	0	87	16	586	6	1	13
GTEX-WWTW	0	0	5	0	0	548	3	53	14	574	2	5	3
GTEX-Q734	1	0	0	0	0	304	0	27	9	295	0	4	4
GTEX-1A8G7	1	0	1	0	0	310	0	27	12	350	0	0	5
GTEX-1B932	0	0	3	0	0	299	0	23	5	317	1	2	1
GTEX-RM2N	0	2	0	0	0	658	0	60	16	630	2	2	12
GTEX-WFG7	0	0	2	0	0	286	0	29	6	351	2	2	11
GTEX-ZEX8	0	1	4	1	0	684	0	44	25	662	4	0	24
GTEX-WL46	0	3	3	0	0	608	0	48	8	641	2	0	8
GTEX-12WSN	1	0	2	1	0	780	0	64	17	733	3	0	28
GTEX-1R7EV	5	1	7	2	2	967	7	85	55	966	9	4	40
GTEX-1JKYR	1	0	3	0	0	693	0	52	7	650	3	2	9
GTEX-17F98	2	3	0	0	4	563	4	77	18	576	0	6	21
GTEX-Y5V6	0	1	1	0	0	473	2	45	24	505	1	5	14
GTEX-111CU	2	0	0	0	0	650	3	47	16	634	4	1	18
GTEX-15UKP	0	0	2	0	0	1002	2	86	14	998	1	2	21
GTEX-17F97	0	2	10	0	3	578	0	72	12	665	0	3	11
GTEX-13NZB	0	0	4	2	0	468	2	33	7	503	2	0	10
GTEX-PSDG	0	0	6	0	2	944	2	78	30	1018	4	3	26
GTEX-ZVE2	0	3	8	0	3	653	0	68	7	666	0	0	5
GTEX-Z9EW	0	0	0	1	0	628	0	65	4	604	3	1	9
GTEX-11GS4	0	0	2	0	0	203	0	10	3	204	1	0	1
GTEX-OXRN	4	1	12	2	2	800	0	89	9	765	1	3	6
GTEX-S95S	0	0	1	0	0	551	0	38	19	576	4	0	12
GTEX-1QP28	2	6	2	1	0	1041	3	61	50	961	9	6	26
GTEX-XV7Q	1	1	6	0	0	497	2	35	14	490	0	1	11
