individual	chr5:79613075:79615075:cluster40531	chr5:79613075:79619612:cluster40531	chr5:79615163:79619612:cluster40531	chr5:79641196:79642832:cluster40531	chr5:79641196:79642844:cluster40531	chr5:79641196:79645123:cluster40531	chr5:79642910:79645123:cluster40531	chr5:79642985:79645123:cluster40531
GTEX-1LG7Z	0	28	0	33	10	3	48	6
GTEX-1R7EU	0	24	0	16	12	7	36	6
GTEX-U3ZM	0	35	0	29	14	1	39	4
GTEX-1A8G6	0	16	0	6	6	3	23	1
GTEX-14PN4	0	11	0	11	4	3	22	3
GTEX-WFON	0	23	0	20	16	3	50	6
GTEX-15SHV	0	24	0	29	12	6	52	3
GTEX-1128S	0	9	0	12	9	3	24	2
GTEX-RN64	0	14	0	14	3	2	22	1
GTEX-1QP66	0	32	0	29	9	8	51	5
GTEX-1JN1M	0	12	0	10	4	5	20	2
GTEX-15SB6	0	26	0	15	10	3	37	0
GTEX-144GL	0	10	0	9	1	2	14	0
GTEX-14PJ6	0	17	0	14	11	2	22	1
GTEX-1MCQQ	0	15	0	14	11	0	24	3
GTEX-OXRL	0	14	0	14	7	4	23	3
GTEX-1B8KZ	0	23	0	17	8	0	27	2
GTEX-139YR	0	22	0	9	7	4	28	2
GTEX-U8XE	0	11	0	11	4	2	17	0
GTEX-WY7C	0	23	0	28	17	4	33	3
GTEX-11ZTT	0	19	0	21	9	2	30	2
GTEX-12WSL	0	20	0	26	17	3	34	3
GTEX-12KS4	0	14	0	13	8	0	25	0
GTEX-1GMR8	0	24	0	23	10	0	42	1
GTEX-1O9I2	0	11	0	17	3	2	19	1
GTEX-1B8L1	0	12	0	8	5	0	18	2
GTEX-1PIIG	0	13	0	12	6	4	17	2
GTEX-12WSA	0	30	0	16	12	3	28	1
GTEX-ZP4G	0	25	0	24	15	10	45	4
GTEX-15DZA	0	33	0	30	15	2	63	4
GTEX-14C39	0	24	0	30	11	4	36	5
GTEX-17EVP	0	12	0	14	11	1	22	0
GTEX-147GR	0	6	0	4	2	1	7	0
GTEX-11P81	0	12	0	14	7	0	20	3
GTEX-13CF3	0	18	0	25	9	0	32	2
GTEX-1F48J	0	34	0	34	10	9	40	5
GTEX-12WSF	0	17	0	16	10	0	20	3
GTEX-1R9JW	0	28	0	21	7	1	36	4
GTEX-11O72	0	10	0	12	5	1	15	1
GTEX-P4QT	0	23	0	19	16	5	32	2
GTEX-WWTW	0	6	0	12	3	1	16	1
GTEX-Q734	0	8	0	12	8	2	19	1
GTEX-1A8G7	0	15	0	17	5	1	29	1
GTEX-1B932	0	21	0	21	12	2	38	3
GTEX-ZEX8	0	31	0	28	16	2	53	5
GTEX-WL46	0	12	0	13	5	0	24	2
GTEX-1GF9V	0	10	0	15	7	4	26	1
GTEX-13FHO	0	15	0	17	7	2	24	1
GTEX-RUSQ	0	3	0	4	3	0	9	1
GTEX-1ICLY	0	13	0	11	7	2	11	0
GTEX-111CU	0	21	0	15	14	1	32	3
GTEX-PW2O	0	7	0	7	5	1	7	0
GTEX-XAJ8	0	31	0	18	16	3	31	5
GTEX-15UKP	0	17	0	9	8	1	23	0
GTEX-1CB4J	0	47	0	32	11	8	52	1
GTEX-Z9EW	0	13	0	13	6	0	19	1
GTEX-XV7Q	0	12	0	15	6	2	22	3
