individual	chr1:201415252:201417779:cluster67746	chr1:201415252:201421667:cluster67746	chr1:201415254:201416027:cluster67746	chr1:201415254:201417116:cluster67746	chr1:201415254:201417779:cluster67746	chr1:201415254:201417783:cluster67746	chr1:201415254:201421673:cluster67746	chr1:201417119:201417783:cluster67746	chr1:201417812:201421673:cluster67746	chr1:201417812:201427175:cluster67746	chr1:201421726:201421887:cluster67746	chr1:201421726:201422019:cluster67746	chr1:201421726:201427175:cluster67746	chr1:201421726:201428084:cluster67746	chr1:201421726:201428838:cluster67746	chr1:201421726:201429181:cluster67746	chr1:201422033:201427175:cluster67746	chr1:201427293:201428084:cluster67746	chr1:201427293:201428838:cluster67746	chr1:201427293:201429181:cluster67746
GTEX-YF7O	0	0	0	3976	19	4	1	3975	2631	0	0	18	0	1	0	0	0	0	0	0
GTEX-13X6I	0	0	0	2947	6	3	0	2944	2060	0	6	5	3	0	0	0	0	0	0	0
GTEX-14PJO	0	0	0	4623	21	3	0	4609	3110	0	3	9	0	0	0	0	0	0	0	0
GTEX-1CAMR	0	0	0	169	0	0	0	168	107	0	0	0	0	0	0	0	0	0	0	0
GTEX-14A6H	2	0	0	3093	15	15	1	3042	2045	0	5	8	2	0	1	0	0	0	0	0
GTEX-13PL7	1	0	0	485	2	0	0	483	313	0	0	2	0	0	0	0	0	0	0	0
GTEX-11EQ9	1	0	0	4087	3	2	1	4081	2733	0	3	5	0	0	0	0	0	0	0	0
GTEX-13OVJ	1	0	0	7078	15	6	0	7069	4719	0	5	10	0	0	0	2	0	1	0	0
GTEX-13OW5	0	0	0	7948	18	12	2	7940	5291	1	4	17	3	0	0	0	0	0	0	0
GTEX-16MTA	0	0	0	10280	63	39	1	10261	7059	3	5	22	1	3	4	0	0	2	2	0
GTEX-ZQG8	1	0	0	5759	33	8	1	5751	3720	0	2	7	1	0	0	0	0	0	0	0
GTEX-U3ZG	1	0	3	10923	37	6	3	10753	7125	1	4	17	5	0	0	0	0	0	1	0
GTEX-139T4	1	0	0	3223	25	2	1	3200	2213	0	1	1	1	0	0	0	0	0	0	0
GTEX-13NZA	2	0	0	17066	78	27	2	16998	11928	1	5	22	4	0	4	3	0	2	5	0
GTEX-1GN1V	5	0	0	19585	75	18	6	19357	13213	1	14	27	4	0	0	0	0	0	2	0
GTEX-14C38	0	1	0	6562	30	2	1	6555	4356	0	1	12	0	0	0	0	0	0	0	0
GTEX-XBED	1	0	0	3701	11	3	0	3694	2538	0	1	6	0	0	0	0	0	1	1	0
GTEX-14BMV	1	0	3	27926	46	70	7	27559	18869	2	16	61	36	0	18	7	4	4	19	9
GTEX-U4B1	0	0	0	2800	8	3	1	2795	1928	0	4	6	2	0	0	0	0	0	0	0
GTEX-1F75W	4	0	0	14898	100	22	5	14783	10326	7	14	31	11	2	12	5	1	8	2	7
GTEX-146FR	1	0	0	5745	24	15	2	5725	3910	0	1	19	4	0	0	0	1	0	3	0
GTEX-17F96	0	0	0	46	0	0	0	44	29	0	0	0	0	0	0	0	0	0	0	0
GTEX-1B8KE	0	0	0	3518	9	4	2	3509	2463	0	0	6	2	0	0	0	0	0	0	0
GTEX-ZVT2	0	0	0	427	0	0	0	426	311	0	1	1	0	0	0	0	0	0	0	0
GTEX-X4XX	0	0	0	5488	18	6	2	5420	3786	0	11	16	1	0	0	0	0	0	1	0
GTEX-Y5V5	1	0	0	5825	19	12	0	5807	3855	0	3	13	2	0	0	1	0	1	0	1
GTEX-1C64N	0	0	0	4741	29	5	0	4635	3053	2	4	8	0	0	0	0	0	0	2	1
GTEX-16YQH	6	1	11	30185	147	20	5	29887	20266	9	15	82	23	4	17	4	3	7	9	5
GTEX-14PQA	0	0	0	460	2	0	0	459	315	0	1	4	0	0	0	0	0	0	0	0
GTEX-S33H	2	0	0	14308	70	16	4	14125	9864	3	14	41	7	0	3	1	0	0	4	0
GTEX-13JVG	0	0	0	3772	15	3	1	3745	2608	0	3	6	0	0	0	1	0	0	0	0
GTEX-1CB4G	1	3	5	18784	123	13	2	18631	12191	5	10	39	19	5	9	0	3	1	8	0
GTEX-13S7M	0	0	0	5447	7	0	1	5439	3841	0	6	13	4	1	5	0	3	0	0	1
GTEX-1122O	0	0	0	478	0	0	0	477	294	0	0	1	0	0	0	0	0	0	0	0
GTEX-ZAB5	0	0	0	4698	29	18	1	4666	3188	0	2	22	0	0	1	0	0	0	0	0
GTEX-1LB8K	4	0	0	18203	45	34	9	18056	12250	5	7	35	8	0	3	2	3	0	16	3
GTEX-17MFQ	0	0	0	2940	3	5	2	2930	1964	0	4	7	1	0	1	0	0	0	3	0
GTEX-TMZS	1	0	0	419	1	0	1	411	297	0	0	1	0	0	0	0	0	0	0	0
GTEX-1LC47	2	0	0	10736	37	10	2	10679	7035	3	10	11	0	0	2	0	0	3	1	0
GTEX-14753	0	0	0	3854	14	3	1	3842	2511	0	5	8	0	0	0	0	0	0	0	0
GTEX-139T6	0	0	0	2433	4	8	0	2413	1619	0	1	9	0	1	0	0	0	0	0	0
GTEX-13PL6	1	0	0	7562	24	6	0	7469	5069	0	1	10	1	1	0	0	0	1	1	0
GTEX-12ZZZ	8	1	0	18562	120	46	7	18353	12544	4	13	27	16	4	2	1	0	1	12	3
GTEX-14DAR	1	0	0	5133	20	7	0	5126	3499	0	6	10	0	0	0	0	0	1	0	0
GTEX-1I6K7	0	0	0	19231	74	60	6	18948	12900	3	16	40	11	0	8	3	0	1	8	3
GTEX-131XW	0	0	2	11856	65	21	4	11806	8002	2	4	25	20	2	6	6	1	5	1	0
GTEX-11EMC	2	0	0	10286	55	10	5	10119	6805	0	4	4	1	0	0	0	0	0	1	0
GTEX-1399R	0	0	0	65	0	0	0	63	43	0	0	0	0	0	0	0	0	0	0	0
GTEX-X4XY	4	0	0	12775	41	27	1	12662	8666	4	6	27	7	3	7	2	0	5	1	1
GTEX-15UF7	0	0	0	3986	26	9	0	3968	2750	0	1	9	1	3	0	0	0	1	0	0
GTEX-113JC	4	0	0	24429	165	18	5	24346	16545	6	8	36	23	0	21	4	3	10	3	6
GTEX-1PPGY	5	2	0	24441	86	37	9	24170	16292	10	17	54	26	2	21	4	4	3	20	8
GTEX-13CF2	0	0	0	15982	56	9	5	15774	10778	4	6	16	14	0	6	1	4	2	1	4
GTEX-ZXG5	1	0	0	4658	20	5	0	4635	3032	0	1	9	1	1	0	0	0	0	0	0
GTEX-1C6VQ	1	1	0	6830	39	27	4	6743	4474	1	2	12	0	0	0	0	0	1	0	0
GTEX-1OFPY	0	0	0	3722	7	10	0	3718	2439	0	3	12	5	0	0	2	0	2	3	1
GTEX-1QP6S	3	0	0	9124	21	4	0	9090	6295	1	8	12	7	0	3	0	2	1	4	5
GTEX-11NUK	2	1	0	27099	101	34	10	26757	17964	1	8	62	18	0	12	10	3	9	11	6
GTEX-14PJN	0	0	0	3600	10	8	0	3592	2336	0	0	5	0	0	0	0	0	0	1	0
GTEX-12696	0	0	0	3520	18	2	1	3495	2305	0	2	3	0	0	0	0	0	0	0	0
GTEX-147F4	1	0	0	8992	40	8	1	8889	6037	1	2	25	8	0	1	1	1	4	4	1
GTEX-13W3W	1	0	0	7330	27	5	2	7324	5040	0	4	14	1	0	0	0	0	0	0	0
GTEX-1AX9K	1	0	0	7555	43	10	2	7544	4928	0	8	7	3	1	0	0	1	5	2	2
GTEX-11VI4	0	0	0	5235	46	18	1	5204	3524	0	3	9	3	0	1	0	0	0	0	0
GTEX-WZTO	1	1	0	31451	202	19	9	31257	21157	2	16	45	32	5	21	4	6	3	23	8
GTEX-1313W	0	2	0	22313	63	27	4	22127	15077	5	9	61	20	2	12	10	0	8	11	8
GTEX-12ZZY	1	0	0	17132	61	26	3	17020	11828	3	10	48	22	0	16	3	3	0	16	4
GTEX-XBEW	0	0	0	2776	9	11	2	2770	1802	0	1	9	0	0	0	0	0	0	0	0
GTEX-R53T	0	0	0	1151	4	3	0	1129	826	0	0	3	0	0	0	0	0	0	0	0
GTEX-183FY	2	0	0	12303	67	41	6	12252	8194	0	6	17	2	0	0	0	0	1	1	0
GTEX-145LU	5	0	3	24159	118	25	2	23927	15984	3	8	39	30	3	19	4	4	7	9	5
GTEX-1LNCM	4	0	0	10332	30	3	0	10115	7497	8	3	19	9	3	0	0	0	2	5	1
GTEX-1KD5A	4	0	8	24185	102	42	11	24027	16297	9	20	42	32	5	12	6	4	11	6	8
GTEX-UTHO	0	0	0	643	2	0	0	639	487	0	0	2	0	0	0	0	0	0	0	0
GTEX-ZDYS	2	0	0	6566	20	27	3	6549	4604	1	1	18	5	0	4	1	0	0	0	0
GTEX-1NUQO	2	0	0	12625	31	11	4	12523	8712	0	12	17	0	1	0	0	0	0	1	0
GTEX-ZUA1	3	0	0	23701	133	38	4	23519	16095	5	8	69	40	1	10	5	5	5	2	3
GTEX-18A6Q	0	2	0	27321	110	55	8	26979	18440	12	22	65	42	7	24	5	7	10	12	8
GTEX-1LGOU	0	0	0	7172	22	14	2	7156	4679	0	1	9	0	2	0	0	0	0	0	0
GTEX-1L5NE	2	0	0	13719	32	12	5	13703	9512	1	5	53	1	2	2	2	0	3	1	0
GTEX-1I4MK	0	0	0	6064	25	4	2	6029	4007	0	2	15	2	1	1	0	0	1	0	0
GTEX-X8HC	2	3	0	11303	39	26	4	11258	7645	3	5	20	7	0	3	1	2	3	1	0
GTEX-1MCYP	0	0	0	1245	2	1	1	1245	845	0	0	6	0	0	0	0	0	0	0	0
GTEX-131XG	1	0	0	8318	27	25	3	8305	5533	1	3	18	1	0	0	1	0	0	0	0
GTEX-1JMQJ	2	0	0	3709	12	3	4	3604	2536	0	1	3	0	0	0	0	0	0	0	0
GTEX-16NPX	3	0	0	16304	79	19	6	16157	11041	4	7	38	12	4	2	0	0	3	2	2
GTEX-15ETS	0	0	0	4282	24	6	3	4232	3052	0	6	9	0	0	0	0	0	0	0	0
GTEX-1PPH7	0	0	0	11627	31	16	6	11614	7929	0	4	26	1	0	1	0	0	1	1	1
GTEX-1212Z	5	2	0	23149	66	30	10	22834	16118	6	13	51	11	4	9	1	0	8	2	1
GTEX-1F5PL	5	0	0	14375	67	38	1	14361	9348	0	5	38	3	5	5	2	0	0	1	0
GTEX-1GN1W	1	0	0	7737	43	14	1	7729	5112	3	3	18	1	1	1	0	0	2	1	1
GTEX-1S82P	0	0	0	9269	23	18	3	9191	6677	4	4	15	6	0	0	1	0	3	1	3
GTEX-1QPFJ	0	0	0	191	0	0	0	190	144	0	0	1	0	0	0	0	0	0	0	0
GTEX-12C56	1	0	3	7700	34	15	5	7679	5224	0	5	12	8	0	5	3	3	5	2	2
GTEX-ZYFG	0	0	0	295	2	1	0	294	205	0	0	0	0	0	0	0	0	0	0	0
GTEX-W5WG	0	1	0	8012	23	10	2	8005	5393	0	0	17	0	1	3	1	0	0	1	0
GTEX-1ICG6	0	0	0	372	1	2	0	364	245	0	0	3	0	0	0	0	0	0	0	0
GTEX-1N2DW	11	0	0	35957	93	37	7	35684	25258	8	13	67	26	3	9	3	5	5	6	5
GTEX-13O3O	4	1	0	16749	110	8	4	16710	11638	2	9	32	4	0	4	0	1	0	5	0
GTEX-SN8G	0	1	0	6640	39	8	0	6593	4995	0	2	13	0	0	0	2	0	0	0	0
GTEX-1C2JI	2	0	0	6285	30	8	2	6241	4092	0	5	19	2	0	1	1	0	0	1	0
GTEX-18D9A	0	0	0	6282	26	13	3	6277	4320	0	3	20	1	2	0	0	0	0	0	0
GTEX-1LH75	0	0	0	4122	9	4	3	4116	3086	1	1	7	1	1	0	0	1	0	0	0
GTEX-U8T8	0	0	0	8330	30	8	2	8319	5813	0	3	14	1	0	0	0	0	0	3	0
GTEX-T5JC	1	1	0	25331	149	29	8	25280	17277	15	22	42	24	0	19	4	8	5	11	6
GTEX-ZF2S	0	0	0	4986	11	5	2	4935	3321	0	2	2	0	0	0	0	0	0	0	0
GTEX-ZV6S	1	0	0	2757	12	7	1	2752	1789	0	0	2	0	0	0	0	0	0	0	0
GTEX-14BMU	0	0	0	3062	8	8	1	3063	2029	0	1	10	1	1	0	0	0	0	0	0
GTEX-1399T	5	1	2	24715	112	27	10	24324	16775	6	17	43	25	1	13	4	0	7	10	0
GTEX-1QP9N	2	0	0	10482	49	27	3	10455	7135	0	2	24	2	0	0	2	1	0	0	3
GTEX-11ZUS	2	0	0	23411	101	39	8	23234	15821	3	12	45	15	0	6	1	1	2	1	1
GTEX-131XF	0	0	0	643	3	1	0	643	430	0	0	3	0	0	0	0	0	0	0	0
GTEX-1F75A	2	0	0	25243	163	61	5	25112	16911	9	16	76	37	10	15	5	8	6	14	8
GTEX-13O3Q	0	0	0	15282	49	11	0	15094	10330	0	5	23	11	4	4	3	0	0	1	2
GTEX-139UW	2	1	0	13276	91	11	8	13262	9060	1	6	28	3	1	4	2	1	2	3	2
GTEX-13N2G	1	1	0	16747	76	21	3	16666	11413	0	8	34	2	4	4	0	2	0	3	3
GTEX-13QBU	0	0	0	1242	9	1	0	1238	810	0	0	3	0	0	0	0	0	0	0	0
GTEX-13U4I	0	0	0	9352	35	18	1	9267	6119	0	5	11	1	0	0	0	0	1	0	0
GTEX-RNOR	3	2	0	12031	38	12	6	11962	9031	3	5	24	4	0	1	0	0	0	1	0
GTEX-WYJK	1	1	0	4818	23	3	0	4813	3278	0	13	9	1	0	0	2	0	0	0	0
GTEX-1B97I	0	0	0	2896	18	7	0	2888	1920	0	1	14	1	0	0	0	0	0	1	0
GTEX-1A3MX	0	0	0	18529	82	32	6	18502	12385	5	6	25	10	2	6	1	0	2	3	0
GTEX-XOT4	2	0	0	15632	43	9	8	15570	10601	1	2	22	10	0	5	2	0	3	3	1
GTEX-11GSO	0	0	0	7343	22	9	0	7283	5033	0	5	14	2	1	1	0	1	0	0	0
GTEX-15RIG	0	0	0	4819	19	10	1	4810	3152	1	4	14	0	2	0	1	0	0	1	0
GTEX-WRHK	0	0	0	5716	32	14	1	5704	3974	0	1	32	0	1	0	0	0	0	0	0
GTEX-1E1VI	1	0	0	12066	70	24	5	12001	7966	2	5	22	6	0	7	0	0	2	7	0
GTEX-11ZVC	1	0	0	4725	26	5	3	4701	3158	0	3	6	3	0	3	2	0	0	0	0
GTEX-1339X	2	0	0	10188	55	26	4	10136	6832	1	5	12	3	0	0	0	0	1	2	1
GTEX-15G1A	0	0	0	532	2	3	0	531	342	0	0	1	0	0	0	0	0	0	0	0
GTEX-ZZ64	1	0	0	5803	29	24	3	5798	3882	0	2	4	0	1	1	0	0	0	0	0
GTEX-17HGU	0	0	0	5297	6	15	1	5251	3688	0	6	10	5	0	0	1	0	0	3	0
GTEX-1C6VR	2	0	0	18964	116	29	3	18752	12680	7	18	39	24	2	14	1	3	8	12	5
GTEX-QV44	0	0	0	93	0	0	0	93	70	0	0	0	0	0	0	0	0	0	0	0
GTEX-1JMQI	0	0	0	3053	6	0	1	3034	2060	3	1	3	1	0	0	0	0	0	0	1
GTEX-11OF3	6	2	0	24596	111	20	6	24408	16438	7	25	56	23	5	12	0	3	0	12	8
GTEX-ZV68	2	0	0	14154	107	7	2	14071	9332	9	3	27	8	0	5	1	1	2	3	1
GTEX-1M4P7	4	0	0	24697	117	44	7	24523	16628	6	17	47	25	2	15	2	1	7	21	4
GTEX-ZF3C	2	0	0	3292	7	4	0	3247	2202	0	5	1	0	0	0	0	0	0	0	0
GTEX-Y111	0	1	4	18484	25	27	6	18397	13245	3	9	36	6	2	8	1	0	5	5	0
GTEX-14BIL	2	0	0	24163	84	29	4	23997	16135	3	9	45	1	1	1	0	0	1	1	2
GTEX-1GMRU	1	1	0	20463	75	28	8	20126	13589	3	12	36	12	2	4	3	4	6	2	1
GTEX-1A3MW	1	1	0	6011	11	10	2	5996	4176	0	2	11	1	0	2	0	0	0	0	0
GTEX-X261	0	0	0	3550	11	3	1	3545	2432	0	2	8	0	0	0	0	0	0	0	0
GTEX-13FH7	1	0	0	8529	28	16	0	8497	5700	0	7	25	1	2	1	1	0	2	1	0
GTEX-OIZH	1	1	0	8556	71	15	1	8542	5765	1	8	16	2	0	1	0	0	1	0	1
GTEX-YEC3	0	0	0	2228	10	7	1	2222	1460	0	2	9	0	1	0	0	0	0	0	0
GTEX-Y3I4	1	0	3	9278	37	32	3	9235	6137	1	2	22	6	1	3	0	1	0	3	2
GTEX-1269C	4	2	4	18449	69	22	2	18331	12707	2	10	32	11	0	1	2	3	4	11	2
GTEX-O5YT	0	0	0	1085	5	0	2	1085	824	0	0	0	0	0	0	0	0	0	0	0
GTEX-1AMFI	1	0	1	3522	4	2	2	3516	2501	0	4	14	0	0	3	1	0	1	0	0
GTEX-11ZU8	0	0	0	3650	13	2	1	3603	2503	0	1	7	0	0	0	0	0	0	0	0
GTEX-1LVA9	6	1	0	30742	112	37	4	30438	20731	5	20	58	29	2	9	1	1	11	10	6
GTEX-1192X	3	0	0	3335	14	2	0	3326	2268	1	3	1	0	0	0	0	1	0	0	0
GTEX-1MUQO	1	0	0	5734	10	9	2	5726	4140	0	2	11	0	0	1	1	0	0	0	1
GTEX-15D79	2	0	0	12712	64	15	2	12511	8598	0	7	19	6	0	5	0	2	1	4	6
GTEX-1RAZA	0	1	0	4530	11	11	1	4453	3054	0	5	11	1	0	1	0	0	0	0	0
GTEX-13OVH	0	0	0	4893	22	0	1	4841	3257	0	4	13	1	2	0	0	0	0	0	0
GTEX-1EU9M	6	0	0	32036	164	42	6	31791	21005	3	10	23	28	0	5	2	0	4	2	0
GTEX-11ZTS	2	1	0	17760	136	13	1	17578	11797	1	5	23	5	3	0	1	1	2	4	3
GTEX-WYVS	0	0	0	17286	90	23	1	17228	11528	0	16	27	16	1	2	0	2	2	2	2
GTEX-16BQI	1	0	0	9589	47	28	1	9567	6524	1	3	10	2	3	0	1	0	0	0	0
GTEX-13N1W	1	0	0	5749	17	7	1	5714	3900	3	3	9	4	0	1	0	0	3	0	1
GTEX-16MT8	1	0	0	10833	63	15	6	10812	7185	0	7	7	1	0	0	2	1	0	1	0
GTEX-111VG	0	1	0	12248	48	23	2	12107	7990	0	10	14	2	3	2	3	2	3	1	0
GTEX-1F6IF	9	2	0	31604	204	47	12	31261	21242	5	11	54	12	4	15	5	5	4	14	2
GTEX-ZWKS	0	0	0	1603	6	7	0	1602	1070	0	1	6	0	0	0	1	0	0	0	0
GTEX-Q2AG	1	0	0	3065	27	2	2	3020	2052	0	5	5	3	1	0	0	0	0	0	0
GTEX-1AX9J	3	0	0	16383	47	19	3	16373	11079	2	4	26	5	0	5	0	1	1	8	0
GTEX-1F7RK	8	0	0	31123	148	38	4	30795	21355	7	11	50	42	1	35	5	1	5	17	11
GTEX-1R9K4	11	1	0	46661	141	71	17	46399	32018	6	25	73	36	7	14	1	3	7	7	5
GTEX-ZC5H	1	0	0	2502	4	0	0	2493	1737	1	2	3	0	2	0	0	0	0	0	0
GTEX-15CHQ	1	0	0	4183	23	5	2	4085	2867	1	4	8	0	0	0	0	0	1	1	1
GTEX-1EWIQ	0	1	0	17395	99	19	7	17160	11780	7	12	32	26	0	20	5	2	12	9	4
GTEX-Y5LM	0	0	0	2061	4	5	1	2060	1444	1	0	2	0	0	0	0	0	0	0	0
GTEX-11EI6	0	0	0	1437	5	2	0	1435	1013	0	1	5	0	0	0	0	0	0	0	0
GTEX-1A8FM	1	0	0	8526	65	13	4	8464	5533	2	3	14	8	2	1	1	0	5	4	0
GTEX-1JN6P	4	0	0	16560	108	14	8	16442	11736	2	9	32	7	0	1	1	0	0	4	1
GTEX-1AMEY	2	0	0	6898	12	14	2	6890	4668	1	4	23	2	3	0	0	0	1	0	2
GTEX-1IDJF	0	1	0	6663	31	15	0	6644	4499	2	10	13	1	0	0	0	0	1	0	0
GTEX-183WM	0	0	0	582	3	0	0	578	397	0	0	0	0	0	0	0	0	0	0	0
GTEX-11LCK	1	0	0	9201	19	18	5	9191	6367	0	4	19	1	0	1	1	0	0	1	0
GTEX-RTLS	0	0	0	1815	13	0	0	1796	1276	0	1	5	2	0	0	0	0	0	0	1
GTEX-14E6D	8	1	0	25176	85	38	10	25061	17326	4	14	55	20	6	14	12	3	10	1	3
GTEX-18A66	1	0	0	3879	10	4	0	3842	2673	0	5	11	0	3	2	0	0	0	0	0
GTEX-XBEC	4	0	0	7538	16	8	5	7452	5126	0	6	4	3	0	1	1	2	0	0	0
GTEX-1QAET	0	0	0	3252	11	1	0	3247	2224	0	1	5	0	0	0	0	0	0	0	0
GTEX-15CHC	0	0	0	2290	14	8	1	2282	1521	0	1	6	1	0	0	0	0	0	1	0
GTEX-13O21	0	0	0	5332	13	16	2	5323	3558	0	3	17	1	3	0	0	0	1	1	0
GTEX-13PVR	1	1	0	2545	5	0	0	2543	1808	0	2	7	0	1	0	0	0	0	0	0
GTEX-1314G	1	0	0	9360	21	9	1	9235	6102	0	8	13	0	0	0	0	0	0	0	0
GTEX-ZTPG	1	0	0	3082	12	5	0	3069	2012	0	2	4	0	0	0	0	0	0	0	0
GTEX-PLZ6	0	0	0	751	3	0	0	749	546	0	0	1	0	0	0	0	0	0	0	0
GTEX-1399U	1	1	0	4856	18	13	2	4843	3309	0	1	20	1	2	0	0	0	0	1	0
GTEX-YB5K	2	2	0	14137	73	15	3	14041	9321	0	5	19	5	0	2	0	0	0	0	2
GTEX-ZE7O	3	1	0	17564	104	29	6	17393	12090	6	14	31	19	0	9	1	8	10	12	5
GTEX-1PDJ9	2	1	0	9172	23	10	0	9166	6195	0	6	38	2	0	0	0	0	3	0	0
GTEX-16GPK	2	0	0	16059	60	29	2	15861	10702	4	13	31	23	4	16	3	1	11	5	4
GTEX-15CHR	3	0	0	6228	25	9	2	6200	4268	0	5	15	5	1	0	0	0	0	0	1
GTEX-132Q8	0	0	0	5297	16	2	2	5257	3424	2	6	7	1	2	0	0	0	0	0	3
GTEX-11TT1	0	0	0	4875	2	13	0	4864	3470	0	1	6	2	0	0	0	0	0	0	0
GTEX-18A7A	2	0	0	31083	134	30	4	30922	20608	2	14	34	8	1	9	6	0	1	5	2
GTEX-WOFL	0	0	0	5057	29	13	2	5004	3323	0	0	5	0	0	0	0	0	0	0	0
GTEX-1RQED	1	0	0	28118	86	30	6	27404	18914	4	17	59	20	0	10	0	3	3	28	5
GTEX-ZAK1	4	0	0	17984	91	13	3	17869	12391	2	12	21	6	0	3	0	0	1	3	0
GTEX-1GZ4I	3	1	0	14195	56	8	2	14150	9456	0	12	17	7	0	2	0	3	2	6	1
GTEX-1PBJJ	0	0	0	2042	7	7	2	2034	1412	0	0	0	0	0	0	0	0	0	0	0
GTEX-13OW8	3	0	0	10367	33	24	1	10222	7222	0	2	14	2	1	0	0	0	0	0	0
GTEX-1QP2A	2	1	0	6874	18	14	1	6858	4831	0	5	24	4	4	1	0	0	0	1	0
GTEX-16XZY	5	0	0	7498	14	4	0	7390	5072	0	8	8	3	0	5	0	0	0	1	0
GTEX-11GSP	4	0	0	15447	60	14	3	15360	10340	8	8	22	12	1	8	2	2	4	4	2
GTEX-1F5PK	0	0	0	855	2	0	0	855	562	0	1	0	1	0	1	0	0	0	0	0
GTEX-12WSJ	0	0	0	2546	13	7	0	2528	1687	0	2	3	1	0	0	0	0	0	0	0
GTEX-N7MS	3	1	0	20647	48	28	7	20426	14091	3	7	38	32	4	14	7	7	10	4	9
GTEX-1IDJE	0	0	0	1063	4	4	0	1045	723	0	1	3	0	0	0	0	0	2	0	0
GTEX-144GM	1	0	0	5608	28	15	2	5598	3689	0	3	8	0	0	0	1	0	0	3	1
GTEX-1LVAM	5	1	0	14656	61	20	3	14542	10173	3	9	27	9	3	4	0	0	4	0	1
GTEX-14PJ5	2	1	0	9437	22	16	3	9429	6445	0	3	25	5	0	0	0	0	0	1	1
GTEX-133LE	0	0	0	6888	49	9	0	6879	4665	1	4	12	0	0	0	0	0	1	1	0
GTEX-1R9PO	4	0	0	6944	14	7	7	6886	4749	0	5	9	0	0	0	1	0	0	0	0
GTEX-X5EB	0	1	0	8733	21	10	2	8699	5882	1	4	29	3	0	3	0	1	3	1	0
GTEX-16XZZ	0	0	0	4846	16	11	0	4790	3152	0	1	8	0	0	1	0	0	0	0	0
GTEX-ZAB4	0	0	0	11149	40	45	5	10794	7562	2	10	13	14	0	5	4	2	5	4	0
GTEX-O5YV	0	0	0	2500	22	1	2	2499	1836	1	1	11	1	0	0	1	0	2	0	0
GTEX-15ER7	16	0	17	64324	262	54	13	63733	42519	9	14	98	21	0	10	2	2	8	8	6
GTEX-T8EM	0	0	0	3231	19	8	1	3223	2458	0	3	7	0	0	3	1	0	0	0	0
GTEX-13OW6	4	0	0	21939	61	40	6	21846	14796	11	12	54	43	7	11	6	2	11	6	4
GTEX-17HHE	0	0	0	1320	7	5	0	1303	892	0	3	6	1	0	0	0	0	0	0	0
GTEX-ZPCL	3	0	0	7950	27	15	2	7925	5265	1	8	21	2	0	0	0	0	0	1	1
GTEX-WOFM	0	0	0	7255	52	10	3	7243	4950	0	3	17	1	0	0	0	0	3	0	0
GTEX-1R7EU	1	0	0	3401	5	5	0	3398	2366	0	3	7	3	2	0	0	0	0	2	0
GTEX-1C4CL	0	0	0	5328	25	16	0	5258	3503	0	5	12	4	0	3	5	0	2	5	0
GTEX-U3ZM	0	0	0	6233	21	8	3	6221	4429	0	1	13	0	0	2	0	0	0	0	0
GTEX-1A8G6	4	0	0	18634	79	18	3	18493	12886	7	8	38	32	4	24	6	4	3	10	3
GTEX-14PN4	1	0	0	3711	22	5	2	3710	2605	0	0	7	0	0	0	0	0	0	0	0
